Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Blake Hayes,blake-hayes-1,/cfb/players/blake-hayes-1.html,Illinois,Big Ten,8,42,1838,43.8,,2020
Kyle Ulbrich,kyle-ulbrich-1,/cfb/players/kyle-ulbrich-1.html,Middle Tennessee State,CUSA,9,43,1882,43.8,,2020
Aidan Swanson,aidan-swanson-1,/cfb/players/aidan-swanson-1.html,Clemson,ACC,3,3,131,43.7,,2020
Ben Kiernan,ben-kiernan-1,/cfb/players/ben-kiernan-1.html,North Carolina,ACC,10,34,1485,43.7,,2020
Bryce Baringer,bryce-baringer-1,/cfb/players/bryce-baringer-1.html,Michigan State,Big Ten,7,37,1613,43.6,,2020
Cameron Dicker,cameron-dicker-2,/cfb/players/cameron-dicker-2.html,Texas,Big 12,10,8,349,43.6,,2020
Nathan Snyder,nathan-snyder-2,/cfb/players/nathan-snyder-2.html,Ball State,MAC,8,29,1265,43.6,,2020
Paxton Brooks,paxton-brooks-1,/cfb/players/paxton-brooks-1.html,Tennessee,SEC,10,49,2138,43.6,,2020
Tom Snee,tom-snee-1,/cfb/players/tom-snee-1.html,Oregon,Pac-12,7,25,1091,43.6,,2020
Alex Mastromanno,alex-mastromanno-1,/cfb/players/alex-mastromanno-1.html,Florida State,ACC,8,35,1523,43.5,,2020
Reid Bauer,reid-bauer-1,/cfb/players/reid-bauer-1.html,Arkansas,SEC,9,39,1698,43.5,,2020
Rhys Byrns,rhys-byrns-1,/cfb/players/rhys-byrns-1.html,Louisiana,Sun Belt,11,36,1567,43.5,,2020
Adam Stack,adam-stack-1,/cfb/players/adam-stack-1.html,Hawaii,MWC,9,44,1910,43.4,,2020
Bernardo Rodriguez,bernardo-rodriguez-1,/cfb/players/bernardo-rodriguez-1.html,North Texas,CUSA,10,37,1605,43.4,,2020
Haydon Whitehead,haydon-whitehead-1,/cfb/players/haydon-whitehead-1.html,Indiana,Big Ten,8,39,1693,43.4,,2020
Kai Kroeger,kai-kroeger-1,/cfb/players/kai-kroeger-1.html,South Carolina,SEC,10,39,1690,43.3,,2020
Ryan Bujcevski,ryan-bujcevski-1,/cfb/players/ryan-bujcevski-1.html,Texas,Big 12,7,39,1687,43.3,,2020
Zach Harding,zach-harding-1,/cfb/players/zach-harding-1.html,Army,Ind,11,41,1774,43.3,,2020
Luke Elzinga,luke-elzinga-1,/cfb/players/luke-elzinga-1.html,Central Michigan,MAC,6,33,1425,43.2,,2020
Daniel Sparks,daniel-sparks-1,/cfb/players/daniel-sparks-1.html,Louisiana-Monroe,Sun Belt,10,31,1337,43.1,,2020
Grant McKinniss,grant-mckinniss-1,/cfb/players/grant-mckinniss-1.html,Missouri,SEC,10,39,1680,43.1,,2020
Luke Akers,luke-akers-1,/cfb/players/luke-akers-1.html,UCLA,Pac-12,7,24,1034,43.1,,2020
Adam Korsak,adam-korsak-1,/cfb/players/adam-korsak-1.html,Rutgers,Big Ten,9,48,2062,43.0,,2020
Cody Gronewold,cody-gronewold-1,/cfb/players/cody-gronewold-1.html,Northwestern,Big Ten,1,1,43,43.0,,2020
Lachlan Wilson,lachlan-wilson-1,/cfb/players/lachlan-wilson-1.html,Tulsa,American,9,42,1806,43.0,,2020
Oscar Bradburn,oscar-bradburn-1,/cfb/players/oscar-bradburn-1.html,Virginia Tech,ACC,10,37,1591,43.0,,2020
Tyler Loop,tyler-loop-1,/cfb/players/tyler-loop-1.html,Arizona,Pac-12,5,24,1033,43.0,,2020
Porter Wilson,porter-wilson-1,/cfb/players/porter-wilson-1.html,Duke,ACC,11,53,2276,42.9,,2020
Tucker Day,tucker-day-1,/cfb/players/tucker-day-1.html,Mississippi State,SEC,9,29,1244,42.9,,2020
Charlie Mendes,charlie-mendes-1,/cfb/players/charlie-mendes-1.html,Rice,CUSA,5,21,898,42.8,,2020
Jay Bramblett,jay-bramblett-1,/cfb/players/jay-bramblett-1.html,Notre Dame,ACC,12,43,1839,42.8,,2020
Dom Dzioban,dom-dzioban-1,/cfb/players/dom-dzioban-1.html,Miami (OH),MAC,3,15,640,42.7,,2020
Nick Mihalic,nick-mihalic-1,/cfb/players/nick-mihalic-1.html,Western Michigan,MAC,6,18,768,42.7,,2020
Kyle Greenwell,kyle-greenwell-1,/cfb/players/kyle-greenwell-1.html,UAB,CUSA,9,46,1958,42.6,,2020
Adam Williams,adam-williams-2,/cfb/players/adam-williams-2.html,Memphis,American,11,43,1829,42.5,,2020
Robert LeFevre,robert-lefevre-1,/cfb/players/robert-lefevre-1.html,Marshall,CUSA,9,33,1402,42.5,,2020
Grant Carlson,grant-carlson-1,/cfb/players/grant-carlson-1.html,Boston College,ACC,11,43,1825,42.4,,2020
Nash Griffin,nash-griffin-1,/cfb/players/nash-griffin-1.html,Virginia,ACC,10,42,1780,42.4,,2020
Race Porter,race-porter-1,/cfb/players/race-porter-1.html,Washington,Pac-12,4,10,424,42.4,,2020
Aidan Marshall,aidan-marshall-1,/cfb/players/aidan-marshall-1.html,Auburn,SEC,7,16,676,42.3,,2020
Matt Ference,matt-ference-1,/cfb/players/matt-ference-1.html,Northern Illinois,MAC,6,31,1308,42.2,,2020
Anthony Pecorella,anthony-pecorella-1,/cfb/players/anthony-pecorella-1.html,Maryland,Big Ten,5,15,631,42.1,,2020
Kyle Vantrease,kyle-vantrease-1,/cfb/players/kyle-vantrease-1.html,Buffalo,MAC,7,1,42,42.0,,2020
Reed Bowman,reed-bowman-1,/cfb/players/reed-bowman-1.html,Mississippi State,SEC,11,30,1260,42.0,,2020
George Georgopoulos,george-georgopoulos-1,/cfb/players/george-georgopoulos-1.html,Massachusetts,Ind,4,29,1214,41.9,,2020
Xavier Subotsch,xavier-subotsch-1,/cfb/players/xavier-subotsch-1.html,Appalachian State,Sun Belt,12,36,1510,41.9,,2020
Aidan Alves,aidan-alves-1,/cfb/players/aidan-alves-1.html,Liberty,Ind,11,26,1088,41.8,,2020
Anthony Beck II,anthony-beck-ii-1,/cfb/players/anthony-beck-ii-1.html,Georgia Southern,Sun Belt,13,51,2130,41.8,,2020
Derek Adams,derek-adams-1,/cfb/players/derek-adams-1.html,Northwestern,Big Ten,9,44,1840,41.8,,2020
Jonn Young,jonn-young-1,/cfb/players/jonn-young-1.html,East Carolina,American,9,28,1171,41.8,,2020
Andy Vujnovich,andy-vujnovich-1,/cfb/players/andy-vujnovich-1.html,Wisconsin,Big Ten,7,34,1419,41.7,,2020
Jack Brooks,jack-brooks-1,/cfb/players/jack-brooks-1.html,South Alabama,Sun Belt,10,43,1794,41.7,,2020
Laine Wilkins,laine-wilkins-1,/cfb/players/laine-wilkins-1.html,Houston,American,8,38,1583,41.7,,2020
