Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Cole Snyder,cole-snyder-2,/cfb/players/cole-snyder-2.html,Buffalo,MAC,13,1,56,56.0,,2022
Ethan Hampton,ethan-hampton-1,/cfb/players/ethan-hampton-1.html,Northern Illinois,MAC,4,1,51,51.0,,2022
Timmy Bleekrode,timmy-bleekrode-1,/cfb/players/timmy-bleekrode-1.html,Nebraska,Big Ten,12,1,51,51.0,,2022
Bryce Baringer,bryce-baringer-1,/cfb/players/bryce-baringer-1.html,Michigan State,Big Ten,12,50,2450,49.0,AA,2022
Caleb Junko,caleb-junko-1,/cfb/players/caleb-junko-1.html,Pitt,ACC,7,12,584,48.7,,2022
Arlind Bengu,arlind-bengu-1,/cfb/players/arlind-bengu-1.html,Louisiana Tech,CUSA,2,2,97,48.5,,2022
D.J. Uiagalelei,dj-uiagalelei-1,/cfb/players/dj-uiagalelei-1.html,Clemson,ACC,13,1,48,48.0,,2022
Thomas Cluckey,thomas-cluckey-1,/cfb/players/thomas-cluckey-1.html,Toledo,MAC,14,1,48,48.0,,2022
Jeremy Crawshaw,jeremy-crawshaw-1,/cfb/players/jeremy-crawshaw-1.html,Florida,SEC,13,35,1678,47.9,,2022
Luke Freer,luke-freer-1,/cfb/players/luke-freer-1.html,Air Force,MWC,1,2,95,47.5,,2022
Will Hutchinson,will-hutchinson-2,/cfb/players/will-hutchinson-2.html,Miami (FL),ACC,1,3,142,47.3,,2022
Kyle Ulbrich,kyle-ulbrich-1,/cfb/players/kyle-ulbrich-1.html,Middle Tennessee State,CUSA,13,67,3157,47.1,,2022
Jack Smith,jack-smith-3,/cfb/players/jack-smith-3.html,Clemson,ACC,1,1,47,47.0,,2022
Ben Kiernan,ben-kiernan-1,/cfb/players/ben-kiernan-1.html,North Carolina,ACC,14,48,2245,46.8,,2022
Michael Turk,michael-turk-1,/cfb/players/michael-turk-1.html,Oklahoma,Big 12,13,63,2948,46.8,,2022
Mason Fletcher,mason-fletcher-1,/cfb/players/mason-fletcher-1.html,Cincinnati,American,13,62,2870,46.3,,2022
Luke Loecher,luke-loecher-1,/cfb/players/luke-loecher-1.html,Oregon State,Pac-12,13,36,1663,46.2,,2022
Ryan Rehkow,ryan-rehkow-1,/cfb/players/ryan-rehkow-1.html,BYU,Ind,13,40,1847,46.2,,2022
Eddie Czaplicki,eddie-czaplicki-1,/cfb/players/eddie-czaplicki-1.html,Arizona State,Pac-12,12,49,2257,46.1,,2022
Jack Browning,jack-browning-1,/cfb/players/jack-browning-1.html,San Diego State,MWC,13,68,3135,46.1,,2022
Kai Kroeger,kai-kroeger-1,/cfb/players/kai-kroeger-1.html,South Carolina,SEC,13,58,2675,46.1,,2022
Brenden Brady,brenden-brady-1,/cfb/players/brenden-brady-1.html,UTSA,CUSA,12,2,92,46.0,,2022
Daniel Sparks,daniel-sparks-1,/cfb/players/daniel-sparks-1.html,Virginia,ACC,10,46,2113,45.9,,2022
Joe Doyle,joe-doyle-1,/cfb/players/joe-doyle-1.html,Memphis,American,13,49,2249,45.9,,2022
Kyle Ostendorp,kyle-ostendorp-1,/cfb/players/kyle-ostendorp-1.html,Arizona,Pac-12,12,34,1546,45.5,,2022
Jesse Mirco,jesse-mirco-1,/cfb/players/jesse-mirco-1.html,Ohio State,Big Ten,13,49,2223,45.4,,2022
Matt Hayball,matt-hayball-1,/cfb/players/matt-hayball-1.html,Vanderbilt,SEC,12,58,2634,45.4,,2022
Riley Thompson,riley-thompson-1,/cfb/players/riley-thompson-1.html,Florida Atlantic,CUSA,12,61,2770,45.4,,2022
Tory Taylor,tory-taylor-1,/cfb/players/tory-taylor-1.html,Iowa,Big Ten,13,82,3725,45.4,,2022
Jamieson Sheahan,jamieson-sheahan-1,/cfb/players/jamieson-sheahan-1.html,California,Pac-12,12,64,2897,45.3,,2022
Kyle Greenwell,kyle-greenwell-1,/cfb/players/kyle-greenwell-1.html,UAB,CUSA,13,44,1992,45.3,,2022
Louis Hedley,louis-hedley-1,/cfb/players/louis-hedley-1.html,Miami (FL),ACC,12,46,2084,45.3,,2022
Brett Thorson,brett-thorson-1,/cfb/players/brett-thorson-1.html,Georgia,SEC,14,36,1620,45.0,,2022
Colton Spangler,colton-spangler-1,/cfb/players/colton-spangler-1.html,Maryland,Big Ten,13,56,2522,45.0,,2022
Josh Green,josh-green-2,/cfb/players/josh-green-2.html,Oregon State,Pac-12,5,1,45,45.0,,2022
Logan Ward,logan-ward-1,/cfb/players/logan-ward-1.html,Oklahoma State,Big 12,12,37,1665,45.0,,2022
Lucas Dean,lucas-dean-1,/cfb/players/lucas-dean-1.html,UTSA,CUSA,14,41,1847,45.0,,2022
Mark Vassett,mark-vassett-1,/cfb/players/mark-vassett-1.html,Louisville,ACC,13,52,2321,44.6,,2022
Reid Bauer,reid-bauer-1,/cfb/players/reid-bauer-1.html,Arkansas,SEC,12,23,1025,44.6,,2022
Jay Bramblett,jay-bramblett-1,/cfb/players/jay-bramblett-1.html,LSU,SEC,14,49,2181,44.5,,2022
Ty Zentner,ty-zentner-1,/cfb/players/ty-zentner-1.html,Kansas State,Big 12,14,59,2625,44.5,,2022
Joshua Sloan,joshua-sloan-1,/cfb/players/joshua-sloan-1.html,UTEP,CUSA,12,45,1998,44.4,,2022
Austin McNamara,austin-mcnamara-1,/cfb/players/austin-mcnamara-1.html,Texas Tech,Big 12,13,50,2215,44.3,,2022
Barney Amor,barney-amor-1,/cfb/players/barney-amor-1.html,Penn State,Big Ten,13,54,2391,44.3,,2022
James Evans,james-evans-2,/cfb/players/james-evans-2.html,Indiana,Big Ten,12,75,3325,44.3,,2022
Mitchell Tomasek,mitchell-tomasek-1,/cfb/players/mitchell-tomasek-1.html,Eastern Michigan,MAC,13,48,2125,44.3,,2022
Aaron Rodriguez,aaron-rodriguez-1,/cfb/players/aaron-rodriguez-1.html,New Mexico,MWC,12,81,3578,44.2,,2022
Adam Korsak,adam-korsak-1,/cfb/players/adam-korsak-1.html,Rutgers,Big Ten,12,75,3297,44.0,,2022
Brendan Cropsey,brendan-cropsey-1,/cfb/players/brendan-cropsey-1.html,Purdue,Big Ten,2,2,88,44.0,,2022
Brian Buschini,brian-buschini-1,/cfb/players/brian-buschini-1.html,Nebraska,Big Ten,12,68,2995,44.0,,2022
Andy Vujnovich,andy-vujnovich-1,/cfb/players/andy-vujnovich-1.html,Wisconsin,Big Ten,13,63,2768,43.9,,2022
