Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Nik Constantinou,nik-constantinou-1,/cfb/players/nik-constantinou-1.html,Texas A&M,SEC,1,1,57,57.0,,2019
Grant Tinnerman,grant-tinnerman-1,/cfb/players/grant-tinnerman-1.html,Bowling Green,MAC,1,1,56,56.0,,2019
Kyle Corbett,kyle-corbett-1,/cfb/players/kyle-corbett-1.html,Charlotte,CUSA,7,4,203,50.8,,2019
Zach Harding,zach-harding-1,/cfb/players/zach-harding-1.html,Army,Ind,9,20,972,48.6,,2019
Max Duffy,max-duffy-1,/cfb/players/max-duffy-1.html,Kentucky,SEC,13,49,2358,48.1,AA,2019
Joseph Charlton,joseph-charlton-1,/cfb/players/joseph-charlton-1.html,South Carolina,SEC,12,68,3244,47.7,,2019
Trenton Gill,trenton-gill-1,/cfb/players/trenton-gill-1.html,North Carolina State,ACC,12,56,2663,47.6,,2019
Bailey Flint,bailey-flint-1,/cfb/players/bailey-flint-1.html,Toledo,MAC,4,20,946,47.3,,2019
Braden Mann,braden-mann-1,/cfb/players/braden-mann-1.html,Texas A&M,SEC,13,57,2686,47.1,,2019
Dane Roy,dane-roy-1,/cfb/players/dane-roy-1.html,Houston,American,12,54,2531,46.9,,2019
Dom Maggio,dom-maggio-1,/cfb/players/dom-maggio-1.html,Wake Forest,ACC,13,74,3464,46.8,,2019
Jake Camarda,jake-camarda-1,/cfb/players/jake-camarda-1.html,Georgia,SEC,14,61,2857,46.8,,2019
Oscar Bradburn,oscar-bradburn-1,/cfb/players/oscar-bradburn-1.html,Virginia Tech,ACC,12,53,2467,46.5,,2019
Thomas Leo,thomas-leo-1,/cfb/players/thomas-leo-1.html,Florida International,CUSA,2,2,93,46.5,,2019
Ryan Stonehouse,ryan-stonehouse-1,/cfb/players/ryan-stonehouse-1.html,Colorado State,MWC,12,49,2274,46.4,,2019
Tyson Dyer,tyson-dyer-1,/cfb/players/tyson-dyer-1.html,New Mexico,MWC,12,59,2718,46.1,,2019
Michael Turk,michael-turk-1,/cfb/players/michael-turk-1.html,Arizona State,Pac-12,13,67,3082,46.0,,2019
Trent Schneider,trent-schneider-1,/cfb/players/trent-schneider-1.html,South Florida,American,12,71,3266,46.0,,2019
Zach Murphy,zach-murphy-1,/cfb/players/zach-murphy-1.html,Wake Forest,ACC,2,1,46,46.0,,2019
John Haggerty,john-haggerty-1,/cfb/players/john-haggerty-1.html,Western Kentucky,CUSA,13,45,2064,45.9,,2019
Austin Parker,austin-parker-2,/cfb/players/austin-parker-2.html,Duke,ACC,12,66,3018,45.7,,2019
Devin Anctil,devin-anctil-1,/cfb/players/devin-anctil-1.html,Kansas State,Big 12,13,56,2541,45.4,,2019
Brandon Heicklen,brandon-heicklen-1,/cfb/players/brandon-heicklen-1.html,San Diego State,MWC,13,74,3347,45.2,,2019
Oscar Draguicevich,oscar-draguicevich-1,/cfb/players/oscar-draguicevich-1.html,Washington State,Pac-12,13,30,1352,45.1,,2019
