Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Kenneth Allen,kenneth-allen-1,/cfb/players/kenneth-allen-1.html,Michigan,Big Ten,13,1,57,57.0,,2015
Cooper Rush,cooper-rush-1,/cfb/players/cooper-rush-1.html,Central Michigan,MAC,13,1,55,55.0,,2015
Jahlani Tavai,jahlani-tavai-1,/cfb/players/jahlani-tavai-1.html,Hawaii,MWC,13,2,108,54.0,,2015
Logan Hilton,logan-hilton-1,/cfb/players/logan-hilton-1.html,Tulane,American,1,1,52,52.0,,2015
Michael Cintron,michael-cintron-1,/cfb/players/michael-cintron-1.html,Rutgers,Big Ten,1,3,153,51.0,,2015
Mac Loudermilk,mac-loudermilk-1,/cfb/players/mac-loudermilk-1.html,UCF,American,2,9,454,50.4,,2015
Harry Adolphus,harry-adolphus-1,/cfb/players/harry-adolphus-1.html,California,Pac-12,3,3,148,49.3,,2015
Dane Evans,dane-evans-1,/cfb/players/dane-evans-1.html,Tulsa,American,13,1,49,49.0,,2015
Kyle Bambard,kyle-bambard-1,/cfb/players/kyle-bambard-1.html,North Carolina State,ACC,13,1,49,49.0,,2015
Dalton Schomp,dalton-schomp-1,/cfb/players/dalton-schomp-1.html,Florida Atlantic,CUSA,12,45,2160,48.0,,2015
Gunner Kiel,gunner-kiel-1,/cfb/players/gunner-kiel-1.html,Cincinnati,American,10,2,96,48.0,,2015
Hayden Moore,hayden-moore-1,/cfb/players/hayden-moore-1.html,Cincinnati,American,9,1,48,48.0,,2015
Rhett Almond,rhett-almond-1,/cfb/players/rhett-almond-1.html,BYU,Ind,9,1,48,48.0,,2015
Tom Hackett,tom-hackett-1,/cfb/players/tom-hackett-1.html,Utah,Pac-12,13,61,2925,48.0,AA,2015
Zach Oakley,zach-oakley-1,/cfb/players/zach-oakley-1.html,Central Michigan,MAC,13,4,192,48.0,,2015
Drew Kaser,drew-kaser-1,/cfb/players/drew-kaser-1.html,Texas A&M,SEC,12,60,2848,47.5,,2015
Michael Carrizosa,michael-carrizosa-1,/cfb/players/michael-carrizosa-1.html,San Jose State,MWC,13,48,2280,47.5,,2015
Spencer Smith,spencer-smith-6,/cfb/players/spencer-smith-6.html,Memphis,American,13,43,2030,47.2,,2015
Gary Wunderlich,gary-wunderlich-1,/cfb/players/gary-wunderlich-1.html,Ole Miss,SEC,13,9,422,46.9,,2015
Sam Geraci,sam-geraci-1,/cfb/players/sam-geraci-1.html,Cincinnati,American,13,44,2036,46.3,,2015
Hayden Hunt,hayden-hunt-1,/cfb/players/hayden-hunt-1.html,Colorado State,MWC,12,52,2393,46.0,,2015
Joseph Davidson,joseph-davidson-1,/cfb/players/joseph-davidson-1.html,Bowling Green,MAC,14,54,2483,46.0,,2015
Taylor Symmank,taylor-symmank-1,/cfb/players/taylor-symmank-1.html,Texas Tech,Big 12,9,33,1518,46.0,,2015
Austin Rehkow,austin-rehkow-1,/cfb/players/austin-rehkow-1.html,Idaho,Sun Belt,12,49,2241,45.7,,2015
Trevor Daniel,trevor-daniel-1,/cfb/players/trevor-daniel-1.html,Tennessee,SEC,13,60,2742,45.7,,2015
Johnny Townsend,johnny-townsend-1,/cfb/players/johnny-townsend-1.html,Florida,SEC,14,83,3765,45.4,,2015
Nick O'Toole,nick-otoole-1,/cfb/players/nick-otoole-1.html,West Virginia,Big 12,13,71,3223,45.4,,2015
David Reisner,david-reisner-1,/cfb/players/david-reisner-1.html,Illinois,Big Ten,3,3,136,45.3,,2015
Drew Riggleman,drew-riggleman-1,/cfb/players/drew-riggleman-1.html,Arizona,Pac-12,13,52,2357,45.3,,2015
Cason Beatty,cason-beatty-1,/cfb/players/cason-beatty-1.html,Florida State,ACC,13,61,2756,45.2,,2015
Rigoberto Sanchez,rigoberto-sanchez-1,/cfb/players/rigoberto-sanchez-1.html,Hawaii,MWC,12,74,3335,45.1,,2015
Tyler Mayes,tyler-mayes-1,/cfb/players/tyler-mayes-1.html,Temple,American,13,1,45,45.0,,2015
Michael Barden,michael-barden-1,/cfb/players/michael-barden-1.html,Texas Tech,Big 12,8,16,717,44.8,,2015
Nicholas Conte,nicholas-conte-1,/cfb/players/nicholas-conte-1.html,Virginia,ACC,12,52,2322,44.7,,2015
Mitch Lochbihler,mitch-lochbihler-1,/cfb/players/mitch-lochbihler-1.html,Kansas State,Big 12,3,4,178,44.5,,2015
Tyler Newsome,tyler-newsome-1,/cfb/players/tyler-newsome-1.html,Notre Dame,Ind,13,55,2446,44.5,,2015
Alan Luna,alan-luna-1,/cfb/players/alan-luna-1.html,UTEP,CUSA,12,65,2885,44.4,,2015
Tyler Williams,tyler-williams-2,/cfb/players/tyler-williams-2.html,Marshall,CUSA,13,70,3108,44.4,,2015
Lumi Kaba,lumi-kaba-1,/cfb/players/lumi-kaba-1.html,Texas State,Sun Belt,12,65,2879,44.3,,2015
Sean Kelly,sean-kelly-1,/cfb/players/sean-kelly-1.html,South Carolina,SEC,12,55,2434,44.3,,2015
Wil Lutz,wil-lutz-1,/cfb/players/wil-lutz-1.html,Georgia State,Sun Belt,13,65,2882,44.3,,2015
Caleb Houston,caleb-houston-1,/cfb/players/caleb-houston-1.html,UCF,American,12,65,2874,44.2,,2015
Eric Keena,eric-keena-1,/cfb/players/eric-keena-1.html,North Texas,CUSA,12,60,2654,44.2,,2015
JK Scott,jk-scott-3,/cfb/players/jk-scott-3.html,Alabama,SEC,15,70,3094,44.2,,2015
Sam Foltz,sam-foltz-1,/cfb/players/sam-foltz-1.html,Nebraska,Big Ten,12,56,2477,44.2,,2015
Chayce Crouch,chayce-crouch-1,/cfb/players/chayce-crouch-1.html,Illinois,Big Ten,10,1,44,44.0,,2015
Shane Tripucka,shane-tripucka-1,/cfb/players/shane-tripucka-1.html,Texas A&M,SEC,1,2,88,44.0,,2015
Cameron Johnston,cameron-johnston-1,/cfb/players/cameron-johnston-1.html,Ohio State,Big Ten,13,58,2549,43.9,,2015
Alexander Kinal,alexander-kinal-1,/cfb/players/alexander-kinal-1.html,Wake Forest,ACC,12,75,3286,43.8,,2015
Riley Dixon,riley-dixon-1,/cfb/players/riley-dixon-1.html,Syracuse,ACC,12,65,2839,43.7,,2015
Austin Barnes,austin-barnes-1,/cfb/players/austin-barnes-1.html,Eastern Michigan,MAC,10,45,1960,43.6,,2015
Korey Durkee,korey-durkee-1,/cfb/players/korey-durkee-1.html,Washington,Pac-12,13,47,2047,43.6,,2015
Will Monday,will-monday-1,/cfb/players/will-monday-1.html,Duke,ACC,13,65,2826,43.5,,2015
Bentlee Critcher,bentlee-critcher-1,/cfb/players/bentlee-critcher-1.html,Appalachian State,Sun Belt,13,51,2212,43.4,,2015
Peter Mortell,peter-mortell-1,/cfb/players/peter-mortell-1.html,Minnesota,Big Ten,13,74,3215,43.4,,2015
Mattias Ciabatti,mattias-ciabatti-1,/cfb/players/mattias-ciabatti-1.html,South Florida,American,12,57,2465,43.2,,2015
James Farrimond,james-farrimond-1,/cfb/players/james-farrimond-1.html,Rice,CUSA,12,59,2544,43.1,,2015
Matt Haack,matt-haack-1,/cfb/players/matt-haack-1.html,Arizona State,Pac-12,13,74,3186,43.1,,2015
Worth Gregory,worth-gregory-2,/cfb/players/worth-gregory-2.html,East Carolina,American,12,60,2583,43.1,,2015
Colby Cooke,colby-cooke-1,/cfb/players/colby-cooke-1.html,Vanderbilt,SEC,1,1,43,43.0,,2015
A.J. Hughes,aj-hughes-1,/cfb/players/aj-hughes-1.html,Virginia Tech,ACC,13,70,3002,42.9,,2015
Corey Fatony,corey-fatony-1,/cfb/players/corey-fatony-1.html,Missouri,SEC,12,81,3477,42.9,,2015
Aleem Sunanon,aleem-sunanon-1,/cfb/players/aleem-sunanon-1.html,South Alabama,Sun Belt,12,31,1323,42.7,,2015
Jake Hartbarger,jake-hartbarger-1,/cfb/players/jake-hartbarger-1.html,Michigan State,Big Ten,14,57,2434,42.7,,2015
Jonny Linehan,jonny-linehan-1,/cfb/players/jonny-linehan-1.html,BYU,Ind,12,62,2649,42.7,,2015
Luke Ferguson,luke-ferguson-1,/cfb/players/luke-ferguson-1.html,Arkansas State,Sun Belt,13,72,3075,42.7,,2015
Justin Vogel,justin-vogel-1,/cfb/players/justin-vogel-1.html,Miami (FL),ACC,13,67,2846,42.5,,2015
Logan Yunker,logan-yunker-1,/cfb/players/logan-yunker-1.html,Nevada-Las Vegas,MWC,12,66,2804,42.5,,2015
Nathan Renfro,nathan-renfro-1,/cfb/players/nathan-renfro-1.html,Tennessee,SEC,2,2,85,42.5,,2015
Alex Robinson,alex-robinson-2,/cfb/players/alex-robinson-2.html,Stanford,Pac-12,14,38,1612,42.4,,2015
Alex Starzyk,alex-starzyk-1,/cfb/players/alex-starzyk-1.html,Temple,American,14,63,2674,42.4,,2015
Steven Coutts,steven-coutts-1,/cfb/players/steven-coutts-1.html,Louisiana,Sun Belt,12,59,2501,42.4,,2015
Garrett Swanson,garrett-swanson-1,/cfb/players/garrett-swanson-1.html,Fresno State,MWC,12,66,2785,42.2,,2015
Logan Cooke,logan-cooke-1,/cfb/players/logan-cooke-1.html,Mississippi State,SEC,13,44,1856,42.2,,2015
Logan Laurent,logan-laurent-1,/cfb/players/logan-laurent-1.html,Massachusetts,MAC,12,63,2660,42.2,,2015
Alex Boy,alex-boy-2,/cfb/players/alex-boy-2.html,Nevada,MWC,13,65,2732,42.0,,2015
Austin Seibert,austin-seibert-1,/cfb/players/austin-seibert-1.html,Oklahoma,Big 12,13,57,2395,42.0,,2015
Sean Wale,sean-wale-1,/cfb/players/sean-wale-1.html,Boise State,MWC,13,52,2183,42.0,,2015
Brice Ramsey,brice-ramsey-1,/cfb/players/brice-ramsey-1.html,Georgia,SEC,11,25,1048,41.9,,2015
Ryan Kay,ryan-kay-1,/cfb/players/ryan-kay-1.html,Troy,Sun Belt,12,61,2556,41.9,,2015
Ethan Wood,ethan-wood-1,/cfb/players/ethan-wood-1.html,Wyoming,MWC,12,67,2800,41.8,,2015
Zack Rogers,zach-rogers-3,/cfb/players/zach-rogers-3.html,New Mexico,MWC,13,68,2839,41.8,,2015
A.J. Cole III,aj-cole-iii-1,/cfb/players/aj-cole-iii-1.html,North Carolina State,ACC,13,66,2750,41.7,,2015
Alex Howell,alex-howell-1,/cfb/players/alex-howell-1.html,Boston College,ACC,12,92,3838,41.7,,2015
Erich Toth,erich-toth-1,/cfb/players/erich-toth-1.html,Indiana,Big Ten,13,63,2628,41.7,,2015
Jake Collins,jake-collins-1,/cfb/players/jake-collins-1.html,Western Kentucky,CUSA,12,37,1542,41.7,,2015
Jake Collins,jake-collins-3,/cfb/players/jake-collins-3.html,Western Kentucky,CUSA,12,37,1542,41.7,,2015
Alex Barta,alex-barta-1,/cfb/players/alex-barta-1.html,Navy,American,13,40,1663,41.6,,2015
Nick Walsh,nick-walsh-1,/cfb/players/nick-walsh-1.html,Kansas State,Big 12,13,67,2788,41.6,,2015
Brett Dunn,brett-dunn-1,/cfb/players/brett-dunn-1.html,Air Force,MWC,10,13,539,41.5,,2015
Matthew Wyman,matthew-wyman-1,/cfb/players/matthew-wyman-1.html,Kansas,Big 12,12,53,2198,41.5,,2015
Zach Paul,zach-paul-1,/cfb/players/zach-paul-1.html,Akron,MAC,13,79,3276,41.5,,2015
Anthony Melchiori,anthony-melchiori-1,/cfb/players/anthony-melchiori-1.html,Kent State,MAC,12,93,3854,41.4,,2015
Aaron Dalton,aaron-dalton-1,/cfb/players/aaron-dalton-1.html,Utah State,MWC,13,72,2974,41.3,,2015
Blake O'Neill,blake-oneill-1,/cfb/players/blake-oneill-1.html,Michigan,Big Ten,13,53,2188,41.3,,2015
Dalton Parks,dalton-parks-1,/cfb/players/dalton-parks-1.html,Tulsa,American,13,69,2848,41.3,,2015
Matt Bonadies,matt-bonadies-1,/cfb/players/matt-bonadies-1.html,Middle Tennessee State,CUSA,8,31,1280,41.3,,2015
Michael Dickson,michael-dickson-1,/cfb/players/michael-dickson-1.html,Texas,Big 12,12,77,3179,41.3,,2015
Cole Leininger,cole-leininger-1,/cfb/players/cole-leininger-1.html,California,Pac-12,12,37,1526,41.2,,2015
Toby Baker,toby-baker-1,/cfb/players/toby-baker-1.html,Arkansas,SEC,13,43,1772,41.2,,2015
Devon Bell,devon-bell-1,/cfb/players/devon-bell-1.html,Mississippi State,SEC,13,9,370,41.1,,2015
Nick Porebski,nick-porebski-1,/cfb/players/nick-porebski-1.html,Oregon State,Pac-12,12,72,2958,41.1,,2015
Ryan Nowicki,ryan-nowicki-1,/cfb/players/ryan-nowicki-1.html,Georgia Southern,Sun Belt,10,33,1355,41.1,,2015
Ryan Winslow,ryan-winslow-1,/cfb/players/ryan-winslow-1.html,Pitt,ACC,13,63,2589,41.1,,2015
Brent Stockstill,brent-stockstill-1,/cfb/players/brent-stockstill-1.html,Middle Tennessee State,CUSA,13,1,41,41.0,,2015
