Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Ryon Sayeri,ryon-sayeri-1,/cfb/players/ryon-sayeri-1.html,USC,Big Ten,1,1,57,57.0,,2024
Chase Allen,chase-allen-2,/cfb/players/chase-allen-2.html,UTSA,American,7,1,50,50.0,,2024
Alex Mastromanno,alex-mastromanno-1,/cfb/players/alex-mastromanno-1.html,Florida State,ACC,12,55,2710,49.3,AA,2024
Palmer Williams,palmer-williams-1,/cfb/players/palmer-williams-1.html,Baylor,Big 12,13,43,2122,49.3,,2024
Jesse Mirco,jesse-mirco-1,/cfb/players/jesse-mirco-1.html,Vanderbilt,SEC,13,51,2450,48.0,,2024
Ryan Eckley,ryan-eckley-1,/cfb/players/ryan-eckley-1.html,Michigan State,Big Ten,12,43,2060,47.9,,2024
Eddie Czaplicki,eddie-czaplicki-1,/cfb/players/eddie-czaplicki-1.html,USC,Big Ten,13,43,2057,47.8,,2024
Kai Kroeger,kai-kroeger-1,/cfb/players/kai-kroeger-1.html,South Carolina,SEC,13,47,2248,47.8,,2024
Brett Thorson,brett-thorson-1,/cfb/players/brett-thorson-1.html,Georgia,SEC,13,42,1998,47.6,,2024
Luke Freer,luke-freer-1,/cfb/players/luke-freer-1.html,Air Force,MWC,11,31,1471,47.5,,2024
Josh Green,josh-green-2,/cfb/players/josh-green-2.html,Oregon State,Ind,12,33,1559,47.2,,2024
Fraser Masin,fraser-masin-1,/cfb/players/fraser-masin-1.html,Ole Miss,SEC,12,36,1676,46.6,,2024
Wes Pahl,wes-pahl-1,/cfb/players/wes-pahl-1.html,Oklahoma State,Big 12,12,25,1160,46.4,,2024
Hudson Hollenbeck,hudson-hollenbeck-1,/cfb/players/hudson-hollenbeck-1.html,Michigan,Big Ten,2,6,277,46.2,,2024
Tyler Pastula,tyler-pastula-1,/cfb/players/tyler-pastula-1.html,San Diego State,MWC,12,58,2675,46.1,,2024
Cole Snyder,cole-snyder-2,/cfb/players/cole-snyder-2.html,Eastern Michigan,MAC,12,3,138,46.0,,2024
Jacob Ulrich,jacob-ulrich-1,/cfb/players/jacob-ulrich-1.html,Kennesaw State,CUSA,12,75,3448,46.0,,2024
Jack Stonehouse,jack-stonehouse-1,/cfb/players/jack-stonehouse-1.html,Syracuse,ACC,13,33,1509,45.7,,2024
Jeremy Crawshaw,jeremy-crawshaw-1,/cfb/players/jeremy-crawshaw-1.html,Florida,SEC,13,59,2699,45.7,,2024
Riley Riethman,riley-riethman-1,/cfb/players/riley-riethman-1.html,Navy,American,13,57,2606,45.7,,2024
Lucas Borrow,lucas-borrow-1,/cfb/players/lucas-borrow-1.html,Hawaii,MWC,12,48,2184,45.5,,2024
Ross James,ross-james-1,/cfb/players/ross-james-1.html,Oregon,Big Ten,13,37,1682,45.5,,2024
Aiden Laros,aiden-laros-1,/cfb/players/aiden-laros-1.html,Kentucky,SEC,12,32,1453,45.4,,2024
Andrew Stokes,andrew-stokes-2,/cfb/players/andrew-stokes-2.html,South Florida,American,13,68,3090,45.4,,2024
James Burnip,james-burnip-1,/cfb/players/james-burnip-1.html,Alabama,SEC,13,52,2359,45.4,,2024
Atticus Bertrams,atticus-bertrams-1,/cfb/players/atticus-bertrams-1.html,Wisconsin,Big Ten,12,55,2491,45.3,,2024
Devin Bale,devin-bale-1,/cfb/players/devin-bale-1.html,Arkansas,SEC,13,41,1855,45.2,,2024
Lachlan Wilson,lachlan-wilson-1,/cfb/players/lachlan-wilson-1.html,California,ACC,13,57,2579,45.2,,2024
Bryce McFerson,bryce-mcferson-1,/cfb/players/bryce-mcferson-1.html,Maryland,Big Ten,12,52,2343,45.1,,2024
Nathan Totten,nathan-totten-1,/cfb/players/nathan-totten-1.html,Marshall,Sun Belt,9,2,90,45.0,,2024
Keelan Crimmins,keelan-crimmins-1,/cfb/players/keelan-crimmins-1.html,Purdue,Big Ten,12,64,2871,44.9,,2024
Tyler White,tyler-white-6,/cfb/players/tyler-white-6.html,Texas A&M,SEC,13,46,2064,44.9,,2024
Luke Elzinga,luke-elzinga-1,/cfb/players/luke-elzinga-1.html,Oklahoma,SEC,13,60,2687,44.8,,2024
Nicholas Barr-Mira,nicholas-barr-mira-1,/cfb/players/nicholas-barr-mira-1.html,Mississippi State,SEC,12,44,1971,44.8,,2024
Brian Buschini,brian-buschini-1,/cfb/players/brian-buschini-1.html,Nebraska,Big Ten,13,45,2013,44.7,,2024
George Eberle,george-eberle-1,/cfb/players/george-eberle-1.html,New Mexico State,CUSA,12,62,2774,44.7,,2024
