recruit_index,recruit_id,recruit_name,recruit_year,committed_to,mapped_team,filled_athlete_id,matched_history_name,history_season_start,name_score,match_score
218,138533,Benning Potoa'e,2015,Washington,Washington,3886826,Benning Potoa'e,2016,1.0,1.0
223,138538,Ryan Newsome,2015,Texas,Texas,3929853,Ryan Newsome,2015,1.0,0.95
225,138540,Jordan Davis,2015,Texas A&M,Texas A&M,3895871,Jordan Davis,2015,1.0,0.95
227,138542,Marquel Harrell,2015,Auburn,Auburn,3916944,Marquel Harrell,2016,1.0,1.0
228,138543,Josh Woods,2015,UCLA,UCLA,3886376,Josh Woods,2016,1.0,1.0
229,138544,JaMycal Hasty,2015,Baylor,Baylor,3928925,JaMycal Hasty,2016,1.0,1.0
236,138551,Armani Linton,2015,Ole Miss,Ole Miss,3930073,Armani Linton,2016,1.0,1.0
241,138556,Michael Barnett,2015,Georgia,Georgia,3728306,Michael Barnett,2016,1.0,1.0
243,138558,Zach Robertson,2015,Arizona State,Arizona State,3675928,Zach Robertson,2016,1.0,1.0
248,138563,Kyahva Tezino,2015,San Diego State,San Diego State,3921659,Kyahva Tezino,2016,1.0,1.0
249,138564,Henry Roberts,2015,Washington,Washington,3886830,Henry Roberts,2016,1.0,1.0
256,138571,Noah Jefferson,2015,USC,USC,3912560,Noah Jefferson,2015,1.0,0.95
263,138578,Quinten Dormady,2015,Tennessee,Tennessee,3886565,Quinten Dormady,2015,1.0,0.95
265,138580,Kaleb Kim,2015,Auburn,Auburn,3916939,Kaleb Kim,2016,1.0,1.0
268,138583,Jaylinn Hawkins,2015,California,California,3858276,Jaylinn Hawkins,2016,1.0,1.0
269,138584,Eli Brown,2015,Kentucky,Kentucky,3915243,Eli Brown,2015,1.0,0.95
271,138586,Madison Akamnonu,2015,Texas Tech,Texas Tech,3915819,Madison Akamnonu,2016,1.0,1.0
273,138588,Arrington Farrar,2015,Wisconsin,Wisconsin,3917663,Arrington Farrar,2015,1.0,0.95
275,138590,Darrell Taylor,2015,Tennessee,Tennessee,3915396,Darrell Taylor,2016,1.0,1.0
279,138594,CJ Sanders,2015,Notre Dame,Notre Dame,3932440,CJ Sanders,2015,1.0,0.95
282,138597,Kemah Siverand,2015,Texas A&M,Texas A&M,3917317,Kemah Siverand,2015,1.0,0.95
283,138598,Ty'Son Williams,2015,North Carolina,North Carolina,3895827,Ty'Son Williams,2015,1.0,0.95
294,138609,Joe Burrow,2015,Ohio State,Ohio State,3915511,Joe Burrow,2015,1.0,0.95
295,138610,Alex Stump,2015,Ohio State,Ohio State,3915534,Alex Stump,2015,1.0,0.95
302,138617,John Kolar,2015,Oklahoma State,Oklahoma State,3791164,John Kolar,2015,1.0,0.95
304,138619,DeAndre McNeal,2015,Texas,Texas,3929848,DeAndre McNeal,2015,1.0,0.95
311,138626,Ke'Shawn Vaughn,2015,Illinois,Illinois,3917612,Ke'Shawn Vaughn,2015,1.0,0.95
316,138630,Trey Adams,2015,Washington,Washington,3886808,Trey Adams,2015,1.0,0.95
319,138634,David Dowell,2015,Michigan State,Michigan State,3929819,David Dowell,2016,1.0,1.0
323,138638,Nick Gibson,2015,Mississippi State,Mississippi State,3917281,Nick Gibson,2016,1.0,1.0
324,138640,Tim Lynott,2015,Colorado,Colorado,3915435,Tim Lynott,2016,1.0,1.0
326,138641,Josh Butler,2015,Michigan State,Michigan State,3929814,Josh Butler,2016,1.0,1.0
327,138643,Clayton Bradley,2015,USC,USC,3932934,Clayton Bradley,2015,1.0,0.95
345,138660,Carlos Davis,2015,Nebraska,Nebraska,3699462,Carlos Davis,2016,1.0,1.0
349,138664,Steven Gonzalez,2015,Penn State,Penn State,3929642,Steven Gonzalez,2016,1.0,1.0
360,138675,Tyriq Thompson,2015,Michigan State,Michigan State,3885821,Tyriq Thompson,2016,1.0,1.0
365,138680,Jordan Cronkrite,2015,Florida,Florida,3915098,Jordan Cronkrite,2015,1.0,0.95
367,138682,Kieffer Longson,2015,BYU,BYU,4046661,Kieffer Longson,2017,1.0,0.95
368,138683,Tim Washington,2015,Mississippi State,Mississippi State,3917289,Tim Washington,2016,1.0,1.0
372,138686,A.J. Turner,2015,South Carolina,South Carolina,3924376,A.J. Turner,2016,1.0,1.0
376,138691,Elijah Sullivan,2015,Kansas State,Kansas State,3916127,Elijah Sullivan,2016,1.0,1.0
387,138702,Tyson Smith,2015,Michigan State,Michigan State,3929829,Tyson Smith,2015,1.0,0.95
390,138705,David Moorman,2015,Wisconsin,Wisconsin,3917672,David Moorman,2016,1.0,1.0
394,138709,Brian Lewerke,2015,Michigan State,Michigan State,3929824,Brian Lewerke,2016,1.0,1.0
448,138765,Kingsley KeKe,2015,Texas A&M,Texas A&M,3917340,Kingsley Keke,2015,1.0,0.95
451,138766,Bailey Sharp,2015,Auburn,Auburn,3843227,Bailey Sharp,2016,1.0,1.0
452,138767,Kevin Henry,2015,Oklahoma State,Oklahoma State,3919597,Kevin Henry,2016,1.0,1.0
453,138770,Levi Paulsen,2015,Iowa,Iowa,3894846,Levi Paulsen,2016,1.0,1.0
454,138769,James Morgan,2015,Bowling Green,Bowling Green,3914395,James Morgan,2015,1.0,0.95
456,138771,Dre Brown,2015,Illinois,Illinois,3862133,Dre Brown,2016,1.0,1.0
457,138772,Amonte Caban,2015,Louisville,Louisville,3916407,Amonte Caban,2016,1.0,1.0
460,138775,TD Moton,2015,Texas A&M,Texas A&M,4047338,TD Moton,2016,1.0,1.0
466,138783,Khalil Davis,2015,Nebraska,Nebraska,3699530,Khalil Davis,2016,1.0,1.0
470,138785,Aaron Crawford,2015,North Carolina,North Carolina,3895837,Aaron Crawford,2016,1.0,1.0
472,138788,Shadell Bell,2015,Clemson,Clemson,3728242,Shadell Bell,2015,1.0,0.95
473,138789,Paul Lucas,2015,Oregon State,Oregon State,3930284,Paul Lucas,2015,1.0,0.95
481,138796,Robert Landers,2015,Ohio State,Ohio State,3915526,Robert Landers,2016,1.0,1.0
487,138800,Deshawn McClease,2015,Virginia Tech,Virginia Tech,3929944,Deshawn McClease,2016,1.0,1.0
488,138799,Kareem Ali,2015,Temple,Temple,3914213,Kareem Ali,2015,1.0,0.95
490,138805,Trevor Ruhland,2015,Notre Dame,Notre Dame,3932439,Trevor Ruhland,2016,1.0,1.0
494,138808,Deddrick Thomas,2015,Mississippi State,Mississippi State,3791116,Deddrick Thomas,2016,1.0,1.0
495,138810,Shane Lemieux,2015,Oregon,Oregon,3915142,Shane Lemieux,2016,1.0,1.0
496,138812,Jason Strowbridge,2015,North Carolina,North Carolina,3895843,Jason Strowbridge,2016,1.0,1.0
498,138813,Justin Tranquill,2015,Western Michigan,Western Michigan,3916719,Justin Tranquill,2016,1.0,1.0
749,139067,Cade Cote,2015,Arizona State,Arizona State,3675273,Cade Cote,2016,1.0,1.0
759,139072,Chris Green,2015,Toledo,Toledo,3916673,Chris Green,2016,1.0,1.0
774,139088,George Lea,2015,Arizona State,Arizona State,3893621,George Lea,2016,1.0,1.0
775,139082,Scott Washington,2015,Wake Forest,Wake Forest,3919557,Scotty Washington,2016,0.9697,0.9758
785,139096,Trevon Sands,2015,South Florida,South Florida,4038713,Trevon Sands,2016,1.0,1.0
842,139158,Julian Good-Jones,2015,Iowa State,Iowa State,3917949,Julian Good-Jones,2016,1.0,1.0
845,139152,Hunter Littlejohn,2015,Indiana,Indiana,3929793,Hunter Littlejohn,2016,1.0,1.0
847,139162,Bryson Oglesby,2015,Fresno State,Fresno State,4040902,Bryson Oglesby,2016,1.0,1.0
853,139167,Gabe Reid,2015,Stanford,Stanford,4242559,Gabe Reid,2017,1.0,0.95
854,139168,Matt Pistone,2015,Boise State,Boise State,3722368,Matt Pistone,2016,1.0,1.0
855,139169,Andre Baccellia,2015,Washington,Washington,3886809,Andre Baccellia,2016,1.0,1.0
864,139180,Darreyl Patterson,2015,Kansas State,Kansas State,3916121,Darreyl Patterson,2016,1.0,1.0
869,139185,Gage Cervenka,2015,Clemson,Clemson,3728255,Gage Cervenka,2016,1.0,1.0
876,139191,Steven Miller,2015,Arizona State,Arizona State,3893622,Steven Miller,2016,1.0,1.0
877,139192,Solomon Matautia,2015,Hawai'i,Hawai'i,3914918,Solomon Matautia,2016,1.0,1.0
878,139193,Shawn Wilson,2015,Oregon State,Oregon State,3930301,Shawn Wilson,2016,1.0,1.0
879,139200,Jamal Milan,2015,Illinois,Illinois,3917627,Jamal Milan,2016,1.0,1.0
