receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,comp,att,pct,receiving_touchdowns,int,rate,games_played,year,category
20,Caden,Voges,Caden Voges,/ca/sacramento/sacramento-dragons/athletes/caden-voges/football/stats/?careerid=cvtf0v61dtnqa,cvtf0v61dtnqa,QB,Sacramento,CA,4294,4294,330.3,231,419,0.551,56,11,119,13,2014,receiving
21,Ben,Dinucci,Ben Dinucci,/pa/gibsonia/pine-richland-rams/athletes/ben-dinucci/football/stats/?careerid=2p0kfc9sgm4vf,2p0kfc9sgm4vf,QB,Pine-Richland,PA,4269,4269,266.8,278,401,0.693,46,9,133,16,2014,receiving
22,Ignazio,Tellez,Ignazio Tellez,/tx/laredo/united-longhorns/athletes/ignazio-tellez/football/stats/?careerid=a9gmjt42sck33,a9gmjt42sck33,QB,United,TX,4219,4219,324.5,349,502,0.695,43,11,114,13,2014,receiving
23,Trent,Hites,Trent Hites,/oh/kenton/kenton-wildcats/athletes/trent-hites/football/stats/?careerid=ecruioan6kpj3,ecruioan6kpj3,"QB, DB",Kenton,OH,4175,4175,298.2,340,582,0.584,34,23,84,14,2014,receiving
24,Ty,Storey,Ty Storey,/ar/charleston/charleston-tigers/athletes/ty-storey/football/stats/?careerid=m0d0dlphr62j3,m0d0dlphr62j3,QB,Charleston,AR,4159,4159,297.1,294,447,0.658,53,7,129,14,2014,receiving
25,Nick,Brown,Nick Brown,/ca/garden-grove/rancho-alamitos-vaqueros/athletes/nick-brown/football/stats/?careerid=mpevi7gfr7qh1,mpevi7gfr7qh1,"QB, CB",Rancho Alamitos,CA,4120,4120,294.3,272,445,0.611,52,10,121,14,2014,receiving
26,Alex,Austin,Alex Austin,/mo/springfield/glendale-falcons/athletes/alex-austin/football/stats/?careerid=ntbdfb4hqif33,ntbdfb4hqif33,"QB, DB",Glendale,MO,4084,4084,408.4,379,634,0.598,39,16,89,10,2014,receiving
27,Trent,Franson,Trent Franson,/tx/houston/lutheran-south-academy-pioneers/athletes/trent-franson/football/stats/?careerid=rofebgpdbrln7,rofebgpdbrln7,QB,Lutheran South Academy,TX,4070,4070,339.2,259,372,0.696,52,8,136,12,2014,receiving
28,Austin,Moore,Austin Moore,/tx/burnet/burnet-bulldogs/athletes/austin-moore/football/stats/?careerid=rts6c8olsfjh1,rts6c8olsfjh1,QB,Burnet,TX,4020,4020,287.1,254,399,0.637,36,9,118,14,2014,receiving
29,Cole,Martin,Cole Martin,/sc/fort-mill/nation-ford-falcons/athletes/cole-martin/football/stats/?careerid=1rog3kn5b57ue,1rog3kn5b57ue,QB,Nation Ford,SC,4000,4000,363.6,347,545,0.637,42,17,98,11,2014,receiving
30,Mclane,Carter,Mclane Carter,/tx/gilmer/gilmer-buckeyes/athletes/mclane-carter/football/stats/?careerid=uf0nj06p45511,uf0nj06p45511,QB,Gilmer,TX,3969,3969,248.1,220,297,0.741,47,2,153,16,2014,receiving
31,Johnny,Feauto,Johnny Feauto,/co/boulder/fairview-knights/athletes/johnny-feauto/football/stats/?careerid=sla2usmquj222,sla2usmquj222,"QB, CB",Fairview,CO,3953,3953,329.4,290,431,0.673,40,9,119,12,2014,receiving
32,Mitch,Daniels,Mitch Daniels,/ca/concord/concord-bears/athletes/mitch-daniels/football/stats/?careerid=d6hhq8bae4o99,d6hhq8bae4o99,QB,Concord,CA,3928,3928,302.2,270,398,0.678,55,10,129,13,2014,receiving
33,Douglas,Munson,Douglas Munson,/ar/little-rock/episcopal-wildcats/athletes/douglas-munson/football/stats/?careerid=8d8kff78cblh1,8d8kff78cblh1,"QB, LB",Episcopal,AR,3892,3892,299.4,225,369,0.61,47,13,122,13,2014,receiving
34,Chris,Robison,Chris Robison,/tx/mesquite/horn-jaguars/athletes/chris-robison/football/stats/?careerid=24vgikiu137i2,24vgikiu137i2,"QB, P",Horn,TX,3891,3891,299.3,224,370,0.605,44,11,124,13,2014,receiving
35,Armando,Herrera,Armando Herrera,/ca/redlands/redlands-east-valley-wildcats/athletes/armando-herrera/football/stats/?careerid=11i0nb03b4due,11i0nb03b4due,QB,Redlands East Valley,CA,3864,3864,241.5,241,367,0.657,42,10,127,16,2014,receiving
36,Austin,Kafentzis,Austin Kafentzis,/ut/sandy/jordan-beetdiggers/athletes/austin-kafentzis/football/stats/?careerid=1ghhrqgr0nf11,1ghhrqgr0nf11,QB,Jordan,UT,3862,3862,321.8,221,394,0.561,40,14,109,12,2014,receiving
