receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,comp,att,pct,receiving_touchdowns,int,rate,games_played,year,category
97,Michael,Goodwin,Michael Goodwin,/tx/tyler/bishop-gorman-crusaders/athletes/michael-goodwin/football/stats/?careerid=njmu0s7mftqg0,njmu0s7mftqg0,"QB, DB",Bishop Gorman,TX,3331,3331,256.2,229,318,0.72,26,8,123,13,2014,receiving
98,Jase,Hammack,Jase Hammack,/tx/andrews/andrews-mustangs/athletes/jase-hammack/football/stats/?careerid=qo63ekaojo3k4,qo63ekaojo3k4,"QB, WR",Andrews,TX,3325,3325,277.1,215,336,0.64,45,3,133,12,2014,receiving
99,Gabe,Losada,Gabe Losada,/az/phoenix/st-marys-knights/athletes/gabe-losada/football/stats/?careerid=1vq5jefb6bfm6,1vq5jefb6bfm6,QB,St. Mary's,AZ,3323,3323,302.1,293,477,0.614,34,16,92,11,2014,receiving
100,Dustin,Crum,Dustin Crum,/oh/grafton/midview-middies/athletes/dustin-crum/football/stats/?careerid=d4c23sa30n9sc,d4c23sa30n9sc,"QB, S",Midview,OH,3323,3323,255.6,235,353,0.666,39,8,124,13,2014,receiving
101,Austin,Lee,Austin Lee,/id/coeur-dalene/coeur-dalene-vikings/athletes/austin-lee/football/stats/?careerid=sipkp8j23j2rb,sipkp8j23j2rb,QB,Coeur d'Alene,ID,3323,3323,302.1,230,354,0.65,23,5,111,11,2014,receiving
102,Mondarius,Mccullum,Mondarius Mccullum,/ms/collins/collins-tigers/athletes/mondarius-mccullum/football/stats/?careerid=hj5g5vs3brvue,hj5g5vs3brvue,QB,Collins,MS,3322,3322,207.6,175,357,0.49,38,16,99,16,2014,receiving
103,Jamie,Hudson,Jamie Hudson,/tx/austin/vandegrift-vipers/athletes/jamie-hudson/football/stats/?careerid=ldkpf9vchdn77,ldkpf9vchdn77,QB,Vandegrift,TX,3315,3315,236.8,194,311,0.624,36,4,132,14,2014,receiving
104,Matt,Adamkiewicz,Matt Adamkiewicz,/ca/gilroy/christopher-cougars/athletes/matt-adamkiewicz/football/stats/?careerid=5caju1oqng6i2,5caju1oqng6i2,"QB, FS",Christopher,CA,3310,3310,300.9,222,347,0.64,34,15,110,11,2014,receiving
105,Jack,Abraham,Jack Abraham,/ms/oxford/oxford-chargers/athletes/jack-abraham/football/stats/?careerid=qk4i39f5lqh66,qk4i39f5lqh66,QB,Oxford,MS,3304,3304,300.4,213,357,0.597,35,8,114,11,2014,receiving
106,Samuel,Wyrick,Samuel Wyrick,/nc/salisbury/east-rowan-mustangs/athletes/samuel-wyrick/football/stats/?careerid=3jb12ammqd499,3jb12ammqd499,QB,East Rowan,NC,3301,3301,235.8,263,386,0.681,38,8,119,14,2014,receiving
107,Kyle,Spalding,Kyle Spalding,/ca/mckinleyville/mckinleyville-panthers/athletes/kyle-spalding/football/stats/?careerid=la7r852gak833,la7r852gak833,"QB, DE",McKinleyville,CA,3296,3296,274.7,219,349,0.628,36,12,114,12,2014,receiving
108,Justin,Hunniford,Justin Hunniford,/il/new-lenox/providence-catholic-celtics/athletes/justin-hunniford/football/stats/?careerid=oskf3l77uid77,oskf3l77uid77,QB,Providence Catholic,IL,3290,3290,235.0,245,359,0.682,38,3,129,14,2014,receiving
109,Landry,Turner,Landry Turner,/tx/graham/graham-steers/athletes/landry-turner/football/stats/?careerid=21eoh6097pd00,21eoh6097pd00,"QB, CB",Graham,TX,3281,3281,218.7,223,348,0.641,32,14,109,15,2014,receiving
110,Ty,Hooper,Ty Hooper,/tx/pampa/pampa-harvesters/athletes/ty-hooper/football/stats/?careerid=kkq20o930a1bb,kkq20o930a1bb,QB,Pampa,TX,3273,3273,327.3,243,399,0.609,29,11,100,10,2014,receiving
111,Kyle,Akin,Kyle Akin,/tn/jackson/trinity-christian-academy-lions/athletes/kyle-akin/football/stats/?careerid=ibudgtql889h1,ibudgtql889h1,QB,Trinity Christian Academy,TN,3265,3265,296.8,218,319,0.683,42,6,133,11,2014,receiving
112,Darius,Hulsey,Darius Hulsey,/ca/thermal/coachella-valley-mighty-arabs/athletes/darius-hulsey/football/stats/?careerid=ihtt17ehp5qk4,ihtt17ehp5qk4,"QB, LB",Coachella Valley,CA,3259,3259,325.9,214,365,0.586,29,18,94,10,2014,receiving
113,Julius,Caulder,Julius Caulder,/nc/fairmont/fairmont-golden-tornadoes/athletes/julius-caulder/football/stats/?careerid=uqig545stun99,uqig545stun99,QB,Fairmont,NC,3257,3257,271.4,212,340,0.624,32,13,109,12,2014,receiving
114,Nick,Mehlum,Nick Mehlum,/wi/superior/superior-spartans/athletes/nick-mehlum/football/stats/?careerid=ss1s25q9525o8,ss1s25q9525o8,QB,Superior,WI,3247,3247,270.6,187,305,0.613,39,8,126,12,2014,receiving
115,Braxton,Chipman,Braxton Chipman,/ut/salt-lake-city/skyline-eagles/athletes/braxton-chipman/football/stats/?careerid=saiv1i23kmkqa,saiv1i23kmkqa,"QB, DB",Skyline,UT,3241,3241,216.1,214,345,0.62,30,8,112,15,2014,receiving
116,Matt,Harman,Matt Harman,/ok/cashion/cashion-wildcats/athletes/matt-harman/football/stats/?careerid=33ramakfdekaa,33ramakfdekaa,"QB, MLB",Cashion,OK,3237,3237,215.8,210,309,0.68,39,4,137,15,2014,receiving
117,Geovari,Mccollister,Geovari Mccollister,/tx/tyler/john-tyler-lions/athletes/geovari-mccollister/football/stats/?careerid=rmd595mfksk22,rmd595mfksk22,QB,Tyler,TX,3232,3232,215.5,211,330,0.639,29,7,117,15,2014,receiving
118,Jay,Parker,Jay Parker,/nc/stem/granville-central-panthers/athletes/jay-parker/football/stats/?careerid=rau1kamkrgmtd,rau1kamkrgmtd,QB,Granville Central,NC,3231,3231,269.2,219,372,0.589,33,8,108,12,2014,receiving
119,Ethan,Jeffers,Ethan Jeffers,/tn/jacksboro/campbell-county-cougars/athletes/ethan-jeffers/football/stats/?careerid=nlng45t6amtn7,nlng45t6amtn7,QB,Campbell County,TN,3231,3231,269.2,208,291,0.715,37,10,133,12,2014,receiving
120,Luke,Massei,Luke Massei,/nc/cary/green-hope-falcons/athletes/luke-massei/football/stats/?careerid=o2o1sck37ia55,o2o1sck37ia55,QB,Green Hope,NC,3229,3229,248.4,250,460,0.543,29,17,82,13,2014,receiving
121,Osai,Brown,Osai Brown,/ca/stockton/mcnair-eagles/athletes/osai-brown/football/stats/?careerid=5r52229cpkqrb,5r52229cpkqrb,"QB, DB",McNair,CA,3229,3229,322.9,200,348,0.575,33,15,102,10,2014,receiving
122,Luke,Johnston,Luke Johnston,/in/indianapolis/southport-cardinals/athletes/luke-johnston/football/stats/?careerid=2tirtaq5v8nqa,2tirtaq5v8nqa,QB,Southport,IN,3228,3228,269.0,260,420,0.619,28,10,98,12,2014,receiving
123,Brennen,Wooten,Brennen Wooten,/tx/marble-falls/marble-falls-mustangs/athletes/brennen-wooten/football/stats/?careerid=02s1mf31pvtm6,02s1mf31pvtm6,,Marble Falls,TX,3218,3218,321.8,191,343,0.557,24,6,104,10,2014,receiving
124,Trevor,Pipkin,Trevor Pipkin,/ar/prescott/prescott-curley-wolves/athletes/trevor-pipkin/football/stats/?careerid=1bhc9s6oat755,1bhc9s6oat755,"QB, FS",Prescott,AR,3215,3215,267.9,193,288,0.67,44,6,135,12,2014,receiving
125,Kyle,Presti,Kyle Presti,/nj/kinnelon/kinnelon-colts/athletes/kyle-presti/football/stats/?careerid=lmkg4ncsison7,lmkg4ncsison7,"QB, CB",Kinnelon,NJ,3211,3211,321.1,161,269,0.599,38,7,130,10,2014,receiving
126,Gage,Mcclanahan,Gage Mcclanahan,/tx/dallas/first-baptist-saints/athletes/gage-mcclanahan/football/stats/?careerid=2tlrrnr1i3iaa,2tlrrnr1i3iaa,QB,First Baptist,TX,3206,3206,267.2,238,408,0.583,38,14,100,12,2014,receiving
127,Darreon,Lockett,Darreon Lockett,/ca/pomona/pomona-red-devils/athletes/darreon-lockett/football/stats/?careerid=vtugssf4kk8l5,vtugssf4kk8l5,ATH,Pomona,CA,3204,3204,267.0,136,244,0.557,45,9,125,12,2014,receiving
128,Sean,Kelly,Sean Kelly,/ct/colchester/bacon-academy-bobcats/athletes/sean-kelly/football/stats/?careerid=c5jhtcch14033,c5jhtcch14033,"QB, FS",Bacon Academy,CT,3199,3199,290.8,201,391,0.514,26,15,85,11,2014,receiving
129,Josh,Love,Josh Love,/ca/long-beach/long-beach-poly-jackrabbits/athletes/josh-love/football/stats/?careerid=kf14uerfdv7ee,kf14uerfdv7ee,QB,Long Beach Poly,CA,3199,3199,246.1,200,318,0.629,41,4,131,13,2014,receiving
130,Ryan,Agnew,Ryan Agnew,/tx/southlake/southlake-carroll-dragons/athletes/ryan-agnew/football/stats/?careerid=a5kv9p566c3bb,a5kv9p566c3bb,QB,Southlake Carroll,TX,3197,3197,228.4,223,335,0.666,22,12,104,14,2014,receiving
131,Collin,Sneed,Collin Sneed,/sc/simpsonville/hillcrest-rams/athletes/collin-sneed/football/stats/?careerid=5g0bgg4df9vm6,5g0bgg4df9vm6,"QB, P",Hillcrest,SC,3194,3194,212.9,197,330,0.597,39,6,124,15,2014,receiving
132,D'eriq,King,D'eriq King,/tx/manvel/manvel-mavericks/athletes/deriq-king/football/stats/?careerid=euc0rlhuj0qvf,euc0rlhuj0qvf,QB,Manvel,TX,3193,3193,228.1,204,310,0.658,47,3,135,14,2014,receiving
133,Jasen,Rose,Jasen Rose,/ct/southington/southington-blue-knights/athletes/jasen-rose/football/stats/?careerid=p4no0nv088uue,p4no0nv088uue,QB,Southington,CT,3190,3190,265.8,218,309,0.706,47,9,131,12,2014,receiving
134,Reid,Nickerson,Reid Nickerson,/tx/cameron/ch-yoe-yoemen/athletes/reid-nickerson/football/stats/?careerid=510msmblialm6,510msmblialm6,QB,C.H. Yoe,TX,3190,3190,227.9,195,323,0.604,44,3,129,14,2014,receiving
135,Tanner,Smith,Tanner Smith,/ut/american-fork/american-fork-cavemen/athletes/tanner-smith/football/stats/?careerid=tg65ht5hhvhbb,tg65ht5hhvhbb,QB,American Fork,UT,3188,3188,227.7,229,414,0.553,20,9,87,14,2014,receiving
136,Josh,Rosen,Josh Rosen,/ca/bellflower/st-john-bosco-braves/athletes/josh-rosen/football/stats/?careerid=2h5epo9gu8kg0,2h5epo9gu8kg0,QB,St. John Bosco,CA,3186,3186,227.6,199,313,0.636,29,4,123,14,2014,receiving
137,Cameron,Haag,Cameron Haag,/az/phoenix/arizona-lutheran-academy-coyotes/athletes/cameron-haag/football/stats/?careerid=h3v16r0p8k4p9,h3v16r0p8k4p9,"QB, DB",Arizona Lutheran Academy,AZ,3184,3184,244.9,148,304,0.487,43,19,100,13,2014,receiving
138,Mikey,Gonzalez,Mikey Gonzalez,/ga/gainesville/gainesville-red-elephants/athletes/mikey-gonzalez/football/stats/?careerid=hg5lpg9s5ctff,hg5lpg9s5ctff,QB,Gainesville,GA,3180,3180,244.6,252,353,0.714,38,9,124,13,2014,receiving
139,Connor,Stough,Connor Stough,/nc/chapel-hill/chapel-hill-tigers/athletes/connor-stough/football/stats/?careerid=88pj98bp0tsue,88pj98bp0tsue,"QB, P",Chapel Hill,NC,3177,3177,211.8,247,437,0.565,25,14,85,15,2014,receiving
140,Will,Smith,Will Smith,/ca/sebastopol/west-county-team/athletes/will-smith/football/stats/?careerid=iqtidtr504p33,iqtidtr504p33,QB,Analy,CA,3177,3177,244.4,191,299,0.639,46,10,125,13,2014,receiving
141,Matthew,Romero,Matthew Romero,/ca/oceanside/oceanside-pirates/athletes/matthew-romero/football/stats/?careerid=382u3j59mbqvf,382u3j59mbqvf,QB,Oceanside,CA,3171,3171,211.4,193,311,0.621,26,11,109,15,2014,receiving
142,Keats,Calhoon,Keats Calhoon,/ok/tulsa/victory-christian-conquerors/athletes/keats-calhoon/football/stats/?careerid=eol0ebbekvgqa,eol0ebbekvgqa,"QB, FS",Victory Christian,OK,3168,3168,316.8,230,329,0.699,27,4,123,10,2014,receiving
143,Antonio,Lopez,Antonio Lopez,/tx/san-antonio/brackenridge-eagles/athletes/antonio-lopez/football/stats/?careerid=7m0fhrbloo588,7m0fhrbloo588,QB,Brackenridge,TX,3164,3164,287.6,222,368,0.603,31,17,97,11,2014,receiving
144,Conner,Miller,Conner Miller,/ca/huntington-beach/brethren-christian-warriors/athletes/conner-miller/football/stats/?careerid=d1ulg1nsejhn7,d1ulg1nsejhn7,"QB, S",Brethren Christian,CA,3164,3164,263.7,208,352,0.591,46,13,113,12,2014,receiving
145,Kyle,Fuller,Kyle Fuller,/tx/san-antonio/lee-volunteers/athletes/kyle-fuller/football/stats/?careerid=5v3mt8udmmrsc,5v3mt8udmmrsc,QB,LEE,TX,3158,3158,315.8,216,404,0.535,30,8,96,10,2014,receiving
146,Kody,Wilstead,Kody Wilstead,/ut/st-george/pine-view-panthers/athletes/kody-wilstead/football/stats/?careerid=422oflmnh2jqa,422oflmnh2jqa,QB,Pine View,UT,3151,3151,286.5,215,364,0.591,33,7,110,11,2014,receiving
147,Tyler,Herrick,Tyler Herrick,/tx/hutto/hutto-hippos/athletes/tyler-herrick/football/stats/?careerid=80997hvegl9ee,80997hvegl9ee,QB,Hutto,TX,3145,3145,224.6,205,299,0.686,39,6,134,14,2014,receiving
148,John,Urzua,John Urzua,/ga/suwanee/north-gwinnett-bulldogs/athletes/john-urzua/football/stats/?careerid=culsupm65b055,culsupm65b055,QB,North Gwinnett,GA,3142,3142,285.6,194,317,0.612,34,6,122,11,2014,receiving
149,Emanuel,Gant,Emanuel Gant,/az/tempe/tempe-buffaloes/athletes/emanuel-gant/football/stats/?careerid=q51ved9qgt8ee,q51ved9qgt8ee,"QB, DB",Tempe,AZ,3141,3141,261.8,191,332,0.575,33,7,114,12,2014,receiving
150,David,Johnson,David Johnson,/tx/dallas/south-oak-cliff-bears/athletes/david-johnson/football/stats/?careerid=vapepav7g4mk4,vapepav7g4mk4,QB,South Oak Cliff,TX,3138,3138,224.1,182,292,0.623,44,8,127,14,2014,receiving
151,Brady,Davis,Brady Davis,/ms/starkville/starkville-yellowjackets/athletes/brady-davis/football/stats/?careerid=0qe4q1b5dhhi2,0qe4q1b5dhhi2,QB,Starkville,MS,3127,3127,240.5,178,301,0.591,39,6,126,13,2014,receiving
152,J.t.,Granato,J.t. Granato,/tx/houston/kinkaid-falcons/athletes/jt-granato/football/stats/?careerid=9hnd0lhl69s88,9hnd0lhl69s88,QB,Kinkaid,TX,3124,3124,260.3,220,355,0.62,32,7,112,12,2014,receiving
153,Lowell,Narcisse jr,Lowell Narcisse jr,/la/st-james/st-james-wildcats/athletes/lowell-narcisse-jr/football/stats/?careerid=d9ren7ra0hcue,d9ren7ra0hcue,"QB, P",St. James,LA,3124,3124,240.3,205,358,0.573,31,13,100,13,2014,receiving
154,KJ,Costello,KJ Costello,/ca/rancho-santa-margarita/santa-margarita-eagles/athletes/kj-costello/football/stats/?careerid=uvnhjuv29pjj3,uvnhjuv29pjj3,QB,Santa Margarita,CA,3123,3123,283.9,229,380,0.603,23,10,96,11,2014,receiving
155,Chris,Helbig,Chris Helbig,/co/broomfield/holy-family-tigers/athletes/chris-helbig/football/stats/?careerid=jfnr7cq42db33,jfnr7cq42db33,"QB, CB",Holy Family,CO,3117,3117,283.4,166,274,0.606,33,7,129,11,2014,receiving
156,Braxton,Burmeister,Braxton Burmeister,/ca/la-jolla/la-jolla-country-day-torreys/athletes/braxton-burmeister/football/stats/?careerid=faecm7bmle3k4,faecm7bmle3k4,"QB, DB",La Jolla Country Day,CA,3112,3112,259.3,226,409,0.553,30,13,91,12,2014,receiving
157,Austyn,Hill,Austyn Hill,/tx/el-paso/el-dorado-aztecs/athletes/austyn-hill/football/stats/?careerid=pddhcegc56477,pddhcegc56477,QB,El Dorado,TX,3112,3112,282.9,219,320,0.684,37,11,124,11,2014,receiving
158,Brandon,Ziarno,Brandon Ziarno,/fl/melbourne/melbourne-central-catholic-hustlers/athletes/brandon-ziarno/football/stats/?careerid=crnpcd4rv8jh1,crnpcd4rv8jh1,"QB, FS",Melbourne Central Catholic,FL,3111,3111,259.2,212,303,0.7,44,2,140,12,2014,receiving
159,Ryan,Kelley,Ryan Kelley,/az/chandler/basha-bears/athletes/ryan-kelley/football/stats/?careerid=enqhb4lp0s2n7,enqhb4lp0s2n7,QB,Basha,AZ,3108,3108,259.0,254,396,0.641,30,16,97,12,2014,receiving
160,Nazareth,Greer,Nazareth Greer,/az/tempe/marcos-de-niza-padres/athletes/nazareth-greer/football/stats/?careerid=ib4qmmrp52q11,ib4qmmrp52q11,"QB, DB",Marcos de Niza,AZ,3103,3103,258.6,183,347,0.527,39,9,110,12,2014,receiving
161,Harley,Kirsch,Harley Kirsch,/wa/sammamish/eastside-catholic-crusaders/athletes/harley-kirsch/football/stats/?careerid=8cti10v1qlmqa,8cti10v1qlmqa,QB,Eastside Catholic,WA,3100,3100,221.4,218,307,0.71,38,10,129,14,2014,receiving
162,Cam,Roane,Cam Roane,/tx/grapevine/grapevine-faith-christian-lions/athletes/cam-roane/football/stats/?careerid=p2ga95v9hr1sc,p2ga95v9hr1sc,"QB, CB",Grapevine Faith Christian,TX,3097,3097,258.1,197,293,0.672,32,6,130,12,2014,receiving
163,Juwan,Adams,Juwan Adams,/ms/summit/north-pike-jaguars/athletes/juwan-adams/football/stats/?careerid=j90n5e8ipvgtd,j90n5e8ipvgtd,"QB, WR",North Pike,MS,3081,3081,256.8,152,239,0.636,27,10,127,12,2014,receiving
164,Joseph,Mancuso,Joseph Mancuso,/ga/blairsville/union-county-panthers/athletes/joseph-mancuso/football/stats/?careerid=buuls802nt8vf,buuls802nt8vf,QB,Union County,GA,3078,3078,279.8,183,297,0.616,34,3,131,11,2014,receiving
165,Tate,Fant,Tate Fant,/sc/irmo/dutch-fork-silver-foxes/athletes/tate-fant/football/stats/?careerid=4dn95d7pg3ecc,4dn95d7pg3ecc,QB,Dutch Fork,SC,3077,3077,205.1,195,310,0.629,27,7,115,15,2014,receiving
166,Chuck,Norgle,Chuck Norgle,/il/lombard/montini-catholic-broncos/athletes/chuck-norgle/football/stats/?careerid=fb888mj123qdd,fb888mj123qdd,QB,Montini Catholic,IL,3075,3075,219.6,227,352,0.645,26,10,105,14,2014,receiving
167,Carter,Stanley,Carter Stanley,/fl/vero-beach/vero-beach-indians/athletes/carter-stanley/football/stats/?careerid=2a4uecm034j00,2a4uecm034j00,QB,Vero Beach,FL,3070,3070,255.8,220,334,0.659,40,7,126,12,2014,receiving
168,Brycen,Lee,Brycen Lee,/fl/mayo/lafayette-hornets/athletes/brycen-lee/football/stats/?careerid=6evirdol9qecc,6evirdol9qecc,QB,Lafayette,FL,3062,3062,278.4,197,292,0.675,30,10,122,11,2014,receiving
169,Austin,Riley,Austin Riley,/mo/kaiser/osage-indians/athletes/austin-riley/football/stats/?careerid=9lbv9ta24sgk4,9lbv9ta24sgk4,"QB, DB",Osage,MO,3061,3061,235.5,169,314,0.538,33,25,89,13,2014,receiving
170,Jadyn,Kowalski,Jadyn Kowalski,/ne/bellevue/bellevue-west-thunderbirds/athletes/jadyn-kowalski/football/stats/?careerid=p40v5v5dklm22,p40v5v5dklm22,"P, QB",Bellevue West,NE,3059,3059,305.9,197,331,0.595,37,8,117,10,2014,receiving
171,Danny,Zeigler,Danny Zeigler,/il/rochester/rochester-rockets/athletes/danny-zeigler/football/stats/?careerid=pen43vare6c99,pen43vare6c99,QB,Rochester,IL,3057,3057,218.4,212,340,0.624,34,7,116,14,2014,receiving
172,Trevor,Lawrence,Trevor Lawrence,/ga/cartersville/cartersville-hurricanes/athletes/trevor-lawrence/football/stats/?careerid=h4lfg7ghtoci2,h4lfg7ghtoci2,QB,Cartersville,GA,3053,3053,218.1,187,310,0.603,26,7,112,14,2014,receiving
173,Kaylor,Sullivan,Kaylor Sullivan,/ca/fort-bragg/fort-bragg-timberwolves/athletes/kaylor-sullivan/football/stats/?careerid=qrem8but1h6vf,qrem8but1h6vf,"QB, S",Fort Bragg,CA,3038,3038,337.6,219,327,0.67,29,9,115,9,2014,receiving
174,Tanner,Griffin,Tanner Griffin,/ok/bixby/bixby-spartans/athletes/tanner-griffin/football/stats/?careerid=m8c1qkvpaitk4,m8c1qkvpaitk4,"QB, ATH",Bixby,OK,3036,3036,233.5,193,317,0.609,32,11,112,13,2014,receiving
175,Zach,Simons,Zach Simons,/wi/appleton/xavier-hawks/athletes/zach-simons/football/stats/?careerid=c3ndtgd7ki8j3,c3ndtgd7ki8j3,"QB, SS",Xavier,WI,3034,3034,275.8,216,330,0.655,31,10,114,11,2014,receiving
176,Anthony,Digioia,Anthony Digioia,/nc/davidson/davidson-day-patriots/athletes/anthony-digioia/football/stats/?careerid=p9488tgbve0ff,p9488tgbve0ff,QB,Davidson Day,NC,3026,3026,275.1,206,310,0.665,33,12,117,11,2014,receiving
177,Darius,Gordan,Darius Gordan,/oh/lima/lima-senior-spartans/athletes/darius-gordan/football/stats/?careerid=2tltolenr2sp9,2tltolenr2sp9,QB,Lima Senior,OH,3026,3026,302.6,159,276,0.576,37,6,126,10,2014,receiving
178,Matt,Albright,Matt Albright,/ca/nipomo/nipomo-titans/athletes/matt-albright/football/stats/?careerid=ta7f3j6f7rgaa,ta7f3j6f7rgaa,QB,Nipomo,CA,3024,3024,216.0,217,340,0.638,33,11,111,14,2014,receiving
179,Nick,Tisdell,Nick Tisdell,/tx/paris/chisum-mustangs/athletes/nick-tisdell/football/stats/?careerid=totr4bfbpn6ff,totr4bfbpn6ff,"QB, S",Chisum,TX,3023,3023,302.3,211,364,0.58,29,8,102,10,2014,receiving
180,Marcus,Howard,Marcus Howard,/ca/vacaville/wood-wildcats/athletes/marcus-howard/football/stats/?careerid=jm1dmfg28tjee,jm1dmfg28tjee,"QB, DB",Wood,CA,3020,3020,251.7,216,340,0.635,24,8,106,12,2014,receiving
181,Nick,Duncan,Nick Duncan,/nj/lawrenceville/lawrenceville-school-big-red/athletes/nick-duncan/football/stats/?careerid=88d8iglbi6tsc,88d8iglbi6tsc,QB,Lawrenceville School,NJ,3015,3015,335.0,190,292,0.651,30,10,119,9,2014,receiving
182,Gavin,Pruett,Gavin Pruett,/ca/mission-viejo/capistrano-valley-cougars/athletes/gavin-pruett/football/stats/?careerid=48vulrlb3rkm6,48vulrlb3rkm6,QB,Capistrano Valley,CA,3009,3009,231.5,270,437,0.618,26,10,93,13,2014,receiving
183,Timorrius,Conner,Timorrius Conner,/ms/macon/noxubee-county-tigers/athletes/timorrius-conner/football/stats/?careerid=m8dd3ktf4ivtd,m8dd3ktf4ivtd,QB,Noxubee County,MS,3009,3009,188.1,170,295,0.576,35,9,119,16,2014,receiving
184,Mike,Schmidt,Mike Schmidt,/nc/hendersonville/hendersonville-bearcats/athletes/mike-schmidt/football/stats/?careerid=2pjhmmbmfpe88,2pjhmmbmfpe88,"QB, WR",Hendersonville,NC,3004,3004,273.1,151,271,0.557,30,8,119,11,2014,receiving
185,Owen,Burke,Owen Burke,/co/denver/develyn-jaguars/athletes/owen-burke/football/stats/?careerid=f9o6di320g555,f9o6di320g555,"QB, DB",D'Evelyn,CO,3003,3003,300.3,184,313,0.588,25,11,103,10,2014,receiving
186,Ryan,Willis,Ryan Willis,/ks/shawnee-mission/bishop-miege-stags/athletes/ryan-willis/football/stats/?careerid=d5k5rjfn3kcue,d5k5rjfn3kcue,QB,Bishop Miege,KS,3003,3003,231.0,179,283,0.633,35,8,127,13,2014,receiving
187,Bryce,Perkins,Bryce Perkins,/az/chandler/chandler-wolves/athletes/bryce-perkins/football/stats/?careerid=71br3j6j007n7,71br3j6j007n7,QB,Chandler,AZ,3001,3001,214.4,188,252,0.746,46,6,144,14,2014,receiving
188,Ty,Kiafoulis,Ty Kiafoulis,/mi/bloomfield-hills/brother-rice-warriors/athletes/ty-kiafoulis/football/stats/?careerid=irb18ng2d4jrb,irb18ng2d4jrb,QB,Brother Rice,MI,2998,2998,249.8,211,325,0.649,38,5,127,12,2014,receiving
189,Braxton,Sampley,Braxton Sampley,/ar/lamar/lamar-warriors/athletes/braxton-sampley/football/stats/?careerid=kibm60cnjfi55,kibm60cnjfi55,QB,Lamar,AR,2994,2994,249.5,169,291,0.581,29,8,115,12,2014,receiving
190,Danzel,Rivers,Danzel Rivers,/sc/chesterfield/chesterfield-golden-rams/athletes/danzel-rivers/football/stats/?careerid=lavq4jqcg93cc,lavq4jqcg93cc,QB,Chesterfield,SC,2993,2993,272.1,190,320,0.594,31,17,101,11,2014,receiving
191,Cannon,Thompson,Cannon Thompson,/fl/lake-mary/lake-mary-rams/athletes/cannon-thompson/football/stats/?careerid=quj43hvg0dmbb,quj43hvg0dmbb,QB,Lake Mary,FL,2990,2990,230.0,167,290,0.576,35,7,123,13,2014,receiving
192,Sam,Darnold,Sam Darnold,/ca/san-clemente/san-clemente-tritons/athletes/sam-darnold/football/stats/?careerid=3jm7vvhp3f844,3jm7vvhp3f844,"QB, OLB",San Clemente,CA,2985,2985,213.2,213,314,0.678,39,8,127,14,2014,receiving
193,Timmy,Herrin,Timmy Herrin,/in/terre-haute/terre-haute-south-vigo-braves/athletes/timmy-herrin/football/stats/?careerid=46i6ubc4hosg0,46i6ubc4hosg0,"QB, DB",Terre Haute South Vigo,IN,2985,2985,248.8,177,292,0.606,21,12,102,12,2014,receiving
194,Bowman,Sells,Bowman Sells,/tx/lucas/lovejoy-leopards/athletes/bowman-sells/football/stats/?careerid=2iqrqmdh5j0cc,2iqrqmdh5j0cc,QB,Lovejoy,TX,2980,2980,270.9,177,287,0.617,35,11,120,11,2014,receiving
195,Case,Robinson,Case Robinson,/tx/crockett/crockett-bulldogs/athletes/case-robinson/football/stats/?careerid=33h1ok4aunqcc,33h1ok4aunqcc,QB,Crockett,TX,2975,2975,228.8,165,299,0.552,34,9,115,13,2014,receiving
196,Case,Robinson,Case Robinson,/tx/crockett/crockett-bulldogs/athletes/case-robinson/football/stats/?careerid=33h1ok4aunqcc,33h1ok4aunqcc,QB,Crockett,TX,2975,2975,228.8,165,299,0.552,34,9,115,13,2014,receiving
197,Nick,Jones,Nick Jones,/sc/florence/south-florence-bruins/athletes/nick-jones/football/stats/?careerid=lg93hssjcs4rb,lg93hssjcs4rb,QB,South Florence,SC,2974,2974,212.4,221,385,0.574,34,8,103,14,2014,receiving
198,Avery,Mccall,Avery Mccall,/sc/dillon/dillon-wildcats/athletes/avery-mccall/football/stats/?careerid=coch6cr0cq1i2,coch6cr0cq1i2,QB,Dillon,SC,2968,2968,212.0,169,240,0.704,36,2,148,14,2014,receiving
199,Steven,Montez,Steven Montez,/tx/el-paso/del-valle-conquistadores/athletes/steven-montez/football/stats/?careerid=fufbt4c0gir44,fufbt4c0gir44,QB,Del Valle,TX,2967,2967,228.2,233,359,0.649,46,3,127,13,2014,receiving
200,Tre,Jordan,Tre Jordan,/pa/bangor/pius-x-royals/athletes/tre-jordan/football/stats/?careerid=7k7r6jbk0kg00,7k7r6jbk0kg00,"QB, DB",Pius X,PA,2963,2963,211.6,197,293,0.672,35,4,134,14,2014,receiving
201,Alex,Cavender,Alex Cavender,/fl/cocoa/space-coast-vipers/athletes/alex-cavender/football/stats/?careerid=2s8pnceujkg33,2s8pnceujkg33,"QB, WR",Space Coast,FL,2958,2958,268.9,191,341,0.56,34,11,105,11,2014,receiving
202,Sadrick,Kirklin,Sadrick Kirklin,/la/alexandria/peabody-warhorses/athletes/sadrick-kirklin/football/stats/?careerid=e1jqb1s86qlg0,e1jqb1s86qlg0,"QB, OLB",Peabody,LA,2958,2958,268.9,164,321,0.511,32,5,110,11,2014,receiving
