sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,yds,yds_g,comp,att,pct,td,int,rate,games_played,year,category
1,Jaxson,Dart,Jaxson Dart,/ut/draper/corner-canyon-chargers/athletes/jaxson-dart/football/stats/?careerid=i1bj42503b566,i1bj42503b566,QB,Corner Canyon,UT,4691,4691,335.1,240,345,0.696,67,4,147,14,2020,sacks
2,Sawyer,Robertson,Sawyer Robertson,/tx/lubbock/coronado-mustangs/athletes/sawyer-robertson/football/stats/?careerid=pjsir6qvqnl66,pjsir6qvqnl66,QB,Coronado,TX,4509,4509,375.8,297,457,0.65,58,7,131,12,2020,sacks
3,Kolt,Schuckers,Kolt Schuckers,/tx/lindsay/lindsay-knights/athletes/kolt-schuckers/football/stats/?careerid=s3uvv5c8f2f00,s3uvv5c8f2f00,QB,Lindsay,TX,4212,4212,351.0,258,367,0.703,54,8,139,12,2020,sacks
4,Ej,Lopez,Ej Lopez,/tx/andrews/andrews-mustangs/athletes/ej-lopez/football/stats/?careerid=peugr3672s0i2,peugr3672s0i2,QB,Andrews,TX,4174,4174,347.8,278,484,0.574,46,20,100,12,2020,sacks
5,Brock,Vandagriff,Brock Vandagriff,/ga/athens/prince-avenue-christian-wolverines/athletes/brock-vandagriff/football/stats/?careerid=7i39li4s49t44,7i39li4s49t44,QB,Prince Avenue Christian,GA,4169,4169,297.8,252,356,0.708,46,7,141,14,2020,sacks
6,Andrew,Body,Andrew Body,/tx/taft/taft-greyhounds/athletes/andrew-body/football/stats/?careerid=ffkafv7vjf7dd,ffkafv7vjf7dd,,Miller,TX,4145,4145,318.8,245,399,0.614,47,10,125,13,2020,sacks
7,Brayden,Bunnell,Brayden Bunnell,/ut/st-george/pine-view-panthers/athletes/brayden-bunnell/football/stats/?careerid=df997hnvaqup9,df997hnvaqup9,QB,Pine View,UT,4051,4051,289.4,266,427,0.623,43,16,111,14,2020,sacks
8,Maddog,Madsen,Maddog Madsen,/ut/american-fork/american-fork-cavemen/athletes/maddog-madsen/football/stats/?careerid=ejao6om2opf11,ejao6om2opf11,QB,American Fork,UT,4044,4044,337.0,291,502,0.58,48,11,107,12,2020,sacks
9,Bryce,Drummond,Bryce Drummond,/ok/pawhuska/pawhuska-huskies/athletes/bryce-drummond/football/stats/?careerid=fkjf4a4icnj11,fkjf4a4icnj11,"QB, MLB",Pawhuska,OK,4015,4015,308.8,256,353,0.725,59,6,142,13,2020,sacks
10,James,Arnold,James Arnold,/in/berne/south-adams-starfires/athletes/james-arnold/football/stats/?careerid=tthstnvm04up9,tthstnvm04up9,QB,South Adams,IN,3968,3968,283.4,210,313,0.671,47,8,139,14,2020,sacks
