sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,yds,yds_g,comp,att,pct,td,int,rate,games_played,year,category
252,Davis,Mills,Davis Mills,/ga/norcross/greater-atlanta-christian-spartans/athletes/davis-mills/football/stats/?careerid=l8pgedei7mo88,l8pgedei7mo88,QB,Greater Atlanta Christian,GA,2821,2821,201.5,169,282,0.599,25,7,113,14,2015,sacks
253,Matt,Moorman,Matt Moorman,/in/oldenburg/oldenburg-academy-twisters/athletes/matt-moorman/football/stats/?careerid=9v5l3jk77j2ue,9v5l3jk77j2ue,"QB, DB",Oldenburg Academy,IN,2819,2819,256.3,170,311,0.547,32,18,96,11,2015,sacks
254,Trey,Powell,Trey Powell,/in/sullivan/sullivan-golden-arrows/athletes/trey-powell/football/stats/?careerid=8okfg2qfft788,8okfg2qfft788,"QB, CB",Sullivan,IN,2817,2817,256.1,216,323,0.669,35,3,126,11,2015,sacks
255,Jack,Graham,Jack Graham,/ca/long-beach/st-anthony-saints/athletes/jack-graham/football/stats/?careerid=u6rqb71ak0atd,u6rqb71ak0atd,QB,St. Anthony,CA,2814,2814,255.8,194,320,0.606,29,20,93,11,2015,sacks
256,Jake,Sturgill,Jake Sturgill,/va/abingdon/abingdon-falcons/athletes/jake-sturgill/football/stats/?careerid=7584eqcheqq22,7584eqcheqq22,QB,Abingdon,VA,2806,2806,255.1,190,285,0.667,37,8,127,11,2015,sacks
257,Dylan,Mccaffrey,Dylan Mccaffrey,/co/highlands-ranch/valor-christian-eagles/athletes/dylan-mccaffrey/football/stats/?careerid=5v2sp1hjjo088,5v2sp1hjjo088,QB,Valor Christian,CO,2800,2800,200.0,207,320,0.647,27,4,115,14,2015,sacks
258,Allen,Camren,Allen Camren,/tx/houston/sharpstown-apollos/athletes/allen-camren/football/stats/?careerid=4s2t2j3advqk4,4s2t2j3advqk4,QB,Sharpstown,TX,2799,2799,254.5,210,335,0.627,36,5,119,11,2015,sacks
259,Jay,Parker,Jay Parker,/nc/stem/granville-central-panthers/athletes/jay-parker/football/stats/?careerid=rau1kamkrgmtd,rau1kamkrgmtd,QB,Granville Central,NC,2791,2791,214.7,207,359,0.577,33,11,100,13,2015,sacks
260,Austin,Griffin,Austin Griffin,/ca/ridgecrest/burroughs-burros/athletes/austin-griffin/football/stats/?careerid=h4gctef5bne55,h4gctef5bne55,QB,Burroughs,CA,2789,2789,232.4,199,353,0.564,21,7,94,12,2015,sacks
261,Adrian,Miller,Adrian Miller,/ms/foxworth/west-marion-trojans/athletes/adrian-miller/football/stats/?careerid=429cduonfql99,429cduonfql99,"QB, FS",West Marion,MS,2789,2789,185.9,190,303,0.627,27,12,106,15,2015,sacks
262,Connor,Richardson,Connor Richardson,/nv/fallon/churchill-county-greenwave/athletes/connor-richardson/football/stats/?careerid=bu0rsp8701e33,bu0rsp8701e33,QB,Churchill County,NV,2788,2788,214.5,203,298,0.681,34,9,123,13,2015,sacks
263,Noah,Evans,Noah Evans,/ar/north-little-rock/central-arkansas-christian-mustangs/athletes/noah-evans/football/stats/?careerid=7t48rp8n6cp11,7t48rp8n6cp11,QB,Central Arkansas Christian,AR,2788,2788,214.5,197,355,0.555,25,11,92,13,2015,sacks
264,Maxwell,Meylor,Maxwell Meylor,/wi/mount-horeb/mount-horeb-barneveld-vikings/athletes/maxwell-meylor/football/stats/?careerid=tlctprt3eg5k4,tlctprt3eg5k4,QB,Mount Horeb/Barneveld,WI,2787,2787,232.2,217,348,0.624,19,9,95,12,2015,sacks
265,Michael,Massarella,Michael Massarella,/tx/houston/northland-christian-cougars/athletes/michael-massarella/football/stats/?careerid=hp4a83rlhqedd,hp4a83rlhqedd,QB,Northland Christian,TX,2787,2787,214.4,213,376,0.566,34,12,97,13,2015,sacks
