sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,yds,yds_g,comp,att,pct,td,int,rate,games_played,year,category
333,Blake,Culbert,Blake Culbert,/ca/garden-grove/rancho-alamitos-vaqueros/athletes/blake-culbert/football/stats/?careerid=khgbrvbtid0sc,khgbrvbtid0sc,QB,Rancho Alamitos,CA,2690,2690,244.5,209,350,0.597,27,14,93,11,2015,sacks
334,Jacob,Howard,Jacob Howard,/ar/little-rock/episcopal-wildcats/athletes/jacob-howard/football/stats/?careerid=onq5kqqqoabi2,onq5kqqqoabi2,QB,Episcopal,AR,2685,2685,244.1,142,234,0.607,32,12,119,11,2015,sacks
335,Michael,Shuster,Michael Shuster,/pa/camp-hill/camp-hill-lions/athletes/michael-shuster/football/stats/?careerid=8i4mc60vmuik4,8i4mc60vmuik4,"QB, FS",Camp Hill,PA,2683,2683,206.4,171,284,0.602,33,13,111,13,2015,sacks
336,Drew,Inness,Drew Inness,/az/phoenix/northwest-christian-crusaders/athletes/drew-inness/football/stats/?careerid=3sisjnrftse22,3sisjnrftse22,"QB, DB",Northwest Christian,AZ,2683,2683,191.6,148,253,0.585,39,12,115,14,2015,sacks
337,Noah,Smith,Noah Smith,/nc/kernersville/east-forsyth-eagles/athletes/noah-smith/football/stats/?careerid=an5kqbvpuonue,an5kqbvpuonue,QB,East Forsyth,NC,2682,2682,178.8,191,301,0.635,29,7,115,15,2015,sacks
338,Michael,Mcfarlane,Michael Mcfarlane,/fl/orlando/lake-nona-lions/athletes/michael-mcfarlane/football/stats/?careerid=7ao4kkql1pg44,7ao4kkql1pg44,QB,Lake Nona,FL,2681,2681,268.1,238,398,0.598,20,13,83,10,2015,sacks
339,Mack,Green,Mack Green,/ga/atlanta/hapeville-charter-hornets/athletes/mack-green/football/stats/?careerid=94pel4j8niprb,94pel4j8niprb,"QB, CB",Hapeville Charter,GA,2681,2681,268.1,143,231,0.619,27,11,121,10,2015,sacks
340,Chris,Lubinsky,Chris Lubinsky,/ca/ceres/ceres-bulldogs/athletes/chris-lubinsky/football/stats/?careerid=g10ju4lja7ai2,g10ju4lja7ai2,"QB, DB",Ceres,CA,2677,2677,267.7,206,316,0.652,26,8,109,10,2015,sacks
341,Marco,Campos,Marco Campos,/tx/kennedale/fellowship-academy-mustangs/athletes/marco-campos/football/stats/?careerid=2m6154nidbuaa,2m6154nidbuaa,"QB, CB",Fellowship Academy,TX,2677,2677,267.7,187,322,0.581,25,19,86,10,2015,sacks
342,Tanner,Nguyen,Tanner Nguyen,/tx/round-rock/cedar-ridge-raiders/athletes/tanner-nguyen/football/stats/?careerid=l9h1tjjpopu44,l9h1tjjpopu44,QB,Aragon,CA,2677,2677,243.4,183,308,0.594,17,4,101,11,2015,sacks
343,Adam,Wojenski,Adam Wojenski,/ct/stratford/bunnell-bulldogs/athletes/adam-wojenski/football/stats/?careerid=btq5pne0dj9cc,btq5pne0dj9cc,QB,Bunnell,CT,2676,2676,267.6,167,328,0.509,27,8,96,10,2015,sacks
344,Kyle,Hooper,Kyle Hooper,/nm/alamogordo/alamogordo-tigers/athletes/kyle-hooper/football/stats/?careerid=ebs3i61ts7988,ebs3i61ts7988,QB,Alamogordo,NM,2674,2674,267.4,188,298,0.631,22,6,108,10,2015,sacks
345,Cade,Henjum,Cade Henjum,/ca/san-juan-capistrano/saddleback-valley-christian-warriors/athletes/cade-henjum/football/stats/?careerid=bd2bgc7k4g5h1,bd2bgc7k4g5h1,QB,Saddleback Valley Christian,CA,2672,2672,178.1,145,254,0.571,38,7,122,15,2015,sacks
346,Casey,Thompson,Casey Thompson,/ok/moore/southmoore-sabercats/athletes/casey-thompson/football/stats/?careerid=2298kahjkgmue,2298kahjkgmue,QB,Southmoore,OK,2670,2670,242.7,167,271,0.616,32,4,128,11,2015,sacks
347,Pate,Broussard,Pate Broussard,/la/crowley/crowley-gent/athletes/pate-broussard/football/stats/?careerid=vqqn0i1ejf600,vqqn0i1ejf600,QB,Crowley,LA,2670,2670,222.5,140,230,0.609,21,1,130,12,2015,sacks
348,Edward,Dominguez ii (ed2),Edward Dominguez ii (ed2),/ca/el-monte/el-monte-lions/athletes/edward-dominguez-ii-ed2-/football/stats/?careerid=8fr04n85cdvk4,8fr04n85cdvk4,"QB, P",El Monte,CA,2669,2669,242.6,190,306,0.621,20,11,97,11,2015,sacks
349,Braxton,Kerr,Braxton Kerr,/ut/sandy/alta-hawks/athletes/braxton-kerr/football/stats/?careerid=o32bh91g76666,o32bh91g76666,"QB, FS",Alta,UT,2669,2669,222.4,171,295,0.58,25,15,95,12,2015,sacks
350,Casen,Conway,Casen Conway,/ga/roswell/centennial-knights/athletes/casen-conway/football/stats/?careerid=a8il8hogpkf77,a8il8hogpkf77,QB,Centennial,GA,2669,2669,266.9,165,242,0.682,18,7,118,10,2015,sacks
351,Christian,Files,Christian Files,/tx/mckinney/mckinney-north-bulldogs/athletes/christian-files/football/stats/?careerid=bkqrhrv5a3kj3,bkqrhrv5a3kj3,QB,McKinney North,TX,2668,2668,266.8,183,292,0.627,24,6,111,10,2015,sacks
352,Tom,Walsh,Tom Walsh,/ny/melville/st-anthonys-friars/athletes/tom-walsh/football/stats/?careerid=u05eodb2nh0rb,u05eodb2nh0rb,QB,St. Anthony's,NY,2667,2667,266.7,193,307,0.629,20,8,102,10,2015,sacks
353,Jaran,Richman,Jaran Richman,/mo/hamilton/penney-hornets/athletes/jaran-richman/football/stats/?careerid=hnqprrd7jp9ee,hnqprrd7jp9ee,"QB, CB",Penney,MO,2666,2666,177.7,145,232,0.625,29,7,129,15,2015,sacks
354,Leon,Zeigler,Leon Zeigler,/nc/rockingham/richmond-senior-raiders/athletes/leon-zeigler/football/stats/?careerid=0t7c6c1iua6l5,0t7c6c1iua6l5,"QB, WR",Richmond Senior,NC,2665,2665,190.4,171,290,0.59,35,12,112,14,2015,sacks
355,Mason,Tobola,Mason Tobola,/tx/west/west-trojans/athletes/mason-tobola/football/stats/?careerid=2ftaq7fqtorcc,2ftaq7fqtorcc,"QB, FS",West,TX,2665,2665,266.5,159,235,0.677,28,3,140,10,2015,sacks
356,Hayden,Cooper,Hayden Cooper,/tx/austin/mcneil-mavericks/athletes/hayden-cooper/football/stats/?careerid=v1g01u1s8f6l5,v1g01u1s8f6l5,QB,McNeil,TX,2659,2659,265.9,164,289,0.567,23,7,104,10,2015,sacks
357,Grant,Bunker,Grant Bunker,/ca/westlake-village/westlake-warriors/athletes/grant-bunker/football/stats/?careerid=4ud1dvbqtlkg0,4ud1dvbqtlkg0,QB,Westlake,CA,2658,2658,241.6,183,319,0.574,24,12,94,11,2015,sacks
358,Stevie,Curran,Stevie Curran,/md/worton/kent-county-trojans/athletes/stevie-curran/football/stats/?careerid=se39h4gm2apm6,se39h4gm2apm6,"QB, FS",Kent County,MD,2658,2658,241.6,127,221,0.575,36,10,121,11,2015,sacks
359,Sam,Hartman,Sam Hartman,/nc/davidson/davidson-day-patriots/athletes/sam-hartman/football/stats/?careerid=od9t6jo3e9iee,od9t6jo3e9iee,QB,Davidson Day,NC,2655,2655,265.5,168,260,0.646,24,4,123,10,2015,sacks
360,Kurtis,Wilderman,Kurtis Wilderman,/in/evansville/evansville-mater-dei-wildcats/athletes/kurtis-wilderman/football/stats/?careerid=id8asd8mlhmk4,id8asd8mlhmk4,"QB, DB",Evansville Mater Dei,IN,2655,2655,221.2,142,234,0.607,24,4,127,12,2015,sacks
361,Grant,Short,Grant Short,/ms/senatobia/magnolia-heights-chiefs/athletes/grant-short/football/stats/?careerid=64ns3l8up7v22,64ns3l8up7v22,"DT, G",Lake Cormorant,MS,2653,2653,204.1,174,307,0.567,27,8,104,13,2015,sacks
362,Sean,Duffy,Sean Duffy,/ak/anchorage/west-anchorage-eagles/athletes/sean-duffy/football/stats/?careerid=cgv82m7v18077,cgv82m7v18077,"QB, P",West Anchorage,AK,2652,2652,241.1,155,291,0.533,23,6,102,11,2015,sacks
363,Jack,Diamond,Jack Diamond,/ok/shawnee/shawnee-wolves/athletes/jack-diamond/football/stats/?careerid=lrivdgkqi9lvf,lrivdgkqi9lvf,QB,Shawnee,OK,2650,2650,294.4,162,292,0.555,28,7,108,9,2015,sacks
364,Joey,Burrola,Joey Burrola,/ca/redlands/redlands-terriers/athletes/joey-burrola/football/stats/?careerid=n5tkfccedlp00,n5tkfccedlp00,QB,Redlands,CA,2643,2643,220.2,185,285,0.649,37,3,130,12,2015,sacks
365,Dustin,Crum,Dustin Crum,/oh/grafton/midview-middies/athletes/dustin-crum/football/stats/?careerid=d4c23sa30n9sc,d4c23sa30n9sc,"QB, FS",Midview,OH,2642,2642,264.2,174,241,0.722,32,6,137,10,2015,sacks
366,Alex,Peters,Alex Peters,/az/scottsdale/horizon-huskies/athletes/alex-peters/football/stats/?careerid=5b2nv081msqff,5b2nv081msqff,QB,Horizon,AZ,2640,2640,264.0,195,339,0.575,19,12,86,10,2015,sacks
367,Trey,Wilson,Trey Wilson,/oh/bellefontaine/benjamin-logan-raiders/athletes/trey-wilson/football/stats/?careerid=c8ei6t4mb1t99,c8ei6t4mb1t99,"QB, FS",Benjamin Logan,OH,2640,2640,293.3,148,257,0.576,37,16,107,9,2015,sacks
368,Jemoine,Green,Jemoine Green,/la/edgard/west-st-john-rams/athletes/jemoine-green/football/stats/?careerid=gukij8tu06qff,gukij8tu06qff,"QB, WR",West St. John,LA,2637,2637,239.7,175,309,0.566,29,11,101,11,2015,sacks
369,Devonte,Rountree,Devonte Rountree,/nc/elizabeth-city/northeastern-eagles/athletes/devonte-rountree/football/stats/?careerid=qaprdt1a9sqk4,qaprdt1a9sqk4,"QB, DB",Northeastern,NC,2636,2636,188.3,157,248,0.633,23,10,113,14,2015,sacks
370,Darion,Spottsville,Darion Spottsville,/az/phoenix/shadow-mountain-matadors/athletes/darion-spottsville/football/stats/?careerid=g6jqolrikv611,g6jqolrikv611,"QB, FS",Shadow Mountain,AZ,2636,2636,263.6,151,279,0.541,31,9,110,10,2015,sacks
371,Jasen,Rose,Jasen Rose,/ct/southington/southington-blue-knights/athletes/jasen-rose/football/stats/?careerid=p4no0nv088uue,p4no0nv088uue,QB,Southington,CT,2636,2636,219.7,140,235,0.596,39,6,127,12,2015,sacks
372,Isaiah,Green,Isaiah Green,/ga/fairburn/langston-hughes-panthers/athletes/isaiah-green/football/stats/?careerid=ndp43hqh7cai2,ndp43hqh7cai2,QB,Langston Hughes,GA,2634,2634,239.5,187,323,0.579,17,9,90,11,2015,sacks
373,Trevor,Petersen,Trevor Petersen,/ne/lincoln/lincoln-northeast-rockets/athletes/trevor-petersen/football/stats/?careerid=td9o9c5p4t8m6,td9o9c5p4t8m6,QB,Lincoln Northeast,NE,2631,2631,263.1,208,357,0.583,21,12,87,10,2015,sacks
374,Austin,Kendall,Austin Kendall,/nc/waxhaw/cuthbertson-cavaliers/athletes/austin-kendall/football/stats/?careerid=junapftcaleff,junapftcaleff,QB,Cuthbertson,NC,2627,2627,218.9,182,285,0.639,23,12,103,12,2015,sacks
375,William,Bellamy,William Bellamy,/la/lafayette/st-thomas-more-cougars/athletes/william-bellamy/football/stats/?careerid=51gojebeooddd,51gojebeooddd,QB,St. Thomas More,LA,2624,2624,201.8,171,287,0.596,35,9,116,13,2015,sacks
376,Hunter,Horsley,Hunter Horsley,/ut/logan/logan-grizzlies/athletes/hunter-horsley/football/stats/?careerid=asof5ci758drb,asof5ci758drb,"RB, QB",Logan,UT,2618,2618,201.4,200,389,0.514,30,9,89,13,2015,sacks
377,Mitchell,Jennings,Mitchell Jennings,/tx/burkburnett/burkburnett-bulldogs/athletes/mitchell-jennings/football/stats/?careerid=32kmodc4rp2sc,32kmodc4rp2sc,QB,Burkburnett,TX,2617,2617,237.9,193,304,0.635,28,12,105,11,2015,sacks
378,Christian,Young,Christian Young,/ca/pittsburg/pittsburg-pirates/athletes/christian-young/football/stats/?careerid=pihmkjsebb0p9,pihmkjsebb0p9,QB,Pittsburg,CA,2617,2617,201.3,192,335,0.573,24,14,89,13,2015,sacks
379,Darren,Burns,Darren Burns,/nc/kings-mountain/kings-mountain-mountaineers/athletes/darren-burns/football/stats/?careerid=9l2h6cja118td,9l2h6cja118td,QB,Kings Mountain,NC,2614,2614,174.3,162,298,0.544,22,13,90,15,2015,sacks
380,Guy,Myers,Guy Myers,/va/woodbridge/forest-park-bruins/athletes/guy-myers/football/stats/?careerid=msn1brq6lg877,msn1brq6lg877,QB,Forest Park,VA,2614,2614,261.4,154,278,0.554,21,17,87,10,2015,sacks
381,Thomas,Merkle,Thomas Merkle,/pa/york/york-suburban-trojans/athletes/thomas-merkle/football/stats/?careerid=3pnedo2du9am6,3pnedo2du9am6,QB,York Suburban,PA,2613,2613,237.5,186,287,0.648,26,8,113,11,2015,sacks
382,Stone,Smartt,Stone Smartt,/ca/loomis/del-oro-golden-eagles/athletes/stone-smartt/football/stats/?careerid=l1mrgd6hassj3,l1mrgd6hassj3,QB,Del Oro,CA,2610,2610,163.1,185,313,0.591,17,15,84,16,2015,sacks
383,Dane,Ledford,Dane Ledford,/tx/argyle/argyle-eagles/athletes/dane-ledford/football/stats/?careerid=6mg3qn6qltt66,6mg3qn6qltt66,QB,Argyle,TX,2608,2608,163.0,199,283,0.703,20,7,112,16,2015,sacks
384,Tate,Martell,Tate Martell,/nv/las-vegas/bishop-gorman-gaels/athletes/tate-martell/football/stats/?careerid=bp00buspps977,bp00buspps977,QB,Bishop Gorman,NV,2608,2608,173.9,133,237,0.561,32,6,124,15,2015,sacks
385,Ryan,Kelley,Ryan Kelley,/az/chandler/basha-bears/athletes/ryan-kelley/football/stats/?careerid=enqhb4lp0s2n7,enqhb4lp0s2n7,QB,Basha,AZ,2606,2606,260.6,228,361,0.632,20,7,95,10,2015,sacks
386,Devin,Leary,Devin Leary,/nj/erial/timber-creek-regional-chargers/athletes/devin-leary/football/stats/?careerid=ou9edp10eg577,ou9edp10eg577,"QB, FS",Timber Creek Regional,NJ,2605,2605,217.1,181,284,0.637,23,8,109,12,2015,sacks
387,Adam,Romano,Adam Romano,/ri/providence/moses-brown-quakers/athletes/adam-romano/football/stats/?careerid=ghkvmebgpqtsc,ghkvmebgpqtsc,QB,Moses Brown,RI,2591,2591,199.3,156,264,0.591,27,5,118,13,2015,sacks
388,Darius,Hulsey,Darius Hulsey,/ca/thermal/coachella-valley-mighty-arabs/athletes/darius-hulsey/football/stats/?careerid=ihtt17ehp5qk4,ihtt17ehp5qk4,"QB, LB",Coachella Valley,CA,2588,2588,235.3,232,423,0.548,17,8,79,11,2015,sacks
389,Alex,Ramart,Alex Ramart,/tx/richmond/foster-falcons/athletes/alex-ramart/football/stats/?careerid=l92tcp25fjatd,l92tcp25fjatd,QB,Foster,TX,2587,2587,199.0,181,320,0.566,32,12,101,13,2015,sacks
390,Collin,Sneed,Collin Sneed,/sc/simpsonville/hillcrest-rams/athletes/collin-sneed/football/stats/?careerid=5g0bgg4df9vm6,5g0bgg4df9vm6,QB,Hillcrest,SC,2585,2585,198.8,184,305,0.603,23,7,103,13,2015,sacks
391,Jake,Dunniway,Jake Dunniway,/ca/stockton/st-marys-rams/athletes/jake-dunniway/football/stats/?careerid=kvujtcitiahff,kvujtcitiahff,QB,St. Mary's,CA,2584,2584,215.3,135,208,0.649,26,4,140,12,2015,sacks
392,Joseph,Sweeney,Joseph Sweeney,/ca/oakley/freedom-falcons/athletes/joseph-sweeney/football/stats/?careerid=b9oktrkg1cdvf,b9oktrkg1cdvf,QB,Freedom,CA,2582,2582,215.2,170,280,0.607,25,11,104,12,2015,sacks
393,Mason,Holmes,Mason Holmes,/tx/southlake/southlake-carroll-dragons/athletes/mason-holmes/football/stats/?careerid=eie21c817oj66,eie21c817oj66,QB,Southlake Carroll,TX,2581,2581,234.6,197,288,0.684,38,5,129,11,2015,sacks
394,Damian,Garcia,Damian Garcia,/ca/la-puente/bishop-amat-lancers/athletes/damian-garcia/football/stats/?careerid=7f406qldc09p9,7f406qldc09p9,QB,Bishop Amat,CA,2581,2581,198.5,171,256,0.668,22,8,115,13,2015,sacks
395,David,Arredondo,David Arredondo,/ca/manhattan-beach/mira-costa-mustangs/athletes/david-arredondo/football/stats/?careerid=j06bec8b98np9,j06bec8b98np9,"QB, K",Mira Costa,CA,2579,2579,198.4,189,354,0.534,26,9,91,13,2015,sacks
396,Billy,Cobb,Billy Cobb,/fl/jacksonville/trinity-christian-academy-conquerors/athletes/billy-cobb/football/stats/?careerid=9qbqlni8jj344,9qbqlni8jj344,QB,Trinity Christian Academy,FL,2579,2579,198.4,140,230,0.609,29,6,128,13,2015,sacks
397,Tim,O'brien,Tim O'brien,/nj/oakland/indian-hills-braves/athletes/tim-obrien/football/stats/?careerid=vf1r534nfvrk4,vf1r534nfvrk4,"QB, FS",Indian Hills,NJ,2578,2578,234.4,172,265,0.649,31,5,128,11,2015,sacks
398,Emmett,Enright,Emmett Enright,/wi/madison/vel-phillips-memorial-spartans/athletes/emmett-enright/football/stats/?careerid=p6d15vujugbi2,p6d15vujugbi2,"QB, FS",Madison Memorial,WI,2576,2576,234.2,159,292,0.545,26,13,95,11,2015,sacks
399,Bryan,Costabile,Bryan Costabile,/md/baltimore/mount-st-joseph-gaels/athletes/bryan-costabile/football/stats/?careerid=makv6nlm87am6,makv6nlm87am6,QB,Mount St. Joseph,MD,2574,2574,234.0,170,302,0.563,24,10,97,11,2015,sacks
400,Lucas,Johnson,Lucas Johnson,/ca/san-diego/mt-carmel-sundevils/athletes/lucas-johnson/football/stats/?careerid=ri2bktcn1jdue,ri2bktcn1jdue,"QB, DB",Mt. Carmel,CA,2571,2571,197.8,177,305,0.58,26,4,109,13,2015,sacks
401,Mario,Bobadilla,Mario Bobadilla,/ca/los-angeles/franklin-panthers/athletes/mario-bobadilla/football/stats/?careerid=907bkfigbcfcc,907bkfigbcfcc,QB,Franklin,CA,2568,2568,256.8,184,299,0.615,27,9,107,10,2015,sacks
402,Kiernen,Hamilton,Kiernen Hamilton,/ga/cumming/west-forsyth-wolverines/athletes/kiernen-hamilton/football/stats/?careerid=7u7uhqauofph1,7u7uhqauofph1,QB,West Forsyth,GA,2566,2566,233.3,160,298,0.537,29,13,97,11,2015,sacks
403,Cammon,Cooper,Cammon Cooper,/ut/lehi/lehi-pioneers/athletes/cammon-cooper/football/stats/?careerid=qk6078umtdqh1,qk6078umtdqh1,QB,Lehi,UT,2563,2563,256.3,231,396,0.583,22,16,79,10,2015,sacks
404,Josh,Thompson,Josh Thompson,/ca/ontario/colony-titans/athletes/josh-thompson/football/stats/?careerid=7ij084q5g8ui2,7ij084q5g8ui2,QB,Colony,CA,2562,2562,213.5,149,209,0.713,25,7,138,12,2015,sacks
405,Philip,Jurkovec,Philip Jurkovec,/pa/gibsonia/pine-richland-rams/athletes/philip-jurkovec/football/stats/?careerid=ie2jfvmtcijee,ie2jfvmtcijee,"QB, LB",Pine-Richland,PA,2560,2560,213.3,176,264,0.667,20,4,117,12,2015,sacks
406,Tyler,White,Tyler White,/in/south-bend/south-bend-washington-panthers/athletes/tyler-white/football/stats/?careerid=485fjgifnen99,485fjgifnen99,QB,South Bend Washington,IN,2559,2559,232.6,129,217,0.594,30,9,123,11,2015,sacks
407,Trey,Teeter,Trey Teeter,/ks/holcomb/holcomb-longhorns/athletes/trey-teeter/football/stats/?careerid=oi6cohl3vo666,oi6cohl3vo666,"QB, DB",Holcomb,KS,2558,2558,196.8,158,233,0.678,35,6,133,13,2015,sacks
408,Daylen,Watts,Daylen Watts,/tn/baxter/upperman-bees/athletes/daylen-watts/football/stats/?careerid=6lvse5u9v0f22,6lvse5u9v0f22,"QB, FS",Upperman,TN,2557,2557,213.1,192,323,0.594,25,7,101,12,2015,sacks
409,Jack,Telenko,Jack Telenko,/ca/los-alamitos/los-alamitos-griffins/athletes/jack-telenko/football/stats/?careerid=pch3mu5k4iql5,pch3mu5k4iql5,QB,Los Alamitos,CA,2555,2555,232.3,166,279,0.595,26,11,104,11,2015,sacks
410,Tyler,Hansen,Tyler Hansen,/ct/new-milford/new-milford-green-wave/athletes/tyler-hansen/football/stats/?careerid=g4sivd064bvh1,g4sivd064bvh1,QB,New Milford,CT,2555,2555,255.5,146,311,0.469,27,15,84,10,2015,sacks
411,Dawit,Wilson,Dawit Wilson,/ca/lake-forest/el-toro-chargers/athletes/dawit-wilson/football/stats/?careerid=g6hjpcg727655,g6hjpcg727655,QB,El Toro,CA,2554,2554,232.2,179,323,0.554,27,9,97,11,2015,sacks
412,Tanner,Smith,Tanner Smith,/ut/american-fork/american-fork-cavemen/athletes/tanner-smith/football/stats/?careerid=tg65ht5hhvhbb,tg65ht5hhvhbb,QB,American Fork,UT,2552,2552,232.0,191,357,0.535,20,12,81,11,2015,sacks
413,John,Bledsoe,John Bledsoe,/or/bend/summit-storm/athletes/john-bledsoe/football/stats/?careerid=fdtmqbvfr0oee,fdtmqbvfr0oee,QB,Summit,OR,2551,2551,212.6,184,278,0.662,31,3,128,12,2015,sacks
414,Bubba,Henson,Bubba Henson,/tx/pecos/pecos-eagles/athletes/bubba-henson/football/stats/?careerid=41s831vnufkn7,41s831vnufkn7,"QB, SS",Pecos,TX,2549,2549,231.7,153,316,0.484,28,17,83,11,2015,sacks
415,Brady,Burse,Brady Burse,/ms/olive-branch/olive-branch-conquistadors/athletes/brady-burse/football/stats/?careerid=162ofl0tigt55,162ofl0tigt55,QB,Olive Branch,MS,2547,2547,212.2,174,316,0.551,31,16,93,12,2015,sacks
416,Hunter,Johnson,Hunter Johnson,/in/brownsburg/brownsburg-bulldogs/athletes/hunter-johnson/football/stats/?careerid=tofpkv72rdsp9,tofpkv72rdsp9,QB,Brownsburg,IN,2545,2545,254.5,174,316,0.551,31,12,98,10,2015,sacks
417,Jaelyn,Nolan,Jaelyn Nolan,/tx/brownfield/brownfield-cubs/athletes/jaelyn-nolan/football/stats/?careerid=sfdc9bulatlsc,sfdc9bulatlsc,"QB, SS",Brownfield,TX,2544,2544,231.3,137,236,0.581,27,7,121,11,2015,sacks
418,Josh,Pruett,Josh Pruett,/mo/mountain-view/liberty-eagles/athletes/josh-pruett/football/stats/?careerid=cmg5a8faar933,cmg5a8faar933,"QB, CB",Liberty,MO,2543,2543,195.6,154,249,0.618,37,12,116,13,2015,sacks
419,Jacob,Murphree,Jacob Murphree,/tn/dickson/dickson-county-cougars/athletes/jacob-murphree/football/stats/?careerid=hi3sf0b67kmh1,hi3sf0b67kmh1,"QB, CB",Dickson County,TN,2542,2542,231.1,168,324,0.519,27,14,88,11,2015,sacks
420,Nick,Etue,Nick Etue,/oh/metamora/evergreen-vikings/athletes/nick-etue/football/stats/?careerid=fujuov7brvmtd,fujuov7brvmtd,"QB, SS",Evergreen,OH,2541,2541,254.1,197,354,0.556,20,22,71,10,2015,sacks
421,Andrew,Baker,Andrew Baker,/or/salem/salem-academy-crusaders/athletes/andrew-baker/football/stats/?careerid=c3qa1ufhn5qo8,c3qa1ufhn5qo8,"QB, S",Salem Academy,OR,2539,2539,253.9,162,251,0.645,32,8,124,10,2015,sacks
422,Aaron,Bonillas,Aaron Bonillas,/ca/imperial/imperial-tigers/athletes/aaron-bonillas/football/stats/?careerid=7m5i7b5hfjgn7,7m5i7b5hfjgn7,"QB, K",Imperial,CA,2538,2538,195.2,179,279,0.642,27,10,111,13,2015,sacks
423,Jonah,Fitzgerald,Jonah Fitzgerald,/va/roanoke/hidden-valley-titans/athletes/jonah-fitzgerald/football/stats/?careerid=lj1u333dgtpj3,lj1u333dgtpj3,"QB, WR",Hidden Valley,VA,2537,2537,211.4,184,319,0.577,28,10,99,12,2015,sacks
424,Levi,Becker,Levi Becker,/pa/erie/mcdowell-trojans/athletes/levi-becker/football/stats/?careerid=7kefhkbudalg0,7kefhkbudalg0,QB,McDowell,PA,2537,2537,195.2,174,362,0.481,23,18,72,13,2015,sacks
425,Kyle,Wilkie,Kyle Wilkie,/ga/canton/creekview-grizzlies/athletes/kyle-wilkie/football/stats/?careerid=pv88agvfoumk4,pv88agvfoumk4,QB,Creekview,GA,2536,2536,230.5,189,348,0.543,20,12,82,11,2015,sacks
426,Tanner,Gaines,Tanner Gaines,/ar/hector/hector-wildcats/athletes/tanner-gaines/football/stats/?careerid=4h5n1q486qm44,4h5n1q486qm44,"QB, FS",Hector,AR,2536,2536,195.1,153,219,0.699,37,4,141,13,2015,sacks
427,Will,Dabbs,Will Dabbs,/nc/eden/morehead-panthers/athletes/will-dabbs/football/stats/?careerid=0ubtg9d5j9b77,0ubtg9d5j9b77,"QB, SS",Morehead,NC,2535,2535,181.1,187,296,0.632,28,15,101,14,2015,sacks
428,David,Olds,David Olds,/wa/colbert/northwest-christian-school-crusaders/athletes/david-olds/football/stats/?careerid=m35o95b7hq488,m35o95b7hq488,"QB, CB",Northwest Christian School,WA,2534,2534,211.2,135,209,0.646,32,7,132,12,2015,sacks
429,Logan,Freeman,Logan Freeman,/tx/buffalo/buffalo-bison/athletes/logan-freeman/football/stats/?careerid=0vknvr1m15mcc,0vknvr1m15mcc,"QB, DB",Buffalo,TX,2532,2532,230.2,157,270,0.581,23,12,99,11,2015,sacks
430,Viliami,Iongi,Viliami Iongi,/ut/provo/provo-bulldogs/athletes/viliami-iongi/football/stats/?careerid=herkq7a4ups44,herkq7a4ups44,QB,Provo,UT,2528,2528,229.8,187,308,0.607,30,9,107,11,2015,sacks
431,Gage,Scribner,Gage Scribner,/tx/anna/anna-coyotes/athletes/gage-scribner/football/stats/?careerid=vo46lpvcvdq22,vo46lpvcvdq22,"QB, WR",Anna,TX,2527,2527,210.6,188,381,0.493,22,15,74,12,2015,sacks
432,Ryan,Stover,Ryan Stover,/pa/fort-washington/upper-dublin-cardinals/athletes/ryan-stover/football/stats/?careerid=ksrsb3u8g7nj3,ksrsb3u8g7nj3,"QB, FS",Upper Dublin,PA,2525,2525,168.3,157,246,0.638,27,7,123,15,2015,sacks
433,Cameron,Hardesty,Cameron Hardesty,/ok/norman/norman-north-timberwolves/athletes/cameron-hardesty/football/stats/?careerid=fpbe79r60c2i2,fpbe79r60c2i2,QB,Norman North,OK,2521,2521,229.2,156,279,0.559,23,11,97,11,2015,sacks
434,Tristen,Cotton,Tristen Cotton,/tx/crosby/crosby-cougars/athletes/tristen-cotton/football/stats/?careerid=6jlqquo2e81bb,6jlqquo2e81bb,QB,Crosby,TX,2520,2520,210.0,175,269,0.651,30,10,117,12,2015,sacks
435,Mason,Fakahua,Mason Fakahua,/ut/cedar-city/cedar-reds/athletes/mason-fakahua/football/stats/?careerid=8gfmp5euf8bue,8gfmp5euf8bue,QB,Cedar,UT,2520,2520,229.1,106,211,0.502,16,1,117,11,2015,sacks
436,Mark,Vicente,Mark Vicente,/ca/manteca/sierra-timberwolves/athletes/mark-vicente/football/stats/?careerid=ahrv8ubilgq99,ahrv8ubilgq99,QB,Sierra,CA,2519,2519,167.9,191,308,0.62,20,12,93,15,2015,sacks
437,Coleton,Ausbern,Coleton Ausbern,/ms/nettleton/nettleton-tigers/athletes/coleton-ausbern/football/stats/?careerid=aku9lie0or2dd,aku9lie0or2dd,QB,Nettleton,MS,2519,2519,251.9,177,338,0.524,31,16,88,10,2015,sacks
438,Lathon,Lax,Lathon Lax,/az/buckeye/verrado-vipers/athletes/lathon-lax/football/stats/?careerid=hbfcdps9c2hue,hbfcdps9c2hue,QB,Verrado,AZ,2519,2519,209.9,156,269,0.58,27,7,112,12,2015,sacks
439,Justice,Summerset,Justice Summerset,/az/tucson/mountain-view-mountain-lions/athletes/justice-summerset/football/stats/?careerid=7fdjkpbuqp544,7fdjkpbuqp544,"QB, FS",Mountain View,AZ,2518,2518,251.8,122,234,0.521,25,7,114,10,2015,sacks
