Player_ID,Player,pos_norm,latest_school,schools_played,games_total,sos_season_weighted,weighted_sos_percentile,sos_multiplier,award_count,awards,heisman_finish,year_score_sum,heisman_bonus,base_raw_score,career_score_raw,raw_per_game,raw_per_game_shrunk,component_pg_sos_raw,component_games_sos_raw,component_pg_sos_norm,component_games_sos_norm,score_blend_pre_norm,career_score_norm_0_100
chase-young-1,Chase Young,EDGE,Ohio State,Ohio State,36.0,6.226111111111111,0.9591254752851711,1.959125475285171,8.0,AA|Bednarik|Big Ten Defensive Player of the Year|Bronko Nagurski Award [Most Outstanding Defensive Player]|Chuck Bednarik Award [Defensive Player of the Year]|H-4|Nagurski|Ted Hendricks Award [Defensive End of the Year Award],4,192.89,40.0,388.78999999999996,388.78999999999996,10.799722222222222,9.34574905320668,18.309495055759474,70.52851711026615,94.3953,74.1137,84.25450000000001,100.0
clelin-ferrell-1,Clelin Ferrell,EDGE,Clemson,Clemson,45.0,6.157111111111111,0.9515209125475285,1.9515209125475286,3.0,AA|ACC Defensive Player of the Year|Ted Hendricks Award [Defensive End of the Year Award],0,146.2,0.0,251.29999999999998,251.29999999999998,5.584444444444444,5.000616867346677,9.758808392264951,87.81844106463879,84.9097,82.2088,83.55924999999999,95.6048
bradley-chubb-1,Bradley Chubb,EDGE,North Carolina State,North Carolina State,38.0,3.230526315789473,0.7062737642585551,1.706273764258555,5.0,AA|ACC Defensive Player of the Year|Bronko Nagurski Award [Most Outstanding Defensive Player]|Nagurski|Ted Hendricks Award [Defensive End of the Year Award],0,174.4,0.0,303.20000000000005,303.20000000000005,7.9789473684210535,6.97571500533365,11.902479500545533,64.83840304182509,86.8886,71.2463,79.06745000000001,93.4303
donovan-ezeiruaku-1,Donovan Ezeiruaku,EDGE,Boston College,Boston College,48.0,1.2866666666666668,0.5703422053231939,1.570342205323194,3.0,AA|ACC Defensive Player of the Year|Ted Hendricks Award [Defensive End of the Year Award],0,151.3,0.0,258.05,258.05,5.376041666666667,4.847804819160751,7.612712510697301,75.3764258555133,81.4462,76.3236,78.8849,91.9453
kenny-willekes-1,Kenny Willekes,EDGE,Michigan State,Michigan State,40.0,6.074250000000001,0.9472433460076045,1.9472433460076046,0.0,,0,103.94,0.0,163.24,163.24,4.081,3.629814352927839,7.068131845981633,77.88973384030419,79.8993,77.7686,78.83395,90.8062
demarcus-walker-1,Demarcus Walker,EDGE,Florida State,Florida State,26.0,4.065,0.7856463878326996,1.7856463878326996,2.0,AA|ACC Defensive Player of the Year,0,122.50999999999999,0.0,210.45999999999998,210.45999999999998,8.094615384615384,6.693483132333768,11.952193977270895,46.42680608365019,89.6307,64.2389,76.9348,89.877
jack-sawyer-2,Jack Sawyer,EDGE,Ohio State,Ohio State,54.0,6.493333333333333,0.9657794676806084,1.9657794676806084,0.0,,0,75.13999999999999,0.0,119.28999999999999,119.28999999999999,2.2090740740740737,2.050357670578009,4.030551010223691,106.15209125475286,62.7173,89.9506,76.33395,89.0893
carl-nassib-1,Carl Nassib,EDGE,Penn State,Penn State,13.0,4.77,0.8543250950570342,1.8543250950570342,5.0,AA|Big Ten Defensive Player of the Year|Ronnie Lott Trophy [Defensive IMPACT Player of the Year]|Ted Hendricks Award [Defensive End of the Year Award]|Vince Lombardi Award [Lineman of the Year],0,112.81,0.0,207.71,207.71,15.977692307692308,11.128497907088452,20.6358529394038,24.106226235741445,100.0,52.5346,76.2673,88.4039
aj-epenesa-1,A.J. Epenesa,EDGE,Iowa,Iowa,39.0,5.49,0.9115969581749049,1.911596958174905,0.0,,0,85.61,0.0,138.31,138.31,3.5464102564102564,3.1564768941040127,6.033911629318602,74.5522813688213,75.7622,76.1376,75.94990000000001,87.7959
brian-burns-2,Brian Burns,EDGE,Florida State,Florida State,38.0,5.631578947368421,0.9196768060836502,1.9196768060836502,0.0,,0,84.64,0.0,135.59,135.59,3.568157894736842,3.1663968235154676,6.078458540959589,72.9477186311787,76.074,75.6043,75.83914999999999,87.2487
jaquan-bailey-1,JaQuan Bailey,EDGE,Iowa State,Iowa State,53.0,3.7703773584905655,0.7566539923954373,1.7566539923954374,0.0,,0,93.11,0.0,148.51,148.51,2.802075471698113,2.580363732791196,4.532806253040048,93.10266159695819,66.7361,84.8745,75.80529999999999,86.7506
bradlee-anae-1,Bradlee Anae,EDGE,Utah,Utah,47.0,0.6170212765957447,0.5399239543726235,1.5399239543726235,1.0,AA,0,123.3,0.0,208.05,208.05,4.426595744680851,3.9958766082015202,6.153346107686752,72.3764258555133,76.3957,75.1041,75.7499,86.293
austin-bryant-1,Austin Bryant,EDGE,Clemson,Clemson,50.0,5.901599999999999,0.936787072243346,1.936787072243346,0.0,,0,74.53999999999999,0.0,118.53999999999999,118.53999999999999,2.3708,2.183418932762153,4.228817562265101,96.8393536121673,64.4852,86.8503,75.66775000000001,85.8694
dani-dennis-sutton-1,Dani Dennis-Sutton,EDGE,Penn State,Penn State,55.0,4.971818181818182,0.8711977186311787,1.8711977186311786,0.0,,0,79.86999999999999,0.0,127.66999999999999,127.66999999999999,2.321272727272727,2.1541222989291895,4.030788731408849,102.91587452471482,62.8386,88.4895,75.66405,85.4748
jacub-panasiuk-1,Jacub Panasiuk,EDGE,Michigan State,Michigan State,57.0,6.2231578947368416,0.9586501901140685,1.9586501901140685,0.0,,0,64.52000000000001,0.0,101.32000000000001,101.32000000000001,1.7775438596491229,1.6674834957885805,3.266016866038375,111.6430608365019,55.1606,95.6351,75.39785,85.1051
will-mcdonald-1,Will McDonald,EDGE,Iowa State,Iowa State,41.0,4.846829268292682,0.8593155893536122,1.8593155893536122,0.0,,0,85.10000000000001,0.0,137.20000000000002,137.20000000000002,3.3463414634146345,2.9985417071208635,5.575235341376815,76.2319391634981,73.3019,77.0121,75.15700000000001,84.7573
derek-barnett-2,Derek Barnett,EDGE,Tennessee,Tennessee,26.0,3.770000000000001,0.7561787072243346,1.7561787072243344,1.0,AA,0,101.39999999999999,0.0,172.05,172.05,6.617307692307692,5.493170632333769,9.646989299654598,45.6606463878327,84.086,63.7545,73.92025,84.4286
sutton-smith-1,Sutton Smith,EDGE,Northern Illinois,Northern Illinois,27.0,-2.08,0.36977186311787075,1.3697718631178708,4.0,AA|MAC Defensive Player of the Year|Vern Smith Leadership Award,0,162.34,0.0,283.04,283.04,10.482962962962963,8.690044249535775,11.903378102263359,36.983840304182515,88.1255,58.9983,73.56190000000001,84.117
