position,fold,rows_val,fold_mae,fold_rmse,fold_r2
RB,1,198,10.668891282145184,13.374180543074983,0.10445946003623563
RB,2,198,11.266954881810658,14.632168495393508,0.04283910324120732
RB,3,197,11.398848574844592,14.314701164295691,-0.09593947088365251
RB,4,197,11.467115317221703,14.219210140399328,0.055238339880891774
RB,5,197,11.206712250251575,14.429581911397788,0.04887363501256714
