position,target_id,target_threshold,fold,rows_val,fold_accuracy,fold_roc_auc,fold_f1,fold_logloss,fold_brier
QB,ge20,20.0,1,183,0.7158469945355191,0.7587586206896552,0.8156028368794326,0.5280217698881883,0.17890675365924835
QB,ge20,20.0,2,183,0.6721311475409836,0.6984691088026244,0.7744360902255639,0.5693752995761686,0.1972494125366211
QB,ge20,20.0,3,183,0.6994535519125683,0.7098141060688901,0.7985347985347986,0.5607014289180846,0.19306230545043945
QB,ge20,20.0,4,183,0.6830601092896175,0.6749589939857845,0.7803030303030303,0.5906512101591133,0.20466184616088867
QB,ge20,20.0,5,182,0.6923076923076923,0.6646273637374862,0.7878787878787878,0.6153581525833448,0.20924092829227448
QB,ge50,50.0,1,183,0.7158469945355191,0.728641975308642,0.59375,0.5911163458817308,0.2009582370519638
QB,ge50,50.0,2,183,0.6885245901639344,0.701604938271605,0.5714285714285714,0.6087670217640256,0.2106953114271164
QB,ge50,50.0,3,183,0.7158469945355191,0.7177777777777778,0.6231884057971014,0.6193123382113898,0.2088920772075653
QB,ge50,50.0,4,183,0.7103825136612022,0.7384081329035458,0.5619834710743802,0.5823060598290253,0.19714100658893585
QB,ge50,50.0,5,182,0.6923076923076923,0.725975975975976,0.5692307692307692,0.5965450112865277,0.20404769480228424
QB,ge80,80.0,1,183,0.9726775956284153,0.7640449438202248,0.0,0.1167113514264848,0.02721739560365677
QB,ge80,80.0,2,183,0.9726775956284153,0.8606741573033707,0.0,0.10330460714274173,0.02503456547856331
QB,ge80,80.0,3,183,0.9672131147540983,0.8229755178907721,0.0,0.11933422951796074,0.0288385096937418
QB,ge80,80.0,4,183,0.9672131147540983,0.7876647834274954,0.0,0.12202775016512678,0.028762182220816612
QB,ge80,80.0,5,182,0.9725274725274725,0.8090395480225988,0.0,0.11433108255081272,0.027368053793907166
