position,target_id,target_threshold,fold,rows_val,fold_accuracy,fold_roc_auc,fold_f1,fold_logloss,fold_brier
SPEC,ge20,20.0,1,91,0.8021978021978022,0.6078947368421053,0.8875,0.498872644500497,0.15590938314497627
SPEC,ge20,20.0,2,91,0.8241758241758241,0.5236842105263159,0.9012345679012346,0.5437054162182761,0.15485225376479833
SPEC,ge20,20.0,3,91,0.7912087912087912,0.5800000000000001,0.8819875776397516,0.5704914024683051,0.16763092184492875
SPEC,ge20,20.0,4,91,0.8021978021978022,0.7133333333333333,0.8875,0.44255703869268803,0.14274825073539396
SPEC,ge20,20.0,5,91,0.7912087912087912,0.4774999999999999,0.8819875776397516,0.6671055008272037,0.17942661573150814
SPEC,ge50,50.0,1,91,0.7142857142857143,0.6802507836990596,0.7936507936507936,0.6449325584328552,0.21724186911799456
SPEC,ge50,50.0,2,91,0.6153846153846154,0.5882352941176471,0.7058823529411765,0.7882273277990413,0.2656668501578483
SPEC,ge50,50.0,3,91,0.6483516483516484,0.6491228070175438,0.7333333333333333,0.6911791898345908,0.2365204292004858
SPEC,ge50,50.0,4,91,0.6593406593406593,0.6465428276573788,0.743801652892562,0.6802653483232707,0.23409868479638266
SPEC,ge50,50.0,5,91,0.6923076923076923,0.6532507739938079,0.7627118644067796,0.683211425371845,0.2279016379233093
SPEC,ge80,80.0,1,91,0.9560439560439561,0.9482758620689655,0.0,0.13083153887008384,0.03806684235341784
SPEC,ge80,80.0,2,91,0.9230769230769231,0.7155172413793104,0.2222222222222222,0.22975500553275705,0.05783042445427013
SPEC,ge80,80.0,3,91,0.9560439560439561,0.8620689655172414,0.3333333333333333,0.14701479598356976,0.037001297013733773
SPEC,ge80,80.0,4,91,0.978021978021978,0.6666666666666666,0.6666666666666666,0.17181525740702086,0.027207741901773014
SPEC,ge80,80.0,5,91,0.9560439560439561,0.7537878787878787,0.0,0.1556412691959029,0.0386695551717643
