position,target_id,target_threshold,fold,rows_val,fold_accuracy,fold_roc_auc,fold_f1,fold_logloss,fold_brier
DB,ge20,20.0,1,580,0.8241379310344827,0.5347083333333333,0.9034090909090909,0.47814961191780575,0.14887288634551407
DB,ge20,20.0,2,580,0.8241379310344827,0.5345811199073979,0.9032258064516129,0.4826196999341159,0.14914360390406703
DB,ge20,20.0,3,580,0.8224137931034483,0.5446784761983505,0.9021842355175689,0.48371276214113473,0.14958403850002144
DB,ge20,20.0,4,580,0.8241379310344827,0.5513239215362038,0.9034090909090909,0.48167186840164494,0.1474489007458784
DB,ge20,20.0,5,579,0.8203799654576857,0.5750417536534447,0.9011406844106464,0.46784980468836546,0.14672383350570964
DB,ge50,50.0,1,580,0.5913793103448276,0.6138575393154487,0.6869220607661823,0.6670524640340219,0.237008605964809
DB,ge50,50.0,2,580,0.6,0.6097810669133519,0.6881720430107527,0.6679259902149356,0.23699397461181534
DB,ge50,50.0,3,580,0.6,0.6163552266419982,0.6795580110497238,0.6680375508361822,0.23662917455531673
DB,ge50,50.0,4,580,0.5862068965517241,0.6271168670983658,0.6730245231607629,0.6557718926229851,0.23294777482732437
DB,ge50,50.0,5,579,0.6096718480138169,0.6284033197076675,0.6986666666666667,0.6664463184472079,0.23437684491184307
DB,ge80,80.0,1,580,0.9827586206896551,0.6035964912280701,0.0,0.10131417137141019,0.01720106560791555
DB,ge80,80.0,2,580,0.9827586206896551,0.7250437828371279,0.16666666666666666,0.0815997415596431,0.016579828018013606
DB,ge80,80.0,3,580,0.9827586206896551,0.7359408445222806,0.0,0.07601919569532231,0.015133983022545506
DB,ge80,80.0,4,580,0.9844827586206897,0.6454563144580657,0.0,0.08906570757383794,0.016268973302722967
DB,ge80,80.0,5,579,0.9844559585492227,0.799805068226121,0.0,0.07032682594756003,0.015026035925085583
