position,target_id,target_threshold,fold,rows_val,fold_accuracy,fold_roc_auc,fold_f1,fold_logloss,fold_brier
RB,ge20,20.0,1,240,0.7958333333333333,0.578269944341373,0.883054892601432,0.5249352176164669,0.16085947690242966
RB,ge20,20.0,2,240,0.7916666666666666,0.523988603988604,0.883177570093458,0.5460746060447194,0.16678835802656736
RB,ge20,20.0,3,240,0.7958333333333333,0.6548148148148148,0.8841607565011821,0.4754953966263098,0.15150598542475327
RB,ge20,20.0,4,240,0.8166666666666667,0.5964672364672364,0.8967136150234741,0.5040854231272739,0.1520162641278251
RB,ge20,20.0,5,240,0.7958333333333333,0.6147008547008548,0.8841607565011821,0.49237426058896183,0.1534902252424479
RB,ge50,50.0,1,240,0.625,0.6875485008818342,0.6564885496183206,0.6320748755110147,0.22210410603498526
RB,ge50,50.0,2,240,0.6,0.6339329805996472,0.6521739130434783,0.7040512669099255,0.2464271151999903
RB,ge50,50.0,3,240,0.6208333333333333,0.6708994708994709,0.6642066420664207,0.6551774152305021,0.2296646495035966
RB,ge50,50.0,4,240,0.5666666666666667,0.6495943562610229,0.6438356164383562,0.6769500761840607,0.24185426488526188
RB,ge50,50.0,5,240,0.6583333333333333,0.7064550264550263,0.6962962962962963,0.6335297695515137,0.21886752928195596
RB,ge80,80.0,1,240,0.9625,0.572041692213366,0.0,0.1743234691020559,0.03463610215242661
RB,ge80,80.0,2,240,0.9708333333333333,0.7406499080318822,0.0,0.13015707238148075,0.02813843177176006
RB,ge80,80.0,3,240,0.9666666666666667,0.6787247087676272,0.0,0.14248629347839745,0.029660177423742776
RB,ge80,80.0,4,240,0.9666666666666667,0.769396551724138,0.0,0.12901510552417286,0.02941819221701496
RB,ge80,80.0,5,240,0.9666666666666667,0.595905172413793,0.0,0.16831458175615457,0.03298067140427908
