position,target_id,target_threshold,fold,rows_val,fold_accuracy,fold_roc_auc,fold_f1,fold_logloss,fold_brier
LB,ge20,20.0,1,334,0.7844311377245509,0.6569511217948717,0.8745644599303136,0.5119719839383173,0.1667187213897705
LB,ge20,20.0,2,333,0.7807807807807807,0.7074878246753247,0.8734835355285961,0.4922878442217338,0.16045457124710083
LB,ge20,20.0,3,333,0.7627627627627628,0.6931818181818182,0.8635578583765112,0.4987929192378312,0.1633487492799759
LB,ge20,20.0,4,333,0.7597597597597597,0.6393665158371041,0.8611111111111112,0.5241866233264478,0.17248429358005524
LB,ge20,20.0,5,333,0.7387387387387387,0.583710407239819,0.8476357267950964,0.5621507496741114,0.18567898869514465
LB,ge50,50.0,1,334,0.625748502994012,0.6517134181607864,0.6630727762803235,0.6647540393997359,0.23451918363571167
LB,ge50,50.0,2,333,0.6246246246246246,0.6570846372170877,0.6518105849582173,0.6609729291768028,0.23342230916023254
LB,ge50,50.0,3,333,0.6186186186186187,0.6455498144239866,0.6684073107049608,0.669256662325867,0.23670639097690582
LB,ge50,50.0,4,333,0.6006006006006006,0.6381631613419693,0.6527415143603134,0.673613212879577,0.23830297589302063
LB,ge50,50.0,5,333,0.6036036036036037,0.677813317824949,0.6292134831460674,0.636856404591087,0.2235197275876999
LB,ge80,80.0,1,334,0.9790419161676647,0.6286588029707295,0.0,0.10463110972204874,0.02055538259446621
LB,ge80,80.0,2,333,0.9819819819819819,0.7943425076452599,0.0,0.07937323302917101,0.017078561708331108
LB,ge80,80.0,3,333,0.9819819819819819,0.668960244648318,0.0,0.09078176657938564,0.017996765673160553
LB,ge80,80.0,4,333,0.9819819819819819,0.6376146788990825,0.0,0.09143731319633366,0.017826538532972336
LB,ge80,80.0,5,333,0.9819819819819819,0.8496432212028543,0.0,0.07637952382036646,0.017187777906656265
