year_id,year_id_url,player,player_id,player_url,school_name,school_name_url,summary,award_name,award_type,source_url,table_id
2005,https://www.sports-reference.com/cfb/years/2005.html,Nick Reid *,nick-reid-1,https://www.sports-reference.com/cfb/players/nick-reid-1.html,Kansas,https://www.sports-reference.com/cfb/schools/kansas/2005.html,"62 Solo, 50 Ast, 2.0 Sk, 1 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2004,https://www.sports-reference.com/cfb/years/2004.html,Derrick Johnson *,derrick-johnson-3,https://www.sports-reference.com/cfb/players/derrick-johnson-3.html,Texas,https://www.sports-reference.com/cfb/schools/texas/2004.html,"1 Int, 18 Yds, 0 TD",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2003,https://www.sports-reference.com/cfb/years/2003.html,Teddy Lehman *,teddy-lehman-1,https://www.sports-reference.com/cfb/players/teddy-lehman-1.html,Oklahoma,https://www.sports-reference.com/cfb/schools/oklahoma/2003.html,"1 Int, 0 Yds, 0 TD",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2002,https://www.sports-reference.com/cfb/years/2002.html,Terence Newman *,terence-newman-1,https://www.sports-reference.com/cfb/players/terence-newman-1.html,Kansas State,https://www.sports-reference.com/cfb/schools/kansas-state/2002.html,"5 Int, 21 Yds, 0 TD",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2001,https://www.sports-reference.com/cfb/years/2001.html,Roy Williams,roy-williams-2,https://www.sports-reference.com/cfb/players/roy-williams-2.html,Oklahoma,https://www.sports-reference.com/cfb/schools/oklahoma/2001.html,"2 FR, 25 Yds, 1 TD",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2000,https://www.sports-reference.com/cfb/years/2000.html,Casey Hampton,casey-hampton-1,https://www.sports-reference.com/cfb/players/casey-hampton-1.html,Texas,https://www.sports-reference.com/cfb/schools/texas/2000.html,,Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
1999,https://www.sports-reference.com/cfb/years/1999.html,Mark Simoneau,mark-simoneau-1,https://www.sports-reference.com/cfb/players/mark-simoneau-1.html,Kansas State,https://www.sports-reference.com/cfb/schools/kansas-state/1999.html,"2 Int, 61 Yds, 1 TD",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
1998,https://www.sports-reference.com/cfb/years/1998.html,Dat Nguyen,dat-nguyen-1,https://www.sports-reference.com/cfb/players/dat-nguyen-1.html,Texas A&M,https://www.sports-reference.com/cfb/schools/texas-am/1998.html,"2 Int, 28 Yds, 0 TD",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
1997,https://www.sports-reference.com/cfb/years/1997.html,Grant Wistrom,grant-wistrom-1,https://www.sports-reference.com/cfb/players/grant-wistrom-1.html,Nebraska,https://www.sports-reference.com/cfb/schools/nebraska/1997.html,,Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
1996,https://www.sports-reference.com/cfb/years/1996.html,Grant Wistrom,grant-wistrom-1,https://www.sports-reference.com/cfb/players/grant-wistrom-1.html,Nebraska,https://www.sports-reference.com/cfb/schools/nebraska/1996.html,"1 Int, 9 Yds, 1 TD",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
