player_id,year,rank,name,position,height,weight,rating,high_school,city,state,committed_to,url
202100001,2021,1,Quinn Ewers,QB,"6' 3""",206 lbs,1.0000,Southlake Carroll,Southlake,TX,Ohio State,https://247sports.com/player/quinn-ewers-45572600/
202100002,2021,2,Korey Foreman,DL,"6' 4""",265 lbs,0.9992,Centennial,Corona,CA,USC,https://247sports.com/player/korey-foreman-46056100/
202100003,2021,3,JC Latham,OT,"6' 6""",305 lbs,0.9989,IMG Academy,Bradenton,FL,Alabama,https://247sports.com/player/jc-latham-46049894/
202100004,2021,4,J.T. Tuimoloau,DL,"6' 4.5""",277 lbs,0.9989,Eastside Catholic,Sammamish,WA,Ohio State,https://247sports.com/player/jt-tuimoloau-46048440/
202100005,2021,5,Jack Sawyer,DL,"6' 5""",248 lbs,0.9980,Pickerington North,Pickerington,OH,Ohio State,https://247sports.com/player/jack-sawyer-46049925/
202100006,2021,6,Tommy Brockermeyer,OT,"6' 6.25""",283 lbs,0.9977,All Saints Episcopal,Fort Worth,TX,Alabama,https://247sports.com/player/tommy-brockermeyer-46040211/
202100007,2021,7,Caleb Williams,QB,"6' 1""",210 lbs,0.9969,Gonzaga,Washington,DC,Oklahoma,https://247sports.com/player/caleb-williams-46040610/
202100008,2021,8,Amarius Mims,OT,"6' 7""",315 lbs,0.9956,Bleckley County,Cochran,GA,Georgia,https://247sports.com/player/amarius-mims-46079928/
202100009,2021,9,Dallas Turner,Edge,"6' 4""",245 lbs,0.9950,St. Thomas Aquinas,Fort Lauderdale,FL,Alabama,https://247sports.com/player/dallas-turner-46051516/
202100010,2021,10,Emeka Egbuka,WR,"6' 1""",190 lbs,0.9945,Steilacoom,Steilacoom,WA,Ohio State,https://247sports.com/player/emeka-egbuka-46048438/
202100011,2021,11,Leonard Taylor III,DL,"6' 4""",265 lbs,0.9938,Miami Palmetto,Miami,FL,Miami,https://247sports.com/player/leonard-taylor-iii-46058024/
202100012,2021,12,Sam Huard,QB,"6' 2""",190 lbs,0.9935,Kennedy Catholic,Bellevue,WA,Washington,https://247sports.com/player/sam-huard-46048437/
202100013,2021,13,Ja'Tavion Sanders,ATH,"6' 3.5""",235 lbs,0.9932,Denton Ryan,Denton,TX,Texas,https://247sports.com/player/jatavion-sanders-46058800/
202100014,2021,14,Tristan Leigh,OT,"6' 5""",270 lbs,0.9921,Robinson Secondary,Fairfax,VA,Clemson,https://247sports.com/player/tristan-leigh-46079623/
202100015,2021,15,James Williams,S,"6' 5""",218 lbs,0.9921,American Heritage,Opa Locka,FL,Miami,https://247sports.com/player/james-williams-46049981/
202100016,2021,16,Nolan Rucci,OT,"6' 8""",295 lbs,0.9918,Warwick,Lititz,PA,Wisconsin,https://247sports.com/player/nolan-rucci-46058902/
202100017,2021,17,Brock Vandagriff,QB,"6' 3""",205 lbs,0.9908,Prince Avenue Christian School,Bogart,GA,Georgia,https://247sports.com/player/brock-vandagriff-46050870/
202100018,2021,18,Kool-Aid McKinstry,CB,"6' 0.5""",180 lbs,0.9906,Pinson Valley,Pinson,AL,Alabama,https://247sports.com/player/kool-aid-mckinstry-46052990/
202100019,2021,19,Donovan Jackson,IOL,"6' 4.5""",308 lbs,0.9900,Episcopal,Bellaire,TX,Ohio State,https://247sports.com/player/donovan-jackson-46047777/
202100020,2021,20,Maason Smith,DL,"6' 5""",316 lbs,0.9897,Terrebonne,Houma,LA,LSU,https://247sports.com/player/maason-smith-46057128/
202100021,2021,21,Terrence Lewis,LB,"6' 1""",200 lbs,0.9894,Miami Central,Opa Locka,FL,Maryland,https://247sports.com/player/terrence-lewis-46058521/
202100022,2021,22,Shemar Turner,DL,"6' 3.5""",282 lbs,0.9877,DeSoto,DeSoto,TX,Texas A&M,https://247sports.com/player/shemar-turner-46055593/
202100023,2021,23,TreVeyon Henderson,RB,"5' 11""",195 lbs,0.9872,Hopewell,Hopewell,VA,Ohio State,https://247sports.com/player/treveyon-henderson-46049087/
202100024,2021,24,Damon Payne,DL,"6' 3.5""",297 lbs,0.9872,Belleville,Belleville,MI,Alabama,https://247sports.com/player/damon-payne-46041148/
202100025,2021,25,J.J. McCarthy,QB,"6' 3""",190 lbs,0.9866,IMG Academy,La Grange Park,IL,Michigan,https://247sports.com/player/jj-mccarthy-46042742/
202100026,2021,26,Xavian Sorey Jr.,LB,"6' 3""",214 lbs,0.9864,IMG Academy,Bradenton,FL,Georgia,https://247sports.com/player/xavian-sorey-jr-46076868/
202100027,2021,27,Ja'Corey Brooks,WR,"6' 3""",185 lbs,0.9861,IMG Academy,Miami,FL,Alabama,https://247sports.com/player/jacorey-brooks-87140/
202100028,2021,28,Kyle McCord,QB,"6' 3""",215 lbs,0.9858,St. Joseph's Prep,Philadelphia,PA,Ohio State,https://247sports.com/player/kyle-mccord-46047962/
202100029,2021,29,Jason Marshall Jr.,CB,"6' 2""",180 lbs,0.9854,Miami Palmetto,Miami,FL,Florida,https://247sports.com/player/jason-marshall-jr-46051367/
202100030,2021,30,Sage Ryan,S,"5' 11""",193 lbs,0.9851,Lafayette Christian Academy,Lafayette,LA,LSU,https://247sports.com/player/sage-ryan-46082413/
202100031,2021,31,Keeshawn Silver,DL,"6' 6""",275 lbs,0.9841,Rocky Mount,Rocky Mount,NC,North Carolina,https://247sports.com/player/keeshawn-silver-46057590/
202100032,2021,32,Will Shipley,RB,"5' 11""",198 lbs,0.9839,Weddington,Matthews,NC,Clemson,https://247sports.com/player/will-shipley-46056925/
202100033,2021,33,Barrett Carter,LB,"6' 1""",220 lbs,0.9835,North Gwinnett,Suwanee,GA,Clemson,https://247sports.com/player/barrett-carter-46056022/
202100034,2021,34,Camar Wheaton,RB,"5' 11""",190 lbs,0.9834,Lakeview Centennial,Garland,TX,Alabama,https://247sports.com/player/camar-wheaton-46050152/
202100035,2021,35,Smael Mondon Jr.,LB,"6' 3""",220 lbs,0.9834,Paulding County,Dallas,GA,Georgia,https://247sports.com/player/smael-mondon-jr-46058273/
202100036,2021,36,Kingsley Suamataia,OT,"6' 5""",280 lbs,0.9823,Orem,Orem,UT,Oregon,https://247sports.com/player/kingsley-suamataia-46048415/
202100037,2021,37,Jeremiah Trotter Jr.,LB,"6' 0""",210 lbs,0.9818,St. Joseph's Prep,Philadelphia,PA,Clemson,https://247sports.com/player/jeremiah-trotter-jr-46054759/
202100038,2021,38,Clayton Smith,Edge,"6' 4""",220 lbs,0.9812,Texas High,Texarkana,TX,Oklahoma,https://247sports.com/player/clayton-smith-46055978/
202100039,2021,39,Tunmise Adeleye,DL,"6' 3""",245 lbs,0.9811,Katy Tompkins,Katy,TX,Texas A&M,https://247sports.com/player/tunmise-adeleye-46050288/
202100040,2021,40,Ty Thompson,QB,"6' 4""",215 lbs,0.9809,Mesquite,Gilbert,AZ,Oregon,https://247sports.com/player/ty-thompson-46081511/
202100041,2021,41,Troy Franklin,WR,"6' 2""",170 lbs,0.9808,Menlo-Atherton,Menlo Park,CA,Oregon,https://247sports.com/player/troy-franklin-46048840/
202100042,2021,42,Donovan Edwards,RB,"5' 11""",190 lbs,0.9806,West Bloomfield,West Bloomfield,MI,Michigan,https://247sports.com/player/donovan-edwards-46054812/
202100043,2021,43,Mario Williams,WR,"5' 11""",178 lbs,0.9801,Plant City,Plant City,FL,Oklahoma,https://247sports.com/player/mario-williams-46058910/
202100044,2021,44,Billy Bowman,ATH,"5' 10""",175 lbs,0.9799,Denton Ryan,Denton,TX,Oklahoma,https://247sports.com/player/billy-bowman-46048695/
