Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Ollie Gordon,ollie-gordon-1,/cfb/players/ollie-gordon-1.html,Oklahoma State,Big 12,14,285,1732,6.1,21,123.7,39,330,8.5,1,23.6,324,2062,6.4,22,"H-7,AA",2023
Kimani Vidal,kimani-vidal-1,/cfb/players/kimani-vidal-1.html,Troy,Sun Belt,14,297,1661,5.6,14,118.6,18,201,11.2,1,14.4,315,1862,5.9,15,,2023
Cody Schrader,cody-schrader-1,/cfb/players/cody-schrader-1.html,Missouri,SEC,13,276,1627,5.9,14,125.2,22,191,8.7,0,14.7,298,1818,6.1,14,"H-8,AA",2023
Tahj Brooks,tahj-brooks-1,/cfb/players/tahj-brooks-1.html,Texas Tech,Big 12,13,290,1538,5.3,10,118.3,29,72,2.5,0,5.5,319,1610,5.0,10,,2023
Omarion Hampton,omarion-hampton-1,/cfb/players/omarion-hampton-1.html,North Carolina,ACC,13,253,1504,5.9,15,115.7,29,222,7.7,1,17.1,282,1726,6.1,16,,2023
R.J. Harvey,rj-harvey-1,/cfb/players/rj-harvey-1.html,UCF,Big 12,13,226,1416,6.3,16,108.9,19,238,12.5,1,18.3,245,1654,6.8,17,,2023
Quinton Cooley,quinton-cooley-1,/cfb/players/quinton-cooley-1.html,Liberty,CUSA,14,221,1401,6.3,16,100.1,6,43,7.2,0,3.1,227,1444,6.4,16,,2023
Peny Boone,peny-boone-1,/cfb/players/peny-boone-1.html,Toledo,MAC,13,194,1400,7.2,15,107.7,15,219,14.6,1,16.8,209,1619,7.7,16,,2023
Makhi Hughes,makhi-hughes-1,/cfb/players/makhi-hughes-1.html,Tulane,American,14,258,1378,5.3,7,98.4,11,67,6.1,0,4.8,269,1445,5.4,7,,2023
Marcus Carroll,marcus-carroll-1,/cfb/players/marcus-carroll-1.html,Georgia State,Sun Belt,12,274,1350,4.9,13,112.5,23,234,10.2,0,19.5,297,1584,5.3,13,,2023
Ashton Jeanty,ashton-jeanty-1,/cfb/players/ashton-jeanty-1.html,Boise State,MWC,12,220,1347,6.1,14,112.3,43,569,13.2,5,47.4,263,1916,7.3,19,,2023
Audric Estime,audric-estime-1,/cfb/players/audric-estime-1.html,Notre Dame,Ind,12,210,1341,6.4,18,111.8,17,142,8.4,0,11.8,227,1483,6.5,18,,2023
Ismail Mahdi,ismail-mahdi-1,/cfb/players/ismail-mahdi-1.html,Texas State,Sun Belt,13,223,1331,6.0,10,102.4,20,275,13.8,1,21.2,243,1606,6.6,11,,2023
Jaydn Ott,jaydn-ott-1,/cfb/players/jaydn-ott-1.html,California,Pac-12,12,246,1315,5.3,12,109.6,25,169,6.8,2,14.1,271,1484,5.5,14,,2023
Antario Brown,antario-brown-1,/cfb/players/antario-brown-1.html,Northern Illinois,MAC,13,212,1296,6.1,10,99.7,12,52,4.3,1,4.0,224,1348,6.0,11,,2023
Devin Neal,devin-neal-3,/cfb/players/devin-neal-3.html,Kansas,Big 12,13,203,1280,6.3,16,98.5,25,217,8.7,1,16.7,228,1497,6.6,17,,2023
Kyle Monangai,kyle-monangai-1,/cfb/players/kyle-monangai-1.html,Rutgers,Big Ten,13,242,1262,5.2,8,97.1,8,78,9.8,0,6.0,250,1340,5.4,8,,2023
Blake Corum,blake-corum-1,/cfb/players/blake-corum-1.html,Michigan,Big Ten,15,258,1245,4.8,27,83.0,16,117,7.3,1,7.8,274,1362,5.0,28,H-9,2023
DJ Giddens,dj-giddens-1,/cfb/players/dj-giddens-1.html,Kansas State,Big 12,13,223,1226,5.5,10,94.3,29,323,11.1,3,24.8,252,1549,6.1,13,,2023
Emani Bailey,emani-bailey-1,/cfb/players/emani-bailey-1.html,Texas Christian,Big 12,12,223,1209,5.4,8,100.8,25,184,7.4,1,15.3,248,1393,5.6,9,,2023
Dillon Johnson,dillon-johnson-1,/cfb/players/dillon-johnson-1.html,Washington,Pac-12,14,233,1195,5.1,16,85.4,24,190,7.9,0,13.6,257,1385,5.4,16,,2023
Kairee Robinson,kairee-robinson-1,/cfb/players/kairee-robinson-1.html,San Jose State,MWC,12,170,1194,7.0,18,99.5,17,198,11.6,2,16.5,187,1392,7.4,20,,2023
Jacory Croskey-Merritt,jacory-croskey-merritt-1,/cfb/players/jacory-croskey-merritt-1.html,New Mexico,MWC,12,189,1190,6.3,17,99.2,7,72,10.3,1,6.0,196,1262,6.4,18,,2023
Damien Martinez,damien-martinez-1,/cfb/players/damien-martinez-1.html,Oregon State,Pac-12,12,194,1185,6.1,9,98.8,11,126,11.5,0,10.5,205,1311,6.4,9,,2023
Bucky Irving,markeise-irving-1,/cfb/players/markeise-irving-1.html,Oregon,Pac-12,14,186,1180,6.3,11,84.3,56,413,7.4,2,29.5,242,1593,6.6,13,,2023
Quinshon Judkins,quinshon-judkins-1,/cfb/players/quinshon-judkins-1.html,Ole Miss,SEC,13,271,1158,4.3,15,89.1,22,149,6.8,2,11.5,293,1307,4.5,17,,2023
Kay'ron Adams,kayron-adams-1,/cfb/players/kayron-adams-1.html,Massachusetts,Ind,12,236,1157,4.9,12,96.4,20,118,5.9,0,9.8,256,1275,5.0,12,,2023
Blake Watson,blake-watson-2,/cfb/players/blake-watson-2.html,Memphis,American,13,192,1152,6.0,14,88.6,53,480,9.1,3,36.9,245,1632,6.7,17,,2023
Jonathon Brooks,jonathon-brooks-1,/cfb/players/jonathon-brooks-1.html,Texas,Big 12,11,187,1139,6.1,10,103.5,25,286,11.4,1,26.0,212,1425,6.7,11,,2023
Rasheen Ali,rasheen-ali-1,/cfb/players/rasheen-ali-1.html,Marshall,Sun Belt,12,212,1135,5.4,15,94.6,28,213,7.6,1,17.8,240,1348,5.6,16,,2023
Jayden Daniels,jayden-daniels-1,/cfb/players/jayden-daniels-1.html,LSU,SEC,12,135,1134,8.4,10,94.5,0,0,,0,0.0,135,1134,8.4,10,"H-1,AA,Camp",2023
Frank Gore Jr.,frank-gore-jr-1,/cfb/players/frank-gore-jr-1.html,Southern Mississippi,Sun Belt,12,231,1131,4.9,10,94.3,27,221,8.2,3,18.4,258,1352,5.2,13,,2023
Re'Mahn Davis,remahn-davis-1,/cfb/players/remahn-davis-1.html,Kentucky,SEC,13,199,1129,5.7,14,86.8,33,323,9.8,7,24.8,232,1452,6.3,21,,2023
Jawhar Jordan,jawhar-jordan-1,/cfb/players/jawhar-jordan-1.html,Louisville,ACC,13,181,1128,6.2,13,86.8,21,246,11.7,1,18.9,202,1374,6.8,14,,2023
Thomas Castellanos,thomas-castellanos-1,/cfb/players/thomas-castellanos-1.html,Boston College,ACC,13,215,1113,5.2,13,85.6,2,-11,-5.5,0,-0.8,217,1102,5.1,13,,2023
Kaidon Salter,kaidon-salter-1,/cfb/players/kaidon-salter-1.html,Liberty,CUSA,14,163,1089,6.7,12,77.8,0,0,,0,0.0,163,1089,6.7,12,,2023
Rashad Amos,rashad-amos-1,/cfb/players/rashad-amos-1.html,Miami (OH),MAC,14,210,1075,5.1,13,76.8,6,37,6.2,0,2.6,216,1112,5.1,13,,2023
LeQuint Allen,lequint-allen-1,/cfb/players/lequint-allen-1.html,Syracuse,ACC,13,245,1064,4.3,9,81.8,38,210,5.5,1,16.2,283,1274,4.5,10,,2023
Jamal Haynes,jamal-haynes-1,/cfb/players/jamal-haynes-1.html,Georgia Tech,ACC,13,174,1059,6.1,7,81.5,20,151,7.6,1,11.6,194,1210,6.2,8,,2023
Corey Kiner,corey-kiner-1,/cfb/players/corey-kiner-1.html,Cincinnati,Big 12,12,192,1047,5.5,5,87.3,12,49,4.1,0,4.1,204,1096,5.4,5,,2023
Marquez Cooper,marquez-cooper-1,/cfb/players/marquez-cooper-1.html,Ball State,MAC,12,227,1043,4.6,4,86.9,18,163,9.1,0,13.6,245,1206,4.9,4,,2023
Ayo Adeyi,ayo-adeyi-1,/cfb/players/ayo-adeyi-1.html,North Texas,American,12,143,1017,7.1,6,84.8,7,52,7.4,0,4.3,150,1069,7.1,6,,2023
Jaylen Wright,jaylen-wright-1,/cfb/players/jaylen-wright-1.html,Tennessee,SEC,12,137,1013,7.4,4,84.4,22,141,6.4,0,11.8,159,1154,7.3,4,,2023
La'Damian Webb,ladamian-webb-1,/cfb/players/ladamian-webb-1.html,South Alabama,Sun Belt,11,186,1007,5.4,16,91.5,24,144,6.0,1,13.1,210,1151,5.5,17,,2023
Jalen Buckley,jalen-buckley-1,/cfb/players/jalen-buckley-1.html,Western Michigan,MAC,11,189,1003,5.3,10,91.2,18,161,8.9,0,14.6,207,1164,5.6,10,,2023
Braelon Allen,braelon-allen-1,/cfb/players/braelon-allen-1.html,Wisconsin,Big Ten,11,181,984,5.4,12,89.5,28,132,4.7,0,12.0,209,1116,5.3,12,,2023
Malik Sherrod,malik-sherrod-1,/cfb/players/malik-sherrod-1.html,Fresno State,MWC,12,172,966,5.6,9,80.5,44,260,5.9,1,21.7,216,1226,5.7,10,,2023
Phil Mafah,phil-mafah-1,/cfb/players/phil-mafah-1.html,Clemson,ACC,13,179,965,5.4,13,74.2,21,108,5.1,0,8.3,200,1073,5.4,13,,2023
Emmanuel Michel,emmanuel-michel-1,/cfb/players/emmanuel-michel-1.html,Air Force,MWC,11,204,950,4.7,11,86.4,0,0,,0,0.0,204,950,4.7,11,,2023
Harrison Waylee,harrison-waylee-1,/cfb/players/harrison-waylee-1.html,Wyoming,MWC,10,164,947,5.8,5,94.7,12,66,5.5,0,6.6,176,1013,5.8,5,,2023
TreVeyon Henderson,treveyon-henderson-1,/cfb/players/treveyon-henderson-1.html,Ohio State,Big Ten,10,156,926,5.9,11,92.6,19,229,12.1,0,22.9,175,1155,6.6,11,,2023
Diego Pavia,diego-pavia-1,/cfb/players/diego-pavia-1.html,New Mexico State,CUSA,15,176,923,5.2,7,61.5,0,0,,0,0.0,176,923,5.2,7,,2023
Jarquez Hunter,jarquez-hunter-1,/cfb/players/jarquez-hunter-1.html,Auburn,SEC,12,159,909,5.7,7,75.8,18,118,6.6,0,9.8,177,1027,5.8,7,,2023
Trey Benson,trey-benson-2,/cfb/players/trey-benson-2.html,Florida State,ACC,13,156,906,5.8,14,69.7,20,227,11.4,1,17.5,176,1133,6.4,15,,2023
Kaytron Allen,kaytron-allen-1,/cfb/players/kaytron-allen-1.html,Penn State,Big Ten,13,172,902,5.2,6,69.4,14,81,5.8,1,6.2,186,983,5.3,7,,2023
Bryson Daily,bryson-daily-1,/cfb/players/bryson-daily-1.html,Army,Ind,11,215,901,4.2,7,81.9,0,0,,0,0.0,215,901,4.2,7,,2023
Malik Jackson,malik-jackson-6,/cfb/players/malik-jackson-6.html,Jacksonville State,CUSA,12,146,897,6.1,7,74.8,15,82,5.5,0,6.8,161,979,6.1,7,,2023
Jase McClellan,jase-mcclellan-1,/cfb/players/jase-mcclellan-1.html,Alabama,SEC,13,180,890,4.9,8,68.5,15,137,9.1,0,10.5,195,1027,5.3,8,,2023
Anthony Watkins,anthony-watkins-3,/cfb/players/anthony-watkins-3.html,Tulsa,American,12,197,889,4.5,4,74.1,9,57,6.3,0,4.8,206,946,4.6,4,,2023
Jalen White,jalen-white-1,/cfb/players/jalen-white-1.html,Georgia Southern,Sun Belt,11,160,889,5.6,9,80.8,17,69,4.1,1,6.3,177,958,5.4,10,,2023
Daijun Edwards,daijun-edwards-1,/cfb/players/daijun-edwards-1.html,Georgia,SEC,12,164,881,5.4,13,73.4,20,197,9.9,0,16.4,184,1078,5.9,13,,2023
Jonah Coleman,jonah-coleman-1,/cfb/players/jonah-coleman-1.html,Arizona,Pac-12,13,128,871,6.8,5,67.0,25,283,11.3,1,21.8,153,1154,7.5,6,,2023
Bhayshul Tuten,bhayshul-tuten-1,/cfb/players/bhayshul-tuten-1.html,Virginia Tech,ACC,13,173,863,5.0,10,66.4,27,239,8.9,2,18.4,200,1102,5.5,12,,2023
Carson Steele,carson-steele-1,/cfb/players/carson-steele-1.html,UCLA,Pac-12,12,167,847,5.1,6,70.6,17,163,9.6,2,13.6,184,1010,5.5,8,,2023
Jahiem White,jahiem-white-1,/cfb/players/jahiem-white-1.html,West Virginia,Big 12,12,109,842,7.7,4,70.2,5,125,25.0,2,10.4,114,967,8.5,6,,2023
Quali Conley,quali-conley-1,/cfb/players/quali-conley-1.html,San Jose State,MWC,13,131,842,6.4,9,64.8,27,269,10.0,0,20.7,158,1111,7.0,9,,2023
Nate Noel,nate-noel-1,/cfb/players/nate-noel-1.html,Appalachian State,Sun Belt,11,173,834,4.8,5,75.8,16,86,5.4,0,7.8,189,920,4.9,5,,2023
TJ Harden,tj-harden-1,/cfb/players/tj-harden-1.html,UCLA,Pac-12,13,156,827,5.3,8,63.6,19,142,7.5,1,10.9,175,969,5.5,9,,2023
