Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Rashaad Penny,rashaad-penny-1,/cfb/players/rashaad-penny-1.html,San Diego State,MWC,13,289,2248,7.8,23,172.9,19,135,7.1,2,10.4,308,2383,7.7,25,"H-5,AA",2017
Bryce Love,bryce-love-1,/cfb/players/bryce-love-1.html,Stanford,Pac-12,13,263,2118,8.1,19,162.9,6,33,5.5,0,2.5,269,2151,8.0,19,"H-2,AA",2017
Jonathan Taylor,jonathan-taylor-1,/cfb/players/jonathan-taylor-1.html,Wisconsin,Big Ten,14,299,1977,6.6,13,141.2,8,95,11.9,0,6.8,307,2072,6.7,13,H-6,2017
Devin Singletary,devin-singletary-1,/cfb/players/devin-singletary-1.html,Florida Atlantic,CUSA,14,301,1920,6.4,32,137.1,19,198,10.4,1,14.1,320,2118,6.6,33,,2017
Ahmad Bradshaw,ahmad-bradshaw-2,/cfb/players/ahmad-bradshaw-2.html,Army,Ind,13,242,1746,7.2,14,134.3,0,0,,0,0.0,242,1746,7.2,14,,2017
Lamar Jackson,lamar-jackson-1,/cfb/players/lamar-jackson-1.html,Louisville,ACC,13,232,1601,6.9,18,123.2,0,0,,0,0.0,232,1601,6.9,18,H-3,2017
AJ Dillon,aj-dillon-1,/cfb/players/aj-dillon-1.html,Boston College,ACC,13,300,1589,5.3,14,122.2,0,0,,0,0.0,300,1589,5.3,14,,2017
Ronald Jones,ronald-jones-4,/cfb/players/ronald-jones-4.html,USC,Pac-12,13,261,1550,5.9,19,119.2,14,187,13.4,1,14.4,275,1737,6.3,20,,2017
D'Angelo Brewer,dangelo-brewer-1,/cfb/players/dangelo-brewer-1.html,Tulsa,American,11,288,1517,5.3,9,137.9,9,88,9.8,0,8.0,297,1605,5.4,9,,2017
Diocemy Saint Juste,diocemy-saint-juste-1,/cfb/players/diocemy-saint-juste-1.html,Hawaii,MWC,12,282,1510,5.4,7,125.8,28,157,5.6,1,13.1,310,1667,5.4,8,,2017
Royce Freeman,royce-freeman-1,/cfb/players/royce-freeman-1.html,Oregon,Pac-12,12,244,1475,6.0,16,122.9,14,164,11.7,0,13.7,258,1639,6.4,16,,2017
Phillip Lindsay,phillip-lindsay-1,/cfb/players/phillip-lindsay-1.html,Colorado,Pac-12,12,301,1474,4.9,14,122.8,23,257,11.2,1,21.4,324,1731,5.3,15,,2017
Justice Hill,justice-hill-1,/cfb/players/justice-hill-1.html,Oklahoma State,Big 12,13,268,1467,5.5,15,112.8,31,190,6.1,1,14.6,299,1657,5.5,16,,2017
Josh Adams,josh-adams-2,/cfb/players/josh-adams-2.html,Notre Dame,Ind,13,206,1430,6.9,9,110.0,13,101,7.8,0,7.8,219,1531,7.0,9,,2017
Ito Smith,ito-smith-1,/cfb/players/ito-smith-1.html,Southern Mississippi,CUSA,13,248,1413,5.7,13,108.7,40,396,9.9,2,30.5,288,1809,6.3,15,,2017
Zach Abey,zach-abey-1,/cfb/players/zach-abey-1.html,Navy,American,12,293,1413,4.8,19,117.8,1,5,5.0,1,0.4,294,1418,4.8,20,,2017
Khalil Tate,khalil-tate-1,/cfb/players/khalil-tate-1.html,Arizona,Pac-12,11,153,1411,9.2,12,128.3,0,0,,0,0.0,153,1411,9.2,12,,2017
J.K. Dobbins,jk-dobbins-1,/cfb/players/jk-dobbins-1.html,Ohio State,Big Ten,14,194,1403,7.2,7,100.2,22,135,6.1,1,9.6,216,1538,7.1,8,,2017
Dalyn Dawkins,dalyn-dawkins-1,/cfb/players/dalyn-dawkins-1.html,Colorado State,MWC,13,226,1399,6.2,8,107.6,26,310,11.9,1,23.8,252,1709,6.8,9,,2017
Kerryon Johnson,kerryon-johnson-1,/cfb/players/kerryon-johnson-1.html,Auburn,SEC,12,285,1391,4.9,18,115.9,24,194,8.1,2,16.2,309,1585,5.1,20,H-9,2017
Myles Gaskin,myles-gaskin-1,/cfb/players/myles-gaskin-1.html,Washington,Pac-12,13,222,1380,6.2,21,106.2,19,232,12.2,3,17.8,241,1612,6.7,24,,2017
