Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Ashton Jeanty,ashton-jeanty-1,/cfb/players/ashton-jeanty-1.html,Boise State,MWC,14,374,2601,7.0,29,185.8,23,138,6.0,1,9.9,397,2739,6.9,30,"H-2,Maxwell,AA",2024
Cameron Skattebo,cameron-skattebo-1,/cfb/players/cameron-skattebo-1.html,Arizona State,Big 12,13,293,1711,5.8,21,131.6,45,605,13.4,3,46.5,338,2316,6.9,24,H-5,2024
Omarion Hampton,omarion-hampton-1,/cfb/players/omarion-hampton-1.html,North Carolina,ACC,12,281,1660,5.9,15,138.3,38,373,9.8,2,31.1,319,2033,6.4,17,,2024
Bryson Daily,bryson-daily-1,/cfb/players/bryson-daily-1.html,Army,American,13,310,1659,5.4,32,127.6,0,0,,0,0.0,310,1659,5.4,32,H-6,2024
Tre Stewart,tre-stewart-1,/cfb/players/tre-stewart-1.html,Jacksonville State,CUSA,14,278,1638,5.9,25,117.0,18,234,13.0,1,16.7,296,1872,6.3,26,,2024
R.J. Harvey,rj-harvey-1,/cfb/players/rj-harvey-1.html,UCF,Big 12,12,232,1577,6.8,22,131.4,20,267,13.4,3,22.3,252,1844,7.3,25,,2024
Kaleb Johnson,kaleb-johnson-2,/cfb/players/kaleb-johnson-2.html,Iowa,Big Ten,12,240,1537,6.4,21,128.1,22,188,8.5,2,15.7,262,1725,6.6,23,AA,2024
Tahj Brooks,tahj-brooks-1,/cfb/players/tahj-brooks-1.html,Texas Tech,Big 12,11,286,1505,5.3,17,136.8,28,199,7.1,1,18.1,314,1704,5.4,18,,2024
Dylan Sampson,dylan-sampson-1,/cfb/players/dylan-sampson-1.html,Tennessee,SEC,13,258,1491,5.8,22,114.7,20,143,7.2,0,11.0,278,1634,5.9,22,,2024
Makhi Hughes,makhi-hughes-1,/cfb/players/makhi-hughes-1.html,Tulane,American,14,265,1401,5.3,15,100.1,19,176,9.3,2,12.6,284,1577,5.6,17,,2024
Mario Anderson,mario-anderson-1,/cfb/players/mario-anderson-1.html,Memphis,American,13,236,1362,5.8,18,104.8,52,312,6.0,3,24.0,288,1674,5.8,21,,2024
Ahmad Hardy,ahmad-hardy-1,/cfb/players/ahmad-hardy-1.html,Louisiana-Monroe,Sun Belt,12,237,1351,5.7,13,112.6,8,72,9.0,0,6.0,245,1423,5.8,13,,2024
Tyler Huff,tyler-huff-1,/cfb/players/tyler-huff-1.html,Jacksonville State,CUSA,14,227,1344,5.9,15,96.0,0,0,,0,0.0,227,1344,5.9,15,,2024
DJ Giddens,dj-giddens-1,/cfb/players/dj-giddens-1.html,Kansas State,Big 12,12,205,1343,6.6,7,111.9,21,258,12.3,1,21.5,226,1601,7.1,8,,2024
Brashard Smith,brashard-smith-1,/cfb/players/brashard-smith-1.html,SMU,ACC,14,235,1332,5.7,14,95.1,39,327,8.4,4,23.4,274,1659,6.1,18,,2024
Kyle Monangai,kyle-monangai-1,/cfb/players/kyle-monangai-1.html,Rutgers,Big Ten,11,256,1279,5.0,13,116.3,14,75,5.4,1,6.8,270,1354,5.0,14,,2024
Marquez Cooper,marquez-cooper-1,/cfb/players/marquez-cooper-1.html,San Diego State,MWC,12,292,1274,4.4,12,106.2,20,137,6.9,2,11.4,312,1411,4.5,14,,2024
Jordan James,jordan-james-3,/cfb/players/jordan-james-3.html,Oregon,Big Ten,14,233,1267,5.4,15,90.5,26,209,8.0,0,14.9,259,1476,5.7,15,,2024
Devin Neal,devin-neal-3,/cfb/players/devin-neal-3.html,Kansas,Big 12,12,219,1266,5.8,16,105.5,24,254,10.6,1,21.2,243,1520,6.3,17,,2024
Quinton Cooley,quinton-cooley-1,/cfb/players/quinton-cooley-1.html,Liberty,CUSA,11,205,1254,6.1,13,114.0,1,9,9.0,0,0.8,206,1263,6.1,13,,2024
Blake Horvath,blake-horvath-1,/cfb/players/blake-horvath-1.html,Navy,American,12,175,1246,7.1,17,103.8,1,13,13.0,0,1.1,176,1259,7.2,17,,2024
Anthony Tyus III,anthony-tyus-iii-1,/cfb/players/anthony-tyus-iii-1.html,Ohio,MAC,13,237,1215,5.1,9,93.5,16,137,8.6,2,10.5,253,1352,5.3,11,,2024
Jarquez Hunter,jarquez-hunter-1,/cfb/players/jarquez-hunter-1.html,Auburn,SEC,12,187,1201,6.4,8,100.1,21,155,7.4,1,12.9,208,1356,6.5,9,,2024
Isaac Brown,isaac-brown-4,/cfb/players/isaac-brown-4.html,Louisville,ACC,13,165,1173,7.1,11,90.2,30,152,5.1,1,11.7,195,1325,6.8,12,,2024
Devon Dampier,devon-dampier-1,/cfb/players/devon-dampier-1.html,New Mexico,MWC,12,155,1166,7.5,19,97.2,0,0,,0,0.0,155,1166,7.5,19,,2024
Rahjai Harris,rahjai-harris-1,/cfb/players/rahjai-harris-1.html,East Carolina,American,13,206,1166,5.7,11,89.7,15,91,6.1,0,7.0,221,1257,5.7,11,,2024
Bhayshul Tuten,bhayshul-tuten-1,/cfb/players/bhayshul-tuten-1.html,Virginia Tech,ACC,11,183,1159,6.3,15,105.4,23,81,3.5,2,7.4,206,1240,6.0,17,,2024
Corey Kiner,corey-kiner-1,/cfb/players/corey-kiner-1.html,Cincinnati,Big 12,12,204,1153,5.7,4,96.1,16,111,6.9,0,9.3,220,1264,5.7,4,,2024
Jo'quavious Marks,joquavious-marks-1,/cfb/players/joquavious-marks-1.html,USC,Big Ten,12,198,1133,5.7,9,94.4,47,321,6.8,0,26.8,245,1454,5.9,9,,2024
Jeremiyah Love,jeremiyah-love-1,/cfb/players/jeremiyah-love-1.html,Notre Dame,Ind,16,163,1125,6.9,17,70.3,28,237,8.5,2,14.8,191,1362,7.1,19,,2024
Kanye Udoh,kanye-udoh-1,/cfb/players/kanye-udoh-1.html,Army,American,13,179,1117,6.2,10,85.9,1,3,3.0,0,0.2,180,1120,6.2,10,,2024
Phil Mafah,phil-mafah-1,/cfb/players/phil-mafah-1.html,Clemson,ACC,14,216,1115,5.2,8,79.6,21,103,4.9,0,7.4,237,1218,5.1,8,,2024
Rahsul Faison,rahsul-faison-1,/cfb/players/rahsul-faison-1.html,Utah State,MWC,12,198,1109,5.6,8,92.4,22,99,4.5,0,8.3,220,1208,5.5,8,,2024
Kaytron Allen,kaytron-allen-1,/cfb/players/kaytron-allen-1.html,Penn State,Big Ten,16,220,1108,5.0,8,69.3,18,153,8.5,2,9.6,238,1261,5.3,10,,2024
Nicholas Singleton,nicholas-singleton-1,/cfb/players/nicholas-singleton-1.html,Penn State,Big Ten,15,172,1099,6.4,12,73.3,41,375,9.1,5,25.0,213,1474,6.9,17,,2024
Keyon Mozee,keyon-mozee-1,/cfb/players/keyon-mozee-1.html,Miami (OH),MAC,14,178,1098,6.2,4,78.4,1,2,2.0,0,0.1,179,1100,6.1,4,,2024
Anthony Hankerson,anthony-hankerson-1,/cfb/players/anthony-hankerson-1.html,Oregon State,Ind,12,232,1082,4.7,15,90.2,27,151,5.6,0,12.6,259,1233,4.8,15,,2024
Al-Jay Henderson,al-jay-henderson-1,/cfb/players/al-jay-henderson-1.html,Buffalo,MAC,13,204,1078,5.3,9,82.9,19,238,12.5,1,18.3,223,1316,5.9,10,,2024
Tre Wisner,tre-wisner-1,/cfb/players/tre-wisner-1.html,Texas,SEC,15,226,1064,4.7,5,70.9,44,311,7.1,1,20.7,270,1375,5.1,6,,2024
Eli Sanders,eli-sanders-2,/cfb/players/eli-sanders-2.html,New Mexico,MWC,12,147,1063,7.2,9,88.6,15,134,8.9,0,11.2,162,1197,7.4,9,,2024
Quinshon Judkins,quinshon-judkins-1,/cfb/players/quinshon-judkins-1.html,Ohio State,Big Ten,16,194,1060,5.5,14,66.3,22,161,7.3,2,10.1,216,1221,5.7,16,,2024
Jonah Coleman,jonah-coleman-1,/cfb/players/jonah-coleman-1.html,Washington,Big Ten,13,193,1053,5.5,10,81.0,23,177,7.7,0,13.6,216,1230,5.7,10,,2024
Demond Claiborne,demond-claiborne-1,/cfb/players/demond-claiborne-1.html,Wake Forest,ACC,12,228,1049,4.6,11,87.4,23,254,11.0,2,21.2,251,1303,5.2,13,,2024
Parker Navarro,parker-navarro-1,/cfb/players/parker-navarro-1.html,Ohio,MAC,13,160,1046,6.5,18,80.5,0,0,,0,0.0,160,1046,6.5,18,,2024
Bryson Washington,bryson-washington-3,/cfb/players/bryson-washington-3.html,Baylor,Big 12,11,175,1028,5.9,12,93.5,22,217,9.9,1,19.7,197,1245,6.3,13,,2024
LeQuint Allen,lequint-allen-1,/cfb/players/lequint-allen-1.html,Syracuse,ACC,13,228,1021,4.5,16,78.5,64,521,8.1,4,40.1,292,1542,5.3,20,,2024
TreVeyon Henderson,treveyon-henderson-1,/cfb/players/treveyon-henderson-1.html,Ohio State,Big Ten,16,144,1016,7.1,10,63.5,27,284,10.5,1,17.8,171,1300,7.6,11,,2024
Damien Taylor,damien-taylor-2,/cfb/players/damien-taylor-2.html,Troy,Sun Belt,12,173,1010,5.8,7,84.2,3,19,6.3,1,1.6,176,1029,5.8,8,,2024
Micah Bernard,micah-bernard-1,/cfb/players/micah-bernard-1.html,Utah,Big 12,12,197,1009,5.1,4,84.1,30,150,5.0,2,12.5,227,1159,5.1,6,,2024
Avery Morrow,avery-morrow-1,/cfb/players/avery-morrow-1.html,Colorado State,MWC,13,184,1006,5.5,9,77.4,16,102,6.4,0,7.8,200,1108,5.5,9,,2024
Damien Martinez,damien-martinez-1,/cfb/players/damien-martinez-1.html,Miami (FL),ACC,13,159,1002,6.3,10,77.1,17,204,12.0,0,15.7,176,1206,6.9,10,,2024
Ismail Mahdi,ismail-mahdi-1,/cfb/players/ismail-mahdi-1.html,Texas State,Sun Belt,12,183,991,5.4,4,82.6,24,195,8.1,2,16.3,207,1186,5.7,6,,2024
Darius Taylor,darius-taylor-1,/cfb/players/darius-taylor-1.html,Minnesota,Big Ten,12,205,986,4.8,10,82.2,54,350,6.5,2,29.2,259,1336,5.2,12,,2024
George Pettaway,george-pettaway-1,/cfb/players/george-pettaway-1.html,James Madison,Sun Belt,13,162,980,6.0,5,75.4,24,200,8.3,2,15.4,186,1180,6.3,7,,2024
Desmond Reid,desmond-reid-1,/cfb/players/desmond-reid-1.html,Pitt,ACC,11,184,966,5.3,5,87.8,52,579,11.1,4,52.6,236,1545,6.5,9,,2024
Kalel Mullings,kalel-mullings-1,/cfb/players/kalel-mullings-1.html,Michigan,Big Ten,12,185,948,5.1,12,79.0,6,35,5.8,0,2.9,191,983,5.1,12,,2024
Jamal Haynes,jamal-haynes-1,/cfb/players/jamal-haynes-1.html,Georgia Tech,ACC,13,169,944,5.6,9,72.6,28,166,5.9,3,12.8,197,1110,5.6,12,,2024
Jaden Nixon,jaden-nixon-1,/cfb/players/jaden-nixon-1.html,Western Michigan,MAC,13,143,919,6.4,12,70.7,10,77,7.7,0,5.9,153,996,6.5,12,,2024
Jai'Den Thomas,jaiden-thomas-1,/cfb/players/jaiden-thomas-1.html,Nevada-Las Vegas,MWC,14,164,918,5.6,7,65.6,11,91,8.3,1,6.5,175,1009,5.8,8,,2024
Riley Leonard,riley-leonard-1,/cfb/players/riley-leonard-1.html,Notre Dame,Ind,16,184,906,4.9,17,56.6,1,-8,-8.0,0,-0.5,185,898,4.9,17,,2024
Terion Stewart,terion-stewart-1,/cfb/players/terion-stewart-1.html,Bowling Green,MAC,11,166,898,5.4,6,81.6,1,12,12.0,0,1.1,167,910,5.4,6,,2024
Aaron Young,aaron-young-5,/cfb/players/aaron-young-5.html,Old Dominion,Sun Belt,11,172,887,5.2,8,80.6,9,71,7.9,0,6.5,181,958,5.3,8,,2024
Lee Beebe,lee-beebe-1,/cfb/players/lee-beebe-1.html,UAB,American,12,166,884,5.3,7,73.7,30,219,7.3,1,18.3,196,1103,5.6,8,,2024
Elijah Young,elijah-young-1,/cfb/players/elijah-young-1.html,Western Kentucky,CUSA,14,201,883,4.4,3,63.1,47,384,8.2,2,27.4,248,1267,5.1,5,,2024
Raheim Sanders,raheim-sanders-1,/cfb/players/raheim-sanders-1.html,South Carolina,SEC,12,183,881,4.8,11,73.4,27,316,11.7,2,26.3,210,1197,5.7,13,,2024
Ollie Gordon,ollie-gordon-1,/cfb/players/ollie-gordon-1.html,Oklahoma State,Big 12,12,190,880,4.6,13,73.3,29,179,6.2,1,14.9,219,1059,4.8,14,,2024
A.J. Turner,aj-turner-3,/cfb/players/aj-turner-3.html,Marshall,Sun Belt,11,104,864,8.3,6,78.5,8,68,8.5,2,6.2,112,932,8.3,8,,2024
Tawee Walker,tawee-walker-1,/cfb/players/tawee-walker-1.html,Wisconsin,Big Ten,11,190,864,4.5,10,78.5,11,21,1.9,0,1.9,201,885,4.4,10,,2024
Hajj-Malik Williams,hajj-malik-williams-1,/cfb/players/hajj-malik-williams-1.html,Nevada-Las Vegas,MWC,13,161,851,5.3,9,65.5,0,0,,0,0.0,161,851,5.3,9,,2024
Justice Ellison,justice-ellison-1,/cfb/players/justice-ellison-1.html,Indiana,Big Ten,13,159,848,5.3,10,65.2,13,90,6.9,0,6.9,172,938,5.5,10,,2024
CJ Campbell,cj-campbell-1,/cfb/players/cj-campbell-1.html,Florida Atlantic,American,12,165,844,5.1,11,70.3,40,466,11.7,3,38.8,205,1310,6.4,14,,2024
Jahiem White,jahiem-white-1,/cfb/players/jahiem-white-1.html,West Virginia,Big 12,13,148,844,5.7,7,64.9,19,122,6.4,1,9.4,167,966,5.8,8,,2024
Fluff Bothwell,fluff-bothwell-1,/cfb/players/fluff-bothwell-1.html,South Alabama,Sun Belt,12,111,832,7.5,13,69.3,13,92,7.1,0,7.7,124,924,7.5,13,,2024
Kentrel Bullock,kentrel-bullock-2,/cfb/players/kentrel-bullock-2.html,South Alabama,Sun Belt,13,152,831,5.5,7,63.9,15,153,10.2,1,11.8,167,984,5.9,8,,2024
Camryn Edwards,camryn-edwards-1,/cfb/players/camryn-edwards-1.html,Connecticut,Ind,13,146,830,5.7,8,63.8,13,148,11.4,2,11.4,159,978,6.2,10,,2024
John Mateer,john-mateer-1,/cfb/players/john-mateer-1.html,Washington State,Ind,12,178,826,4.6,15,68.8,0,21,,0,1.8,178,847,4.8,15,,2024
Seth McGowan,seth-mcgowan-1,/cfb/players/seth-mcgowan-1.html,New Mexico State,CUSA,12,152,823,5.4,3,68.6,23,277,12.0,3,23.1,175,1100,6.3,6,,2024
Freddie Brock,freddie-brock-1,/cfb/players/freddie-brock-1.html,Georgia State,Sun Belt,12,151,819,5.4,8,68.3,21,166,7.9,1,13.8,172,985,5.7,9,,2024
Nate Noel,nate-noel-1,/cfb/players/nate-noel-1.html,Missouri,SEC,11,163,818,5.0,3,74.4,15,44,2.9,0,4.0,178,862,4.8,3,,2024
Star Thomas,star-thomas-1,/cfb/players/star-thomas-1.html,Duke,ACC,10,184,810,4.4,7,81.0,16,146,9.1,1,14.6,200,956,4.8,8,,2024
Delbert Mimms,delbert-mimms-1,/cfb/players/delbert-mimms-1.html,Eastern Michigan,MAC,12,184,805,4.4,9,67.1,19,145,7.6,1,12.1,203,950,4.7,10,,2024
Diego Pavia,diego-pavia-1,/cfb/players/diego-pavia-1.html,Vanderbilt,SEC,13,192,801,4.2,8,61.6,0,0,,0,0.0,192,801,4.2,8,,2024
Kelley Joiner Jr.,kelley-joiner-jr-1,/cfb/players/kelley-joiner-jr-1.html,South Florida,American,13,121,799,6.6,12,61.5,8,51,6.4,2,3.9,129,850,6.6,14,,2024
Elijah Davis,elijah-davis-5,/cfb/players/elijah-davis-5.html,Louisiana,Sun Belt,14,163,796,4.9,9,56.9,11,86,7.8,1,6.1,174,882,5.1,10,,2024
Ja'Quinden Jackson,jaquinden-jackson-1,/cfb/players/jaquinden-jackson-1.html,Arkansas,SEC,10,149,790,5.3,15,79.0,13,139,10.7,0,13.9,162,929,5.7,15,,2024
Marion Lukes,marion-lukes-1,/cfb/players/marion-lukes-1.html,Central Michigan,MAC,11,161,788,4.9,5,71.6,16,160,10.0,1,14.5,177,948,5.4,6,,2024
Braydon Bennett,braydon-bennett-1,/cfb/players/braydon-bennett-1.html,Coastal Carolina,Sun Belt,11,134,781,5.8,11,71.0,25,188,7.5,2,17.1,159,969,6.1,13,,2024
Dean Connors,dean-connors-1,/cfb/players/dean-connors-1.html,Rice,American,12,159,780,4.9,9,65.0,62,485,7.8,2,40.4,221,1265,5.7,11,,2024
