Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Cam Cook,cam-cook-1,/cfb/players/cam-cook-1.html,Jacksonville State,CUSA,13,295,1659,5.6,16,127.6,30,286,9.5,0,22.0,325,1945,6.0,16,,2025
Ahmad Hardy,ahmad-hardy-1,/cfb/players/ahmad-hardy-1.html,Missouri,SEC,13,256,1649,6.4,16,126.8,6,22,3.7,0,1.7,262,1671,6.4,16,AA,2025
Kewan Lacy,kewan-lacy-1,/cfb/players/kewan-lacy-1.html,Ole Miss,SEC,15,306,1567,5.1,24,104.5,29,177,6.1,0,11.8,335,1744,5.2,24,,2025
Emmett Johnson,emmett-johnson-2,/cfb/players/emmett-johnson-2.html,Nebraska,Big Ten,12,251,1451,5.8,12,120.9,46,370,8.0,3,30.8,297,1821,6.1,15,,2025
Caleb Hawkins,caleb-hawkins-2,/cfb/players/caleb-hawkins-2.html,North Texas,American,13,231,1434,6.2,25,110.3,32,370,11.6,4,28.5,263,1804,6.9,29,,2025
Sieh Bangura,sieh-bangura-1,/cfb/players/sieh-bangura-1.html,Ohio,MAC,13,241,1392,5.8,15,107.1,13,77,5.9,0,5.9,254,1469,5.8,15,,2025
Wayne Knight,wayne-knight-1,/cfb/players/wayne-knight-1.html,James Madison,Sun Belt,14,207,1373,6.6,9,98.1,40,397,9.9,1,28.4,247,1770,7.2,10,,2025
Jeremiyah Love,jeremiyah-love-1,/cfb/players/jeremiyah-love-1.html,Notre Dame,Ind,12,199,1372,6.9,18,114.3,27,280,10.4,3,23.3,226,1652,7.3,21,"H-3,AA",2025
Evan Dickens,evan-dickens-1,/cfb/players/evan-dickens-1.html,Liberty,CUSA,11,229,1339,5.8,16,121.7,5,61,12.2,1,5.5,234,1400,6.0,17,,2025
Kejon Owens,kejon-owens-1,/cfb/players/kejon-owens-1.html,Florida International,CUSA,13,213,1334,6.3,11,102.6,18,67,3.7,0,5.2,231,1401,6.1,11,,2025
LJ Martin,lj-martin-1,/cfb/players/lj-martin-1.html,BYU,Big 12,13,236,1305,5.5,12,100.4,36,255,7.1,0,19.6,272,1560,5.7,12,,2025
Kaytron Allen,kaytron-allen-1,/cfb/players/kaytron-allen-1.html,Penn State,Big Ten,12,210,1303,6.2,15,108.6,18,68,3.8,0,5.7,228,1371,6.0,15,,2025
Lucky Sutton,lucky-sutton-1,/cfb/players/lucky-sutton-1.html,San Diego State,MWC,13,254,1297,5.1,10,99.8,5,3,0.6,0,0.2,259,1300,5.0,10,,2025
Antwan Raymond,antwan-raymond-1,/cfb/players/antwan-raymond-1.html,Rutgers,Big Ten,12,244,1241,5.1,13,103.4,18,225,12.5,2,18.8,262,1466,5.6,15,,2025
Camryn Edwards,camryn-edwards-1,/cfb/players/camryn-edwards-1.html,Connecticut,Ind,13,210,1240,5.9,15,95.4,19,187,9.8,1,14.4,229,1427,6.2,16,,2025
Cale Hellums,cale-hellums-1,/cfb/players/cale-hellums-1.html,Army,American,13,304,1223,4.0,18,94.1,0,7,,0,0.5,304,1230,4.0,18,,2025
Blake Horvath,blake-horvath-1,/cfb/players/blake-horvath-1.html,Navy,American,12,224,1200,5.4,16,100.0,0,0,,0,0.0,224,1200,5.4,16,,2025
Mark Fletcher Jr.,mark-fletcher-jr-1,/cfb/players/mark-fletcher-jr-1.html,Miami (FL),ACC,14,216,1192,5.5,12,85.1,17,140,8.2,2,10.0,233,1332,5.7,14,,2025
Jadan Baugh,jadan-baugh-1,/cfb/players/jadan-baugh-1.html,Florida,SEC,12,220,1170,5.3,8,97.5,33,210,6.4,2,17.5,253,1380,5.5,10,,2025
Raleek Brown,raleek-brown-1,/cfb/players/raleek-brown-1.html,Arizona State,Big 12,12,186,1141,6.1,4,95.1,34,239,7.0,2,19.9,220,1380,6.3,6,,2025
Nate Sheppard,nate-sheppard-1,/cfb/players/nate-sheppard-1.html,Duke,ACC,14,200,1132,5.7,11,80.9,37,286,7.7,1,20.4,237,1418,6.0,12,,2025
Lincoln Pare,lincoln-pare-1,/cfb/players/lincoln-pare-1.html,Texas State,Sun Belt,13,210,1128,5.4,12,86.8,37,312,8.4,2,24.0,247,1440,5.8,14,,2025
Dylan Riley,dylan-riley-1,/cfb/players/dylan-riley-1.html,Boise State,MWC,14,195,1125,5.8,10,80.4,15,149,9.9,2,10.6,210,1274,6.1,12,,2025
Cameron Dickey,cameron-dickey-1,/cfb/players/cameron-dickey-1.html,Texas Tech,Big 12,14,209,1124,5.4,14,80.3,25,224,9.0,2,16.0,234,1348,5.8,16,,2025
Roman Hemby,roman-hemby-1,/cfb/players/roman-hemby-1.html,Indiana,Big Ten,16,230,1120,4.9,7,70.0,17,165,9.7,0,10.3,247,1285,5.2,7,,2025
