Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Ben LeMay,ben-lemay-1,/cfb/players/ben-lemay-1.html,Charlotte,CUSA,12,232,1243,5.4,11,103.6,21,282,13.4,0,23.5,253,1525,6.0,11,,2018
Joshua Kelley,joshua-kelley-1,/cfb/players/joshua-kelley-1.html,UCLA,Pac-12,11,225,1243,5.5,12,113.0,27,193,7.1,0,17.5,252,1436,5.7,12,,2018
LeVante Bellamy,levante-bellamy-1,/cfb/players/levante-bellamy-1.html,Western Michigan,MAC,13,205,1228,6.0,6,94.5,30,185,6.2,1,14.2,235,1413,6.0,7,,2018
Spencer Brown,spencer-brown-3,/cfb/players/spencer-brown-3.html,UAB,CUSA,14,272,1227,4.5,16,87.6,8,20,2.5,1,1.4,280,1247,4.5,17,,2018
David Montgomery,david-montgomery-1,/cfb/players/david-montgomery-1.html,Iowa State,Big 12,12,257,1216,4.7,13,101.3,22,157,7.1,0,13.1,279,1373,4.9,13,,2018
Larry Rountree III,larry-rountree-iii-1,/cfb/players/larry-rountree-iii-1.html,Missouri,SEC,13,225,1216,5.4,11,93.5,14,62,4.4,0,4.8,239,1278,5.3,11,,2018
Qadree Ollison,oadree-ollison-1,/cfb/players/oadree-ollison-1.html,Pitt,ACC,14,194,1213,6.3,11,86.6,11,66,6.0,0,4.7,205,1279,6.2,11,,2018
Darrynton Evans,darrynton-evans-1,/cfb/players/darrynton-evans-1.html,Appalachian State,Sun Belt,13,179,1187,6.6,7,91.3,12,87,7.3,1,6.7,191,1274,6.7,8,,2018
B.J. Smith,bj-smith-1,/cfb/players/bj-smith-1.html,Troy,Sun Belt,13,219,1186,5.4,13,91.2,9,105,11.7,0,8.1,228,1291,5.7,13,,2018
Greg McCrae,greg-mccrae-1,/cfb/players/greg-mccrae-1.html,UCF,American,13,133,1182,8.9,10,90.9,8,116,14.5,1,8.9,141,1298,9.2,11,,2018
Trey Ragas,trey-ragas-1,/cfb/players/trey-ragas-1.html,Louisiana,Sun Belt,14,207,1181,5.7,8,84.4,25,229,9.2,2,16.4,232,1410,6.1,10,,2018
Karan Higdon,karan-higdon-1,/cfb/players/karan-higdon-1.html,Michigan,Big Ten,11,224,1178,5.3,10,107.1,7,43,6.1,0,3.9,231,1221,5.3,10,,2018
Mohamed Ibrahim,mohamed-ibrahim-1,/cfb/players/mohamed-ibrahim-1.html,Minnesota,Big Ten,10,202,1160,5.7,9,116.0,4,26,6.5,0,2.6,206,1186,5.8,9,,2018
Darrin Hall,darrin-hall-1,/cfb/players/darrin-hall-1.html,Pitt,ACC,14,153,1144,7.5,10,81.7,15,66,4.4,0,4.7,168,1210,7.2,10,,2018
David Pindell,david-pindell-1,/cfb/players/david-pindell-1.html,Connecticut,American,12,212,1139,5.4,10,94.9,1,16,16.0,0,1.3,213,1155,5.4,10,,2018
Stevie Scott,stevie-scott-1,/cfb/players/stevie-scott-1.html,Indiana,Big Ten,12,228,1137,5.0,10,94.8,16,86,5.4,1,7.2,244,1223,5.0,11,,2018
Darius Bradwell,darius-bradwell-1,/cfb/players/darius-bradwell-1.html,Tulane,American,13,201,1134,5.6,11,87.2,4,13,3.3,0,1.0,205,1147,5.6,11,,2018
Pooka Williams,pooka-williams-1,/cfb/players/pooka-williams-1.html,Kansas,Big 12,11,161,1125,7.0,7,102.3,33,289,8.8,2,26.3,194,1414,7.3,9,,2018
Patrick Taylor Jr.,patrick-taylor-jr-1,/cfb/players/patrick-taylor-jr-1.html,Memphis,American,14,208,1122,5.4,16,80.1,17,197,11.6,2,14.1,225,1319,5.9,18,,2018
Jordan Cronkrite,jordan-cronkrite-1,/cfb/players/jordan-cronkrite-1.html,South Florida,American,12,184,1121,6.1,9,93.4,7,30,4.3,0,2.5,191,1151,6.0,9,,2018
Nick Fitzgerald,nick-fitzgerald-2,/cfb/players/nick-fitzgerald-2.html,Mississippi State,SEC,12,221,1121,5.1,13,93.4,0,0,,0,0.0,221,1121,5.1,13,,2018
AJ Dillon,aj-dillon-1,/cfb/players/aj-dillon-1.html,Boston College,ACC,10,227,1108,4.9,10,110.8,8,41,5.1,1,4.1,235,1149,4.9,11,,2018
Ryquell Armstead,ryquell-armstead-1,/cfb/players/ryquell-armstead-1.html,Temple,American,10,210,1098,5.2,13,109.8,8,52,6.5,0,5.2,218,1150,5.3,13,,2018
Zack Moss,zack-moss-1,/cfb/players/zack-moss-1.html,Utah,Pac-12,9,179,1096,6.1,11,121.8,8,50,6.3,1,5.6,187,1146,6.1,12,,2018
Reggie Gallaspy II,reggie-gallaspy-ii-1,/cfb/players/reggie-gallaspy-ii-1.html,North Carolina State,ACC,13,228,1091,4.8,18,83.9,8,38,4.8,1,2.9,236,1129,4.8,19,,2018
Malcolm Perry,malcolm-perry-1,/cfb/players/malcolm-perry-1.html,Navy,American,13,172,1087,6.3,7,83.6,9,167,18.6,1,12.8,181,1254,6.9,8,,2018
Reggie Corbin,reggie-corbin-1,/cfb/players/reggie-corbin-1.html,Illinois,Big Ten,12,128,1085,8.5,9,90.4,16,176,11.0,0,14.7,144,1261,8.8,9,,2018
Devine Ozigbo,devine-ozigbo-1,/cfb/players/devine-ozigbo-1.html,Nebraska,Big Ten,12,155,1082,7.0,12,90.2,23,203,8.8,0,16.9,178,1285,7.2,12,,2018
Lexington Thomas,lexington-thomas-1,/cfb/players/lexington-thomas-1.html,Nevada-Las Vegas,MWC,12,215,1067,5.0,12,88.9,19,165,8.7,1,13.8,234,1232,5.3,13,,2018
Kennedy Brooks,kennedy-brooks-1,/cfb/players/kennedy-brooks-1.html,Oklahoma,Big 12,12,119,1056,8.9,12,88.0,10,57,5.7,0,4.8,129,1113,8.6,12,,2018
J.K. Dobbins,jk-dobbins-1,/cfb/players/jk-dobbins-1.html,Ohio State,Big Ten,14,230,1053,4.6,10,75.2,26,263,10.1,2,18.8,256,1316,5.1,12,,2018
Wesley Fields,wesley-fields-1,/cfb/players/wesley-fields-1.html,Georgia Southern,Sun Belt,12,200,1050,5.3,9,87.5,10,237,23.7,1,19.8,210,1287,6.1,10,,2018
D'Andre Swift,dandre-swift-1,/cfb/players/dandre-swift-1.html,Georgia,SEC,14,163,1049,6.4,10,74.9,32,297,9.3,3,21.2,195,1346,6.9,13,,2018
Kevin Mensah,kevin-mensah-1,/cfb/players/kevin-mensah-1.html,Connecticut,American,12,225,1045,4.6,6,87.1,10,39,3.9,0,3.3,235,1084,4.6,6,,2018
Darwin Thompson,darwin-thompson-1,/cfb/players/darwin-thompson-1.html,Utah State,MWC,13,153,1044,6.8,14,80.3,23,351,15.3,2,27.0,176,1395,7.9,16,,2018
Nick Brossette,nick-brossette-1,/cfb/players/nick-brossette-1.html,LSU,SEC,13,240,1039,4.3,14,79.9,14,78,5.6,0,6.0,254,1117,4.4,14,,2018
Anthony McFarland,anthony-mcfarland-2,/cfb/players/anthony-mcfarland-2.html,Maryland,Big Ten,12,131,1034,7.9,4,86.2,7,73,10.4,0,6.1,138,1107,8.0,4,,2018
Tre Harbison,tre-harbison-1,/cfb/players/tre-harbison-1.html,Northern Illinois,MAC,14,206,1034,5.0,5,73.9,7,33,4.7,0,2.4,213,1067,5.0,5,,2018
Frankie Hickson,frankie-hickson-1,/cfb/players/frankie-hickson-1.html,Liberty,Ind,12,229,1032,4.5,11,86.0,10,57,5.7,0,4.8,239,1089,4.6,11,,2018
Jordan Ellis,jordan-ellis-2,/cfb/players/jordan-ellis-2.html,Virginia,ACC,13,215,1026,4.8,10,78.9,7,69,9.9,0,5.3,222,1095,4.9,10,,2018
CJ Verdell,cj-verdell-1,/cfb/players/cj-verdell-1.html,Oregon,Pac-12,13,202,1018,5.0,10,78.3,27,315,11.7,2,24.2,229,1333,5.8,12,,2018
Elijah Holyfield,elijah-holyfield-1,/cfb/players/elijah-holyfield-1.html,Georgia,SEC,14,159,1018,6.4,7,72.7,5,40,8.0,0,2.9,164,1058,6.5,7,,2018
Kelvin Hopkins Jr.,kelvin-hopkins-jr-1,/cfb/players/kelvin-hopkins-jr-1.html,Army,Ind,12,208,1017,4.9,17,84.8,0,0,,0,0.0,208,1017,4.9,17,,2018
Jaret Patterson,jaret-patterson-1,/cfb/players/jaret-patterson-1.html,Buffalo,MAC,14,183,1013,5.5,14,72.4,7,62,8.9,0,4.4,190,1075,5.7,14,,2018
Travon McMillian,travon-mcmillian-1,/cfb/players/travon-mcmillian-1.html,Colorado,Pac-12,12,201,1009,5.0,7,84.1,14,118,8.4,1,9.8,215,1127,5.2,8,,2018
Cade Carney,cade-carney-1,/cfb/players/cade-carney-1.html,Wake Forest,ACC,13,188,1005,5.3,8,77.3,4,34,8.5,0,2.6,192,1039,5.4,8,,2018
Kyler Murray,kyler-murray-1,/cfb/players/kyler-murray-1.html,Oklahoma,Big 12,14,140,1001,7.2,12,71.5,0,0,,0,0.0,140,1001,7.2,12,H-1,2018
Juwan Washington,juwan-washington-1,/cfb/players/juwan-washington-1.html,San Diego State,MWC,9,199,999,5.0,10,111.0,10,73,7.3,0,8.1,209,1072,5.1,10,,2018
Cole Fagan,cole-fagan-1,/cfb/players/cole-fagan-1.html,Air Force,MWC,12,185,997,5.4,7,83.1,3,53,17.7,0,4.4,188,1050,5.6,7,,2018
Dexter Williams,dexter-williams-1,/cfb/players/dexter-williams-1.html,Notre Dame,Ind,9,158,995,6.3,12,110.6,16,133,8.3,1,14.8,174,1128,6.5,13,,2018
Travis Homer,travis-homer-1,/cfb/players/travis-homer-1.html,Miami (FL),ACC,13,164,985,6.0,4,75.8,19,186,9.8,0,14.3,183,1171,6.4,4,,2018
Deandre Torrey,deandre-torrey-1,/cfb/players/deandre-torrey-1.html,North Texas,CUSA,13,175,977,5.6,15,75.2,25,205,8.2,2,15.8,200,1182,5.9,17,,2018
Elijah Mitchell,elijah-mitchell-2,/cfb/players/elijah-mitchell-2.html,Louisiana,Sun Belt,14,145,977,6.7,13,69.8,20,349,17.5,3,24.9,165,1326,8.0,16,,2018
TaQuon Marshall,taquon-marshall-1,/cfb/players/taquon-marshall-1.html,Georgia Tech,ACC,12,216,971,4.5,11,80.9,1,22,22.0,0,1.8,217,993,4.6,11,,2018
Shamari Brooks,shamari-brooks-1,/cfb/players/shamari-brooks-1.html,Tulsa,American,11,229,967,4.2,7,87.9,6,31,5.2,0,2.8,235,998,4.2,7,,2018
Patrick Laird,patrick-laird-2,/cfb/players/patrick-laird-2.html,California,Pac-12,13,223,961,4.3,5,73.9,51,288,5.6,4,22.2,274,1249,4.6,9,,2018
Darnell Woolfolk,darnell-woolfolk-1,/cfb/players/darnell-woolfolk-1.html,Army,Ind,13,221,956,4.3,14,73.5,1,9,9.0,0,0.7,222,965,4.3,14,,2018
