Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Drew Mestemaker,drew-mestemaker-1,/cfb/players/drew-mestemaker-1.html,North Texas,American,14,319,463,68.9,4379,34,7.3,9,1.9,9.5,10.05,13.7,312.8,168.7,,2025
Darian Mensah,darian-mensah-1,/cfb/players/darian-mensah-1.html,Duke,ACC,14,334,500,66.8,3973,34,6.8,6,1.2,7.9,8.77,11.9,283.8,153.6,,2025
Trinidad Chambliss,trinidad-chambliss-1,/cfb/players/trinidad-chambliss-1.html,Ole Miss,SEC,15,294,445,66.1,3937,22,4.9,3,0.7,8.8,9.53,13.4,262.5,155.4,H-8,2025
Carson Beck,carson-beck-1,/cfb/players/carson-beck-1.html,Miami (FL),ACC,16,338,467,72.4,3813,30,6.4,12,2.6,8.2,8.29,11.3,238.3,157.0,,2025
Jayden Maiava,jayden-maiava-1,/cfb/players/jayden-maiava-1.html,USC,Big Ten,13,265,403,65.8,3711,24,6.0,10,2.5,9.2,9.28,14.0,285.5,157.8,,2025
Nick Minicucci,nick-minicucci-1,/cfb/players/nick-minicucci-1.html,Delaware,CUSA,13,322,512,62.9,3683,23,4.5,7,1.4,7.2,7.48,11.4,283.3,135.4,,2025
Sawyer Robertson,sawyer-robertson-1,/cfb/players/sawyer-robertson-1.html,Baylor,Big 12,12,304,504,60.3,3681,31,6.2,12,2.4,7.3,7.46,12.1,306.8,137.2,,2025
Caden Veltkamp,caden-veltkamp-1,/cfb/players/caden-veltkamp-1.html,Florida Atlantic,American,12,345,515,67.0,3641,24,4.7,17,3.3,7.1,6.52,10.6,303.4,135.2,,2025
Kevin Jennings,kevin-jennings-2,/cfb/players/kevin-jennings-2.html,SMU,ACC,13,300,454,66.1,3641,26,5.7,13,2.9,8.0,7.88,12.1,280.1,146.6,,2025
Julian Sayin,julian-sayin-1,/cfb/players/julian-sayin-1.html,Ohio State,Big Ten,14,301,391,77.0,3610,32,8.2,8,2.0,9.2,9.95,12.0,257.9,177.5,H-4,2025
Ty Simpson,ty-simpson-1,/cfb/players/ty-simpson-1.html,Alabama,SEC,15,305,473,64.5,3567,28,5.9,5,1.1,7.5,8.25,11.7,237.8,145.2,,2025
Dante Moore,dante-moore-1,/cfb/players/dante-moore-1.html,Oregon,Big Ten,15,296,412,71.8,3565,30,7.3,10,2.4,8.7,9.02,12.0,237.7,163.7,,2025
Joey Aguilar,joey-aguilar-1,/cfb/players/joey-aguilar-1.html,Tennessee,SEC,13,272,404,67.3,3565,24,5.9,10,2.5,8.8,8.90,13.1,274.2,156.1,,2025
Diego Pavia,diego-pavia-1,/cfb/players/diego-pavia-1.html,Vanderbilt,SEC,13,267,378,70.6,3539,29,7.7,8,2.1,9.4,9.94,13.3,272.2,170.4,H-2,2025
Fernando Mendoza,fernando-mendoza-1,/cfb/players/fernando-mendoza-1.html,Indiana,Big Ten,16,273,379,72.0,3535,41,10.8,6,1.6,9.3,10.78,12.9,220.9,182.9,"H-1,Maxwell,AA,Camp",2025
Josh Hoover,josh-hoover-1,/cfb/players/josh-hoover-1.html,Texas Christian,Big 12,12,272,413,65.9,3472,29,7.0,13,3.1,8.4,8.39,12.8,289.3,153.4,,2025
Anthony Colandrea,anthony-colandrea-1,/cfb/players/anthony-colandrea-1.html,Nevada-Las Vegas,MWC,14,275,417,65.9,3459,23,5.5,9,2.2,8.3,8.43,12.6,247.1,149.5,,2025
Jaron-Keawe Sagapolutele,jaron-keawe-sagapolutele-1,/cfb/players/jaron-keawe-sagapolutele-1.html,California,ACC,13,316,492,64.2,3454,18,3.7,9,1.8,7.0,6.93,10.9,265.7,131.6,,2025
