Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Michael Penix Jr.,michael-penix-jr-1,/cfb/players/michael-penix-jr-1.html,Washington,Pac-12,15,363,555,65.4,4903,36,6.5,11,2.0,8.8,9.24,13.5,326.9,157.1,"H-2,Maxwell",2023
Bo Nix,bo-nix-1,/cfb/players/bo-nix-1.html,Oregon,Pac-12,14,364,470,77.4,4508,45,9.6,3,0.6,9.6,11.22,12.4,322.0,188.3,H-3,2023
Carson Beck,carson-beck-1,/cfb/players/carson-beck-1.html,Georgia,SEC,14,302,417,72.4,3941,24,5.8,6,1.4,9.5,9.95,13.0,281.5,167.9,,2023
Seth Henigan,seth-henigan-1,/cfb/players/seth-henigan-1.html,Memphis,American,13,318,476,66.8,3883,32,6.7,9,1.9,8.2,8.65,12.2,298.7,153.7,,2023
Jayden Daniels,jayden-daniels-1,/cfb/players/jayden-daniels-1.html,LSU,SEC,12,236,327,72.2,3812,40,12.2,4,1.2,11.7,13.55,16.2,317.7,208.0,"H-1,AA,Camp",2023
Davis Brin,davis-brin-1,/cfb/players/davis-brin-1.html,Georgia Southern,Sun Belt,13,362,552,65.6,3781,24,4.3,19,3.4,6.8,6.17,10.4,290.8,130.6,,2023
Joey Aguilar,joey-aguilar-1,/cfb/players/joey-aguilar-1.html,Appalachian State,Sun Belt,14,293,460,63.7,3757,33,7.2,10,2.2,8.2,8.62,12.8,268.4,151.6,,2023
Cameron Ward,cameron-ward-1,/cfb/players/cameron-ward-1.html,Washington State,Pac-12,12,323,485,66.6,3736,25,5.2,7,1.4,7.7,8.08,11.6,311.3,145.4,,2023
Dillon Gabriel,dillon-gabriel-1,/cfb/players/dillon-gabriel-1.html,Oklahoma,Big 12,12,266,384,69.3,3660,30,7.8,6,1.6,9.5,10.39,13.8,305.0,172.0,,2023
Jordan McCloud,jordan-mccloud-1,/cfb/players/jordan-mccloud-1.html,James Madison,Sun Belt,13,281,412,68.2,3657,35,8.5,10,2.4,8.9,9.48,13.0,281.3,165.9,,2023
Caleb Williams,caleb-williams-3,/cfb/players/caleb-williams-3.html,USC,Pac-12,12,266,388,68.6,3633,30,7.7,5,1.3,9.4,10.33,13.7,302.8,170.1,,2023
Drake Maye,drake-maye-1,/cfb/players/drake-maye-1.html,North Carolina,ACC,12,269,425,63.3,3608,24,5.6,9,2.1,8.5,8.67,13.4,300.7,149.0,,2023
Gunnar Watson,gunnar-watson-1,/cfb/players/gunnar-watson-1.html,Troy,Sun Belt,14,268,439,61.0,3569,27,6.2,6,1.4,8.1,8.74,13.3,254.9,146.9,,2023
Brayden Schager,brayden-schager-1,/cfb/players/brayden-schager-1.html,Hawaii,MWC,13,332,525,63.2,3542,26,5.0,14,2.7,6.7,6.54,10.7,272.5,130.9,,2023
Quinn Ewers,quinn-ewers-1,/cfb/players/quinn-ewers-1.html,Texas,Big 12,12,272,394,69.0,3479,22,5.6,6,1.5,8.8,9.26,12.8,289.9,158.6,,2023
Alan Bowman,alan-bowman-1,/cfb/players/alan-bowman-1.html,Oklahoma State,Big 12,14,304,501,60.7,3460,15,3.0,14,2.8,6.9,6.25,11.4,247.1,123.0,,2023
Brayden Fowler-Nicolosi,brayden-fowler-nicolosi-1,/cfb/players/brayden-fowler-nicolosi-1.html,Colorado State,MWC,12,292,470,62.1,3460,22,4.7,16,3.4,7.4,6.77,11.8,288.3,132.6,,2023
TJ Finley,tj-finley-1,/cfb/players/tj-finley-1.html,Texas State,Sun Belt,13,279,414,67.4,3439,24,5.8,8,1.9,8.3,8.60,12.3,264.5,152.4,,2023
Chandler Rogers,chandler-rogers-3,/cfb/players/chandler-rogers-3.html,North Texas,American,12,262,421,62.2,3382,29,6.9,5,1.2,8.0,8.88,12.9,281.8,150.1,,2023
Taulia Tagovailoa,taulia-tagovailoa-1,/cfb/players/taulia-tagovailoa-1.html,Maryland,Big Ten,12,290,437,66.4,3377,25,5.7,11,2.5,7.7,7.74,11.6,281.4,145.1,,2023
Jaxson Dart,jaxson-dart-1,/cfb/players/jaxson-dart-1.html,Ole Miss,SEC,13,233,358,65.1,3364,23,6.4,5,1.4,9.4,10.05,14.4,258.8,162.4,,2023
Austin Reed,austin-reed-2,/cfb/players/austin-reed-2.html,Western Kentucky,CUSA,12,289,470,61.5,3340,31,6.6,11,2.3,7.1,7.37,11.6,278.3,138.3,,2023
Brady Cook,brady-cook-1,/cfb/players/brady-cook-1.html,Missouri,SEC,13,244,369,66.1,3317,21,5.7,6,1.6,9.0,9.40,13.6,255.2,157.2,,2023
Byrum Brown,byrum-brown-1,/cfb/players/byrum-brown-1.html,South Florida,American,13,276,427,64.6,3292,26,6.1,11,2.6,7.7,7.77,11.9,253.2,144.3,,2023
Shedeur Sanders,shedeur-sanders-1,/cfb/players/shedeur-sanders-1.html,Colorado,Pac-12,11,298,430,69.3,3230,27,6.3,3,0.7,7.5,8.45,10.8,293.6,151.7,,2023
Jack Plummer,jack-plummer-1,/cfb/players/jack-plummer-1.html,Louisville,ACC,14,256,395,64.8,3204,21,5.3,12,3.0,8.1,7.81,12.5,228.9,144.4,,2023
Preston Stone,preston-stone-1,/cfb/players/preston-stone-1.html,SMU,American,12,206,344,59.9,3197,28,8.1,6,1.7,9.3,10.14,15.5,266.4,161.3,,2023
Spencer Rattler,spencer-rattler-1,/cfb/players/spencer-rattler-1.html,South Carolina,SEC,12,275,399,68.9,3186,19,4.8,8,2.0,8.0,8.04,11.6,265.5,147.7,,2023
Kyle McCord,kyle-mccord-1,/cfb/players/kyle-mccord-1.html,Ohio State,Big Ten,12,229,348,65.8,3170,24,6.9,6,1.7,9.1,9.71,13.8,264.2,161.6,,2023
Jacob Zeno,jacob-zeno-1,/cfb/players/jacob-zeno-1.html,UAB,American,11,279,379,73.6,3126,20,5.3,9,2.4,8.2,8.23,11.2,284.2,155.6,,2023
Rocco Becht,rocco-becht-1,/cfb/players/rocco-becht-1.html,Iowa State,Big 12,13,231,367,62.9,3120,23,6.3,8,2.2,8.5,8.77,13.5,240.0,150.7,,2023
Nicholas Vattiato,nicholas-vattiato-1,/cfb/players/nicholas-vattiato-1.html,Middle Tennessee State,CUSA,12,286,428,66.8,3092,23,5.4,13,3.0,7.2,6.93,10.8,257.7,139.2,,2023
Jayden Maiava,jayden-maiava-1,/cfb/players/jayden-maiava-1.html,Nevada-Las Vegas,MWC,14,224,353,63.5,3085,17,4.8,10,2.8,8.7,8.43,13.8,220.4,147.1,,2023
