Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Mac Jones,mac-jones-1,/cfb/players/mac-jones-1.html,Alabama,SEC,13,311,402,77.4,4500,41,10.2,4,1.0,11.2,12.79,14.5,346.2,203.1,"H-3,AA",2020
Kyle Trask,kyle-trask-1,/cfb/players/kyle-trask-1.html,Florida,SEC,12,301,437,68.9,4283,43,9.8,8,1.8,9.8,10.95,14.2,356.9,180.0,H-4,2020
Zach Wilson,zach-wilson-3,/cfb/players/zach-wilson-3.html,BYU,Ind,12,247,336,73.5,3692,33,9.8,3,0.9,11.0,12.55,14.9,307.7,196.4,H-8,2020
Sam Howell,sam-howell-1,/cfb/players/sam-howell-1.html,North Carolina,ACC,12,237,348,68.1,3586,30,8.6,7,2.0,10.3,11.12,15.1,298.8,179.1,,2020
Dillon Gabriel,dillon-gabriel-1,/cfb/players/dillon-gabriel-1.html,UCF,American,10,248,413,60.0,3570,32,7.7,4,1.0,8.6,9.76,14.4,357.0,156.3,,2020
Brady White,brady-white-1,/cfb/players/brady-white-1.html,Memphis,American,11,254,420,60.5,3380,31,7.4,10,2.4,8.0,8.45,13.3,307.3,147.7,,2020
Matt Corral,matt-corral-1,/cfb/players/matt-corral-1.html,Ole Miss,SEC,10,231,326,70.9,3337,29,8.9,14,4.3,10.2,10.08,14.4,333.7,177.6,,2020
Trevor Lawrence,trevor-lawrence-1,/cfb/players/trevor-lawrence-1.html,Clemson,ACC,10,231,334,69.2,3153,24,7.2,5,1.5,9.4,10.20,13.6,315.3,169.2,H-2,2020
Shane Buechele,shane-buechele-1,/cfb/players/shane-buechele-1.html,SMU,American,10,242,370,65.4,3095,23,6.2,6,1.6,8.4,8.88,12.8,309.5,152.9,,2020
Spencer Rattler,spencer-rattler-1,/cfb/players/spencer-rattler-1.html,Oklahoma,Big 12,11,214,317,67.5,3031,28,8.8,7,2.2,9.6,10.33,14.2,275.5,172.6,,2020
Carson Strong,carson-strong-1,/cfb/players/carson-strong-1.html,Nevada,MWC,9,249,355,70.1,2858,27,7.6,4,1.1,8.1,9.06,11.5,317.6,160.6,,2020
Ian Book,ian-book-1,/cfb/players/ian-book-1.html,Notre Dame,ACC,12,228,353,64.6,2830,15,4.2,3,0.8,8.0,8.48,12.4,235.8,144.3,H-9,2020
Brock Purdy,brock-purdy-1,/cfb/players/brock-purdy-1.html,Iowa State,Big 12,12,243,365,66.6,2750,19,5.2,9,2.5,7.5,7.47,11.3,229.2,142.1,,2020
D'Eriq King,deriq-king-1,/cfb/players/deriq-king-1.html,Miami (FL),ACC,11,211,329,64.1,2686,23,7.0,5,1.5,8.2,8.88,12.7,244.2,152.7,,2020
Malik Cunningham,malik-cunningham-1,/cfb/players/malik-cunningham-1.html,Louisville,ACC,11,195,304,64.1,2617,20,6.6,12,3.9,8.6,8.15,13.4,237.9,150.3,,2020
Jarret Doege,jarret-doege-1,/cfb/players/jarret-doege-1.html,West Virginia,Big 12,10,239,374,63.9,2587,14,3.7,4,1.1,6.9,7.18,10.8,258.7,132.2,,2020
Sam Ehlinger,sam-ehlinger-1,/cfb/players/sam-ehlinger-1.html,Texas,Big 12,10,194,322,60.2,2566,26,8.1,5,1.6,8.0,8.89,13.2,256.6,150.7,,2020
Phil Jurkovec,phil-jurkovec-1,/cfb/players/phil-jurkovec-1.html,Boston College,ACC,10,205,336,61.0,2558,17,5.1,5,1.5,7.6,7.96,12.5,255.8,138.7,,2020
Grayson McCall,grayson-mccall-1,/cfb/players/grayson-mccall-1.html,Coastal Carolina,Sun Belt,11,172,250,68.8,2488,26,10.4,3,1.2,10.0,11.49,14.5,226.2,184.3,,2020
Bo Nix,bo-nix-1,/cfb/players/bo-nix-1.html,Auburn,SEC,11,214,357,59.9,2415,12,3.4,7,2.0,6.8,6.55,11.3,219.5,123.9,,2020
Kenny Pickett,kenny-pickett-1,/cfb/players/kenny-pickett-1.html,Pitt,ACC,9,203,332,61.1,2408,13,3.9,9,2.7,7.3,6.82,11.9,267.6,129.6,,2020
Connor Bazelak,connor-bazelak-1,/cfb/players/connor-bazelak-1.html,Missouri,SEC,10,218,324,67.3,2366,7,2.2,6,1.9,7.3,6.90,10.9,236.6,132.1,,2020
Desmond Ridder,desmond-ridder-1,/cfb/players/desmond-ridder-1.html,Cincinnati,American,10,186,281,66.2,2296,19,6.8,6,2.1,8.2,8.56,12.3,229.6,152.9,,2020
Kellen Mond,kellen-mond-1,/cfb/players/kellen-mond-1.html,Texas A&M,SEC,10,188,297,63.3,2282,19,6.4,3,1.0,7.7,8.51,12.1,228.2,146.9,,2020
Cornelious Brown,cornelious-brown-1,/cfb/players/cornelious-brown-1.html,Georgia State,Sun Belt,10,178,304,58.6,2278,17,5.6,10,3.3,7.5,7.13,12.8,227.8,133.4,,2020
Levi Lewis,levi-lewis-1,/cfb/players/levi-lewis-1.html,Louisiana,Sun Belt,11,177,297,59.6,2274,19,6.4,7,2.4,7.7,7.88,12.8,206.7,140.3,,2020
Malik Willis,malik-willis-1,/cfb/players/malik-willis-1.html,Liberty,Ind,10,170,265,64.2,2260,20,7.5,6,2.3,8.5,9.02,13.3,226.0,156.2,,2020
Sam Hartman,sam-hartman-1,/cfb/players/sam-hartman-1.html,Wake Forest,ACC,9,159,273,58.2,2224,13,4.8,5,1.8,8.1,8.27,14.0,247.1,138.7,,2020
Zac Thomas,zac-thomas-2,/cfb/players/zac-thomas-2.html,Appalachian State,Sun Belt,12,186,291,63.9,2189,20,6.9,11,3.8,7.5,7.20,11.8,182.4,142.2,,2020
Nick Starkel,nick-starkel-1,/cfb/players/nick-starkel-1.html,San Jose State,MWC,8,163,254,64.2,2174,17,6.7,7,2.8,8.6,8.66,13.3,271.8,152.6,,2020
Chase Brice,chase-brice-1,/cfb/players/chase-brice-1.html,Duke,ACC,11,193,352,54.8,2170,10,2.8,15,4.3,6.2,4.82,11.2,197.3,107.5,,2020
Drew Plitt,drew-plitt-1,/cfb/players/drew-plitt-1.html,Ball State,MAC,8,164,250,65.6,2154,17,6.8,6,2.4,8.6,8.90,13.1,269.3,155.6,,2020
Gunnar Watson,gunnar-watson-1,/cfb/players/gunnar-watson-1.html,Troy,Sun Belt,9,211,301,70.1,2141,16,5.3,7,2.3,7.1,7.13,10.1,237.9,142.7,,2020
Brennan Armstrong,brennan-armstrong-1,/cfb/players/brennan-armstrong-1.html,Virginia,ACC,9,157,268,58.6,2117,18,6.7,11,4.1,7.9,7.40,13.5,235.2,138.9,,2020
Feleipe Franks,feleipe-franks-1,/cfb/players/feleipe-franks-1.html,Arkansas,SEC,10,163,238,68.5,2107,17,7.1,4,1.7,8.9,9.53,12.9,210.7,163.1,,2020
Justin Fields,justin-fields-2,/cfb/players/justin-fields-2.html,Ohio State,Big Ten,8,158,225,70.2,2100,22,9.8,6,2.7,9.3,10.09,13.3,262.5,175.6,H-7,2020
Grant Wells,grant-wells-1,/cfb/players/grant-wells-1.html,Marshall,CUSA,10,165,270,61.1,2091,18,6.7,9,3.3,7.7,7.58,12.7,209.1,141.5,,2020
Bailey Hockman,bailey-hockman-1,/cfb/players/bailey-hockman-1.html,North Carolina State,ACC,10,171,266,64.3,2088,13,4.9,11,4.1,7.8,6.97,12.2,208.8,138.1,,2020
Chevan Cordeiro,chevan-cordeiro-1,/cfb/players/chevan-cordeiro-1.html,Hawaii,MWC,9,195,313,62.3,2083,14,4.5,6,1.9,6.7,6.69,10.7,231.4,129.1,,2020
Layne Hatcher,layne-hatcher-1,/cfb/players/layne-hatcher-1.html,Arkansas State,Sun Belt,11,116,194,59.8,2058,19,9.8,2,1.0,10.6,12.10,17.7,187.1,179.2,,2020
Clayton Tune,clayton-tune-1,/cfb/players/clayton-tune-1.html,Houston,American,8,170,285,59.6,2048,15,5.3,10,3.5,7.2,6.66,12.0,256.0,130.4,,2020
Jake Haener,jake-haener-1,/cfb/players/jake-haener-1.html,Fresno State,MWC,6,150,232,64.7,2021,14,6.0,5,2.2,8.7,8.95,13.5,336.8,153.4,,2020
Spencer Sanders,spencer-sanders-1,/cfb/players/spencer-sanders-1.html,Oklahoma State,Big 12,9,155,247,62.8,2007,14,5.7,8,3.2,8.1,7.80,12.9,223.0,143.2,,2020
Will Rogers,will-rogers-1,/cfb/players/will-rogers-1.html,Mississippi State,SEC,9,239,346,69.1,1976,11,3.2,7,2.0,5.7,5.44,8.3,219.6,123.5,,2020
Asher O'Hara,asher-ohara-1,/cfb/players/asher-ohara-1.html,Middle Tennessee State,CUSA,9,192,288,66.7,1960,12,4.2,8,2.8,6.8,6.39,10.2,217.8,132.0,,2020
Charlie Brewer,charlie-brewer-1,/cfb/players/charlie-brewer-1.html,Baylor,Big 12,9,198,321,61.7,1958,14,4.4,8,2.5,6.1,5.85,9.9,217.6,122.3,,2020
Zach Smith,zach-smith-6,/cfb/players/zach-smith-6.html,Tulsa,American,9,147,263,55.9,1947,13,4.9,10,3.8,7.4,6.68,13.2,216.3,126.8,,2020
Ken Seals,ken-seals-1,/cfb/players/ken-seals-1.html,Vanderbilt,SEC,9,186,288,64.6,1928,12,4.2,10,3.5,6.7,5.97,10.4,214.2,127.6,,2020
Brady McBride,brady-mcbride-1,/cfb/players/brady-mcbride-1.html,Texas State,Sun Belt,9,173,282,61.3,1925,17,6.0,7,2.5,6.8,6.91,11.1,213.9,133.6,,2020
Holton Ahlers,holton-ahlers-1,/cfb/players/holton-ahlers-1.html,East Carolina,American,8,165,269,61.3,1921,18,6.7,9,3.3,7.1,6.97,11.6,240.1,136.7,,2020
Kedon Slovis,kedon-slovis-1,/cfb/players/kedon-slovis-1.html,USC,Pac-12,6,177,264,67.0,1921,17,6.4,7,2.7,7.3,7.37,10.9,320.2,144.1,,2020
Desmond Trotter,desmond-trotter-1,/cfb/players/desmond-trotter-1.html,South Alabama,Sun Belt,10,160,248,64.5,1917,11,4.4,4,1.6,7.7,7.89,12.0,191.7,140.9,,2020
Sean Clifford,sean-clifford-1,/cfb/players/sean-clifford-1.html,Penn State,Big Ten,9,152,251,60.6,1883,16,6.4,9,3.6,7.5,7.16,12.4,209.2,137.4,,2020
Jeff Sims,jeff-sims-1,/cfb/players/jeff-sims-1.html,Georgia Tech,ACC,10,141,257,54.9,1881,13,5.1,13,5.1,7.3,6.05,13.3,188.1,122.9,,2020
Logan Bonner,logan-bonner-1,/cfb/players/logan-bonner-1.html,Arkansas State,Sun Belt,11,156,262,59.5,1863,18,6.9,6,2.3,7.1,7.45,11.9,169.4,137.4,,2020
Michael Pratt,michael-pratt-1,/cfb/players/michael-pratt-1.html,Tulane,American,10,140,254,55.1,1806,20,7.9,8,3.1,7.1,7.27,12.9,180.6,134.5,,2020
Max Duggan,max-duggan-1,/cfb/players/max-duggan-1.html,Texas Christian,Big 12,10,146,240,60.8,1795,10,4.2,4,1.7,7.5,7.56,12.3,179.5,134.1,,2020
Peyton Ramsey,peyton-ramsey-1,/cfb/players/peyton-ramsey-1.html,Northwestern,Big Ten,9,172,282,61.0,1733,12,4.3,8,2.8,6.1,5.72,10.1,192.6,121.0,,2020
Kaleb Eleby,kaleb-eleby-1,/cfb/players/kaleb-eleby-1.html,Western Michigan,MAC,6,99,153,64.7,1715,18,11.8,2,1.3,11.2,12.97,17.3,285.8,195.1,,2020
Preston Hutchinson,preston-hutchinson-1,/cfb/players/preston-hutchinson-1.html,Eastern Michigan,MAC,6,126,198,63.6,1657,12,6.1,6,3.0,8.4,8.22,13.2,276.2,147.9,,2020
Austin Aune,austin-aune-1,/cfb/players/austin-aune-1.html,North Texas,CUSA,8,101,185,54.6,1650,13,7.0,4,2.2,8.9,9.35,16.3,206.3,148.4,,2020
Michael Penix Jr.,michael-penix-jr-1,/cfb/players/michael-penix-jr-1.html,Indiana,Big Ten,6,124,220,56.4,1645,14,6.4,4,1.8,7.5,7.93,13.3,274.2,136.5,,2020
Frank Harris,frank-harris-3,/cfb/players/frank-harris-3.html,UTSA,CUSA,12,159,250,63.6,1630,12,4.8,6,2.4,6.5,6.40,10.3,135.8,129.4,,2020
Tyrrell Pigrome,tyrrell-pigrome-1,/cfb/players/tyrrell-pigrome-1.html,Western Kentucky,CUSA,11,171,297,57.6,1603,9,3.0,2,0.7,5.4,5.70,9.4,145.7,111.6,,2020
Alan Bowman,alan-bowman-1,/cfb/players/alan-bowman-1.html,Texas Tech,Big 12,8,150,232,64.7,1602,10,4.3,7,3.0,6.9,6.41,10.7,200.3,130.8,,2020
Spencer Petras,spencer-petras-1,/cfb/players/spencer-petras-1.html,Iowa,Big Ten,8,140,245,57.1,1569,9,3.7,5,2.0,6.4,6.22,11.2,196.1,119.0,,2020
Tyler Shough,tyler-shough-1,/cfb/players/tyler-shough-1.html,Oregon,Pac-12,7,106,167,63.5,1559,13,7.8,6,3.6,9.3,9.28,14.7,222.7,160.4,,2020
Colby Suits,colby-suits-1,/cfb/players/colby-suits-1.html,Louisiana-Monroe,Sun Belt,8,152,249,61.0,1541,8,3.2,7,2.8,6.2,5.57,10.1,192.6,118.0,,2020
Davis Mills,davis-mills-1,/cfb/players/davis-mills-1.html,Stanford,Pac-12,5,129,195,66.2,1508,7,3.6,3,1.5,7.7,7.76,11.7,301.6,139.9,,2020
Luke Anthony,luke-anthony-1,/cfb/players/luke-anthony-1.html,Louisiana Tech,CUSA,9,138,221,62.4,1479,16,7.2,5,2.3,6.7,7.12,10.7,164.3,138.0,,2020
Gavin Hardison,gavin-hardison-1,/cfb/players/gavin-hardison-1.html,UTEP,CUSA,7,108,199,54.3,1419,5,2.5,5,2.5,7.1,6.50,13.1,202.7,117.4,,2020
Collin Hill,collin-hill-1,/cfb/players/collin-hill-1.html,South Carolina,SEC,8,127,215,59.1,1411,6,2.8,6,2.8,6.6,5.87,11.1,176.4,117.8,,2020
Tanner Morgan,tanner-morgan-2,/cfb/players/tanner-morgan-2.html,Minnesota,Big Ten,7,106,183,57.9,1374,7,3.8,5,2.7,7.5,7.04,13.0,196.3,128.2,,2020
Ross Bowers,ross-bowers-1,/cfb/players/ross-bowers-1.html,Northern Illinois,MAC,6,123,212,58.0,1365,10,4.7,2,0.9,6.4,6.96,11.1,227.5,125.8,,2020
Jordan McCloud,jordan-mccloud-1,/cfb/players/jordan-mccloud-1.html,South Florida,American,8,120,194,61.9,1341,9,4.6,2,1.0,6.9,7.38,11.2,167.6,133.2,,2020
Hendon Hooker,hendon-hooker-1,/cfb/players/hendon-hooker-1.html,Virginia Tech,ACC,8,98,150,65.3,1339,9,6.0,5,3.3,8.9,8.63,13.7,167.4,153.5,,2020
Kyle Vantrease,kyle-vantrease-1,/cfb/players/kyle-vantrease-1.html,Buffalo,MAC,7,96,154,62.3,1326,7,4.5,3,1.9,8.6,8.64,13.8,189.4,145.8,,2020
Chris Reynolds,chris-reynolds-1,/cfb/players/chris-reynolds-1.html,Charlotte,CUSA,6,96,175,54.9,1305,8,4.6,2,1.1,7.5,7.86,13.6,217.5,130.3,,2020
K.J. Costello,kj-costello-1,/cfb/players/kj-costello-1.html,Mississippi State,SEC,6,134,209,64.1,1283,6,2.9,11,5.3,6.1,4.34,9.6,213.8,114.6,,2020
Noah Vedral,noah-vedral-1,/cfb/players/noah-vedral-1.html,Rutgers,Big Ten,7,136,221,61.5,1253,9,4.1,8,3.6,5.7,4.86,9.2,179.0,115.4,,2020
Graham Mertz,graham-mertz-1,/cfb/players/graham-mertz-1.html,Wisconsin,Big Ten,7,118,193,61.1,1238,9,4.7,5,2.6,6.4,6.18,10.5,176.9,125.2,,2020
JT Daniels,jt-daniels-1,/cfb/players/jt-daniels-1.html,Georgia,SEC,4,80,119,67.2,1231,10,8.4,2,1.7,10.3,11.27,15.4,307.8,178.5,,2020
Jack Abraham,jack-abraham-1,/cfb/players/jack-abraham-1.html,Southern Mississippi,CUSA,5,97,149,65.1,1224,7,4.7,4,2.7,8.2,7.95,12.6,244.8,144.2,,2020
Terry Wilson,terry-wilson-3,/cfb/players/terry-wilson-3.html,Kentucky,SEC,10,125,200,62.5,1187,7,3.5,4,2.0,5.9,5.74,9.5,118.7,119.9,,2020
Dustin Crum,dustin-crum-1,/cfb/players/dustin-crum-1.html,Kent State,MAC,4,83,113,73.5,1181,12,10.6,2,1.8,10.5,11.78,14.2,295.3,192.7,,2020
Stetson Bennett,stetson-bennett-1,/cfb/players/stetson-bennett-1.html,Georgia,SEC,8,86,155,55.5,1179,8,5.2,6,3.9,7.6,6.90,13.7,147.4,128.7,,2020
Will Howard,will-howard-2,/cfb/players/will-howard-2.html,Kansas State,Big 12,9,90,168,53.6,1178,8,4.8,10,6.0,7.0,5.29,13.1,130.9,116.3,,2020
Hank Bachmeier,hank-bachmeier-1,/cfb/players/hank-bachmeier-1.html,Boise State,MWC,5,96,156,61.5,1150,6,3.8,2,1.3,7.4,7.56,12.0,230.0,133.6,,2020
Jason Bean,jason-bean-1,/cfb/players/jason-bean-1.html,North Texas,CUSA,8,79,145,54.5,1131,14,9.7,5,3.4,7.8,8.18,14.3,141.4,145.0,,2020
Dorian Thompson-Robinson,dorian-thompson-robinson-1,/cfb/players/dorian-thompson-robinson-1.html,UCLA,Pac-12,5,90,138,65.2,1120,12,8.7,4,2.9,8.1,8.55,12.4,224.0,156.3,,2020
Jarrett Guarantano,jarrett-guarantano-1,/cfb/players/jarrett-guarantano-1.html,Tennessee,SEC,7,103,166,62.0,1112,6,3.6,4,2.4,6.7,6.34,10.8,158.9,125.4,,2020
Myles Brennan,myles-brennan-1,/cfb/players/myles-brennan-1.html,LSU,SEC,3,79,131,60.3,1112,11,8.4,3,2.3,8.5,9.14,14.1,370.7,154.7,,2020
Eli Peters,eli-peters-1,/cfb/players/eli-peters-1.html,Toledo,MAC,4,88,129,68.2,1106,9,7.0,2,1.6,8.6,9.27,12.6,276.5,160.2,,2020
Sam Noyer,sam-noyer-1,/cfb/players/sam-noyer-1.html,Colorado,Pac-12,6,88,160,55.0,1101,6,3.8,7,4.4,6.9,5.66,12.5,183.5,116.4,,2020
Rocky Lombardi,rocky-lombardi-1,/cfb/players/rocky-lombardi-1.html,Michigan State,Big Ten,6,84,157,53.5,1090,8,5.1,9,5.7,6.9,5.38,13.0,181.7,117.2,,2020
Joe Milton,joe-milton-2,/cfb/players/joe-milton-2.html,Michigan,Big Ten,6,80,141,56.7,1077,4,2.8,4,2.8,7.6,6.93,13.5,179.5,124.6,,2020
Max Johnson,max-johnson-2,/cfb/players/max-johnson-2.html,LSU,SEC,6,88,150,58.7,1069,8,5.3,1,0.7,7.1,7.89,12.1,178.2,134.8,,2020
Henry Colombi,henry-colombi-1,/cfb/players/henry-colombi-1.html,Texas Tech,Big 12,6,109,166,65.7,1065,8,4.8,4,2.4,6.4,6.30,9.8,177.5,130.6,,2020
Shai Werts,shai-werts-1,/cfb/players/shai-werts-1.html,Georgia Southern,Sun Belt,11,80,133,60.2,1062,8,6.0,6,4.5,8.0,7.16,13.3,96.5,138.1,,2020
Jordan Travis,jordan-travis-1,/cfb/players/jordan-travis-1.html,Florida State,ACC,8,72,131,55.0,1056,6,4.6,6,4.6,8.1,6.92,14.7,132.0,128.6,,2020
Adrian Martinez,adrian-martinez-2,/cfb/players/adrian-martinez-2.html,Nebraska,Big Ten,7,108,151,71.5,1055,4,2.6,3,2.0,7.0,6.62,9.8,150.7,135.0,,2020
Jacob Free,jacob-free-1,/cfb/players/jacob-free-1.html,Troy,Sun Belt,6,88,152,57.9,1051,6,3.9,5,3.3,6.9,6.22,11.9,175.2,122.4,,2020
Rex Culpepper,rex-culpepper-1,/cfb/players/rex-culpepper-1.html,Syracuse,ACC,10,94,190,49.5,1028,9,4.7,8,4.2,5.4,4.46,10.9,102.8,102.1,,2020
Taulia Tagovailoa,taulia-tagovailoa-1,/cfb/players/taulia-tagovailoa-1.html,Maryland,Big Ten,4,75,122,61.5,1011,7,5.7,7,5.7,8.3,6.85,13.5,252.8,138.5,,2020
Bryson Lucero,bryson-lucero-1,/cfb/players/bryson-lucero-1.html,UAB,CUSA,7,79,146,54.1,969,7,4.8,8,5.5,6.6,5.13,12.3,138.4,114.7,,2020
TJ Finley,tj-finley-1,/cfb/players/tj-finley-1.html,LSU,SEC,5,80,140,57.1,941,5,3.6,5,3.6,6.7,5.83,11.8,188.2,118.2,,2020
Jack Plummer,jack-plummer-1,/cfb/players/jack-plummer-1.html,Purdue,Big Ten,3,88,124,71.0,938,8,6.5,2,1.6,7.6,8.13,10.7,312.7,152.6,,2020
Tyler Vitt,tyler-vitt-1,/cfb/players/tyler-vitt-1.html,Texas State,Sun Belt,7,74,122,60.7,933,9,7.4,6,4.9,7.6,6.91,12.6,133.3,139.4,,2020
Aidan O'Connell,aidan-oconnell-1,/cfb/players/aidan-oconnell-1.html,Purdue,Big Ten,3,88,136,64.7,916,7,5.1,2,1.5,6.7,7.10,10.4,305.3,135.3,,2020
D.J. Uiagalelei,dj-uiagalelei-1,/cfb/players/dj-uiagalelei-1.html,Clemson,ACC,10,78,117,66.7,914,5,4.3,0,0.0,7.8,8.67,11.7,91.4,146.4,,2020
Nick Tronti,nick-tronti-1,/cfb/players/nick-tronti-1.html,Florida Atlantic,CUSA,9,89,167,53.3,905,6,3.6,3,1.8,5.4,5.33,10.2,100.6,107.1,,2020
Dylan Morris,dylan-morris-1,/cfb/players/dylan-morris-1.html,Washington,Pac-12,4,67,110,60.9,897,4,3.6,3,2.7,8.2,7.65,13.4,224.3,136.0,,2020
Devin Leary,devin-leary-1,/cfb/players/devin-leary-1.html,North Carolina State,ACC,4,66,110,60.0,890,8,7.3,2,1.8,8.1,8.73,13.5,222.5,148.3,,2020
