Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Brandon Doughty,brandon-doughty-1,/cfb/players/brandon-doughty-1.html,Western Kentucky,CUSA,14,388,540,71.9,5055,48,8.9,9,1.7,9.4,10.39,13.0,361.1,176.5,,2015
Matt Johnson,matt-johnson-3,/cfb/players/matt-johnson-3.html,Bowling Green,MAC,14,383,569,67.3,4946,46,8.1,8,1.4,8.7,9.68,12.9,353.3,164.2,,2015
Jared Goff,jared-goff-1,/cfb/players/jared-goff-1.html,California,Pac-12,13,341,529,64.5,4719,43,8.1,13,2.5,8.9,9.44,13.8,363.0,161.3,,2015
Patrick Mahomes,patrick-mahomes-1,/cfb/players/patrick-mahomes-1.html,Texas Tech,Big 12,13,364,573,63.5,4653,36,6.3,15,2.6,8.1,8.20,12.8,357.9,147.2,,2015
Luke Falk,luke-falk-1,/cfb/players/luke-falk-1.html,Washington State,Pac-12,12,448,645,69.5,4566,38,5.9,8,1.2,7.1,7.70,10.2,380.5,145.9,,2015
Nick Mullens,nick-mullens-1,/cfb/players/nick-mullens-1.html,Southern Mississippi,CUSA,14,331,521,63.5,4476,38,7.3,12,2.3,8.6,9.01,13.5,319.7,155.2,,2015
Nick Arbuckle,nick-arbuckle-1,/cfb/players/nick-arbuckle-1.html,Georgia State,Sun Belt,13,307,486,63.2,4368,28,5.8,12,2.5,9.0,9.03,14.2,336.0,152.7,,2015
Dane Evans,dane-evans-1,/cfb/players/dane-evans-1.html,Tulsa,American,13,305,485,62.9,4332,25,5.2,8,1.6,8.9,9.22,14.2,333.2,151.6,,2015
Deshaun Watson,deshaun-watson-1,/cfb/players/deshaun-watson-1.html,Clemson,ACC,15,333,491,67.8,4104,35,7.1,13,2.6,8.4,8.59,12.3,273.6,156.3,"H-3,AA",2015
Chad Kelly,chad-kelly-1,/cfb/players/chad-kelly-1.html,Ole Miss,SEC,13,298,458,65.1,4042,31,6.8,13,2.8,8.8,8.90,13.6,310.9,155.9,,2015
Jeff Driskel,jeff-driskel-1,/cfb/players/jeff-driskel-1.html,Louisiana Tech,CUSA,13,281,450,62.4,4033,27,6.0,8,1.8,9.0,9.36,14.4,310.2,154.0,,2015
Brent Stockstill,brent-stockstill-1,/cfb/players/brent-stockstill-1.html,Middle Tennessee State,CUSA,13,327,490,66.7,4005,30,6.1,9,1.8,8.2,8.57,12.2,308.1,151.9,,2015
Mike Bercovici,mike-bercovici-1,/cfb/players/mike-bercovici-1.html,Arizona State,Pac-12,13,319,532,60.0,3861,30,5.6,9,1.7,7.3,7.62,12.1,297.0,136.2,,2015
Cooper Rush,cooper-rush-1,/cfb/players/cooper-rush-1.html,Central Michigan,MAC,13,324,489,66.3,3848,25,5.1,11,2.2,7.9,7.88,11.9,296.0,144.7,,2015
Dak Prescott,dak-prescott-1,/cfb/players/dak-prescott-1.html,Mississippi State,SEC,13,316,477,66.2,3793,29,6.1,5,1.0,8.0,8.70,12.0,291.8,151.0,,2015
Paxton Lynch,paxton-lynch-1,/cfb/players/paxton-lynch-1.html,Memphis,American,13,296,443,66.8,3776,28,6.3,4,0.9,8.5,9.38,12.8,290.5,157.5,,2015
Mason Rudolph,mason-rudolph-1,/cfb/players/mason-rudolph-1.html,Oklahoma State,Big 12,13,264,424,62.3,3770,21,5.0,9,2.1,8.9,8.93,14.3,290.0,149.1,,2015
Baker Mayfield,baker-mayfield-1,/cfb/players/baker-mayfield-1.html,Oklahoma,Big 12,13,269,395,68.1,3700,36,9.1,7,1.8,9.4,10.39,13.8,284.6,173.3,H-4,2015
Josh Rosen,josh-rosen-1,/cfb/players/josh-rosen-1.html,UCLA,Pac-12,13,292,487,60.0,3670,23,4.7,11,2.3,7.5,7.46,12.6,282.3,134.3,,2015
Trevone Boykin,trevone-boykin-1,/cfb/players/trevone-boykin-1.html,Texas Christian,Big 12,11,257,396,64.9,3575,31,7.8,10,2.5,9.0,9.46,13.9,325.0,161.5,H-10,2015
Nate Sudfeld,nate-sudfeld-1,/cfb/players/nate-sudfeld-1.html,Indiana,Big Ten,12,247,412,60.0,3573,27,6.6,7,1.7,8.7,9.22,14.5,297.8,151.0,,2015
Cody Kessler,cody-kessler-1,/cfb/players/cody-kessler-1.html,USC,Pac-12,14,298,446,66.8,3536,29,6.5,7,1.6,7.9,8.52,11.9,252.6,151.7,,2015
Zach Terrell,zach-terrell-1,/cfb/players/zach-terrell-1.html,Western Michigan,MAC,13,262,391,67.0,3510,29,7.4,9,2.3,9.0,9.42,13.4,270.0,162.3,,2015
Brandon Allen,brandon-allen-2,/cfb/players/brandon-allen-2.html,Arkansas,SEC,13,244,370,65.9,3440,30,8.1,8,2.2,9.3,9.95,14.1,264.6,166.5,,2015
Tanner Mangum,tanner-mangum-1,/cfb/players/tanner-mangum-1.html,BYU,Ind,13,267,446,59.9,3377,23,5.2,10,2.2,7.6,7.59,12.6,259.8,136.0,,2015
Brett Rypien,brett-rypien-1,/cfb/players/brett-rypien-1.html,Boise State,MWC,11,273,430,63.5,3353,20,4.7,8,1.9,7.8,7.89,12.3,304.8,140.6,,2015
Brad Kaaya,brad-kaaya-1,/cfb/players/brad-kaaya-1.html,Miami (FL),ACC,12,239,390,61.3,3242,16,4.1,5,1.3,8.3,8.56,13.6,270.2,142.1,,2015
Skyler Howard,skyler-howard-1,/cfb/players/skyler-howard-1.html,West Virginia,Big 12,13,221,403,54.8,3145,26,6.5,14,3.5,7.8,7.53,14.2,241.9,134.7,,2015
Connor Cook,connor-cook-1,/cfb/players/connor-cook-1.html,Michigan State,Big Ten,13,229,408,56.1,3131,24,5.9,7,1.7,7.7,8.08,13.7,240.8,136.6,H-9,2015
Jake Coker,jake-coker-1,/cfb/players/jake-coker-1.html,Alabama,SEC,15,263,393,66.9,3110,21,5.3,8,2.0,7.9,8.07,11.8,207.3,147.0,,2015
Marquise Williams,marquise-williams-1,/cfb/players/marquise-williams-1.html,North Carolina,ACC,14,219,357,61.3,3072,24,6.7,10,2.8,8.6,8.69,14.0,219.4,150.2,,2015
Tommy Armstrong Jr.,tommy-armstrong-jr-1,/cfb/players/tommy-armstrong-jr-1.html,Nebraska,Big Ten,12,222,402,55.2,3030,22,5.5,16,4.0,7.5,6.84,13.6,252.5,128.6,,2015
Jake Rudock,jake-rudock-1,/cfb/players/jake-rudock-1.html,Michigan,Big Ten,13,249,389,64.0,3017,20,5.1,9,2.3,7.8,7.74,12.1,232.1,141.5,,2015
Matt Linehan,matt-linehan-1,/cfb/players/matt-linehan-1.html,Idaho,Sun Belt,11,248,391,63.4,2992,16,4.1,11,2.8,7.7,7.20,12.1,272.0,135.6,,2015
P.J. Walker,pj-walker-1,/cfb/players/pj-walker-1.html,Temple,American,14,246,433,56.8,2973,19,4.4,8,1.8,6.9,6.91,12.1,212.4,125.3,,2015
Joe Licata,joe-licata-1,/cfb/players/joe-licata-1.html,Buffalo,MAC,12,280,449,62.4,2969,16,3.6,15,3.3,6.6,5.82,10.6,247.4,123.0,,2015
Phillip Ely,phillip-ely-1,/cfb/players/phillip-ely-1.html,Toledo,MAC,12,226,403,56.1,2965,23,5.7,10,2.5,7.4,7.38,13.1,247.1,131.8,,2015
Jake Browning,jake-browning-1,/cfb/players/jake-browning-1.html,Washington,Pac-12,12,233,368,63.3,2955,16,4.3,10,2.7,8.0,7.68,12.7,246.3,139.7,,2015
Blake Frohnapfel,blake-frohnapfel-1,/cfb/players/blake-frohnapfel-1.html,Massachusetts,MAC,12,266,472,56.4,2919,16,3.4,13,2.8,6.2,5.62,11.0,243.3,114.0,,2015
DeShone Kizer,deshone-kizer-1,/cfb/players/deshone-kizer-1.html,Notre Dame,Ind,13,211,335,63.0,2884,21,6.3,10,3.0,8.6,8.52,13.7,221.8,150.0,,2015
Kevin Hogan,kevin-hogan-2,/cfb/players/kevin-hogan-2.html,Stanford,Pac-12,14,206,304,67.8,2867,27,8.9,8,2.6,9.4,10.02,13.9,204.8,171.0,,2015
Greg Ward Jr.,greg-ward-jr-1,/cfb/players/greg-ward-jr-1.html,Houston,American,14,232,345,67.2,2828,17,4.9,6,1.7,8.2,8.40,12.2,202.0,148.9,,2015
