Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Joe Burrow,joe-burrow-1,/cfb/players/joe-burrow-1.html,LSU,SEC,15,402,527,76.3,5671,60,11.4,6,1.1,10.8,12.53,14.1,378.1,202.0,"H-1,Maxwell,AA,Camp",2019
Anthony Gordon,anthony-gordon-2,/cfb/players/anthony-gordon-2.html,Washington State,Pac-12,13,493,689,71.6,5579,48,7.0,16,2.3,8.1,8.45,11.3,429.2,157.9,,2019
Cole McDonald,cole-mcdonald-1,/cfb/players/cole-mcdonald-1.html,Hawaii,MWC,14,326,511,63.8,4135,33,6.5,14,2.7,8.1,8.15,12.7,295.4,147.6,,2019
Brady White,brady-white-1,/cfb/players/brady-white-1.html,Memphis,American,14,269,420,64.0,4014,33,7.9,11,2.6,9.6,9.95,14.9,286.7,165.0,,2019
Brock Purdy,brock-purdy-1,/cfb/players/brock-purdy-1.html,Iowa State,Big 12,13,312,475,65.7,3982,27,5.7,9,1.9,8.4,8.67,12.8,306.3,151.1,,2019
Shane Buechele,shane-buechele-1,/cfb/players/shane-buechele-1.html,SMU,American,13,307,490,62.7,3929,34,6.9,10,2.0,8.0,8.49,12.8,302.2,148.8,,2019
Josh Love,josh-love-1,/cfb/players/josh-love-1.html,San Jose State,MWC,12,293,481,60.9,3923,22,4.6,8,1.7,8.2,8.32,13.4,326.9,141.2,,2019
Jalen Hurts,jalen-hurts-1,/cfb/players/jalen-hurts-1.html,Oklahoma,Big 12,14,237,340,69.7,3851,32,9.4,8,2.4,11.3,12.15,16.2,275.1,191.2,H-2,2019
Chris Robison,chris-robison-1,/cfb/players/chris-robison-1.html,Florida Atlantic,CUSA,14,291,471,61.8,3701,28,5.9,6,1.3,7.9,8.47,12.7,264.4,144.9,,2019
Trevor Lawrence,trevor-lawrence-1,/cfb/players/trevor-lawrence-1.html,Clemson,ACC,15,268,407,65.8,3665,36,8.8,8,2.0,9.0,9.89,13.7,244.3,166.7,H-7,2019
Sam Ehlinger,sam-ehlinger-1,/cfb/players/sam-ehlinger-1.html,Texas,Big 12,13,296,454,65.2,3663,32,7.0,10,2.2,8.1,8.49,12.4,281.8,151.8,,2019
Stephen Calvert,stephen-calvert-1,/cfb/players/stephen-calvert-1.html,Liberty,Ind,13,249,431,57.8,3663,28,6.5,7,1.6,8.5,9.07,14.7,281.8,147.4,,2019
Dillon Gabriel,dillon-gabriel-1,/cfb/players/dillon-gabriel-1.html,UCF,American,13,236,398,59.3,3653,29,7.3,7,1.8,9.2,9.84,15.5,281.0,156.9,,2019
Sam Howell,sam-howell-1,/cfb/players/sam-howell-1.html,North Carolina,ACC,13,259,422,61.4,3641,38,9.0,7,1.7,8.6,9.68,14.1,280.1,160.2,,2019
Kaleb Barker,kaleb-barker-1,/cfb/players/kaleb-barker-1.html,Troy,Sun Belt,12,299,460,65.0,3628,30,6.5,10,2.2,7.9,8.21,12.1,302.3,148.4,,2019
