Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Bert Auburn,bert-auburn-1,/cfb/players/bert-auburn-1.html,Miami (FL),ACC,6,8,8,100.0,1,1,100.0,11,,2025
Blake Craig,blake-craig-1,/cfb/players/blake-craig-1.html,Missouri,SEC,1,3,3,100.0,2,2,100.0,9,,2025
Chase Allen,chase-allen-2,/cfb/players/chase-allen-2.html,Rice,American,7,2,2,100.0,1,1,100.0,5,,2025
David Barker,david-barker-1,/cfb/players/david-barker-1.html,New Mexico State,CUSA,3,4,5,80.0,3,3,100.0,13,,2025
Davis Little,davis-little-1,/cfb/players/davis-little-1.html,South Alabama,Sun Belt,5,13,15,86.7,1,1,100.0,16,,2025
Jack Cassidy,jack-cassidy-2,/cfb/players/jack-cassidy-2.html,Western Kentucky,CUSA,13,0,0,,3,3,100.0,9,,2025
Kaegan Kent,kaegan-kent-1,/cfb/players/kaegan-kent-1.html,Louisiana Tech,CUSA,3,9,9,100.0,2,2,100.0,15,,2025
Kyle Lemmermann,kyle-lemmermann-1,/cfb/players/kyle-lemmermann-1.html,Texas Christian,Big 12,2,9,9,100.0,3,3,100.0,18,,2025
Luke Akers,luke-akers-1,/cfb/players/luke-akers-1.html,Northwestern,Big Ten,13,2,2,100.0,3,3,100.0,11,,2025
Upton Bellenfant,upton-bellenfant-1,/cfb/players/upton-bellenfant-1.html,Texas Tech,Big 12,7,14,16,87.5,6,6,100.0,32,,2025
Luke Drzewiecki,luke-drzewiecki-1,/cfb/players/luke-drzewiecki-1.html,New Mexico,MWC,13,36,36,100.0,18,19,94.7,90,,2025
Nicolas Radicic,nicolas-radicic-1,/cfb/players/nicolas-radicic-1.html,Indiana,Big Ten,16,87,87,100.0,18,19,94.7,141,,2025
Ryan Barker,ryan-barker-1,/cfb/players/ryan-barker-1.html,Penn State,Big Ten,13,44,45,97.8,18,19,94.7,98,,2025
Luca Lombardo,luca-lombardo-1,/cfb/players/luca-lombardo-1.html,Boston College,ACC,12,35,35,100.0,16,17,94.1,83,,2025
Kansei Matsuzawa,kansei-matsuzawa-1,/cfb/players/kansei-matsuzawa-1.html,Hawaii,MWC,13,40,40,100.0,27,29,93.1,121,AA,2025
Brock Taylor,brock-taylor-1,/cfb/players/brock-taylor-1.html,Vanderbilt,SEC,13,60,61,98.4,13,14,92.9,99,,2025
Kali Nguma,kali-nguma-1,/cfb/players/kali-nguma-1.html,North Texas,American,13,70,70,100.0,12,13,92.3,106,,2025
Matthew Schramm,matthew-schramm-1,/cfb/players/matthew-schramm-1.html,Akron,MAC,7,16,17,94.1,12,13,92.3,52,,2025
Tyler Robles,tyler-robles-1,/cfb/players/tyler-robles-1.html,Texas State,Sun Belt,13,53,54,98.1,21,23,91.3,116,,2025
Nathan Kirkwood,nathan-kirkwood-1,/cfb/players/nathan-kirkwood-1.html,Navy,American,13,53,53,100.0,10,11,90.9,83,,2025
Jack Olsen,jack-olsen-1,/cfb/players/jack-olsen-1.html,Northwestern,Big Ten,12,24,25,96.0,19,21,90.5,81,,2025
Peyton Woodring,peyton-woodring-1,/cfb/players/peyton-woodring-1.html,Georgia,SEC,14,54,54,100.0,17,19,89.5,105,,2025
Patrick Durkin,patrick-durkin-1,/cfb/players/patrick-durkin-1.html,Tulane,American,14,41,42,97.6,25,28,89.3,116,,2025
Tate Sandell,tate-sandell-1,/cfb/players/tate-sandell-1.html,Oklahoma,SEC,13,35,35,100.0,24,27,88.9,107,,2025
Lucas Carneiro,lucas-carneiro-1,/cfb/players/lucas-carneiro-1.html,Ole Miss,SEC,15,56,56,100.0,31,35,88.6,149,,2025
Chris Freeman,chris-freeman-2,/cfb/players/chris-freeman-2.html,Connecticut,Ind,13,52,52,100.0,23,26,88.5,121,,2025
Noe Ruelas,noe-ruelas-1,/cfb/players/noe-ruelas-1.html,UCF,Big 12,12,32,33,97.0,15,17,88.2,77,,2025
Spencer Porath,spencer-porath-1,/cfb/players/spencer-porath-1.html,Purdue,Big Ten,11,24,24,100.0,15,17,88.2,69,,2025
Sean O'Haire,sean-ohaire-1,/cfb/players/sean-ohaire-1.html,Maryland,Big Ten,12,29,29,100.0,21,24,87.5,92,,2025
Alex McPherson,alex-mcpherson-1,/cfb/players/alex-mcpherson-1.html,Auburn,SEC,12,35,35,100.0,20,23,87.0,95,,2025
David Olano,david-olano-1,/cfb/players/david-olano-1.html,Illinois,Big Ten,13,44,44,100.0,20,23,87.0,104,,2025
Dom Dzioban,dom-dzioban-1,/cfb/players/dom-dzioban-1.html,Miami (OH),MAC,13,34,35,97.1,20,23,87.0,94,,2025
Trey Butkowski,trey-butkowski-1,/cfb/players/trey-butkowski-1.html,Pitt,ACC,11,43,44,97.7,20,23,87.0,103,,2025
Luis Rodriguez,luis-rodriguez-1,/cfb/players/luis-rodriguez-1.html,Kansas State,Big 12,12,42,42,100.0,13,15,86.7,81,,2025
Jackson Kleather,jackson-kleather-1,/cfb/players/jackson-kleather-1.html,Bowling Green,MAC,12,26,26,100.0,19,22,86.4,83,,2025
Aidan Birr,aidan-birr-1,/cfb/players/aidan-birr-1.html,Georgia Tech,ACC,13,45,45,100.0,25,29,86.2,120,,2025
Daniel Kinney,daniel-kinney-1,/cfb/players/daniel-kinney-1.html,Kennesaw State,CUSA,4,5,6,83.3,6,7,85.7,23,,2025
Tripp Woody,tripp-woody-1,/cfb/players/tripp-woody-1.html,Syracuse,ACC,12,22,22,100.0,12,14,85.7,58,,2025
Kyle Ferrie,kyle-ferrie-1,/cfb/players/kyle-ferrie-1.html,Mississippi State,SEC,13,44,44,100.0,17,20,85.0,95,,2025
Michael Petro,michael-petro-1,/cfb/players/michael-petro-1.html,UTSA,American,13,56,56,100.0,17,20,85.0,107,,2025
Tripp Bryant,tripp-bryant-1,/cfb/players/tripp-bryant-1.html,Georgia Southern,Sun Belt,13,42,42,100.0,17,20,85.0,93,,2025
Garrison Smith,garrison-smith-2,/cfb/players/garrison-smith-2.html,Florida Atlantic,American,12,36,36,100.0,16,19,84.2,84,,2025
Jack Stevens,jack-stevens-1,/cfb/players/jack-stevens-1.html,Washington State,Ind,13,33,33,100.0,16,19,84.2,81,,2025
Kyle Cunanan,kyle-cunanan-1,/cfb/players/kyle-cunanan-1.html,Nebraska,Big Ten,13,45,45,100.0,16,19,84.2,93,,2025
Nick Mazzie,nick-mazzie-1,/cfb/players/nick-mazzie-1.html,East Carolina,American,12,43,43,100.0,16,19,84.2,91,,2025
Cooper Ranvier,cooper-ranvier-1,/cfb/players/cooper-ranvier-1.html,Louisville,ACC,13,39,41,95.1,21,25,84.0,102,,2025
Ryon Sayeri,ryon-sayeri-1,/cfb/players/ryon-sayeri-1.html,USC,Big Ten,13,48,48,100.0,21,25,84.0,111,,2025
Kade Hensley,kade-hensley-1,/cfb/players/kade-hensley-1.html,West Virginia,Big 12,11,31,32,96.9,10,12,83.3,61,,2025
Kanoah Vinesett,kanoah-vinesett-1,/cfb/players/kanoah-vinesett-1.html,North Carolina State,ACC,12,48,49,98.0,5,6,83.3,63,,2025
Mason Shipley,mason-shipley-1,/cfb/players/mason-shipley-1.html,Texas,SEC,13,48,48,100.0,20,24,83.3,108,,2025
Noah Burnette,noah-burnette-1,/cfb/players/noah-burnette-1.html,Notre Dame,Ind,6,20,22,90.9,5,6,83.3,35,,2025
Damian Ramos,damian-ramos-1,/cfb/players/damian-ramos-1.html,LSU,SEC,13,29,30,96.7,24,29,82.8,101,,2025
