Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Asa Fuller,asa-fuller-1,/cfb/players/asa-fuller-1.html,Fresno State,MWC,5,4,4,100.0,1,1,100.0,7,,2020
Blake Mazza,blake-mazza-1,/cfb/players/blake-mazza-1.html,Washington State,Pac-12,4,12,13,92.3,4,4,100.0,24,,2020
Caleb Griffin,caleb-griffin-1,/cfb/players/caleb-griffin-1.html,Illinois,Big Ten,4,5,5,100.0,1,1,100.0,8,,2020
Cesar R. Silva,cesar-r-silva-1,/cfb/players/cesar-r-silva-1.html,Fresno State,MWC,4,15,17,88.2,5,5,100.0,30,,2020
Chance Poore,chance-poore-1,/cfb/players/chance-poore-1.html,Kentucky,SEC,10,5,5,100.0,1,1,100.0,8,,2020
Chris Howard,chris-howard-5,/cfb/players/chris-howard-5.html,Florida,SEC,3,7,7,100.0,2,2,100.0,13,,2020
Connor Coles,connor-coles-1,/cfb/players/connor-coles-1.html,Utah State,MWC,4,8,9,88.9,3,3,100.0,17,,2020
Danny Longman,danny-longman-1,/cfb/players/danny-longman-1.html,Boston College,ACC,11,2,3,66.7,2,2,100.0,8,,2020
Donovan Murphree,donovan-murphree-1,/cfb/players/donovan-murphree-1.html,New Mexico,MWC,7,12,12,100.0,3,3,100.0,21,,2020
Ethan Albertson,ethan-albertson-1,/cfb/players/ethan-albertson-1.html,New Mexico State,Ind,2,5,5,100.0,4,4,100.0,17,,2020
Guy Fava,guy-fava-1,/cfb/players/guy-fava-1.html,Rutgers,Big Ten,6,6,6,100.0,2,2,100.0,12,,2020
Henry Katleman,henry-katleman-1,/cfb/players/henry-katleman-1.html,Oregon,Pac-12,4,13,13,100.0,4,4,100.0,25,,2020
Jack Luckhurst,jack-luckhurst-1,/cfb/players/jack-luckhurst-1.html,Arizona State,Pac-12,2,9,9,100.0,1,1,100.0,12,,2020
Jadon Redding,jadon-redding-1,/cfb/players/jadon-redding-1.html,Utah,Pac-12,5,17,17,100.0,8,8,100.0,41,,2020
Jake Oldroyd,jake-oldroyd-1,/cfb/players/jake-oldroyd-1.html,BYU,Ind,11,60,62,96.8,13,13,100.0,99,,2020
Kenneth Almendares,kenneth-almendares-1,/cfb/players/kenneth-almendares-1.html,Louisiana,Sun Belt,6,23,23,100.0,5,5,100.0,38,,2020
Marshall Meeder,marshall-meeder-1,/cfb/players/marshall-meeder-1.html,Central Michigan,MAC,6,16,17,94.1,8,8,100.0,40,,2020
Matthew Phillips,matthew-phillips-2,/cfb/players/matthew-phillips-2.html,Arkansas,SEC,1,0,0,,1,1,100.0,3,,2020
Michael Hayes,michael-hayes-4,/cfb/players/michael-hayes-4.html,Georgia State,Sun Belt,10,4,4,100.0,1,1,100.0,7,,2020
Rory Bell,rory-bell-1,/cfb/players/rory-bell-1.html,Temple,American,5,3,4,75.0,5,5,100.0,18,,2020
Stephen Johnson,stephen-johnson-9,/cfb/players/stephen-johnson-9.html,Oklahoma,Big 12,5,8,8,100.0,2,2,100.0,14,,2020
Thomas Cluckey,thomas-cluckey-1,/cfb/players/thomas-cluckey-1.html,Toledo,MAC,6,11,12,91.7,5,5,100.0,26,,2020
Will Reichard,will-reichard-1,/cfb/players/will-reichard-1.html,Alabama,SEC,13,84,84,100.0,14,14,100.0,126,,2020
Zach Williams,zach-williams-4,/cfb/players/zach-williams-4.html,North Texas,CUSA,6,6,7,85.7,1,1,100.0,9,,2020
Alex Hale,alex-hale-1,/cfb/players/alex-hale-1.html,Oklahoma State,Big 12,6,18,18,100.0,13,14,92.9,57,,2020
Brayden Narveson,brayden-narveson-1,/cfb/players/brayden-narveson-1.html,Western Kentucky,CUSA,12,27,27,100.0,13,14,92.9,66,,2020
John Hoyland,john-hoyland-1,/cfb/players/john-hoyland-1.html,Wyoming,MWC,6,16,16,100.0,13,14,92.9,55,,2020
Matthew Quinn,matthew-quinn-2,/cfb/players/matthew-quinn-2.html,UAB,CUSA,9,31,32,96.9,11,12,91.7,64,,2020
Anders Carlson,anders-carlson-1,/cfb/players/anders-carlson-1.html,Auburn,SEC,11,24,25,96.0,20,22,90.9,84,,2020
Charles Campbell,charles-campbell-3,/cfb/players/charles-campbell-3.html,Indiana,Big Ten,8,25,25,100.0,10,11,90.9,55,,2020
Jose Borregales,jose-borregales-1,/cfb/players/jose-borregales-1.html,Miami (FL),ACC,11,37,37,100.0,20,22,90.9,97,AA,2020
Seth Keller,seth-keller-1,/cfb/players/seth-keller-1.html,Texas State,Sun Belt,10,32,33,97.0,8,9,88.9,56,,2020
