Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Aaron Bird,aaron-bird-1,/cfb/players/aaron-bird-1.html,Louisiana,Sun Belt,2,4,4,100.0,2,2,100.0,10,,2015
Ammon Lakip,ammon-lakip-1,/cfb/players/ammon-lakip-1.html,Clemson,ACC,10,7,7,100.0,1,1,100.0,10,,2015
Blake Lucas,blake-lucas-1,/cfb/players/blake-lucas-1.html,Massachusetts,MAC,12,4,6,66.7,1,1,100.0,7,,2015
Carlos Alvarez,carlos-alvarez-2,/cfb/players/carlos-alvarez-2.html,Louisiana,Sun Belt,3,2,2,100.0,1,1,100.0,5,,2015
James Sherman,james-sherman-1,/cfb/players/james-sherman-1.html,Texas State,Sun Belt,5,6,10,60.0,1,1,100.0,9,,2015
Matthew McCrane,matthew-mccrane-1,/cfb/players/matthew-mccrane-1.html,Kansas State,Big 12,5,15,15,100.0,7,7,100.0,36,,2015
Mike Caggiano,mike-caggiano-1,/cfb/players/mike-caggiano-1.html,Massachusetts,MAC,2,3,3,100.0,1,1,100.0,6,,2015
Miles Butler,miles-butler-1,/cfb/players/miles-butler-1.html,Kentucky,SEC,5,11,12,91.7,4,4,100.0,23,,2015
Nick Dowd,nick-dowd-1,/cfb/players/nick-dowd-1.html,Miami (OH),MAC,3,2,2,100.0,1,1,100.0,5,,2015
Nick Hodgson,nick-hodgson-1,/cfb/players/nick-hodgson-1.html,Oklahoma,Big 12,13,1,1,100.0,1,1,100.0,4,,2015
Nick Sloan,nick-sloan-1,/cfb/players/nick-sloan-1.html,Navy,American,2,1,1,100.0,1,1,100.0,4,,2015
Satchel Ziffer,satchel-ziffer-1,/cfb/players/satchel-ziffer-1.html,Old Dominion,CUSA,12,5,5,100.0,1,1,100.0,8,,2015
Ty Cummings,ty-cummings-1,/cfb/players/ty-cummings-1.html,Houston,American,14,51,51,100.0,8,8,100.0,75,,2015
Tyler Davis,tyler-davis-3,/cfb/players/tyler-davis-3.html,Penn State,Big Ten,7,11,11,100.0,8,8,100.0,35,,2015
Garrett Schwettman,garrett-schwettman-1,/cfb/players/garrett-schwettman-1.html,Western Kentucky,CUSA,14,79,80,98.8,15,16,93.8,124,,2015
Aidan Schneider,aidan-schneider-1,/cfb/players/aidan-schneider-1.html,Oregon,Pac-12,13,67,67,100.0,22,24,91.7,133,,2015
Luke Strebel,luke-strebel-1,/cfb/players/luke-strebel-1.html,Air Force,MWC,10,37,37,100.0,10,11,90.9,67,,2015
Andrew Dirocco,andrew-dirocco-1,/cfb/players/andrew-dirocco-1.html,Tulane,American,12,29,30,96.7,9,10,90.0,56,,2015
Conrad Ukropina,conrad-ukropina-1,/cfb/players/conrad-ukropina-1.html,Stanford,Pac-12,14,67,67,100.0,18,20,90.0,121,,2015
Brent Zuzo,brent-zuzo-1,/cfb/players/brent-zuzo-1.html,Nevada,MWC,13,38,40,95.0,17,19,89.5,89,,2015
Bobby Puyol,bobby-puyol-1,/cfb/players/bobby-puyol-1.html,Connecticut,American,13,21,24,87.5,16,18,88.9,69,,2015
Justin Yoon,justin-yoon-1,/cfb/players/justin-yoon-1.html,Notre Dame,Ind,13,50,52,96.2,15,17,88.2,95,,2015
Clayton Hatfield,clayton-hatfield-1,/cfb/players/clayton-hatfield-1.html,Texas Tech,Big 12,12,53,54,98.1,14,16,87.5,95,,2015
Nick Weiler,nick-weiler-1,/cfb/players/nick-weiler-1.html,North Carolina,ACC,14,67,67,100.0,20,23,87.0,127,,2015
Ross Martin,ross-martin-1,/cfb/players/ross-martin-1.html,Duke,ACC,13,42,42,100.0,26,30,86.7,120,,2015
Austin Grebe,austin-grebe-1,/cfb/players/austin-grebe-1.html,Navy,American,13,58,61,95.1,12,14,85.7,94,,2015
Jack Cantele,jack-cantele-1,/cfb/players/jack-cantele-1.html,Kansas State,Big 12,10,29,29,100.0,12,14,85.7,65,,2015
JD Houston,jd-houston-1,/cfb/players/jd-houston-1.html,Arkansas State,Sun Belt,12,43,45,95.6,12,14,85.7,79,,2015
Matt Anderson,matt-anderson-3,/cfb/players/matt-anderson-3.html,California,Pac-12,13,50,52,96.2,18,21,85.7,104,,2015
Andy Phillips,andy-phillips-2,/cfb/players/andy-phillips-2.html,Utah,Pac-12,13,47,47,100.0,23,27,85.2,116,,2015
Austin Rehkow,austin-rehkow-1,/cfb/players/austin-rehkow-1.html,Idaho,Sun Belt,12,39,40,97.5,23,27,85.2,108,,2015
Daniel Carlson,daniel-carlson-1,/cfb/players/daniel-carlson-1.html,Auburn,SEC,13,40,40,100.0,23,27,85.2,109,,2015
Jonathan Barnes,jonathan-barnes-1,/cfb/players/jonathan-barnes-1.html,Louisiana Tech,CUSA,13,60,60,100.0,22,26,84.6,126,,2015
Greg Huegel,greg-huegel-1,/cfb/players/greg-huegel-1.html,Clemson,ACC,15,57,62,91.9,27,32,84.4,138,,2015
Aleem Sunanon,aleem-sunanon-1,/cfb/players/aleem-sunanon-1.html,South Alabama,Sun Belt,12,32,32,100.0,16,19,84.2,80,,2015
Jaden Oberkrom,jaden-oberkrom-1,/cfb/players/jaden-oberkrom-1.html,Texas Christian,Big 12,13,59,60,98.3,21,25,84.0,122,,2015
Davis Plowman,davis-plowman-1,/cfb/players/davis-plowman-1.html,East Carolina,American,11,37,39,94.9,10,12,83.3,67,,2015
Joey Julius,joey-julius-1,/cfb/players/joey-julius-1.html,Penn State,Big Ten,11,20,24,83.3,10,12,83.3,50,,2015
Ka'Imi Fairbairn,kaimi-fairbairn-1,/cfb/players/kaimi-fairbairn-1.html,UCLA,Pac-12,13,47,47,100.0,20,24,83.3,107,AA,2015
Michael Badgley,michael-badgley-1,/cfb/players/michael-badgley-1.html,Miami (FL),ACC,12,40,40,100.0,25,30,83.3,115,,2015
Ty Rausa,tyler-rausa-1,/cfb/players/tyler-rausa-1.html,Boise State,MWC,13,59,61,96.7,25,30,83.3,134,,2015
Westin Graves,westin-graves-1,/cfb/players/westin-graves-1.html,Mississippi State,SEC,13,52,54,96.3,15,18,83.3,97,,2015
Griffin Oakes,griffin-oakes-1,/cfb/players/griffin-oakes-1.html,Indiana,Big Ten,13,53,57,93.0,24,29,82.8,125,,2015
Trevor Samson,trevor-samson-1,/cfb/players/trevor-samson-1.html,BYU,Ind,12,52,55,94.5,14,17,82.4,94,,2015
Zach Matics,zach-matics-1,/cfb/players/zach-matics-1.html,Appalachian State,Sun Belt,13,61,61,100.0,14,17,82.4,103,,2015
Austin Jones,austin-jones-4,/cfb/players/austin-jones-4.html,Temple,American,14,44,45,97.8,23,28,82.1,113,,2015
Jake Elliott,jake-elliott-1,/cfb/players/jake-elliott-1.html,Memphis,American,13,63,63,100.0,23,28,82.1,132,,2015
Casey Skowron,casey-skowron-1,/cfb/players/casey-skowron-1.html,Arizona,Pac-12,13,59,61,96.7,18,22,81.8,113,,2015
Kenneth Allen,kenneth-allen-1,/cfb/players/kenneth-allen-1.html,Michigan,Big Ten,13,46,46,100.0,18,22,81.8,100,,2015
Ryan Santoso,ryan-santoso-1,/cfb/players/ryan-santoso-1.html,Minnesota,Big Ten,13,31,31,100.0,17,21,81.0,82,,2015
Roberto Aguayo,roberto-aguayo-1,/cfb/players/roberto-aguayo-1.html,Florida State,ACC,13,49,49,100.0,21,26,80.8,112,,2015
Alex Hanks,alex-hanks-1,/cfb/players/alex-hanks-1.html,Georgia Southern,Sun Belt,7,31,32,96.9,8,10,80.0,55,,2015
Andrew Baggett,andrew-baggett-1,/cfb/players/andrew-baggett-1.html,Missouri,SEC,12,15,15,100.0,16,20,80.0,63,,2015
Ben Grogan,ben-grogan-1,/cfb/players/ben-grogan-1.html,Oklahoma State,Big 12,13,61,64,95.3,16,20,80.0,109,,2015
Brad Craddock,brad-craddock-1,/cfb/players/brad-craddock-1.html,Maryland,Big Ten,9,22,23,95.7,8,10,80.0,46,,2015
Cameron Van Winkle,cameron-van-winkle-1,/cfb/players/cameron-van-winkle-1.html,Washington,Pac-12,13,49,49,100.0,16,20,80.0,97,,2015
Marshall Koehn,marshall-koehn-1,/cfb/players/marshall-koehn-1.html,Iowa,Big Ten,14,47,53,88.7,16,20,80.0,95,,2015
Jay Mattox,jay-mattox-1,/cfb/players/jay-mattox-1.html,UTEP,CUSA,12,23,24,95.8,15,19,78.9,68,,2015
Jed Solomon,jed-solomon-1,/cfb/players/jed-solomon-1.html,Troy,Sun Belt,11,39,40,97.5,15,19,78.9,84,,2015
Stephen Brauchle,stephen-brauchle-1,/cfb/players/stephen-brauchle-1.html,Southern Mississippi,CUSA,14,48,52,92.3,11,14,78.6,81,,2015
Austin Seibert,austin-seibert-1,/cfb/players/austin-seibert-1.html,Oklahoma,Big 12,13,70,72,97.2,18,23,78.3,124,,2015
Andrew Gantz,andrew-gantz-1,/cfb/players/andrew-gantz-1.html,Cincinnati,American,13,49,50,98.0,21,27,77.8,112,,2015
Christian Hagan,christian-hagan-1,/cfb/players/christian-hagan-1.html,Northern Illinois,MAC,14,52,54,96.3,14,18,77.8,94,,2015
Drew Brown,drew-brown-1,/cfb/players/drew-brown-1.html,Nebraska,Big Ten,13,44,46,95.7,21,27,77.8,107,,2015
Younghoe Koo,younghoe-koo-1,/cfb/players/younghoe-koo-1.html,Georgia Southern,Sun Belt,10,28,28,100.0,7,9,77.8,49,,2015
Andrew Haldeman,andrew-haldeman-1,/cfb/players/andrew-haldeman-1.html,Western Michigan,MAC,13,53,56,94.6,17,22,77.3,104,,2015
Donny Hageman,donny-hageman-1,/cfb/players/donny-hageman-1.html,San Diego State,MWC,14,57,57,100.0,17,22,77.3,108,,2015
Ian Frye,ian-frye-1,/cfb/players/ian-frye-1.html,Virginia,ACC,12,34,35,97.1,17,22,77.3,85,,2015
