Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Alex McNulty,alex-mcnulty-1,/cfb/players/alex-mcnulty-1.html,Buffalo,MAC,2,3,4,75.0,1,1,100.0,6,,2018
Briggs Bourgeois,briggs-bourgeois-1,/cfb/players/briggs-bourgeois-1.html,Southern Mississippi,CUSA,8,6,8,75.0,2,2,100.0,12,,2018
B.T. Potter,bt-potter-1,/cfb/players/bt-potter-1.html,Clemson,ACC,15,7,7,100.0,1,1,100.0,10,,2018
Clayton Harris,clayton-harris-1,/cfb/players/clayton-harris-1.html,Connecticut,American,2,5,6,83.3,1,1,100.0,8,,2018
Collin Riccitelli,collin-riccitelli-1,/cfb/players/collin-riccitelli-1.html,Stanford,Pac-12,2,8,10,80.0,1,1,100.0,11,,2018
Danny Longman,danny-longman-1,/cfb/players/danny-longman-1.html,Boston College,ACC,11,3,3,100.0,1,1,100.0,6,,2018
Hunter Pearson,hunter-pearson-1,/cfb/players/hunter-pearson-1.html,Virginia,ACC,2,6,6,100.0,2,2,100.0,12,,2018
Jake Vivonetto,jake-vivonetto-1,/cfb/players/jake-vivonetto-1.html,South Florida,American,2,4,4,100.0,2,2,100.0,10,,2018
Jonathan Doerer,jonathan-doerer-1,/cfb/players/jonathan-doerer-1.html,Notre Dame,Ind,10,5,6,83.3,1,1,100.0,8,,2018
Jorge Powell,jorge-powell-1,/cfb/players/jorge-powell-1.html,Florida,SEC,4,5,5,100.0,1,1,100.0,8,,2018
Sean Koetting,sean-koetting-1,/cfb/players/sean-koetting-1.html,Missouri,SEC,1,0,0,,1,1,100.0,3,,2018
Tyler Francis,tyler-francis-1,/cfb/players/tyler-francis-1.html,Colorado,Pac-12,2,5,5,100.0,2,2,100.0,11,,2018
Wesley Wells,wesley-wells-1,/cfb/players/wesley-wells-1.html,Georgia Tech,ACC,10,39,39,100.0,9,9,100.0,66,,2018
Cooper Rothe,cooper-rothe-1,/cfb/players/cooper-rothe-1.html,Wyoming,MWC,12,28,28,100.0,16,17,94.1,76,,2018
Jet Toner,jet-toner-1,/cfb/players/jet-toner-1.html,Stanford,Pac-12,11,34,34,100.0,14,15,93.3,76,,2018
Hayden Tobola,hayden-tobola-1,/cfb/players/hayden-tobola-1.html,Rice,CUSA,10,0,0,,10,11,90.9,30,,2018
Jake Moody,jake-moody-1,/cfb/players/jake-moody-1.html,Michigan,Big Ten,13,5,5,100.0,10,11,90.9,35,,2018
Jake Verity,jake-verity-1,/cfb/players/jake-verity-1.html,East Carolina,American,12,27,28,96.4,19,21,90.5,84,,2018
Tyler Bass,tyler-bass-3,/cfb/players/tyler-bass-3.html,Georgia Southern,Sun Belt,13,45,45,100.0,19,21,90.5,102,,2018
Austin Seibert,austin-seibert-1,/cfb/players/austin-seibert-1.html,Oklahoma,Big 12,14,87,88,98.9,17,19,89.5,138,,2018
Clayton Hatfield,clayton-hatfield-1,/cfb/players/clayton-hatfield-1.html,Texas Tech,Big 12,12,55,55,100.0,17,19,89.5,106,,2018
Evan McPherson,evan-mcpherson-1,/cfb/players/evan-mcpherson-1.html,Florida,SEC,13,50,50,100.0,17,19,89.5,101,,2018
John Abercrombie,john-abercrombie-1,/cfb/players/john-abercrombie-1.html,Army,Ind,10,46,46,100.0,8,9,88.9,70,,2018
Christopher Dunn,christopher-dunn-1,/cfb/players/christopher-dunn-1.html,North Carolina State,ACC,13,51,51,100.0,23,26,88.5,120,,2018
Andre Szmyt,andre-szmyt-1,/cfb/players/andre-szmyt-1.html,Syracuse,ACC,13,61,61,100.0,30,34,88.2,151,AA,2018
Cole Tracy,cole-tracy-1,/cfb/players/cole-tracy-1.html,LSU,SEC,13,42,42,100.0,29,33,87.9,129,,2018
Andrew Shelley,andrew-shelley-1,/cfb/players/andrew-shelley-1.html,New Mexico,MWC,12,34,39,87.2,7,8,87.5,55,,2018
Blake Lynch,blake-lynch-2,/cfb/players/blake-lynch-2.html,Kansas State,Big 12,9,19,20,95.0,14,16,87.5,61,,2018
Cole Hedlund,cole-hedlund-1,/cfb/players/cole-hedlund-1.html,North Texas,CUSA,13,51,54,94.4,19,22,86.4,108,,2018
Nick Sciba,nick-sciba-1,/cfb/players/nick-sciba-1.html,Wake Forest,ACC,13,50,50,100.0,19,22,86.4,107,,2018
Joseph Petrino,joseph-petrino-1,/cfb/players/joseph-petrino-1.html,Maryland,Big Ten,12,40,41,97.6,12,14,85.7,76,,2018
Matthew Wright,matthew-wright-1,/cfb/players/matthew-wright-1.html,UCF,American,13,74,74,100.0,12,14,85.7,110,,2018
Bennett Moehring,bennett-moehring-1,/cfb/players/bennett-moehring-1.html,Navy,American,13,34,35,97.1,11,13,84.6,67,,2018
Matt Gay,matt-gay-2,/cfb/players/matt-gay-2.html,Utah,Pac-12,14,45,45,100.0,26,31,83.9,123,,2018
Blanton Creque,blaton-creque-1,/cfb/players/blaton-creque-1.html,Louisville,ACC,12,27,30,90.0,10,12,83.3,57,,2018
Coby Weiss,coby-weiss-1,/cfb/players/coby-weiss-1.html,South Florida,American,12,35,39,89.7,15,18,83.3,80,,2018
Kyle Pfau,kyle-pfau-1,/cfb/players/kyle-pfau-1.html,Louisiana,Sun Belt,14,54,55,98.2,15,18,83.3,99,,2018
Logan Justus,logan-justus-1,/cfb/players/logan-justus-1.html,Indiana,Big Ten,12,32,33,97.0,15,18,83.3,77,,2018
Ryan Meskell,ryan-meskell-1,/cfb/players/ryan-meskell-1.html,Hawaii,MWC,14,46,47,97.9,15,18,83.3,91,,2018
Ryan Tice,ryan-tice-1,/cfb/players/ryan-tice-1.html,Central Michigan,MAC,12,14,15,93.3,10,12,83.3,44,,2018
Rodrigo Blankenship,rodrigo-blankenship-1,/cfb/players/rodrigo-blankenship-1.html,Georgia,SEC,14,65,65,100.0,19,23,82.6,122,,2018
Matthew Trickett,matthew-trickett-1,/cfb/players/matthew-trickett-1.html,Kent State,MAC,12,33,34,97.1,14,17,82.4,75,,2018
Brandon Ruiz,brandon-ruiz-1,/cfb/players/brandon-ruiz-1.html,Arizona State,Pac-12,13,45,45,100.0,18,22,81.8,99,,2018
Cooper Garcia,cooper-garcia-1,/cfb/players/cooper-garcia-1.html,Massachusetts,Ind,12,37,37,100.0,9,11,81.8,64,,2018
Justin Davidovicz,justin-davidovicz-1,/cfb/players/justin-davidovicz-1.html,Rutgers,Big Ten,12,17,17,100.0,9,11,81.8,44,,2018
