Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Jerome Lane,jerome-lane-1,/cfb/players/jerome-lane-1.html,Akron,MAC,12,62,1018,16.4,6,84.8,0,0,,0,0.0,62,1018,16.4,6,,2016
J'Mon Moore,jmon-moore-2,/cfb/players/jmon-moore-2.html,Missouri,SEC,12,62,1012,16.3,8,84.3,0,0,,1,0.0,62,1012,16.3,9,,2016
Nick Westbrook,nick-westbrook-1,/cfb/players/nick-westbrook-1.html,Indiana,Big Ten,13,54,995,18.4,6,76.5,1,3,3.0,1,0.2,55,998,18.1,7,,2016
Cam Phillips,cam-phillips-1,/cfb/players/cam-phillips-1.html,Virginia Tech,ACC,14,76,983,12.9,5,70.2,30,140,4.7,0,10.0,106,1123,10.6,5,,2016
Chris Godwin,chris-godwin-1,/cfb/players/chris-godwin-1.html,Penn State,Big Ten,14,59,982,16.6,11,70.1,1,13,13.0,0,0.9,60,995,16.6,11,,2016
Josh Malone,josh-malone-1,/cfb/players/josh-malone-1.html,Tennessee,SEC,13,50,972,19.4,11,74.8,0,0,,0,0.0,50,972,19.4,11,,2016
Kevonn Mabon,kevonn-mabon-1,/cfb/players/kevonn-mabon-1.html,Ball State,MAC,12,85,972,11.4,3,81.0,12,64,5.3,1,5.3,97,1036,10.7,4,,2016
Robert Davis,robert-davis-10,/cfb/players/robert-davis-10.html,Georgia State,Sun Belt,12,67,968,14.4,5,80.7,0,0,,0,0.0,67,968,14.4,5,,2016
Scott Miller,scott-miller-3,/cfb/players/scott-miller-3.html,Bowling Green,MAC,12,74,968,13.1,10,80.7,0,0,,0,0.0,74,968,13.1,10,,2016
Equanimeous St. Brown,equanimeous-st-brown-1,/cfb/players/equanimeous-st-brown-1.html,Notre Dame,Ind,12,58,961,16.6,9,80.1,0,0,,0,0.0,58,961,16.6,9,,2016
Jalen Robinette,jalen-robinette-1,/cfb/players/jalen-robinette-1.html,Air Force,MWC,13,35,959,27.4,6,73.8,0,0,,0,0.0,35,959,27.4,6,,2016
Deangelo Yancey,deangelo-yancey-1,/cfb/players/deangelo-yancey-1.html,Purdue,Big Ten,12,49,951,19.4,10,79.3,0,0,,0,0.0,49,951,19.4,10,,2016
Shelton Gibson,shelton-gibson-1,/cfb/players/shelton-gibson-1.html,West Virginia,Big 12,13,43,951,22.1,8,73.2,2,29,14.5,0,2.2,45,980,21.8,8,,2016
Zach Pascal,zach-pascal-1,/cfb/players/zach-pascal-1.html,Old Dominion,CUSA,13,65,946,14.6,9,72.8,23,145,6.3,0,11.2,88,1091,12.4,9,,2016
Ahmmon Richards,ahmmon-richards-1,/cfb/players/ahmmon-richards-1.html,Miami (FL),ACC,13,49,934,19.1,3,71.8,2,8,4.0,0,0.6,51,942,18.5,3,,2016
Kalib Woods,kalib-woods-1,/cfb/players/kalib-woods-1.html,Florida Atlantic,CUSA,12,68,934,13.7,1,77.8,0,0,,0,0.0,68,934,13.7,1,,2016
Christian Kirk,christian-kirk-1,/cfb/players/christian-kirk-1.html,Texas A&M,SEC,13,83,928,11.2,9,71.4,8,35,4.4,0,2.7,91,963,10.6,9,,2016
Evan Engram,evan-engram-1,/cfb/players/evan-engram-1.html,Ole Miss,SEC,11,65,926,14.2,8,84.2,0,0,,0,0.0,65,926,14.2,8,,2016
