Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Jerreth Sterns,jerreth-sterns-1,/cfb/players/jerreth-sterns-1.html,Western Kentucky,CUSA,14,150,1902,12.7,17,135.9,5,17,3.4,0,1.2,155,1919,12.4,17,,2021
Deven Thompkins,deven-thompkins-1,/cfb/players/deven-thompkins-1.html,Utah State,MWC,14,102,1704,16.7,10,121.7,5,27,5.4,0,1.9,107,1731,16.2,10,,2021
Jaxon Smith-Njigba,jaxon-smith-njigba-1,/cfb/players/jaxon-smith-njigba-1.html,Ohio State,Big Ten,13,95,1606,16.9,9,123.5,0,0,,0,0.0,95,1606,16.9,9,,2021
Jordan Addison,jordan-addison-1,/cfb/players/jordan-addison-1.html,Pitt,ACC,14,100,1593,15.9,17,113.8,7,56,8.0,1,4.0,107,1649,15.4,18,AA,2021
Jameson Williams,jameson-williams-1,/cfb/players/jameson-williams-1.html,Alabama,SEC,15,79,1572,19.9,15,104.8,3,23,7.7,0,1.5,82,1595,19.5,15,,2021
Jalen Tolbert,jalen-tolbert-1,/cfb/players/jalen-tolbert-1.html,South Alabama,Sun Belt,12,82,1474,18.0,8,122.8,0,0,,0,0.0,82,1474,18.0,8,,2021
Jack Sorenson,jack-sorenson-1,/cfb/players/jack-sorenson-1.html,Miami (OH),MAC,13,76,1406,18.5,10,108.2,0,0,,0,0.0,76,1406,18.5,10,,2021
Mitchell Tinsley,mitchell-tinsley-1,/cfb/players/mitchell-tinsley-1.html,Western Kentucky,CUSA,14,87,1402,16.1,14,100.1,0,0,,0,0.0,87,1402,16.1,14,,2021
Jacob Cowing,jacob-cowing-1,/cfb/players/jacob-cowing-1.html,UTEP,CUSA,13,69,1354,19.6,7,104.2,4,75,18.8,1,5.8,73,1429,19.6,8,,2021
Josh Downs,josh-downs-2,/cfb/players/josh-downs-2.html,North Carolina,ACC,13,101,1335,13.2,8,102.7,0,0,,0,0.0,101,1335,13.2,8,,2021
Wan'Dale Robinson,wandale-robinson-1,/cfb/players/wandale-robinson-1.html,Kentucky,SEC,13,104,1334,12.8,7,102.6,7,111,15.9,0,8.5,111,1445,13.0,7,,2021
Nathaniel Dell,nathaniel-dell-1,/cfb/players/nathaniel-dell-1.html,Houston,American,14,90,1329,14.8,12,94.9,1,5,5.0,0,0.4,91,1334,14.7,12,,2021
A.T. Perry,at-perry-1,/cfb/players/at-perry-1.html,Wake Forest,ACC,14,71,1293,18.2,15,92.4,0,0,,0,0.0,71,1293,18.2,15,,2021
Skyy Moore,skyy-moore-1,/cfb/players/skyy-moore-1.html,Western Michigan,MAC,12,95,1292,13.6,9,107.7,1,10,10.0,0,0.8,96,1302,13.6,9,,2021
David Bell,david-bell-6,/cfb/players/david-bell-6.html,Purdue,Big Ten,11,93,1286,13.8,6,116.9,3,39,13.0,0,3.5,96,1325,13.8,6,AA,2021
Dante Cephas,dante-cephas-1,/cfb/players/dante-cephas-1.html,Kent State,MAC,14,82,1240,15.1,9,88.6,0,0,,0,0.0,82,1240,15.1,9,,2021
Dontayvion Wicks,dontayvion-wicks-1,/cfb/players/dontayvion-wicks-1.html,Virginia,ACC,12,57,1203,21.1,9,100.3,0,0,,0,0.0,57,1203,21.1,9,,2021
Jahan Dotson,jahan-dotson-1,/cfb/players/jahan-dotson-1.html,Penn State,Big Ten,12,91,1182,13.0,12,98.5,6,18,3.0,1,1.5,97,1200,12.4,13,,2021
Charleston Rambo,charleston-rambo-1,/cfb/players/charleston-rambo-1.html,Miami (FL),ACC,12,79,1172,14.8,7,97.7,0,0,,0,0.0,79,1172,14.8,7,,2021
Calvin Austin III,calvin-austin-iii-1,/cfb/players/calvin-austin-iii-1.html,Memphis,American,12,74,1149,15.5,8,95.8,1,69,69.0,1,5.8,75,1218,16.2,9,,2021
John Metchie,john-metchie-1,/cfb/players/john-metchie-1.html,Alabama,SEC,13,96,1142,11.9,8,87.8,1,8,8.0,0,0.6,97,1150,11.9,8,,2021
Jaivon Heiligh,jaivon-heiligh-1,/cfb/players/jaivon-heiligh-1.html,Coastal Carolina,Sun Belt,13,66,1128,17.1,7,86.8,0,0,,0,0.0,66,1128,17.1,7,,2021
Trey McBride,trey-mcbride-1,/cfb/players/trey-mcbride-1.html,Colorado State,MWC,12,90,1121,12.5,1,93.4,1,69,69.0,1,5.8,91,1190,13.1,2,AA,2021
Khalil Shakir,khalil-shakir-1,/cfb/players/khalil-shakir-1.html,Boise State,MWC,12,77,1117,14.5,7,93.1,21,130,6.2,0,10.8,98,1247,12.7,7,,2021
Josh Johnson,josh-johnson-9,/cfb/players/josh-johnson-9.html,Tulsa,American,13,83,1114,13.4,6,85.7,3,-2,-0.7,0,-0.2,86,1112,12.9,6,,2021
Romeo Doubs,romeo-doubs-1,/cfb/players/romeo-doubs-1.html,Nevada,MWC,11,80,1109,13.9,11,100.8,1,4,4.0,0,0.4,81,1113,13.7,11,,2021
Treylon Burks,treylon-burks-1,/cfb/players/treylon-burks-1.html,Arkansas,SEC,12,66,1104,16.7,11,92.0,14,112,8.0,1,9.3,80,1216,15.2,12,,2021
Drake London,drake-london-1,/cfb/players/drake-london-1.html,USC,Pac-12,8,88,1084,12.3,7,135.5,1,2,2.0,0,0.3,89,1086,12.2,7,,2021
Cedric Tillman,cedric-tillman-1,/cfb/players/cedric-tillman-1.html,Tennessee,SEC,13,64,1081,16.9,12,83.2,0,0,,0,0.0,64,1081,16.9,12,,2021
Jaquarii Roberson,jaquarii-roberson-1,/cfb/players/jaquarii-roberson-1.html,Wake Forest,ACC,13,71,1078,15.2,8,82.9,2,8,4.0,0,0.6,73,1086,14.9,8,,2021
Tyrese Chambers,tyrese-chambers-1,/cfb/players/tyrese-chambers-1.html,Florida International,CUSA,12,45,1074,23.9,9,89.5,0,0,,0,0.0,45,1074,23.9,9,,2021
Ali Jennings,ali-jennings-1,/cfb/players/ali-jennings-1.html,Old Dominion,CUSA,13,62,1066,17.2,5,82.0,0,3,,0,0.2,62,1069,17.2,5,,2021
Garrett Wilson,garrett-wilson-2,/cfb/players/garrett-wilson-2.html,Ohio State,Big Ten,11,70,1058,15.1,12,96.2,4,76,19.0,1,6.9,74,1134,15.3,13,,2021
Makai Polk,makai-polk-1,/cfb/players/makai-polk-1.html,Mississippi State,SEC,13,105,1046,10.0,9,80.5,0,0,,0,0.0,105,1046,10.0,9,,2021
Tay Martin,tay-martin-1,/cfb/players/tay-martin-1.html,Oklahoma State,Big 12,13,80,1046,13.1,10,80.5,2,13,6.5,1,1.0,82,1059,12.9,11,,2021
Dontario Drummond,dontario-drummond-1,/cfb/players/dontario-drummond-1.html,Ole Miss,SEC,12,76,1028,13.5,8,85.7,6,40,6.7,1,3.3,82,1068,13.0,9,,2021
Zakhari Franklin,zakhari-franklin-1,/cfb/players/zakhari-franklin-1.html,UTSA,CUSA,13,81,1027,12.7,12,79.0,0,0,,0,0.0,81,1027,12.7,12,,2021
Jayden Reed,jayden-reed-1,/cfb/players/jayden-reed-1.html,Michigan State,Big Ten,13,59,1026,17.4,10,78.9,7,34,4.9,1,2.6,66,1060,16.1,11,,2021
Hassan Beydoun,hassan-beydoun-1,/cfb/players/hassan-beydoun-1.html,Eastern Michigan,MAC,13,97,1015,10.5,4,78.1,2,2,1.0,0,0.2,99,1017,10.3,4,,2021
Keytaon Thompson,keytaon-thompson-1,/cfb/players/keytaon-thompson-1.html,Virginia,ACC,12,78,990,12.7,1,82.5,39,247,6.3,4,20.6,117,1237,10.6,5,,2021
Calvin Jackson Jr.,calvin-jackson-jr-1,/cfb/players/calvin-jackson-jr-1.html,Washington State,Pac-12,13,66,987,15.0,7,75.9,1,3,3.0,0,0.2,67,990,14.8,7,,2021
Xavier Hutchinson,xavier-hutchinson-1,/cfb/players/xavier-hutchinson-1.html,Iowa State,Big 12,13,83,987,11.9,5,75.9,2,18,9.0,0,1.4,85,1005,11.8,5,,2021
Xavier Worthy,xavier-worthy-1,/cfb/players/xavier-worthy-1.html,Texas,Big 12,12,62,981,15.8,12,81.8,1,7,7.0,0,0.6,63,988,15.7,12,,2021
Kalil Pimpleton,kalil-pimpleton-1,/cfb/players/kalil-pimpleton-1.html,Central Michigan,MAC,13,62,960,15.5,4,73.8,16,84,5.3,2,6.5,78,1044,13.4,6,,2021
Tyquan Thornton,tyquan-thornton-1,/cfb/players/tyquan-thornton-1.html,Baylor,Big 12,14,62,948,15.3,10,67.7,1,-11,-11.0,0,-0.8,63,937,14.9,10,,2021
Chris Olave,chris-olave-1,/cfb/players/chris-olave-1.html,Ohio State,Big Ten,12,65,936,14.4,13,78.0,0,0,,0,0.0,65,936,14.4,13,,2021
Nick Mardner,nick-mardner-1,/cfb/players/nick-mardner-1.html,Hawaii,MWC,13,46,913,19.8,5,70.2,0,0,,0,0.0,46,913,19.8,5,,2021
Isaiah Likely,isaiah-likely-1,/cfb/players/isaiah-likely-1.html,Coastal Carolina,Sun Belt,13,59,912,15.5,12,70.2,3,10,3.3,0,0.8,62,922,14.9,12,,2021
Corey Sutton,corey-sutton-2,/cfb/players/corey-sutton-2.html,Appalachian State,Sun Belt,13,61,904,14.8,7,69.5,0,0,,0,0.0,61,904,14.8,7,,2021
Jalen Cropper,jalen-cropper-1,/cfb/players/jalen-cropper-1.html,Fresno State,MWC,13,85,899,10.6,11,69.2,19,76,4.0,2,5.8,104,975,9.4,13,,2021
Samori Toure,samori-toure-1,/cfb/players/samori-toure-1.html,Nebraska,Big Ten,12,46,898,19.5,5,74.8,8,63,7.9,1,5.3,54,961,17.8,6,,2021
Grant Dubose,grant-dubose-1,/cfb/players/grant-dubose-1.html,Charlotte,CUSA,12,62,892,14.4,6,74.3,3,18,6.0,0,1.5,65,910,14.0,6,,2021
