Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Keyarris Garrett,keyarris-garrett-1,/cfb/players/keyarris-garrett-1.html,Tulsa,American,13,96,1588,16.5,8,122.2,0,0,,0,0.0,96,1588,16.5,8,,2015
Roger Lewis,roger-lewis-1,/cfb/players/roger-lewis-1.html,Bowling Green,MAC,14,85,1544,18.2,16,110.3,0,0,,0,0.0,85,1544,18.2,16,,2015
Taywan Taylor,taywan-taylor-1,/cfb/players/taywan-taylor-1.html,Western Kentucky,CUSA,14,86,1467,17.1,17,104.8,7,-9,-1.3,0,-0.6,93,1458,15.7,17,,2015
JuJu Smith-Schuster,juju-smith-1,/cfb/players/juju-smith-1.html,USC,Pac-12,14,89,1454,16.3,10,103.9,1,4,4.0,0,0.3,90,1458,16.2,10,,2015
Corey Davis,corey-davis-3,/cfb/players/corey-davis-3.html,Western Michigan,MAC,13,90,1436,16.0,12,110.5,1,11,11.0,0,0.8,91,1447,15.9,12,,2015
Thomas Sperbeck,thomas-sperbeck-1,/cfb/players/thomas-sperbeck-1.html,Boise State,MWC,13,88,1412,16.0,8,108.6,5,42,8.4,0,3.2,93,1454,15.6,8,,2015
Michael Thomas,michael-thomas-6,/cfb/players/michael-thomas-6.html,Southern Mississippi,CUSA,13,71,1391,19.6,14,107.0,0,0,,0,0.0,71,1391,19.6,14,,2015
Daniel Braverman,daniel-braverman-1,/cfb/players/daniel-braverman-1.html,Western Michigan,MAC,13,109,1377,12.6,13,105.9,2,13,6.5,0,1.0,111,1390,12.5,13,,2015
Corey Coleman,corey-coleman-1,/cfb/players/corey-coleman-1.html,Baylor,Big 12,12,74,1363,18.4,20,113.6,22,111,5.0,0,9.3,96,1474,15.4,20,AA,2015
Richie James,richie-james-1,/cfb/players/richie-james-1.html,Middle Tennessee State,CUSA,13,108,1346,12.5,8,103.5,12,146,12.2,1,11.2,120,1492,12.4,9,,2015
Josh Doctson,josh-doctson-1,/cfb/players/josh-doctson-1.html,Texas Christian,Big 12,11,79,1327,16.8,14,120.6,1,6,6.0,0,0.5,80,1333,16.7,14,AA,2015
Tajae Sharpe,tajae-sharpe-1,/cfb/players/tajae-sharpe-1.html,Massachusetts,MAC,12,111,1319,11.9,5,109.9,1,-3,-3.0,0,-0.3,112,1316,11.8,5,,2015
Sterling Shepard,sterling-shepard-1,/cfb/players/sterling-shepard-1.html,Oklahoma,Big 12,13,86,1288,15.0,11,99.1,1,5,5.0,0,0.4,87,1293,14.9,11,,2015
Trent Taylor,trent-taylor-2,/cfb/players/trent-taylor-2.html,Louisiana Tech,CUSA,13,99,1282,12.9,9,98.6,0,0,,0,0.0,99,1282,12.9,9,,2015
Jakeem Grant,jakeem-grant-1,/cfb/players/jakeem-grant-1.html,Texas Tech,Big 12,13,90,1268,14.1,10,97.5,8,68,8.5,2,5.2,98,1336,13.6,12,,2015
Aaron Burbridge,aaron-burbridge-1,/cfb/players/aaron-burbridge-1.html,Michigan State,Big Ten,14,85,1258,14.8,7,89.9,9,44,4.9,0,3.1,94,1302,13.9,7,,2015
William Fuller,william-fuller-2,/cfb/players/william-fuller-2.html,Notre Dame,Ind,13,62,1258,20.3,14,96.8,0,0,,0,0.0,62,1258,20.3,14,,2015
Demarcus Ayers,demarcus-ayers-1,/cfb/players/demarcus-ayers-1.html,Houston,American,14,98,1222,12.5,6,87.3,25,147,5.9,1,10.5,123,1369,11.1,7,,2015
Gabe Marks,gabe-marks-1,/cfb/players/gabe-marks-1.html,Washington State,Pac-12,13,104,1192,11.5,15,91.7,0,0,,0,0.0,104,1192,11.5,15,,2015
Isaiah Ford,isaiah-ford-1,/cfb/players/isaiah-ford-1.html,Virginia Tech,ACC,13,75,1164,15.5,11,89.5,7,51,7.3,0,3.9,82,1215,14.8,11,,2015
Laquon Treadwell,laquon-treadwell-1,/cfb/players/laquon-treadwell-1.html,Ole Miss,SEC,13,82,1153,14.1,11,88.7,1,-5,-5.0,0,-0.4,83,1148,13.8,11,,2015
Kenny Golladay,kenny-golladay-1,/cfb/players/kenny-golladay-1.html,Northern Illinois,MAC,14,73,1129,15.5,10,80.6,9,14,1.6,1,1.0,82,1143,13.9,11,,2015
Jordan Payton,jordan-payton-1,/cfb/players/jordan-payton-1.html,UCLA,Pac-12,13,78,1106,14.2,5,85.1,0,0,,0,0.0,78,1106,14.2,5,,2015
Chris Godwin,chris-godwin-1,/cfb/players/chris-godwin-1.html,Penn State,Big Ten,13,69,1101,16.0,5,84.7,0,0,,0,0.0,69,1101,16.0,5,,2015
Zay Jones,isaiah-jones-2,/cfb/players/isaiah-jones-2.html,East Carolina,American,12,98,1099,11.2,5,91.6,1,-6,-6.0,0,-0.5,99,1093,11.0,5,,2015
Penny Hart,penny-hart-1,/cfb/players/penny-hart-1.html,Georgia State,Sun Belt,13,71,1099,15.5,8,84.5,3,11,3.7,0,0.8,74,1110,15.0,8,,2015
James Washington,james-washington-5,/cfb/players/james-washington-5.html,Oklahoma State,Big 12,13,53,1087,20.5,10,83.6,1,10,10.0,0,0.8,54,1097,20.3,10,,2015
Devin Lucien,devin-lucien-1,/cfb/players/devin-lucien-1.html,Arizona State,Pac-12,13,66,1075,16.3,8,82.7,0,0,,0,0.0,66,1075,16.3,8,,2015
Joshua Atkinson,joshua-atkinson-1,/cfb/players/joshua-atkinson-1.html,Tulsa,American,13,76,1071,14.1,5,82.4,0,0,,0,0.0,76,1071,14.1,5,,2015
Rashard Higgins,rashard-higgins-1,/cfb/players/rashard-higgins-1.html,Colorado State,MWC,12,75,1062,14.2,8,88.5,1,20,20.0,0,1.7,76,1082,14.2,8,,2015
Nelson Spruce,nelson-spruce-1,/cfb/players/nelson-spruce-1.html,Colorado,Pac-12,13,89,1053,11.8,4,81.0,0,0,,0,0.0,89,1053,11.8,4,,2015
Ed'Marques Batties,edmarques-batties-1,/cfb/players/edmarques-batties-1.html,Middle Tennessee State,CUSA,13,82,1048,12.8,13,80.6,0,0,,0,0.0,82,1048,12.8,13,,2015
Calvin Ridley,calvin-ridley-1,/cfb/players/calvin-ridley-1.html,Alabama,SEC,15,89,1045,11.7,7,69.7,1,2,2.0,0,0.1,90,1047,11.6,7,,2015
Dom Williams,dom-williams-1,/cfb/players/dom-williams-1.html,Washington State,Pac-12,13,75,1040,13.9,11,80.0,0,0,,0,0.0,75,1040,13.9,11,,2015
Simmie Cobbs,simmie-cobbs-1,/cfb/players/simmie-cobbs-1.html,Indiana,Big Ten,13,60,1035,17.3,4,79.6,0,0,,0,0.0,60,1035,17.3,4,,2015
Gehrig Dieter,gehrig-dieter-1,/cfb/players/gehrig-dieter-1.html,Bowling Green,MAC,14,94,1033,11.0,10,73.8,1,-2,-2.0,0,-0.1,95,1031,10.9,10,,2015
Christian Kirk,christian-kirk-1,/cfb/players/christian-kirk-1.html,Texas A&M,SEC,13,80,1009,12.6,7,77.6,11,54,4.9,0,4.2,91,1063,11.7,7,,2015
Fred Ross,fred-ross-1,/cfb/players/fred-ross-1.html,Mississippi State,SEC,13,88,1007,11.4,5,77.5,2,42,21.0,1,3.2,90,1049,11.7,6,,2015
Shaq Washington,shaq-washington-1,/cfb/players/shaq-washington-1.html,Cincinnati,American,13,90,982,10.9,6,75.5,0,0,,0,0.0,90,982,10.9,6,,2015
Robert Davis,robert-davis-10,/cfb/players/robert-davis-10.html,Georgia State,Sun Belt,13,61,980,16.1,6,75.4,0,0,,0,0.0,61,980,16.1,6,,2015
Alex Erickson,alex-erickson-1,/cfb/players/alex-erickson-1.html,Wisconsin,Big Ten,13,77,978,12.7,3,75.2,7,111,15.9,0,8.5,84,1089,13.0,3,,2015
Pharoh Cooper,pharoh-cooper-1,/cfb/players/pharoh-cooper-1.html,South Carolina,SEC,12,66,973,14.7,8,81.1,24,111,4.6,1,9.3,90,1084,12.0,9,,2015
Nicholas Norris,nicholas-norris-1,/cfb/players/nicholas-norris-1.html,Western Kentucky,CUSA,14,63,971,15.4,6,69.4,6,63,10.5,1,4.5,69,1034,15.0,7,,2015
Zach Pascal,zach-pascal-1,/cfb/players/zach-pascal-1.html,Old Dominion,CUSA,12,68,970,14.3,8,80.8,15,165,11.0,1,13.8,83,1135,13.7,9,,2015
Bryce Treggs,bryce-treggs-1,/cfb/players/bryce-treggs-1.html,California,Pac-12,13,45,956,21.2,7,73.5,0,0,,0,0.0,45,956,21.2,7,,2015
Ronnie Moore,ronnie-moore-3,/cfb/players/ronnie-moore-3.html,Bowling Green,MAC,14,72,954,13.3,6,68.1,9,55,6.1,1,3.9,81,1009,12.5,7,,2015
Robby Anderson,robby-anderson-1,/cfb/players/robby-anderson-1.html,Temple,American,14,70,939,13.4,7,67.1,4,15,3.8,0,1.1,74,954,12.9,7,,2015
Tyler Boyd,tyler-boyd-1,/cfb/players/tyler-boyd-1.html,Pitt,ACC,12,91,926,10.2,6,77.2,40,349,8.7,0,29.1,131,1275,9.7,6,,2015
Casey Martin,casey-martin-1,/cfb/players/casey-martin-1.html,Southern Mississippi,CUSA,14,80,925,11.6,7,66.1,1,-5,-5.0,0,-0.4,81,920,11.4,7,,2015
