Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Rome Odunze,rome-odunze-1,/cfb/players/rome-odunze-1.html,Washington,Pac-12,15,92,1640,17.8,13,109.3,2,37,18.5,1,2.5,94,1677,17.8,14,AA,2023
Malik Nabers,malik-nabers-1,/cfb/players/malik-nabers-1.html,LSU,SEC,13,89,1569,17.6,14,120.7,1,1,1.0,0,0.1,90,1570,17.4,14,AA,2023
Ricky White,ricky-white-2,/cfb/players/ricky-white-2.html,Nevada-Las Vegas,MWC,14,88,1483,16.9,8,105.9,1,1,1.0,0,0.1,89,1484,16.7,8,,2023
Malik Washington,malik-washington-1,/cfb/players/malik-washington-1.html,Virginia,ACC,12,110,1426,13.0,9,118.8,3,7,2.3,0,0.6,113,1433,12.7,9,,2023
Tetairoa McMillan,tetairoa-mcmillan-1,/cfb/players/tetairoa-mcmillan-1.html,Arizona,Pac-12,13,90,1402,15.6,10,107.8,1,3,3.0,0,0.2,91,1405,15.4,10,,2023
Troy Franklin,troy-franklin-2,/cfb/players/troy-franklin-2.html,Oregon,Pac-12,13,81,1383,17.1,14,106.4,0,0,,0,0.0,81,1383,17.1,14,,2023
Caullin Lacy,caullin-lacy-1,/cfb/players/caullin-lacy-1.html,South Alabama,Sun Belt,12,91,1316,14.5,7,109.7,0,0,,0,0.0,91,1316,14.5,7,,2023
Xavier Legette,xavier-legette-1,/cfb/players/xavier-legette-1.html,South Carolina,SEC,12,71,1255,17.7,7,104.6,9,-9,-1.0,0,-0.8,80,1246,15.6,7,,2023
Luther Burden,luther-burden-1,/cfb/players/luther-burden-1.html,Missouri,SEC,13,86,1212,14.1,9,93.2,7,31,4.4,0,2.4,93,1243,13.4,9,,2023
Marvin Harrison Jr.,marvin-harrison-jr-1,/cfb/players/marvin-harrison-jr-1.html,Ohio State,Big Ten,12,67,1211,18.1,14,100.9,2,26,13.0,1,2.2,69,1237,17.9,15,"H-4,AA",2023
Elijah Sarratt,elijah-sarratt-1,/cfb/players/elijah-sarratt-1.html,James Madison,Sun Belt,13,82,1191,14.5,8,91.6,1,1,1.0,1,0.1,83,1192,14.4,9,,2023
Tez Johnson,tez-johnson-1,/cfb/players/tez-johnson-1.html,Oregon,Pac-12,14,86,1182,13.7,10,84.4,0,0,,0,0.0,86,1182,13.7,10,,2023
Brian Thomas Jr.,brian-thomas-jr-1,/cfb/players/brian-thomas-jr-1.html,LSU,SEC,13,68,1177,17.3,17,90.5,1,-6,-6.0,0,-0.5,69,1171,17.0,17,,2023
LaJohntay Wester,lajohntay-wester-1,/cfb/players/lajohntay-wester-1.html,Florida Atlantic,American,12,108,1168,10.8,8,97.3,8,44,5.5,1,3.7,116,1212,10.4,9,,2023
Ja'lynn Polk,jalynn-polk-1,/cfb/players/jalynn-polk-1.html,Washington,Pac-12,15,69,1159,16.8,9,77.3,4,32,8.0,1,2.1,73,1191,16.3,10,,2023
Joshua Cephus,joshua-cephus-1,/cfb/players/joshua-cephus-1.html,UTSA,American,13,89,1151,12.9,10,88.5,1,-9,-9.0,0,-0.7,90,1142,12.7,10,,2023
Javon Baker,javon-baker-1,/cfb/players/javon-baker-1.html,UCF,Big 12,13,52,1139,21.9,7,87.6,0,0,,0,0.0,52,1139,21.9,7,,2023
Tory Horton,tory-horton-1,/cfb/players/tory-horton-1.html,Colorado State,MWC,12,96,1136,11.8,8,94.7,0,0,,0,0.0,96,1136,11.8,8,,2023
Kris Mitchell,kris-mitchell-1,/cfb/players/kris-mitchell-1.html,Florida International,CUSA,12,64,1118,17.5,6,93.2,1,0,0.0,0,0.0,65,1118,17.2,6,,2023
Xavier Restrepo,xavier-restrepo-1,/cfb/players/xavier-restrepo-1.html,Miami (FL),ACC,13,85,1092,12.8,6,84.0,0,0,,0,0.0,85,1092,12.8,6,,2023
Roc Taylor,roc-taylor-1,/cfb/players/roc-taylor-1.html,Memphis,American,13,69,1083,15.7,4,83.3,2,2,1.0,0,0.2,71,1085,15.3,4,,2023
Jalen Royals,jalen-royals-1,/cfb/players/jalen-royals-1.html,Utah State,MWC,13,71,1080,15.2,15,83.1,0,0,,0,0.0,71,1080,15.2,15,,2023
CJ Daniels,cj-daniels-1,/cfb/players/cj-daniels-1.html,Liberty,CUSA,14,55,1067,19.4,10,76.2,0,0,,0,0.0,55,1067,19.4,10,,2023
Tahj Washington,tahj-washington-1,/cfb/players/tahj-washington-1.html,USC,Pac-12,13,59,1062,18.0,8,81.7,1,10,10.0,0,0.8,60,1072,17.9,8,,2023
Isaiah Williams,isaiah-williams-7,/cfb/players/isaiah-williams-7.html,Illinois,Big Ten,12,82,1055,12.9,5,87.9,12,38,3.2,0,3.2,94,1093,11.6,5,,2023
Reggie Brown,reggie-brown-12,/cfb/players/reggie-brown-12.html,James Madison,Sun Belt,13,53,1054,19.9,9,81.1,0,0,,0,0.0,53,1054,19.9,9,,2023
Sean Atkins,sean-atkins-1,/cfb/players/sean-atkins-1.html,South Florida,American,13,92,1054,11.5,7,81.1,6,52,8.7,0,4.0,98,1106,11.3,7,,2023
Kelly Akharaiyi,kelly-akharaiyi-1,/cfb/players/kelly-akharaiyi-1.html,UTEP,CUSA,12,48,1033,21.5,7,86.1,1,7,7.0,0,0.6,49,1040,21.2,7,,2023
Sam Pinckney,sam-pinckney-1,/cfb/players/sam-pinckney-1.html,Coastal Carolina,Sun Belt,13,72,1027,14.3,8,79.0,1,7,7.0,0,0.5,73,1034,14.2,8,,2023
Steven McBride,steven-mcbride-1,/cfb/players/steven-mcbride-1.html,Hawaii,MWC,13,63,1024,16.3,9,78.8,0,0,,0,0.0,63,1024,16.3,9,,2023
Xavier Worthy,xavier-worthy-1,/cfb/players/xavier-worthy-1.html,Texas,Big 12,14,75,1014,13.5,5,72.4,4,35,8.8,0,2.5,79,1049,13.3,5,,2023
Elic Ayomanor,elic-ayomanor-1,/cfb/players/elic-ayomanor-1.html,Stanford,Pac-12,12,62,1013,16.3,6,84.4,0,0,,0,0.0,62,1013,16.3,6,,2023
Jay Maclin,jay-maclin-1,/cfb/players/jay-maclin-1.html,North Texas,American,12,57,1004,17.6,11,83.7,0,0,,0,0.0,57,1004,17.6,11,,2023
Jabre Barber,jabre-barber-1,/cfb/players/jabre-barber-1.html,Troy,Sun Belt,14,75,999,13.3,5,71.4,3,16,5.3,0,1.1,78,1015,13.0,5,,2023
Luke McCaffrey,luke-mccaffrey-1,/cfb/players/luke-mccaffrey-1.html,Rice,American,13,71,992,14.0,13,76.3,15,117,7.8,0,9.0,86,1109,12.9,13,,2023
Brennan Presley,brennan-presley-1,/cfb/players/brennan-presley-1.html,Oklahoma State,Big 12,14,101,991,9.8,6,70.8,11,41,3.7,2,2.9,112,1032,9.2,8,,2023
Tre Harris,tre-harris-1,/cfb/players/tre-harris-1.html,Ole Miss,SEC,12,54,985,18.2,8,82.1,0,0,,0,0.0,54,985,18.2,8,,2023
Malachi Corley,malachi-corley-1,/cfb/players/malachi-corley-1.html,Western Kentucky,CUSA,12,79,984,12.5,11,82.0,4,11,2.8,0,0.9,83,995,12.0,11,,2023
Jayden Higgins,jayden-higgins-1,/cfb/players/jayden-higgins-1.html,Iowa State,Big 12,13,53,983,18.5,6,75.6,0,0,,0,0.0,53,983,18.5,6,,2023
Ricky Pearsall,ricky-pearsall-1,/cfb/players/ricky-pearsall-1.html,Florida,SEC,12,65,965,14.8,4,80.4,3,62,20.7,2,5.2,68,1027,15.1,6,,2023
Drake Stoops,drake-stoops-1,/cfb/players/drake-stoops-1.html,Oklahoma,Big 12,13,84,962,11.5,10,74.0,4,8,2.0,0,0.6,88,970,11.0,10,,2023
Khaleb Hood,khaleb-hood-1,/cfb/players/khaleb-hood-1.html,Georgia Southern,Sun Belt,13,101,948,9.4,5,72.9,3,23,7.7,0,1.8,104,971,9.3,5,,2023
Terrell Vaughn,terrell-vaughn-1,/cfb/players/terrell-vaughn-1.html,Utah State,MWC,13,89,933,10.5,11,71.8,4,3,0.8,0,0.2,93,936,10.1,11,,2023
