Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_dick_butkus_award_most_outstanding_linebacker,award_mac_defensive_player_of_the_year,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_vince_lombardi_award_lineman_of_the_year
david-reese-4,David Reese,LB,Syracuse,California|Florida|Syracuse,8,78.0,4.077179487179487,0.0,,0,58.0,73.0,95.0,19.0,13.5,0.0,8.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nick-jackson-2,Nick Jackson,LB,Iowa,Iowa|Virginia,6,73.0,1.5339726027397258,0.0,,0,73.0,62.0,555.0,33.0,17.0,1.0,19.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
james-skalski-1,James Skalski,LB,Clemson,Clemson,6,69.0,4.24536231884058,0.0,,0,69.0,44.0,264.0,20.5,10.0,0.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jack-kiser-1,Jack Kiser,LB,Notre Dame,Notre Dame,6,67.0,3.966119402985075,0.0,,0,65.0,59.0,275.0,16.0,6.0,4.0,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cam-bright-1,Cam Bright,LB,Washington,Pitt|Washington,6,66.0,0.09272727272727274,0.0,,0,65.0,58.0,246.0,29.5,12.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jourdon-quibodeaux-1,Jourdon Quibodeaux,LB,Louisiana,Louisiana,5,66.0,-1.1204545454545454,0.0,,0,66.0,0.0,214.0,11.5,4.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon-george-1,Brandon George,LB,Pitt,Pitt,6,65.0,0.7535384615384615,0.0,,0,65.0,45.0,198.0,16.5,4.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryan-mead-1,Bryan Mead,LB,Oklahoma,Oklahoma,5,65.0,4.477384615384615,0.0,,0,65.0,25.0,58.0,0.5,0.5,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eugene-asante-1,Eugene Asante,LB,Auburn,Auburn|North Carolina,6,65.0,1.986307692307692,0.0,,0,65.0,45.0,196.0,14.0,7.5,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaylen-moody-1,Jaylen Moody,LB,Alabama,Alabama,5,65.0,0.562,0.0,,0,65.0,33.0,94.0,8.5,2.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kris-moncrief-1,Kris Moncrief,LB,Louisiana,Louisiana,5,65.0,-1.1376923076923076,0.0,,0,65.0,0.0,202.0,22.0,12.5,2.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyren-dupree-1,Tyren Dupree,LB,Liberty,Liberty,6,64.0,-6.65421875,1.0,CUSA Defensive Player of the Year,0,64.0,12.0,258.0,20.0,8.5,2.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aaron-brule-1,Aaron Brule,LB,Michigan State,Michigan State|Mississippi State,6,64.0,5.835,0.0,,0,64.0,24.0,235.0,32.5,16.5,0.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brendan-harrington-1,Brendan Harrington,LB,Georgia Southern,Appalachian State|Georgia Southern,7,64.0,-3.4390625000000004,0.0,,0,63.0,54.0,252.0,17.0,4.0,5.0,14.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dallas-gant-1,Dallas Gant,LB,Toledo,Ohio State|Toledo,6,64.0,3.68890625,0.0,,0,64.0,41.0,286.0,17.0,2.5,1.0,8.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lavonta-bentley-1,LaVonta Bentley,LB,Colorado,Clemson|Colorado,6,64.0,2.7857812500000003,0.0,,0,64.0,52.0,191.0,26.5,11.5,0.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mj-sherman-1,MJ Sherman,LB,Nebraska,Georgia|Nebraska,5,64.0,5.34734375,0.0,,0,64.0,42.0,59.0,7.5,5.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyler-bird-1,Tyler Bird,LB,Appalachian State,Appalachian State,5,64.0,-4.085625,0.0,,0,64.0,46.0,110.0,6.0,2.0,1.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bangally-kamara-1,Bangally Kamara,LB,Kansas,Kansas|Pitt|South Carolina,6,63.0,1.486190476190476,0.0,,0,63.0,49.0,185.0,22.0,6.5,1.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
