Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_john_mackey_award_most_outstanding_tight_end,award_mac_offensive_player_of_the_year,award_vern_smith_leadership_award
beau-johnson-2,Beau Johnson,TE,Georgia Southern,Georgia Southern,6,57.0,-2.9780701754385963,0.0,,0,0.0,53.0,0.0,0.0,0.0,42.0,554.0,6.0,0.0,0.0,0,0,0,0
cannon-smith-3,Cannon Smith,TE,Clemson,Clemson,4,57.0,5.934210526315789,0.0,,0,0.0,43.0,0.0,0.0,0.0,8.0,83.0,1.0,0.0,0.0,0,0,0,0
daniel-barker-1,Daniel Barker,TE,Michigan State,Illinois|Michigan State,5,57.0,3.041578947368421,0.0,,0,24.0,57.0,5.0,19.0,1.0,85.0,1066.0,13.0,460.0,7.0,0,0,0,0
erik-krommenho-1,Erik Krommenho,TE,USC,USC,5,57.0,2.3789473684210525,0.0,,0,24.0,57.0,2.0,8.0,0.0,39.0,335.0,3.0,151.0,1.0,0,0,0,0
terrell-mcdonald-1,Terrell McDonald,TE,UAB,UAB,5,57.0,-2.6891228070175437,0.0,,0,12.0,46.0,5.0,9.0,1.0,30.0,325.0,2.0,211.0,1.0,0,0,0,0
trent-thompson-2,Trent Thompson,TE,UTEP,UTEP,5,57.0,-7.819824561403509,0.0,,0,0.0,57.0,0.0,0.0,0.0,23.0,425.0,6.0,0.0,0.0,0,0,0,0
christian-trahan-1,Christian Trahan,TE,Houston,Houston,5,56.0,0.14285714285714288,0.0,,0,0.0,56.0,0.0,0.0,0.0,105.0,1186.0,9.0,0.0,0.0,0,0,0,0
grant-misch-1,Grant Misch,TE,Virginia,Virginia,5,56.0,2.200357142857143,0.0,,0,0.0,48.0,0.0,0.0,0.0,25.0,168.0,2.0,0.0,0.0,0,0,0,0
roger-carter-2,Roger Carter,TE,Georgia State,Georgia State,5,56.0,-4.222321428571428,0.0,,0,0.0,56.0,0.0,0.0,0.0,96.0,1224.0,12.0,0.0,0.0,0,0,0,0
will-swanson-1,Will Swanson,TE,Kansas State,Kansas State,6,56.0,4.695178571428571,0.0,,0,0.0,52.0,0.0,0.0,0.0,21.0,237.0,4.0,0.0,0.0,0,0,0,0
tyler-warren-1,Tyler Warren,TE,Penn State,Penn State,5,55.0,5.231272727272728,2.0,H-7|John Mackey Award [Most Outstanding Tight End],7,29.0,54.0,32.0,224.0,6.0,153.0,1839.0,19.0,1518.0,15.0,0,1,0,0
alex-bauman-1,Alex Bauman,TE,Miami (FL),Miami (FL)|Tulane,4,55.0,1.5392727272727271,0.0,,0,0.0,55.0,0.0,0.0,0.0,81.0,776.0,14.0,0.0,0.0,0,0,0,0
cade-brewer-1,Cade Brewer,TE,Texas,Texas,5,55.0,5.0058181818181815,0.0,,0,12.0,55.0,1.0,2.0,0.0,59.0,611.0,8.0,186.0,3.0,0,0,0,0
cam-mccormick-1,Cam McCormick,TE,Miami (FL),Miami (FL)|Oregon,8,55.0,2.2854545454545456,0.0,,0,0.0,55.0,0.0,0.0,0.0,32.0,273.0,7.0,0.0,0.0,0,0,0,0
casey-kelly-2,Casey Kelly,TE,East Carolina,East Carolina|Ole Miss|Oregon,6,55.0,2.876909090909091,0.0,,0,0.0,54.0,0.0,0.0,0.0,49.0,453.0,6.0,0.0,0.0,0,0,0,0
devin-miller-1,Devin Miller,TE,Marshall,Marshall,6,55.0,-4.28090909090909,0.0,,0,0.0,43.0,0.0,0.0,0.0,48.0,411.0,5.0,0.0,0.0,0,0,0,0
jaeger-bull-1,Jaeger Bull,TE,Wake Forest,Rice|Wake Forest,6,55.0,-2.186727272727273,0.0,,0,12.0,47.0,1.0,30.0,0.0,20.0,123.0,3.0,74.0,2.0,0,0,0,0
josh-sterzer-1,Josh Sterzer,TE,Utah State,Utah State,6,55.0,-3.371090909090909,0.0,,0,0.0,53.0,0.0,0.0,0.0,44.0,419.0,6.0,0.0,0.0,0,0,0,0
oscar-delp-1,Oscar Delp,TE,Georgia,Georgia,4,55.0,5.297454545454546,0.0,,0,0.0,55.0,0.0,0.0,0.0,70.0,854.0,9.0,0.0,0.0,0,0,0,0
will-wallace-2,Will Wallace,TE,Tulane,Tulane,6,55.0,-0.1103636363636363,0.0,,0,0.0,55.0,0.0,0.0,0.0,31.0,338.0,4.0,0.0,0.0,0,0,0,0
carson-terrell-1,Carson Terrell,TE,Utah State,Utah State,5,54.0,-3.222777777777778,0.0,,0,0.0,53.0,0.0,0.0,0.0,48.0,516.0,4.0,0.0,0.0,0,0,0,0
cole-cavallo-1,Cole Cavallo,TE,Southern Mississippi,Southern Mississippi,6,54.0,-4.212777777777778,0.0,,0,11.0,54.0,3.0,4.0,0.0,45.0,440.0,1.0,23.0,0.0,0,0,0,0
davis-allen-1,Davis Allen,TE,Clemson,Clemson,4,54.0,2.483703703703704,0.0,,0,0.0,54.0,0.0,0.0,0.0,88.0,951.0,12.0,0.0,0.0,0,0,0,0
