Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_camp,award_chuck_bednarik_award_defensive_player_of_the_year,award_fred_biletnikoff_award_outstanding_receiver,award_heisman_memorial_trophy_most_outstanding_player,award_jim_thorpe_award_most_outstanding_defensive_back,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
antavious-lane-1,Antavious Lane,DB,North Carolina,Georgia State|North Carolina,6,61.0,-1.605409836065574,0.0,,0,61.0,54.0,368.0,14.0,1.0,11.0,16.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antonio-parks-1,Antonio Parks,DB,UTSA,Arizona|UTSA,5,61.0,-2.3078688524590163,0.0,,0,61.0,38.0,118.0,5.0,0.0,3.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bud-clark-1,Bud Clark,DB,Texas Christian,Texas Christian,6,61.0,3.8891803278688526,0.0,,0,61.0,47.0,214.0,3.5,1.0,15.0,21.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamarri-conner-1,Chamarri Conner,DB,Virginia Tech,Virginia Tech,5,61.0,0.2736065573770493,0.0,,0,61.0,52.0,315.0,21.0,7.5,4.0,19.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris-megginson-1,Chris Megginson,DB,SMU,Liberty|SMU,5,61.0,-6.622622950819673,0.0,,0,61.0,12.0,119.0,3.0,0.0,1.0,21.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corey-mayfield-jr-1,Corey Mayfield Jr.,DB,UTSA,UTSA,5,61.0,-2.957377049180328,0.0,,0,61.0,52.0,167.0,13.0,5.0,7.0,27.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
houston-griffith-1,Houston Griffith,DB,Notre Dame,Notre Dame,5,61.0,3.487704918032787,0.0,,0,61.0,51.0,104.0,2.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobi-francis-1,Jacobi Francis,DB,Memphis,Memphis,5,61.0,-2.0924590163934425,0.0,,0,61.0,51.0,129.0,10.5,0.0,6.0,29.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeremiah-lewis-1,Jeremiah Lewis,DB,Duke,Duke|Northwestern,6,61.0,1.7013114754098362,0.0,,0,61.0,55.0,204.0,10.5,0.0,6.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jerrin-thompson-1,Jerrin Thompson,DB,Auburn,Auburn|Texas,5,61.0,5.377704918032787,0.0,,0,61.0,51.0,241.0,6.0,1.0,7.0,23.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josh-newton-1,Josh Newton,DB,Texas Christian,Louisiana-Monroe|Texas Christian,5,61.0,1.6034426229508196,0.0,,0,61.0,58.0,153.0,8.0,0.0,7.0,37.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaleb-oliver-1,Kaleb Oliver,DB,Western Kentucky,Georgia Tech|Western Kentucky,5,61.0,-1.0401639344262295,0.0,,0,61.0,56.0,186.0,11.5,4.0,7.0,12.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
korie-black-1,Korie Black,DB,Oklahoma State,Oklahoma State,5,61.0,4.056393442622951,0.0,,0,61.0,50.0,100.0,2.5,0.0,4.0,21.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steven-gilmore-1,Steven Gilmore,DB,Marshall,Marshall,5,61.0,-4.271147540983606,0.0,,0,61.0,51.0,200.0,6.5,2.5,9.0,35.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teja-young-1,Teja Young,DB,Ole Miss,Florida Atlantic|Ole Miss,6,61.0,-3.0552459016393443,0.0,,0,61.0,52.0,172.0,1.0,0.0,7.0,15.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tony-grimes-2,Tony Grimes,DB,Purdue,Nevada-Las Vegas|North Carolina|Purdue|Texas A&M,6,61.0,0.9839344262295081,0.0,,0,61.0,55.0,151.0,3.5,1.0,1.0,30.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trevian-thomas-1,Trevian Thomas,DB,Arkansas State,Arkansas State,5,61.0,-3.4036065573770493,0.0,,0,61.0,44.0,257.0,5.5,0.0,8.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trey-amos-1,Trey Amos,DB,Ole Miss,Alabama|Louisiana|Ole Miss,5,61.0,-0.1426229508196721,0.0,,0,61.0,23.0,121.0,6.5,0.0,4.0,31.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
will-boler-1,Will Boler,DB,UAB,UAB,6,61.0,-3.263114754098361,0.0,,0,61.0,46.0,201.0,6.0,0.0,2.0,14.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zamari-walton-1,Zamari Walton,DB,Ole Miss,Georgia Tech|Ole Miss,6,61.0,2.9078688524590164,0.0,,0,61.0,58.0,163.0,6.0,1.0,5.0,24.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aj-williams-2,AJ Williams,DB,Coastal Carolina,Coastal Carolina|Wake Forest,6,60.0,0.5326666666666665,0.0,,0,60.0,38.0,154.0,6.0,2.0,2.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony-cook-1,Anthony Cook,DB,Texas,Texas,5,60.0,5.8983333333333325,0.0,,0,60.0,48.0,167.0,10.0,2.5,0.0,11.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armani-chatman-1,Armani Chatman,DB,North Carolina,North Carolina|Virginia Tech,6,60.0,0.26450000000000007,0.0,,0,59.0,55.0,108.0,4.5,1.0,4.0,24.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corey-thornton-1,Corey Thornton,DB,Louisville,Louisville|UCF,5,60.0,0.6143333333333334,0.0,,0,60.0,56.0,177.0,3.5,1.0,6.0,33.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deshawn-gaddie-1,DeShawn Gaddie,DB,Ole Miss,North Texas|Ole Miss,5,60.0,-3.5786666666666664,0.0,,0,60.0,44.0,157.0,2.0,0.0,2.0,24.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devan-boykin-1,Devan Boykin,DB,Indiana,Indiana|North Carolina State,6,60.0,2.8991666666666664,0.0,,0,60.0,52.0,176.0,11.0,1.0,6.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dshawn-jamison-1,D'Shawn Jamison,DB,Texas,Texas,5,60.0,5.850666666666666,0.0,,0,47.0,43.0,139.0,6.0,1.0,6.0,17.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elijah-jones-3,Elijah Jones,DB,Boston College,Boston College,6,60.0,0.6413333333333334,0.0,,0,60.0,57.0,158.0,4.0,1.0,7.0,36.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jabbar-muhammad-1,Jabbar Muhammad,DB,Oregon,Oklahoma State|Oregon|Washington,5,60.0,5.6531666666666665,0.0,,0,60.0,51.0,159.0,6.5,2.5,4.0,40.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaden-davis-1,Jaden Davis,DB,Miami (FL),Miami (FL)|Oklahoma,5,60.0,3.7698333333333336,0.0,,0,60.0,51.0,146.0,4.0,1.0,1.0,14.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jatravis-broughton-1,Jatravis Broughton,DB,Texas Christian,Texas Christian|Utah,6,60.0,1.3866666666666665,0.0,,0,60.0,46.0,164.0,5.5,1.0,1.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javon-hicks-1,Ja'Von Hicks,DB,Cincinnati,Cincinnati,5,60.0,-0.4313333333333334,0.0,,0,60.0,46.0,197.0,4.5,0.0,10.0,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaylen-mccollough-1,Jaylen McCollough,DB,Tennessee,Tennessee,5,60.0,4.4465,0.0,,0,60.0,54.0,242.0,15.5,2.0,6.0,16.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonathan-mcgill-1,Jonathan McGill,DB,SMU,SMU|Stanford,6,60.0,1.6556666666666666,0.0,,0,60.0,56.0,229.0,20.0,1.5,8.0,29.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josh-foster-1,Josh Foster,DB,Texas Christian,Texas Christian,5,60.0,4.698666666666667,0.0,,0,60.0,39.0,113.0,2.5,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keidron-smith-1,Keidron Smith,DB,Kentucky,Kentucky|Ole Miss,5,60.0,4.808166666666667,0.0,,0,60.0,57.0,262.0,8.5,1.0,7.0,26.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kekaula-kaniho-1,Kekaula Kaniho,DB,Boise State,Boise State,5,60.0,-0.692,0.0,,0,60.0,54.0,217.0,28.5,5.0,6.0,24.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khalil-ladler-1,Khalil Ladler,DB,Louisiana Tech,Louisiana Tech|Virginia Tech,5,60.0,-0.7271666666666666,0.0,,0,60.0,48.0,174.0,9.0,1.0,1.0,8.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladarius-tennison-1,Ladarius Tennison,DB,UCF,Auburn|Ole Miss|UCF,5,60.0,5.188,0.0,,0,60.0,52.0,169.0,20.0,2.5,1.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
larry-brooks-3,Larry Brooks,DB,Tulane,Tulane,5,60.0,-0.39499999999999974,0.0,,0,60.0,45.0,216.0,4.0,1.0,9.0,12.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macon-clark-1,Macon Clark,DB,Tulane,Tulane,5,60.0,-0.4233333333333332,0.0,,0,59.0,47.0,203.0,19.5,5.0,9.0,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marquis-williams-3,Marquis Williams,DB,Pitt,Pitt,6,60.0,0.6676666666666667,0.0,,0,60.0,50.0,111.0,5.5,0.0,6.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
