Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_passing,games_rushing,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_rating,pass_yds_per_att,rush_att,rush_yds,rush_td,yds_from_scrimmage,scrim_td,awards,heisman_finish,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_davey_o_brien_award_most_outstanding_quarterback,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_unitas_golden_arm_award_most_outstanding_senior_quarterback,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_manning_award_most_outstanding_quarterback,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sammy_baugh_trophy_most_outstanding_passer,award_sun_belt_offensive_player_of_the_year,award_sun_belt_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
taylor-lamb-1,Taylor Lamb,Appalachian State,2015,QB,QB,13.0,0.0,-7.34,13.0,13.0,170.0,283.0,2387.0,31.0,9.0,160.7,8.4,85.0,436.0,5.0,436.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeb-speir-1,Zeb Speir,Appalachian State,2015,QB,QB,0.0,0.0,-7.34,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anu-solomon-1,Anu Solomon,Arizona,2015,QB,QB,11.0,0.0,1.12,11.0,11.0,205.0,330.0,2667.0,20.0,5.0,147.0,8.1,67.0,198.0,3.0,202.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon-dawkins-2,Brandon Dawkins,Arizona,2015,QB,QB,6.0,0.0,1.12,5.0,5.0,20.0,38.0,334.0,2.0,2.0,133.3,8.8,32.0,179.0,2.0,197.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
connor-brewer-2,Connor Brewer,Arizona,2015,QB,QB,0.0,0.0,1.12,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jerrard-randall-1,Jerrard Randall,Arizona,2015,QB,QB,11.0,0.0,1.12,11.0,11.0,47.0,95.0,518.0,5.0,3.0,106.3,5.5,78.0,702.0,5.0,702.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zach-werlinger-1,Zach Werlinger,Arizona,2015,QB,QB,1.0,0.0,1.12,,1.0,,,,,,,,2.0,28.0,1.0,28.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brady-white-1,Brady White,Arizona State,2015,QB,QB,0.0,0.0,4.45,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryce-perkins-1,Bryce Perkins,Arizona State,2015,QB,QB,0.0,0.0,4.45,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manny-wilkins-1,Manny Wilkins,Arizona State,2015,QB,QB,4.0,0.0,4.45,,4.0,,,,,,,,7.0,55.0,0.0,55.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mike-bercovici-1,Mike Bercovici,Arizona State,2015,QB,QB,13.0,0.0,4.45,13.0,13.0,319.0,532.0,3861.0,30.0,9.0,136.2,7.3,109.0,84.0,6.0,84.0,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austin-allen-1,Austin Allen,Arkansas,2015,QB,QB,3.0,0.0,6.02,3.0,,1.0,3.0,35.0,1.0,0.0,241.3,11.7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon-allen-2,Brandon Allen,Arkansas,2015,QB,QB,13.0,0.0,6.02,13.0,13.0,244.0,370.0,3440.0,30.0,8.0,166.5,9.3,56.0,107.0,1.0,118.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rafe-peavey-1,Rafe Peavey,Arkansas,2015,QB,QB,0.0,0.0,6.02,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ricky-town-1,Ricky Town,Arkansas,2015,QB,QB,0.0,0.0,6.02,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty-storey-1,Ty Storey,Arkansas,2015,QB,QB,0.0,0.0,6.02,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cameron-birse-1,Cameron Birse,Arkansas State,2015,QB,QB,8.0,0.0,-6.26,8.0,,4.0,4.0,37.0,0.0,0.0,177.7,9.3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carson-coats-1,Carson Coats,Arkansas State,2015,QB,QB,0.0,0.0,-6.26,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dj-pearson-1,D.J. Pearson,Arkansas State,2015,QB,QB,0.0,0.0,-6.26,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fredi-knighten-1,Fredi Knighten,Arkansas State,2015,QB,QB,10.0,0.0,-6.26,10.0,10.0,136.0,251.0,1835.0,19.0,9.0,133.4,7.3,139.0,401.0,5.0,410.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
james-tabary-1,James Tabary,Arkansas State,2015,QB,QB,8.0,0.0,-6.26,8.0,8.0,65.0,105.0,788.0,4.0,6.0,126.1,7.5,18.0,-92.0,0.0,-92.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aj-schurr-1,A.J. Schurr,Army,2015,QB,QB,7.0,0.0,-5.9,7.0,7.0,11.0,29.0,300.0,3.0,4.0,131.4,10.3,98.0,384.0,7.0,384.0,7.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahmad-bradshaw-2,Ahmad Bradshaw,Army,2015,QB,QB,8.0,0.0,-5.9,8.0,8.0,23.0,48.0,429.0,5.0,2.0,149.0,8.9,130.0,468.0,5.0,493.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris-carter-7,Chris Carter,Army,2015,QB,QB,2.0,0.0,-5.9,2.0,2.0,13.0,21.0,348.0,2.0,2.0,213.5,16.6,42.0,129.0,1.0,129.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luke-langdon-1,Luke Langdon,Army,2015,QB,QB,2.0,0.0,-5.9,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matthew-kaufmann-2,Matthew Kaufmann,Army,2015,QB,QB,0.0,0.0,-5.9,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
william-james-1,William James,Army,2015,QB,QB,0.0,0.0,-5.9,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
