Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_john_outland_trophy_most_outstanding_interior_lineman,award_mac_defensive_player_of_the_year,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
howard-cross-iii-1,Howard Cross III,IDL,Notre Dame,Notre Dame,6,64.0,3.73984375,0.0,,0,64.0,58.0,169.0,19.5,11.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jahfari-harvey-1,Jahfari Harvey,IDL,SMU,Miami (FL)|SMU,6,64.0,1.9978125,0.0,,0,64.0,60.0,130.0,34.5,18.0,1.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josh-celiscar-1,Josh Celiscar,IDL,South Florida,South Florida|Texas A&M|UCF,6,64.0,-0.35875,0.0,,0,64.0,58.0,191.0,27.5,10.0,1.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joshua-harris-1,Joshua Harris,IDL,North Carolina,North Carolina|North Carolina State|Ole Miss,6,64.0,1.084375,0.0,,0,64.0,52.0,83.0,5.5,2.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mike-lockhart-1,Mike Lockhart,IDL,SMU,Georgia Tech|SMU|West Virginia,6,64.0,2.9546875,0.0,,0,63.0,63.0,85.0,15.0,4.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomas-gore-1,Thomas Gore,IDL,Georgia Tech,Georgia State|Georgia Tech|Miami (FL),6,64.0,-0.4815625,0.0,,0,64.0,57.0,117.0,30.0,13.5,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dajon-terry-1,DaJon Terry,IDL,Oklahoma,Kansas|Oklahoma|Tennessee,6,63.0,5.107936507936508,0.0,,0,61.0,59.0,91.0,17.0,6.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
judge-culpepper-1,Judge Culpepper,IDL,Toledo,Penn State|Toledo,6,63.0,0.2687301587301588,0.0,,0,63.0,51.0,132.0,19.5,14.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramon-puryear-1,Ramon Puryear,IDL,Louisville,Louisville,5,63.0,2.8777777777777778,0.0,,0,62.0,59.0,87.0,14.5,9.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ricky-barber-1,Ricky Barber,IDL,UCF,UCF|Western Kentucky,6,63.0,-0.8822222222222224,0.0,,0,63.0,58.0,195.0,30.5,15.0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
