Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_mac_defensive_player_of_the_year,award_nagurski,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
corey-suttle-1,Corey Suttle,EDGE,Miami (OH),Iowa State|Miami (OH),6,52.0,-2.7609615384615385,0.0,,0,52.0,40.0,92.0,16.0,13.5,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devo-bridges-1,Devo Bridges,EDGE,Fresno State,Fresno State,4,52.0,-3.5801923076923075,0.0,,0,52.0,44.0,148.0,22.5,7.5,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jarrell-owens-1,Jarrell Owens,EDGE,Oklahoma State,Oklahoma State,4,52.0,2.4899999999999998,0.0,,0,52.0,48.0,73.0,22.5,12.5,0.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaylen-pate-1,Jaylen Pate,EDGE,Northwestern,Northwestern|Wyoming,6,52.0,0.4955769230769234,0.0,,0,52.0,50.0,82.0,11.0,4.5,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matt-nelson-4,Matt Nelson,EDGE,Iowa,Iowa,4,52.0,3.5350000000000006,0.0,,0,52.0,47.0,110.0,11.5,7.5,0.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nate-matlack-1,Nate Matlack,EDGE,Pitt,Kansas State|Pitt,5,52.0,4.22,0.0,,0,52.0,48.0,61.0,23.5,14.5,0.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaylon-ferguson-1,Jaylon Ferguson,EDGE,Louisiana Tech,Louisiana Tech,4,51.0,-4.512549019607843,1.0,CUSA Defensive Player of the Year,0,51.0,46.0,187.0,66.5,45.0,0.0,7.0,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
andrew-edson-1,Andrew Edson,EDGE,Washington State,Washington State,4,51.0,0.13215686274509794,0.0,,0,51.0,48.0,75.0,17.0,8.0,0.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darian-roseboro-1,Darian Roseboro,EDGE,North Carolina State,North Carolina State,4,51.0,2.6311764705882354,0.0,,0,51.0,47.0,113.0,30.5,14.5,1.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durrant-miles-1,Durrant Miles,EDGE,Boise State,Boise State,4,51.0,-1.4860784313725492,0.0,,0,51.0,43.0,95.0,17.0,7.5,1.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myles-mendeszoon-1,Myles Mendeszoon,EDGE,Iowa State,Iowa State,4,51.0,4.068627450980392,0.0,,0,51.0,28.0,50.0,2.5,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
