Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_kicking,games_punting,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,award_aa,award_lou_groza_award_most_outstanding_place_kicker,award_ray_guy_award_most_outstanding_punter
kyle-greenwell-1,Kyle Greenwell,SPEC,UAB,UAB,5,63.0,-3.2409523809523813,0.0,,0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,11617.0,212.2,0,0,0
christopher-dunn-1,Christopher Dunn,SPEC,North Carolina State,North Carolina State,5,62.0,0.40274193548387094,2.0,AA|Lou Groza Award [Most Outstanding Place-Kicker],0,62.0,0.0,200.0,200.0,500.0,97.0,115.0,411.6,491.0,0.0,0.0,0.0,1,1,0
andrew-osteen-1,Andrew Osteen,SPEC,Mississippi State,Mississippi State|UCF,6,62.0,-0.2746774193548388,0.0,,0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,7876.0,202.1,0,0,0
derek-adams-1,Derek Adams,SPEC,Northwestern,Kent State|Northwestern,6,62.0,-1.2588709677419356,0.0,,0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,14546.0,250.5,0,0,0
grant-mckinniss-1,Grant McKinniss,SPEC,Missouri,Kentucky|Missouri,6,62.0,3.363709677419355,0.0,,0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,5943.0,123.80000000000001,0,0,0
alex-raynor-1,Alex Raynor,SPEC,Kentucky,Georgia Southern|Kentucky,6,61.0,-0.5485245901639345,0.0,,0,61.0,0.0,183.0,188.0,485.1,70.0,86.0,411.0,393.0,0.0,0.0,0.0,0,0,0
camden-lewis-1,Camden Lewis,SPEC,Oregon,Oregon,5,61.0,2.634590163934426,0.0,,0,61.0,0.0,261.0,264.0,494.8,49.0,68.0,324.8,408.0,0.0,0.0,0.0,0,0,0
chandler-staton-1,Chandler Staton,SPEC,Appalachian State,Appalachian State,5,61.0,-4.6314754098360655,0.0,,0,61.0,0.0,272.0,274.0,496.7,64.0,81.0,396.3,464.0,0.0,0.0,0.0,0,0,0
diego-guajardo-1,Diego Guajardo,SPEC,South Alabama,South Alabama,5,61.0,-4.12655737704918,0.0,,0,61.0,0.0,152.0,161.0,448.5,58.0,75.0,408.5,326.0,0.0,0.0,0.0,0,0,0
drew-little-1,Drew Little,SPEC,North Carolina,North Carolina,5,61.0,0.8368852459016393,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
jonah-dalmas-1,Jonah Dalmas,SPEC,Boise State,Boise State,5,61.0,-1.65672131147541,0.0,,0,61.0,7.0,229.0,232.0,492.2,93.0,108.0,426.70000000000005,508.0,5.0,179.0,35.8,0,0,0
jordy-sandy-1,Jordy Sandy,SPEC,Texas Christian,Texas Christian,5,61.0,4.743770491803279,0.0,,0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,10611.0,204.8,0,0,0
kai-kroeger-1,Kai Kroeger,SPEC,South Carolina,South Carolina,5,61.0,4.894098360655738,0.0,,0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,11823.0,223.3,0,0,0
merek-glover-1,Merek Glover,SPEC,Tulane,Tulane,5,61.0,-0.5847540983606556,0.0,,0,61.0,0.0,208.0,213.0,487.5,46.0,65.0,356.8,346.0,0.0,0.0,0.0,0,0,0
paxton-brooks-1,Paxton Brooks,SPEC,Tennessee,Tennessee,5,61.0,5.038688524590164,0.0,,0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,6900.0,202.7,0,0,0
reid-bauer-1,Reid Bauer,SPEC,Memphis,Arkansas|Memphis,6,61.0,4.1932786885245905,0.0,,0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,9421.0,250.2,0,0,0
ryan-hanson-1,Ryan Hanson,SPEC,James Madison,Arkansas State|James Madison,5,61.0,-3.972622950819672,0.0,,0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,11232.0,211.4,0,0,0
seamus-okelly-1,Seamus O'Kelly,SPEC,Texas State,Texas State,5,61.0,-3.4108196721311477,0.0,,0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,11968.0,199.1,0,0,0
andre-szmyt-1,Andre Szmyt,SPEC,Syracuse,Syracuse,6,60.0,1.5839999999999999,2.0,AA|Lou Groza Award [Most Outstanding Place-Kicker],0,60.0,0.0,199.0,203.0,488.0,85.0,105.0,396.2,454.0,0.0,0.0,0.0,1,1,0
jake-moody-1,Jake Moody,SPEC,Michigan,Michigan,5,60.0,5.308166666666667,2.0,AA|Lou Groza Award [Most Outstanding Place-Kicker],0,60.0,0.0,148.0,148.0,500.0,69.0,84.0,357.5,355.0,0.0,0.0,0.0,1,1,0
austin-mcnamara-1,Austin McNamara,SPEC,Texas Tech,Texas Tech,5,60.0,3.572666666666667,0.0,,0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,11341.0,230.1,0,0,0
blake-grupe-1,Blake Grupe,SPEC,Notre Dame,Arkansas State|Notre Dame,6,60.0,-1.5133333333333334,0.0,,0,60.0,0.0,211.0,218.0,482.7,78.0,105.0,367.90000000000003,445.0,0.0,0.0,0.0,0,0,0
lachlan-wilson-1,Lachlan Wilson,SPEC,California,California|Tulsa,5,60.0,0.48166666666666663,0.0,,0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,12025.0,222.2,0,0,0
luke-akers-1,Luke Akers,SPEC,Northwestern,Northwestern|UCLA,6,60.0,2.3680000000000003,0.0,,0,25.0,60.0,13.0,13.0,200.0,13.0,17.0,171.4,52.0,180.0,7727.0,257.8,0,0,0
parker-white-2,Parker White,SPEC,South Carolina,South Carolina,5,60.0,5.474833333333334,0.0,,0,60.0,0.0,152.0,154.0,494.1,72.0,99.0,371.1,368.0,0.0,0.0,0.0,0,0,0
will-reichard-1,Will Reichard,SPEC,Alabama,Alabama,5,60.0,0.2341666666666667,0.0,,0,60.0,19.0,295.0,297.0,494.1,84.0,100.0,408.29999999999995,547.0,8.0,317.0,79.3,0,0,0
kenneth-almendares-1,Kenneth Almendares,SPEC,Louisiana,Louisiana,7,59.0,-1.5266101694915253,2.0,AA|Lou Groza Award [Most Outstanding Place-Kicker],0,59.0,0.0,158.0,163.0,551.7,69.0,81.0,436.1,365.0,0.0,0.0,0.0,1,1,0
alex-mastromanno-1,Alex Mastromanno,SPEC,Florida State,Florida State,5,59.0,2.9461016949152543,1.0,AA,0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,11265.0,222.8,1,0,0
alex-mcnulty-1,Alex McNulty,SPEC,Buffalo,Buffalo,6,59.0,-5.393898305084746,0.0,,0,59.0,0.0,189.0,193.0,567.8,60.0,88.0,397.2,369.0,0.0,0.0,0.0,0,0,0
brody-butler-1,Brody Butler,SPEC,Middle Tennessee State,Middle Tennessee State,5,59.0,-5.706440677966102,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
danny-longman-1,Danny Longman,SPEC,Boston College,Boston College,5,59.0,0.9027118644067798,0.0,,0,34.0,25.0,15.0,17.0,257.6,5.0,5.0,300.0,30.0,62.0,2529.0,74.5,0,0,0
ethan-mooney-1,Ethan Mooney,SPEC,North Texas,North Texas,5,59.0,-6.190508474576271,0.0,,0,47.0,0.0,175.0,177.0,395.9,52.0,68.0,300.3,331.0,0.0,0.0,0.0,0,0,0
griffin-kell-1,Griffin Kell,SPEC,Texas Christian,Texas Christian,5,59.0,4.71728813559322,0.0,,0,59.0,0.0,185.0,190.0,489.9,60.0,79.0,379.6,365.0,0.0,0.0,0.0,0,0,0
matt-ference-1,Matt Ference,SPEC,Northern Illinois,Northern Illinois,5,59.0,-0.8725423728813557,0.0,,0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,12992.0,211.2,0,0,0
matt-hayball-1,Matt Hayball,SPEC,Vanderbilt,Florida Atlantic|Vanderbilt,5,59.0,-1.1044067796610169,0.0,,0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,13073.0,226.3,0,0,0
oscar-chapman-1,Oscar Chapman,SPEC,Auburn,Auburn,5,59.0,5.536271186440678,0.0,,0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,10573.0,215.9,0,0,0
adam-korsak-1,Adam Korsak,SPEC,Rutgers,Rutgers,5,58.0,4.04551724137931,1.0,Ray Guy Award [Most Outstanding Punter],0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,15264.0,218.6,0,0,1
aidan-alves-1,Aidan Alves,SPEC,Liberty,Liberty,5,58.0,-7.33396551724138,0.0,,0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,9249.0,204.6,0,0,0
caden-davis-1,Caden Davis,SPEC,Ole Miss,Ole Miss|Texas A&M,6,58.0,3.1944827586206896,0.0,,0,49.0,0.0,109.0,111.0,396.6,43.0,56.0,194.39999999999998,238.0,0.0,0.0,0.0,0,0,0
chad-ryland-1,Chad Ryland,SPEC,Maryland,Eastern Michigan|Maryland,5,58.0,-1.8348275862068963,0.0,,0,58.0,6.0,180.0,185.0,484.3,75.0,97.0,387.3,405.0,1.0,37.0,37.0,0,0,0
daniel-sparks-1,Daniel Sparks,SPEC,Virginia,Louisiana-Monroe|Minnesota|Virginia,6,58.0,1.9586206896551723,0.0,,0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,10484.0,223.7,0,0,0
ivan-mora-1,Ivan Mora,SPEC,Wake Forest,Wake Forest,6,58.0,1.846551724137931,0.0,,0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,10074.0,209.5,0,0,0
joshua-sloan-1,Joshua Sloan,SPEC,Memphis,Memphis|UTEP,5,58.0,-6.0167241379310346,0.0,,0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,10001.0,210.9,0,0,0
blake-hayes-1,Blake Hayes,SPEC,Illinois,Illinois,5,57.0,3.020526315789474,0.0,,0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,14275.0,219.1,0,0,0
brayden-narveson-1,Brayden Narveson,SPEC,North Carolina State,Iowa State|North Carolina State|Western Kentucky,6,57.0,-2.0826315789473684,0.0,,0,57.0,0.0,196.0,196.0,400.0,71.0,91.0,371.9,409.0,0.0,0.0,0.0,0,0,0
james-turner-2,James Turner,SPEC,Michigan,Louisville|Michigan,5,57.0,3.0428070175438595,0.0,,0,52.0,0.0,189.0,192.0,393.8,65.0,80.0,326.90000000000003,384.0,0.0,0.0,0.0,0,0,0
john-hoyland-1,John Hoyland,SPEC,Wyoming,Wyoming,5,57.0,-3.97859649122807,0.0,,0,57.0,0.0,147.0,148.0,497.4,73.0,92.0,396.20000000000005,366.0,0.0,0.0,0.0,0,0,0
mark-crawford-4,Mark Crawford,SPEC,Minnesota,Minnesota,5,57.0,2.6564912280701756,0.0,,0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,9493.0,206.1,0,0,0
massimo-biscardi-1,Massimo Biscardi,SPEC,Mississippi State,Coastal Carolina|Mississippi State,5,57.0,-3.0992982456140346,0.0,,0,57.0,0.0,186.0,199.0,466.8,54.0,68.0,401.1,348.0,0.0,0.0,0.0,0,0,0
matt-coghlin-1,Matt Coghlin,SPEC,Michigan State,Michigan State,5,57.0,6.275964912280702,0.0,,0,57.0,0.0,148.0,148.0,500.0,76.0,104.0,367.7,376.0,0.0,0.0,0.0,0,0,0
nathan-snyder-2,Nathan Snyder,SPEC,Ball State,Ball State,5,57.0,-3.5375438596491224,0.0,,0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,8098.0,205.8,0,0,0
nick-mihalic-1,Nick Mihalic,SPEC,Western Michigan,Western Michigan,5,57.0,-3.322456140350877,0.0,,0,13.0,57.0,11.0,14.0,78.6,9.0,11.0,81.8,38.0,242.0,9931.0,206.3,0,0,0
spencer-shrader-1,Spencer Shrader,SPEC,Notre Dame,Notre Dame|South Florida,5,57.0,1.4852631578947368,0.0,,0,57.0,12.0,156.0,158.0,490.1,43.0,63.0,333.1,285.0,1.0,36.0,36.0,0,0,0
rodrigo-blankenship-1,Rodrigo Blankenship,SPEC,Georgia,Georgia,5,56.0,5.359285714285714,1.0,Lou Groza Award [Most Outstanding Place-Kicker],0,56.0,0.0,200.0,200.0,400.0,80.0,97.0,329.2,440.0,0.0,0.0,0.0,0,1,0
anders-carlson-1,Anders Carlson,SPEC,Auburn,Auburn,6,56.0,7.174642857142857,0.0,,0,56.0,0.0,173.0,176.0,491.2,79.0,110.0,360.2,410.0,0.0,0.0,0.0,0,0,0
briggs-bourgeois-1,Briggs Bourgeois,SPEC,Southern Mississippi,Southern Mississippi,6,56.0,-6.215892857142857,0.0,,0,43.0,13.0,95.0,100.0,364.6,40.0,51.0,326.8,215.0,3.0,90.0,30.0,0,0,0
chase-mcgrath-1,Chase McGrath,SPEC,Tennessee,Tennessee|USC,6,56.0,3.459464285714286,0.0,,0,56.0,0.0,254.0,257.0,495.5,60.0,78.0,383.0,434.0,0.0,0.0,0.0,0,0,0
colton-spangler-1,Colton Spangler,SPEC,Maryland,Maryland,5,56.0,3.8287500000000003,0.0,,0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,7695.0,211.5,0,0,0
dom-dzioban-1,Dom Dzioban,SPEC,Miami (OH),Miami (OH),6,56.0,-3.8989285714285713,0.0,,0,53.0,29.0,70.0,72.0,394.2,46.0,53.0,173.7,208.0,139.0,5743.0,124.5,0,0,0
ethan-hudak-1,Ethan Hudak,SPEC,Tulane,Tulane,6,56.0,-1.6482142857142856,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
gavin-stewart-1,Gavin Stewart,SPEC,Georgia Southern,Georgia Southern|Georgia Tech,5,56.0,1.807857142857143,0.0,,0,56.0,0.0,80.0,85.0,379.5,29.0,38.0,242.3,167.0,0.0,0.0,0.0,0,0,0
jayden-fielding-1,Jayden Fielding,SPEC,Ohio State,Ohio State,4,56.0,6.631428571428572,0.0,,0,43.0,0.0,178.0,179.0,298.0,45.0,57.0,236.5,313.0,0.0,0.0,0.0,0,0,0
joel-velazquez-1,Joel Velazquez,SPEC,Boise State,Boise State,5,56.0,-0.6171428571428571,0.0,,0,25.0,56.0,1.0,2.0,50.0,1.0,2.0,50.0,4.0,152.0,6211.0,198.8,0,0,0
jonathan-cruz-1,Jonathan Cruz,SPEC,Ole Miss,Charlotte|Ole Miss,5,56.0,-3.5032142857142854,0.0,,0,56.0,0.0,174.0,179.0,488.8,56.0,74.0,366.2,342.0,0.0,0.0,0.0,0,0,0
matthew-shipley-1,Matthew Shipley,SPEC,Arkansas,Arkansas|Hawaii,5,56.0,-3.044642857142857,0.0,,0,56.0,39.0,151.0,153.0,493.2,66.0,85.0,383.9,349.0,178.0,7217.0,121.7,0,0,0
peyton-henry-1,Peyton Henry,SPEC,Washington,Washington,6,56.0,1.0821428571428573,0.0,,0,56.0,0.0,189.0,192.0,488.9,71.0,88.0,394.9,402.0,0.0,0.0,0.0,0,0,0
ryan-bujcevski-1,Ryan Bujcevski,SPEC,SMU,SMU|Texas,6,56.0,2.16125,0.0,,0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,9085.0,213.5,0,0,0
ryan-fitzgerald-1,Ryan Fitzgerald,SPEC,Florida State,Florida State,6,56.0,3.1864285714285714,0.0,,0,56.0,0.0,178.0,182.0,490.8,58.0,74.0,384.5,352.0,0.0,0.0,0.0,0,0,0
ryan-sanborn-1,Ryan Sanborn,SPEC,Texas,Stanford|Texas,5,56.0,4.513214285714286,0.0,,0,24.0,56.0,14.0,14.0,100.0,8.0,10.0,177.8,38.0,232.0,9808.0,210.2,0,0,0
aaron-bolinsky-1,Aaron Bolinsky,SPEC,Syracuse,Syracuse,5,55.0,1.6139999999999999,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
alex-kinney-1,Alex Kinney,SPEC,Colorado,Colorado,5,55.0,1.3478181818181818,0.0,,0,14.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,269.0,11359.0,211.5,0,0,0
bryce-bouwens-1,Bryce Bouwens,SPEC,Western Michigan,Western Michigan,5,55.0,-3.499636363636364,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
charlie-kuhbander-1,Charlie Kuhbander,SPEC,Northwestern,Northwestern,5,55.0,2.774727272727273,0.0,,0,55.0,0.0,136.0,138.0,492.1,43.0,64.0,329.5,265.0,0.0,0.0,0.0,0,0,0
daniel-gutierrez-1,Daniel Gutierrez,SPEC,Nevada-Las Vegas,Nevada-Las Vegas,6,55.0,-3.4567272727272726,0.0,,0,55.0,12.0,115.0,118.0,479.8,55.0,64.0,428.8,280.0,2.0,91.0,45.5,0,0,0
jacob-barnes-1,Jacob Barnes,SPEC,Tulane,Louisiana Tech|Tulane,6,55.0,-3.493818181818182,0.0,,0,54.0,11.0,163.0,167.0,486.9,61.0,77.0,396.7,346.0,51.0,1884.0,66.7,0,0,0
jacob-westberry-1,Jacob Westberry,SPEC,Fresno State,Fresno State,5,55.0,-2.3832727272727268,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
james-burnip-1,James Burnip,SPEC,Alabama,Alabama,4,55.0,1.259818181818182,0.0,,0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,8904.0,174.4,0,0,0
jonathan-kim-2,Jonathan Kim,SPEC,Michigan State,Michigan State|North Carolina,6,55.0,2.8254545454545457,0.0,,0,44.0,0.0,42.0,44.0,391.7,32.0,40.0,162.7,138.0,0.0,0.0,0.0,0,0,0
luke-elzinga-1,Luke Elzinga,SPEC,Oklahoma,Central Michigan|Oklahoma,6,55.0,1.1449090909090909,0.0,,0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,10005.0,216.6,0,0,0
nick-haberer-1,Nick Haberer,SPEC,Vanderbilt,Vanderbilt|Washington State,5,55.0,1.6165454545454545,0.0,,0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,8548.0,216.6,0,0,0
andrew-glass-1,Andrew Glass,SPEC,Northern Illinois,Kent State|Northern Illinois,5,54.0,-4.511481481481481,0.0,,0,54.0,0.0,122.0,124.0,489.3,66.0,89.0,357.2,320.0,0.0,0.0,0.0,0,0,0
austin-seibert-1,Austin Seibert,SPEC,Oklahoma,Oklahoma,4,54.0,4.876666666666666,0.0,,0,54.0,54.0,310.0,315.0,393.4,63.0,79.0,317.6,499.0,179.0,7457.0,166.3,0,0,0
ben-kiernan-1,Ben Kiernan,SPEC,North Carolina,North Carolina,5,54.0,0.6525925925925925,0.0,,0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,8546.0,216.7,0,0,0
brandon-talton-1,Brandon Talton,SPEC,Nevada,Nevada,5,54.0,-4.222407407407407,0.0,,0,54.0,0.0,141.0,146.0,483.4,83.0,105.0,398.9,390.0,0.0,0.0,0.0,0,0,0
jake-hartbarger-1,Jake Hartbarger,SPEC,Michigan State,Michigan State,5,54.0,6.044444444444444,0.0,,0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,10554.0,217.6,0,0,0
jake-julien-1,Jake Julien,SPEC,Eastern Michigan,Eastern Michigan,5,54.0,-3.5007407407407407,0.0,,0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,9726.0,220.0,0,0,0
james-ferguson-reynolds-1,James Ferguson-Reynolds,SPEC,Oregon,Boise State|Oregon,4,54.0,0.22888888888888861,0.0,,0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,8708.0,177.0,0,0,0
lucas-havrisik-1,Lucas Havrisik,SPEC,Arizona,Arizona,5,54.0,1.0611111111111111,0.0,,0,54.0,0.0,73.0,78.0,476.6,34.0,53.0,338.3,175.0,0.0,0.0,0.0,0,0,0
matthew-trickett-1,Matthew Trickett,SPEC,Minnesota,Kent State|Minnesota,5,54.0,-1.0907407407407408,0.0,,0,54.0,25.0,176.0,179.0,491.8,79.0,100.0,385.7,413.0,36.0,1393.0,77.7,0,0,0
graham-nicholson-1,Graham Nicholson,SPEC,Alabama,Alabama|Miami (OH),4,53.0,-3.2235849056603767,2.0,AA|Lou Groza Award [Most Outstanding Place-Kicker],0,53.0,0.0,150.0,157.0,380.9,68.0,81.0,329.7,354.0,0.0,0.0,0.0,1,1,0
cole-maynard-1,Cole Maynard,SPEC,Western Kentucky,North Carolina|Western Kentucky,5,53.0,-3.422452830188679,1.0,AA,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,5205.0,190.1,1,0,0
ben-sauls-1,Ben Sauls,SPEC,Pitt,Pitt,5,53.0,1.1766037735849058,0.0,,0,53.0,0.0,122.0,124.0,450.0,52.0,64.0,239.6,278.0,0.0,0.0,0.0,0,0,0
blake-gillikin-1,Blake Gillikin,SPEC,Penn State,Penn State,4,53.0,5.373773584905661,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,10283.0,172.2,0,0,0
damian-ramos-1,Damian Ramos,SPEC,LSU,LSU,5,53.0,5.799056603773585,0.0,,0,53.0,0.0,202.0,206.0,390.8,69.0,87.0,313.5,409.0,0.0,0.0,0.0,0,0,0
drew-stevens-2,Drew Stevens,SPEC,Iowa,Iowa,4,53.0,2.519056603773585,0.0,,0,53.0,0.0,124.0,126.0,392.6,76.0,95.0,323.7,352.0,0.0,0.0,0.0,0,0,0
grady-gross-1,Grady Gross,SPEC,Washington,Washington,4,53.0,4.713207547169811,0.0,,0,41.0,0.0,152.0,152.0,300.0,46.0,61.0,227.9,290.0,0.0,0.0,0.0,0,0,0
jack-bouwmeester-1,Jack Bouwmeester,SPEC,Texas,Michigan State|Texas|Utah,5,53.0,3.493584905660377,0.0,,0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,9338.0,173.9,0,0,0
jack-mccallister-1,Jack McCallister,SPEC,Purdue,Purdue|Washington,4,53.0,5.726981132075473,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,6785.0,168.7,0,0,0
jake-camarda-1,Jake Camarda,SPEC,Georgia,Georgia,4,53.0,6.2483018867924525,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,8561.0,182.7,0,0,0
jeremy-crawshaw-1,Jeremy Crawshaw,SPEC,Florida,Florida,5,53.0,5.1000000000000005,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,8820.0,235.6,0,0,0
louie-zervos-1,Louie Zervos,SPEC,Ohio,Ohio,5,53.0,-6.141320754716982,0.0,,0,53.0,0.0,218.0,224.0,387.4,73.0,90.0,322.7,437.0,0.0,0.0,0.0,0,0,0
luke-elkin-1,Luke Elkin,SPEC,Iowa,Iowa,4,53.0,1.439811320754717,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
marshall-nichols-1,Marshall Nichols,SPEC,Georgia Tech,Georgia Tech|Mississippi State|Nevada-Las Vegas,5,53.0,-2.1969811320754715,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,8926.0,181.7,0,0,0
michael-farkas-1,Michael Farkas,SPEC,Ohio,Ohio,5,53.0,-6.141320754716982,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,9157.0,166.5,0,0,0
michael-lantz-1,Michael Lantz,SPEC,USC,Georgia Southern|Minnesota|USC,5,53.0,0.37641509433962267,0.0,,0,53.0,0.0,148.0,151.0,381.6,45.0,62.0,221.5,283.0,0.0,0.0,0.0,0,0,0
ryan-stonehouse-1,Ryan Stonehouse,SPEC,Colorado State,Colorado State,5,53.0,-3.2730188679245287,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,11656.0,236.79999999999998,0,0,0
steven-coutts-1,Steven Coutts,SPEC,California,California|Louisiana,5,53.0,-1.9945283018867925,0.0,,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,10508.0,207.9,0,0,0
