Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,awards,heisman_finish,award_aa,award_john_mackey_award_most_outstanding_tight_end,award_mac_offensive_player_of_the_year,award_vern_smith_leadership_award
darion-griswold-1,Darion Griswold,Arkansas State,2015,TE,TE,13.0,0.0,-6.26,13.0,13.0,1.0,4.0,1.0,13.0,187.0,2.0,191.0,3.0,,0,0,0,0,0
jonah-hill-1,Jonah Hill,Arkansas State,2015,TE,TE,7.0,0.0,-6.26,,,,,,,,,,,,0,0,0,0,0
warren-leapheart-1,Warren Leapheart,Arkansas State,2015,TE,TE,12.0,0.0,-6.26,,12.0,,,,5.0,77.0,0.0,,,,0,0,0,0,0
eliezer-hernandez-1,Eliezer Hernandez,Army,2015,TE,TE,0.0,0.0,-5.9,,,,,,,,,,,,0,0,0,0,0
kelvin-white-2,Kelvin White,Army,2015,TE,TE,12.0,0.0,-5.9,12.0,12.0,2.0,24.0,0.0,3.0,48.0,0.0,72.0,0.0,,0,0,0,0,0
ryan-alexander-1,Ryan Alexander,Army,2015,TE,TE,12.0,0.0,-5.9,,,,,,,,,,,,0,0,0,0,0
zach-saum-1,Zach Saum,Army,2015,TE,TE,0.0,0.0,-5.9,,,,,,,,,,,,0,0,0,0,0
chris-laye-1,Chris Laye,Auburn,2015,TE,TE,1.0,0.0,5.39,,,,,,,,,,,,0,0,0,0,0
emory-carney-1,Emory Carney,Auburn,2015,TE,TE,0.0,0.0,5.39,,,,,,,,,,,,0,0,0,0,0
greg-hall-3,Greg Hall,Auburn,2015,TE,TE,0.0,0.0,5.39,,,,,,,,,,,,0,0,0,0,0
jalen-harris-2,Jalen Harris,Auburn,2015,TE,TE,8.0,0.0,5.39,,,,,,,,,,,,0,0,0,0,0
bryan-sampson-1,Bryan Sampson,BYU,2015,TE,TE,0.0,0.0,0.66,,,,,,,,,,,,0,0,0,0,0
colby-jorgensen-1,Colby Jorgensen,BYU,2015,TE,TE,0.0,0.0,0.66,,,,,,,,,,,,0,0,0,0,0
jackson-kaka-1,Jackson Kaka,BYU,2015,TE,TE,0.0,0.0,0.66,,,,,,,,,,,,0,0,0,0,0
matt-sumsion-1,Matt Sumsion,BYU,2015,TE,TE,0.0,0.0,0.66,,,,,,,,,,,,0,0,0,0,0
