Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_passing,games_rushing,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,yds_from_scrimmage,scrim_td,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_davey_o_brien_award_most_outstanding_quarterback,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_unitas_golden_arm_award_most_outstanding_senior_quarterback,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_manning_award_most_outstanding_quarterback,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sammy_baugh_trophy_most_outstanding_passer,award_sun_belt_offensive_player_of_the_year,award_sun_belt_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
tucker-gleason-1,Tucker Gleason,QB,Toledo,Georgia Tech|Toledo,6,51.0,-2.8566666666666665,0.0,,0,50.0,50.0,531.0,891.0,6659.0,57.0,21.0,198.0,752.0,14.0,752.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desmond-ridder-1,Desmond Ridder,QB,Cincinnati,Cincinnati,5,50.0,-0.5692000000000002,3.0,AAC Offensive Player of the Year|H-8,8,50.0,50.0,810.0,1304.0,10239.0,87.0,28.0,502.0,2179.0,28.0,2187.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brett-rypien-1,Brett Rypien,QB,Boise State,Boise State,4,50.0,-1.5062,1.0,MWC Offensive Player of the Year,0,50.0,50.0,1036.0,1619.0,13581.0,90.0,29.0,210.0,-97.0,3.0,-59.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dustin-crum-1,Dustin Crum,QB,Kent State,Kent State,5,50.0,-3.0002,1.0,Vern Smith Leadership Award,0,50.0,50.0,575.0,863.0,7417.0,55.0,12.0,477.0,2071.0,24.0,2071.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
charlie-brewer-1,Charlie Brewer,QB,Liberty,Baylor|Liberty|Utah,6,50.0,2.9057999999999997,0.0,,0,50.0,50.0,884.0,1396.0,10236.0,68.0,32.0,471.0,1078.0,22.0,1134.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dorian-thompson-robinson-1,Dorian Thompson-Robinson,QB,UCLA,UCLA,5,50.0,2.2728,0.0,,0,50.0,50.0,860.0,1359.0,10710.0,88.0,36.0,471.0,1826.0,28.0,1826.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-lock-1,Drew Lock,QB,Missouri,Missouri,4,50.0,3.2182,0.0,,0,50.0,50.0,883.0,1553.0,12193.0,99.0,39.0,203.0,437.0,9.0,458.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graham-mertz-1,Graham Mertz,QB,Florida,Florida|Wisconsin,6,50.0,4.8252,0.0,,0,50.0,50.0,793.0,1225.0,9099.0,64.0,31.0,205.0,-40.0,13.0,-40.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hank-bachmeier-1,Hank Bachmeier,QB,Wake Forest,Boise State|Louisiana Tech|Wake Forest,6,50.0,-0.8508,0.0,,0,50.0,50.0,942.0,1496.0,11256.0,67.0,34.0,294.0,204.0,6.0,205.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seth-henigan-1,Seth Henigan,QB,Memphis,Memphis,4,50.0,-2.9306,0.0,,0,50.0,50.0,1147.0,1791.0,14266.0,104.0,31.0,400.0,898.0,10.0,906.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
will-howard-2,Will Howard,QB,Ohio State,Kansas State|Ohio State,5,50.0,6.3034,0.0,,0,50.0,50.0,767.0,1202.0,9796.0,83.0,35.0,331.0,1147.0,26.0,1155.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-travis-1,Jordan Travis,QB,Florida State,Florida State|Louisville,6,49.0,2.278979591836735,3.0,ACC Offensive Player of the Year|ACC Player of the Year|H-5,5,49.0,49.0,637.0,1027.0,8715.0,66.0,20.0,417.0,1950.0,31.0,1962.0,32.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hendon-hooker-1,Hendon Hooker,QB,Tennessee,Tennessee|Virginia Tech,6,49.0,2.161020408163265,2.0,H-5|SEC Offensive Player of the Year,5,43.0,49.0,632.0,944.0,8974.0,80.0,12.0,517.0,2079.0,25.0,2091.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mason-fine-1,Mason Fine,QB,North Texas,North Texas,4,49.0,-4.707346938775509,2.0,CUSA Offensive Player of the Year,0,49.0,49.0,1039.0,1655.0,12505.0,93.0,34.0,324.0,57.0,7.0,57.0,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-mccloud-1,Jordan McCloud,QB,Texas State,Arizona|James Madison|South Florida|Texas State,7,49.0,-1.703673469387755,1.0,Sun Belt Player of the Year,0,49.0,49.0,846.0,1292.0,10135.0,88.0,38.0,355.0,986.0,20.0,1004.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
todd-centeio-1,Todd Centeio,QB,James Madison,Colorado State|James Madison|Temple,6,49.0,-2.3702040816326533,1.0,Sun Belt Offensive Player of the Year,0,48.0,48.0,472.0,771.0,6475.0,48.0,17.0,322.0,1132.0,10.0,1151.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
adrian-martinez-2,Adrian Martinez,QB,Kansas State,Kansas State|Nebraska,5,49.0,5.736734693877551,0.0,,0,49.0,49.0,788.0,1239.0,9752.0,51.0,31.0,619.0,2928.0,45.0,2928.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben-bryant-1,Ben Bryant,QB,Northwestern,Cincinnati|Eastern Michigan|Northwestern,6,49.0,-0.9785714285714286,0.0,,0,49.0,49.0,711.0,1106.0,8212.0,50.0,23.0,224.0,-98.0,8.0,-98.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryce-carpenter-1,Bryce Carpenter,QB,Coastal Carolina,Coastal Carolina,5,49.0,-4.941020408163265,0.0,,0,41.0,49.0,175.0,272.0,1927.0,18.0,5.0,263.0,906.0,5.0,924.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cade-klubnik-1,Cade Klubnik,QB,Clemson,Clemson,4,49.0,3.0130612244897956,0.0,,0,49.0,49.0,916.0,1432.0,10123.0,73.0,24.0,369.0,878.0,17.0,897.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deriq-king-1,D'Eriq King,QB,Miami (FL),Houston|Miami (FL),6,49.0,0.25408163265306116,0.0,,0,49.0,49.0,661.0,1048.0,8378.0,76.0,19.0,423.0,2055.0,32.0,2575.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garrett-shrader-1,Garrett Shrader,QB,Syracuse,Mississippi State|Syracuse,5,49.0,3.1553061224489793,0.0,,0,45.0,45.0,550.0,918.0,6941.0,47.0,22.0,549.0,2281.0,37.0,2282.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jake-bentley-2,Jake Bentley,QB,South Alabama,South Alabama|South Carolina|Utah,6,49.0,1.48265306122449,0.0,,0,49.0,49.0,915.0,1429.0,10885.0,78.0,46.0,275.0,248.0,13.0,260.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalon-daniels-1,Jalon Daniels,QB,Kansas,Kansas,6,49.0,5.09795918367347,0.0,,0,49.0,49.0,734.0,1193.0,9282.0,67.0,31.0,420.0,1445.0,23.0,1445.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kj-jefferson-1,K.J. Jefferson,QB,UCF,Arkansas|UCF,6,49.0,4.577142857142857,0.0,,0,49.0,49.0,690.0,1070.0,8923.0,74.0,22.0,584.0,2069.0,23.0,2061.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kyle-vantrease-1,Kyle Vantrease,QB,Georgia Southern,Buffalo|Georgia Southern,6,49.0,-4.097346938775511,0.0,,0,48.0,48.0,757.0,1257.0,8983.0,52.0,29.0,108.0,223.0,16.0,226.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkosi-perry-1,N'Kosi Perry,QB,Florida Atlantic,Florida Atlantic|Miami (FL),6,49.0,-1.8518367346938778,0.0,,0,49.0,49.0,633.0,1113.0,7967.0,69.0,22.0,309.0,624.0,13.0,629.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michael-penix-jr-1,Michael Penix Jr.,QB,Washington,Indiana|Washington,6,48.0,4.613541666666667,4.0,H-2|H-8|Maxwell|Maxwell Award [Player of the Year],2,48.0,48.0,1067.0,1685.0,13741.0,96.0,34.0,134.0,265.0,13.0,226.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
kurtis-rourke-1,Kurtis Rourke,QB,Indiana,Indiana|Ohio,6,48.0,-4.608958333333334,3.0,H-9|MAC Offensive Player of the Year|Vern Smith Leadership Award,9,47.0,48.0,860.0,1283.0,10693.0,79.0,21.0,278.0,793.0,13.0,855.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
athan-kaliakmanis-1,Athan Kaliakmanis,QB,Rutgers,Minnesota|Rutgers,5,48.0,3.17,0.0,,0,48.0,48.0,658.0,1168.0,8604.0,55.0,27.0,296.0,459.0,10.0,459.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brock-purdy-1,Brock Purdy,QB,Iowa State,Iowa State,4,48.0,4.275625,0.0,,0,48.0,48.0,993.0,1467.0,12170.0,81.0,33.0,365.0,1177.0,19.0,1177.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jack-plummer-1,Jack Plummer,QB,Louisville,California|Louisville|Purdue,6,48.0,3.841458333333333,0.0,,0,47.0,47.0,857.0,1338.0,9728.0,68.0,31.0,255.0,-18.0,3.0,-18.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luke-doty-1,Luke Doty,QB,South Carolina,South Carolina,6,48.0,5.221875,0.0,,0,37.0,37.0,160.0,262.0,1696.0,9.0,9.0,91.0,193.0,2.0,316.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spencer-rattler-1,Spencer Rattler,QB,South Carolina,Oklahoma|South Carolina,5,48.0,3.8370833333333336,0.0,,0,48.0,48.0,900.0,1313.0,10807.0,77.0,32.0,297.0,410.0,16.0,425.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max-duggan-1,Max Duggan,QB,Texas Christian,Texas Christian,4,47.0,4.858510638297872,4.0,Big 12 Offensive Player of the Year|Davey O'Brien Award [Most Outstanding Quarterback]|H-2|Johnny Unitas Golden Arm Award [Most Outstanding Senior Quarterback],2,47.0,47.0,739.0,1225.0,9618.0,73.0,28.0,488.0,1856.0,28.0,1857.0,28.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ian-book-1,Ian Book,QB,Notre Dame,Notre Dame,4,47.0,4.448936170212765,1.0,H-9,9,47.0,47.0,728.0,1141.0,8948.0,72.0,20.0,360.0,1518.0,17.0,1518.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
