Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_doak_walker_award_most_outstanding_running_back,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
josh-williams-10,Josh Williams,RB,LSU,LSU,6,60.0,5.998499999999999,0.0,,0,60.0,50.0,314.0,1494.0,17.0,71.0,600.0,1.0,2094.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kayron-adams-1,Kay'ron Adams,RB,Michigan State,Massachusetts|Michigan State|Rutgers,6,60.0,0.6298333333333335,0.0,,0,60.0,60.0,575.0,2537.0,18.0,50.0,373.0,1.0,2910.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travis-levy-1,Travis Levy,RB,Boston College,Boston College,5,60.0,1.7451666666666668,0.0,,0,60.0,60.0,253.0,877.0,7.0,87.0,758.0,1.0,1635.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bj-daniels-2,B.J. Daniels,RB,UTSA,UTSA,5,59.0,-4.86864406779661,0.0,,0,59.0,47.0,171.0,765.0,6.0,8.0,42.0,0.0,807.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daniel-carter-1,Daniel Carter,RB,Pitt,Pitt,6,59.0,0.8391525423728813,0.0,,0,57.0,57.0,88.0,479.0,10.0,12.0,56.0,2.0,535.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deion-hankins-1,Deion Hankins,RB,Texas State,Texas State|UTEP,6,59.0,-5.965593220338984,0.0,,0,59.0,42.0,610.0,2876.0,25.0,16.0,140.0,0.0,3016.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalen-holston-1,Jalen Holston,RB,Virginia Tech,Virginia Tech,6,59.0,1.0481355932203391,0.0,,0,59.0,58.0,315.0,1235.0,13.0,22.0,176.0,1.0,1411.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalen-white-1,Jalen White,RB,Georgia Southern,Georgia Southern,5,59.0,-3.4479661016949152,0.0,,0,59.0,47.0,573.0,3016.0,36.0,60.0,365.0,2.0,3381.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-mims-1,Jordan Mims,RB,Fresno State,Fresno State,6,59.0,-2.051016949152542,0.0,,0,59.0,59.0,680.0,3290.0,37.0,91.0,971.0,8.0,4261.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-waters-1,Jordan Waters,RB,North Carolina State,Duke|North Carolina State,5,59.0,-0.11288135593220339,0.0,,0,59.0,59.0,426.0,2152.0,27.0,47.0,481.0,2.0,2633.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
