Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_kicking,games_punting,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,awards,heisman_finish,award_aa,award_lou_groza_award_most_outstanding_place_kicker,award_ray_guy_award_most_outstanding_punter
jk-scott-3,JK Scott,Alabama,2015,P,SPEC,15.0,0.0,,15.0,15.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,70.0,3094.0,44.2,,0,0,0,0
bentlee-critcher-1,Bentlee Critcher,Appalachian State,2015,P,SPEC,13.0,0.0,-7.34,,13.0,,,,,,,,51.0,2212.0,43.4,,0,0,0,0
caleb-hendrix-2,Caleb Hendrix,Appalachian State,2015,LS,SPEC,0.0,0.0,-7.34,,,,,,,,,,,,,,0,0,0,0
devin-slate-1,Devin Slate,Appalachian State,2015,LS,SPEC,0.0,0.0,-7.34,,,,,,,,,,,,,,0,0,0,0
elias-mcmurry-1,Elias McMurry,Appalachian State,2015,LS,SPEC,13.0,0.0,-7.34,,,,,,,,,,,,,,0,0,0,0
isaac-edwards-2,Isaac Edwards,Appalachian State,2015,LS,SPEC,0.0,0.0,-7.34,,,,,,,,,,,,,,0,0,0,0
michael-rubino-1,Michael Rubino,Appalachian State,2015,K,SPEC,0.0,0.0,-7.34,,,,,,,,,,,,,,0,0,0,0
zach-matics-1,Zach Matics,Appalachian State,2015,P,SPEC,13.0,0.0,-7.34,13.0,,61.0,61.0,100.0,14.0,17.0,82.4,103.0,,,,,0,0,0,0
casey-skowron-1,Casey Skowron,Arizona,2015,K,SPEC,13.0,0.0,1.12,13.0,,59.0,61.0,96.7,18.0,22.0,81.8,113.0,,,,,0,0,0,0
drew-riggleman-1,Drew Riggleman,Arizona,2015,P,SPEC,13.0,0.0,1.12,,13.0,,,,,,,,52.0,2357.0,45.3,,0,0,0,0
griffin-goudreau-1,Griffin Goudreau,Arizona,2015,LS,SPEC,0.0,0.0,1.12,,,,,,,,,,,,,,0,0,0,0
jose-romero-1,Jose Romero,Arizona,2015,LS,SPEC,0.0,0.0,1.12,,,,,,,,,,,,,,0,0,0,0
