Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_pff,award_aa,award_dave_rimington_trophy_most_outstanding_center,award_john_outland_trophy_most_outstanding_interior_lineman,award_vince_lombardi_award_lineman_of_the_year
jacob-monk-1,Jacob Monk,OL,Duke,Duke,5,57.0,0.2884210526315789,0.0,,0,57.0,0,0,0,0
manase-mose-1,Manase Mose,OL,North Texas,North Texas,6,57.0,-6.26,0.0,,0,57.0,0,0,0,0
marquice-robinson-1,Marquice Robinson,OL,Florida Atlantic,Florida Atlantic,6,57.0,-4.7859649122807015,0.0,,0,57.0,0,0,0,0
solo-vaipulu-1,Solo Vaipulu,OL,Hawaii,Hawaii,6,57.0,-3.6484210526315786,0.0,,0,56.0,0,0,0,0
will-ulmer-1,Will Ulmer,OL,Marshall,Marshall,5,57.0,-4.726666666666666,0.0,,0,55.0,0,0,0,0
brandon-yates-1,Brandon Yates,OL,West Virginia,West Virginia,6,56.0,3.25875,0.0,,0,56.0,0,0,0,0
caleb-chandler-1,Caleb Chandler,OL,Louisville,Louisville,6,56.0,2.575357142857143,0.0,,0,55.0,0,0,0,0
dustyn-hall-1,Dustyn Hall,OL,East Carolina,East Carolina|South Florida,6,56.0,-0.9628571428571426,0.0,,0,56.0,0,0,0,0
dylan-bradshaw-1,Dylan Bradshaw,OL,Troy,Troy,5,56.0,-5.388571428571429,0.0,,0,48.0,0,0,0,0
ed-montilus-1,Ed Montilus,OL,North Carolina,North Carolina,6,56.0,0.7932142857142856,0.0,,0,56.0,0,0,0,0
grant-betts-1,Grant Betts,OL,Troy,Troy,6,56.0,-2.57125,0.0,,0,56.0,0,0,0,0
isaac-moore-1,Isaac Moore,OL,Temple,Temple,5,56.0,-1.9139285714285716,0.0,,0,55.0,0,0,0,0
jacob-gardner-1,Jacob Gardner,OL,Colorado State,Colorado State|Nevada,5,56.0,-4.522142857142858,0.0,,0,56.0,0,0,0,0
jalen-grant-1,Jalen Grant,OL,North Carolina State,Bowling Green|North Carolina State|Purdue,6,56.0,1.3267857142857142,0.0,,0,56.0,0,0,0,0
javontez-spraggins-1,Javontez Spraggins,OL,Tennessee,Tennessee,5,56.0,4.256607142857143,0.0,,0,56.0,0,0,0,0
michael-jurgens-1,Michael Jurgens,OL,Wake Forest,Wake Forest,6,56.0,1.4782142857142857,0.0,,0,49.0,0,0,0,0
mike-novitsky-1,Mike Novitsky,OL,Kansas,Buffalo|Kansas,6,56.0,1.2060714285714287,0.0,,0,56.0,0,0,0,0
nick-weber-1,Nick Weber,OL,Florida Atlantic,Florida Atlantic,5,56.0,-4.5042857142857144,0.0,,0,55.0,0,0,0,0
sincere-haynesworth-1,Sincere Haynesworth,OL,Tulane,Tulane,5,56.0,-0.48517857142857135,0.0,,0,56.0,0,0,0,0
