Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_fred_biletnikoff_award_outstanding_receiver,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_sun_belt_player_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
porter-rooks-1,Porter Rooks,WR,Eastern Michigan,Eastern Michigan|North Carolina State,6,61.0,-0.37967213114754095,0.0,,0,12.0,61.0,2.0,1.0,0.0,106.0,1112.0,1.0,277.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smoke-harris-1,Smoke Harris,WR,Louisiana Tech,Louisiana Tech,6,61.0,-3.2931147540983607,0.0,,0,57.0,61.0,35.0,95.0,2.0,307.0,2903.0,23.0,2934.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taylor-morin-1,Taylor Morin,WR,Wake Forest,Wake Forest,6,61.0,1.8103278688524589,0.0,,0,47.0,60.0,5.0,17.0,0.0,227.0,2974.0,21.0,2416.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dalevon-campbell-1,Dalevon Campbell,WR,South Carolina,Illinois|Nevada|South Carolina,6,60.0,0.9730000000000001,0.0,,0,12.0,55.0,1.0,-1.0,0.0,87.0,1463.0,3.0,593.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ej-williams-2,E.J. Williams,WR,Indiana,Clemson|Indiana,6,60.0,3.838833333333333,0.0,,0,0.0,60.0,0.0,0.0,0.0,101.0,1210.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jontavis-robertson-1,Jontavis Robertson,WR,Duke,Duke,5,60.0,0.016333333333333342,0.0,,0,12.0,60.0,1.0,4.0,0.0,47.0,420.0,1.0,119.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keandre-lambert-smith-1,Keandre Lambert-Smith,WR,Auburn,Auburn|Penn State,5,60.0,4.111666666666666,0.0,,0,13.0,60.0,2.0,0.0,0.0,176.0,2702.0,19.0,673.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kobe-hudson-1,Kobe Hudson,WR,UCF,Auburn|UCF,5,60.0,3.9298333333333337,0.0,,0,25.0,60.0,2.0,-18.0,0.0,181.0,2961.0,23.0,1462.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mike-harley-1,Mike Harley,WR,Miami (FL),Miami (FL),5,60.0,1.2963333333333333,0.0,,0,36.0,60.0,7.0,36.0,0.0,182.0,2158.0,15.0,1863.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miles-marshall-1,Miles Marshall,WR,Miami (OH),Indiana|Miami (OH),6,60.0,-0.3819999999999998,0.0,,0,0.0,59.0,0.0,0.0,0.0,90.0,1321.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
