position,method,n_calibration,y_true_mean,y_true_std,y_pred_raw_mean,y_pred_raw_std,y_pred_cal_mean,y_pred_cal_std,y_pred_cal_min,y_pred_cal_max
DB,quantile,2405,55.791465114345115,12.501215692618263,55.786804811473694,5.323939437567175,55.80269919350213,12.55927976987089,7.0021,100.0
EDGE,quantile,479,53.480643006263044,15.088957420279593,52.817354998658246,7.597747398895805,53.49672317537304,15.140118551197126,12.5961,100.0
IDL,quantile,1010,55.25298158415842,12.206661883094636,55.21975102566256,5.930726620546784,55.237542446594155,12.24022040932562,10.9419,96.1955
LB,quantile,1434,54.95985251046026,13.107451053764466,54.84057172405504,6.0101124270165585,54.958338719894606,13.035280057788958,12.203,91.3976
OL,quantile,2109,57.9892293029872,12.187894366305233,58.04998613070854,4.753829454175133,58.00338086032199,12.12704853188736,26.3996,100.0
QB,quantile,710,54.02004873239436,15.438368549393191,54.067310717408084,8.838101669628115,54.017382911235956,15.491280523084448,5.4756,100.0
RB,quantile,987,56.37164468085106,14.449552794494755,56.13365851443831,7.593985363976426,56.38334803370829,14.506808019953185,5.0408,100.0
SPEC,quantile,379,57.264396833773084,13.38874387574429,57.30710232415111,9.134351788114007,57.30325392915186,13.386014614283617,18.5142,95.7383
TE,quantile,641,57.23482043681747,13.583940801539248,57.4367221171696,6.776638095090465,57.245063797337686,13.607848969982317,16.1646,100.0
WR,quantile,1649,55.46089199514857,13.25613263833121,55.41732627308824,6.219300274164025,55.480950853788556,13.325027713187335,14.641,100.0
