position,rows_total,rows_modeled,rows_future_2023_2028,n_features_numeric,n_features_categorical,n_features_modeled,cv_strategy,cv_mae_bestparam,oof_mae_raw,oof_rmse_raw,oof_r2_raw,oof_spearman_raw,oof_mae_calibrated,oof_rmse_calibrated,oof_r2_calibrated,oof_spearman_calibrated,calibration_method,best_params,model_path,pred_path,future_pred_path,fold_metrics_path
DB,2405,2405,2194,3,10,13,StratifiedKFold(5) on binned target,9.4775,9.4775,12.0528,0.0705,0.3079,11.6215,14.9782,-0.4355,0.3079,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\DB_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\DB_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\DB_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\DB_cv_fold_metrics.csv
EDGE,479,479,999,3,10,13,StratifiedKFold(5) on binned target,12.3873,12.3889,15.5732,-0.0652,0.143,15.6731,19.5754,-0.6831,0.143,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\EDGE_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\EDGE_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\EDGE_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\EDGE_cv_fold_metrics.csv
IDL,1010,1010,1298,3,10,13,StratifiedKFold(5) on binned target,9.1467,9.1467,11.9783,0.0371,0.2637,11.3051,14.9555,-0.5011,0.2637,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\IDL_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\IDL_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\IDL_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\IDL_cv_fold_metrics.csv
LB,1434,1434,1215,3,10,13,StratifiedKFold(5) on binned target,9.9002,9.9001,12.8339,0.0413,0.2835,12.4545,15.8325,-0.459,0.2835,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\LB_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\LB_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\LB_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\LB_cv_fold_metrics.csv
OL,2109,2109,2249,3,10,13,StratifiedKFold(5) on binned target,9.8453,9.8453,12.1308,0.0094,0.2083,12.4137,15.4059,-0.5978,0.2083,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\OL_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\OL_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\OL_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\OL_cv_fold_metrics.csv
QB,710,710,939,3,10,13,StratifiedKFold(5) on binned target,11.9975,11.9975,14.842,0.0758,0.3377,14.292,17.7726,-0.3253,0.3377,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\QB_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\QB_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\QB_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\QB_cv_fold_metrics.csv
RB,987,987,877,3,10,13,StratifiedKFold(5) on binned target,11.2017,11.2012,14.2002,0.0342,0.2957,13.704,17.296,-0.4328,0.2957,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\RB_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\RB_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\RB_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\RB_cv_fold_metrics.csv
SPEC,379,379,182,3,10,13,StratifiedKFold(5) on binned target,9.2777,9.2777,12.4342,0.1375,0.4274,10.5596,14.3128,-0.1428,0.4274,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\SPEC_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\SPEC_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\SPEC_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\SPEC_cv_fold_metrics.csv
TE,641,641,700,3,10,13,StratifiedKFold(5) on binned target,11.0643,11.0638,14.0315,-0.067,0.1742,13.8599,17.5287,-0.6651,0.1742,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\TE_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\TE_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\TE_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\TE_cv_fold_metrics.csv
WR,1649,1649,1717,3,10,13,StratifiedKFold(5) on binned target,10.2241,10.224,12.8267,0.0637,0.2689,12.7304,15.8419,-0.4282,0.2689,quantile,null,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\artifacts\WR_xgb_regressor.joblib,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\WR_oof_predictions.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\regression\WR_future_predictions_2023_2028.csv,g:\Other computers\Desktop\My Files\Courses\DSBA 6010 - LLM\Project\Code\Gridiron_Intelligence\data\modeling_datasets\final\models\xgboost_positional\diagnostics\WR_cv_fold_metrics.csv
