feature,importance,position
cat__state_AL,0.04151945,DB
num__rating,0.03731916,DB
cat__state_IL,0.035752818,DB
cat__state_OH,0.035200123,DB
cat__state_LA,0.03407471,DB
cat__state_CA,0.03364327,DB
cat__state_MD,0.033545695,DB
cat__state_NC,0.03102666,DB
cat__state_IN,0.029338991,DB
cat__position_S,0.029106792,DB
cat__flag_all_american_bowl_0.0,0.028923636,DB
cat__state_GA,0.027042413,DB
num__height_inches,0.026769364,DB
cat__state_MS,0.026556354,DB
cat__state_TX,0.025671367,DB
num__weight_lbs,0.025220903,DB
cat__state_VA,0.02458591,DB
cat__state_TN,0.02422633,DB
cat__state_UT,0.02394976,DB
cat__position_CB,0.023678774,DB
cat__state_MI,0.023664735,DB
cat__state_SC,0.022903146,DB
cat__state_NV,0.02254106,DB
cat__state_OK,0.022471562,DB
cat__flag_all_american_bowl_1.0,0.021127108,DB
cat__state_FL,0.020481948,DB
cat__state_NY,0.020444896,DB
cat__state_KS,0.020273222,DB
cat__state_AZ,0.019504882,DB
cat__state_DC,0.018928522,DB
cat__state_GA,0.05545172,EDGE
num__rating,0.053868346,EDGE
cat__position_Edge,0.05382106,EDGE
cat__state_TX,0.049890798,EDGE
cat__state_AL,0.04735107,EDGE
cat__state_CA,0.044820048,EDGE
cat__state_UT,0.04230391,EDGE
cat__state_MS,0.03786431,EDGE
num__weight_lbs,0.037191395,EDGE
cat__state_SC,0.03679495,EDGE
cat__flag_all_american_bowl_0.0,0.03674463,EDGE
cat__state_FL,0.03641428,EDGE
cat__state_MD,0.03548483,EDGE
cat__state_MI,0.03509909,EDGE
num__height_inches,0.034525044,EDGE
cat__state_IL,0.034521047,EDGE
cat__state_NC,0.03141282,EDGE
cat__state_OH,0.030942805,EDGE
cat__state_IA,0.029868918,EDGE
cat__position_SDE,0.028561248,EDGE
cat__state_LA,0.028499737,EDGE
cat__state_VA,0.026147531,EDGE
cat__state_PA,0.025294269,EDGE
cat__position_WDE,0.024048965,EDGE
cat__state_MO,0.022423875,EDGE
cat__state_TN,0.02202445,EDGE
cat__state_WI,0.021141341,EDGE
cat__state_NJ,0.018746248,EDGE
cat__state_OK,0.018741293,EDGE
cat__state_HI,0.0,EDGE
cat__state_PA,0.045500107,IDL
cat__state_VA,0.042153686,IDL
cat__state_IA,0.041810922,IDL
num__rating,0.041374747,IDL
cat__state_FL,0.038153462,IDL
cat__state_KY,0.03813007,IDL
cat__state_LA,0.036964707,IDL
cat__state_MD,0.036504775,IDL
cat__position_DT,0.033828236,IDL
cat__state_AL,0.03318791,IDL
num__weight_lbs,0.032749176,IDL
cat__state_CA,0.031308394,IDL
num__height_inches,0.031043196,IDL
cat__position_DL,0.029644325,IDL
cat__state_TX,0.028929215,IDL
cat__state_TN,0.028044919,IDL
cat__state_NJ,0.026864937,IDL
cat__state_OH,0.026727566,IDL
cat__state_GA,0.026612978,IDL
cat__state_NY,0.026284447,IDL
cat__state_IL,0.026076235,IDL
cat__state_NC,0.024150757,IDL
cat__state_MI,0.022874719,IDL
cat__state_MS,0.022529496,IDL
cat__state_HI,0.022364467,IDL
cat__state_SC,0.021879474,IDL
cat__state_MA,0.021360703,IDL
cat__state_IN,0.021133633,IDL
cat__state_WA,0.02091685,IDL
cat__state_AZ,0.02058479,IDL
cat__state_TX,0.045118924,LB
num__rating,0.04060838,LB
cat__state_MI,0.03881765,LB
cat__state_LA,0.036191173,LB
cat__state_MS,0.03013856,LB
cat__state_SC,0.029789498,LB
num__weight_lbs,0.028486133,LB
cat__state_CA,0.028280454,LB
cat__state_NJ,0.02821408,LB
cat__state_HI,0.02816735,LB
num__height_inches,0.028006535,LB
cat__position_LB,0.027885424,LB
cat__state_FL,0.027695458,LB
cat__state_VA,0.027324468,LB
cat__state_MD,0.02706869,LB
cat__state_UT,0.025486642,LB
cat__position_ILB,0.025320547,LB
cat__state_NC,0.024740094,LB
cat__state_OH,0.024497818,LB
cat__state_GA,0.024434706,LB
cat__state_IN,0.024171023,LB
cat__state_AL,0.022887925,LB
cat__state_IL,0.022699807,LB
cat__position_OLB,0.022581074,LB
cat__state_TN,0.02149513,LB
cat__state_MN,0.021180093,LB
cat__state_WA,0.020288058,LB
cat__state_WI,0.020043703,LB
cat__state_AZ,0.018766077,LB
cat__state_KS,0.017668284,LB
num__rating,0.032126587,OL
cat__position_OC,0.029954696,OL
cat__state_PA,0.029574951,OL
cat__state_WI,0.028161887,OL
cat__state_NC,0.026265832,OL
cat__state_OR,0.025537774,OL
cat__state_IA,0.024992624,OL
cat__state_CO,0.024098154,OL
cat__state_KS,0.024082385,OL
cat__state_IL,0.023939159,OL
cat__position_OT,0.023905039,OL
cat__state_SC,0.023455903,OL
cat__state_AL,0.023381446,OL
cat__state_LA,0.023012836,OL
cat__state_FL,0.022459472,OL
cat__state_CA,0.0222733,OL
cat__state_AZ,0.02209574,OL
cat__state_MD,0.021951504,OL
cat__state_TX,0.02067052,OL
cat__state_OK,0.020315813,OL
cat__state_GERM,0.020295475,OL
cat__state_CT,0.020280994,OL
cat__state_OH,0.020047393,OL
cat__state_NJ,0.019529896,OL
cat__state_IN,0.019125612,OL
cat__state_ON,0.018533025,OL
cat__position_IOL,0.017399268,OL
cat__state_HI,0.017198838,OL
num__weight_lbs,0.01661029,OL
num__height_inches,0.016377348,OL
num__rating,0.062688686,QB
cat__state_GA,0.043976147,QB
cat__state_LA,0.043738335,QB
cat__position_DUAL,0.035201527,QB
num__weight_lbs,0.03368573,QB
cat__state_MI,0.033630516,QB
cat__position_QB,0.032684244,QB
cat__state_WA,0.032516155,QB
cat__state_OH,0.032283735,QB
cat__state_FL,0.030435307,QB
num__height_inches,0.03041397,QB
cat__state_PA,0.030148722,QB
cat__position_PRO,0.028676424,QB
cat__state_IL,0.028048258,QB
cat__state_TX,0.027855407,QB
cat__state_HI,0.027550878,QB
cat__state_OK,0.027402557,QB
cat__state_AL,0.025972288,QB
cat__state_VA,0.025481364,QB
cat__state_SC,0.025282359,QB
cat__state_NY,0.025209367,QB
cat__state_KY,0.023493895,QB
cat__state_CA,0.023269251,QB
cat__state_NC,0.023099635,QB
cat__state_AZ,0.022973245,QB
cat__state_MS,0.022346837,QB
cat__state_TN,0.02140327,QB
cat__state_NV,0.02005063,QB
cat__state_NJ,0.01934314,QB
cat__state_IN,0.017830858,QB
cat__state_LA,0.05617103,RB
num__rating,0.050474394,RB
cat__state_CA,0.048505776,RB
cat__state_AZ,0.04744337,RB
cat__position_FB,0.03843947,RB
cat__state_FL,0.03770978,RB
cat__state_TN,0.034975752,RB
num__weight_lbs,0.03419479,RB
cat__state_TX,0.033893306,RB
cat__state_MS,0.03382962,RB
num__height_inches,0.032832935,RB
cat__state_NC,0.031818505,RB
cat__state_MD,0.031141706,RB
cat__state_PA,0.029799988,RB
cat__state_GA,0.028807515,RB
cat__state_OK,0.028721731,RB
cat__position_RB,0.028628057,RB
cat__state_NY,0.028473485,RB
cat__state_MO,0.0281376,RB
cat__state_OH,0.027207984,RB
cat__position_APB,0.027047083,RB
cat__state_AL,0.026887141,RB
cat__state_NJ,0.02615028,RB
cat__state_IL,0.025962647,RB
cat__state_CO,0.024928652,RB
cat__state_VA,0.024626665,RB
cat__state_SC,0.022168584,RB
cat__state_IN,0.02190273,RB
cat__state_AR,0.020898083,RB
cat__state_MI,0.016991062,RB
cat__state_AZ,0.06824933,SPEC
cat__position_P,0.06570821,SPEC
cat__state_AUST,0.062116858,SPEC
cat__state_CA,0.05782757,SPEC
cat__state_SC,0.05728633,SPEC
num__rating,0.051879916,SPEC
cat__state_FL,0.04808177,SPEC
cat__flag_all_american_bowl_1.0,0.047537398,SPEC
cat__state_MI,0.046188712,SPEC
cat__flag_all_american_bowl_0.0,0.045062665,SPEC
num__weight_lbs,0.043807432,SPEC
num__height_inches,0.043081783,SPEC
cat__position_K,0.040677316,SPEC
cat__state_TX,0.039989825,SPEC
cat__position_LS,0.03921725,SPEC
cat__state_NC,0.039106023,SPEC
cat__state_IL,0.033982977,SPEC
cat__state_GA,0.032577176,SPEC
cat__state_OH,0.032252207,SPEC
cat__state_WI,0.029629253,SPEC
cat__state_TN,0.02406524,SPEC
cat__state_AL,0.022125652,SPEC
