Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Kyle Vantrease,kyle-vantrease-1,/cfb/players/kyle-vantrease-1.html,Buffalo,MAC,10,2,130,65.0,,2021
Alec Bevelhimer,alec-bevelhimer-1,/cfb/players/alec-bevelhimer-1.html,Miami (OH),MAC,11,1,55,55.0,,2021
David Nunez,david-nunez-1,/cfb/players/david-nunez-1.html,Texas State,Sun Belt,1,1,54,54.0,,2021
Matt Araiza,matt-araiza-1,/cfb/players/matt-araiza-1.html,San Diego State,MWC,14,79,4044,51.2,AA,2021
Michael Turk,michael-turk-1,/cfb/players/michael-turk-1.html,Oklahoma,Big 12,11,35,1791,51.2,,2021
Ryan Stonehouse,ryan-stonehouse-1,/cfb/players/ryan-stonehouse-1.html,Colorado State,MWC,12,58,2953,50.9,,2021
Kyle Ostendorp,kyle-ostendorp-1,/cfb/players/kyle-ostendorp-1.html,Arizona,Pac-12,12,58,2852,49.2,,2021
Matias Gasc,matias-gasc-1,/cfb/players/matias-gasc-1.html,Miami (FL),ACC,2,1,49,49.0,,2021
John Haggerty,john-haggerty-1,/cfb/players/john-haggerty-1.html,Western Kentucky,CUSA,14,33,1608,48.7,,2021
Ryan Rehkow,ryan-rehkow-1,/cfb/players/ryan-rehkow-1.html,BYU,Ind,13,40,1943,48.6,,2021
Chance Nolan,chance-nolan-1,/cfb/players/chance-nolan-1.html,Oregon State,Pac-12,13,2,97,48.5,,2021
Race Porter,race-porter-1,/cfb/players/race-porter-1.html,Washington,Pac-12,12,53,2572,48.5,,2021
Bryce Baringer,bryce-baringer-1,/cfb/players/bryce-baringer-1.html,Michigan State,Big Ten,13,59,2857,48.4,,2021
Austin McNamara,austin-mcnamara-1,/cfb/players/austin-mcnamara-1.html,Texas Tech,Big 12,13,42,2023,48.2,,2021
Magnus Haines,magnus-haines-1,/cfb/players/magnus-haines-1.html,Kent State,MAC,2,1,48,48.0,,2021
Mason Lawler,mason-lawler-1,/cfb/players/mason-lawler-1.html,Bowling Green,MAC,12,1,48,48.0,,2021
Josh Watts,josh-watts-1,/cfb/players/josh-watts-1.html,Colorado,Pac-12,12,66,3154,47.8,,2021
Ryan Wright,ryan-wright-1,/cfb/players/ryan-wright-1.html,Tulane,American,12,51,2424,47.5,,2021
Luke Loecher,luke-loecher-1,/cfb/players/luke-loecher-1.html,Oregon State,Pac-12,13,31,1459,47.1,,2021
Jerwuan Thomas,jerwuan-thomas-1,/cfb/players/jerwuan-thomas-1.html,Ball State,MAC,3,1,47,47.0,,2021
Kade Loggins,kade-loggins-1,/cfb/players/kade-loggins-1.html,Georgia State,Sun Belt,2,1,47,47.0,,2021
Cameron Dicker,cameron-dicker-2,/cfb/players/cameron-dicker-2.html,Texas,Big 12,12,47,2200,46.8,,2021
Tommy Heatherly,tommy-heatherly-1,/cfb/players/tommy-heatherly-1.html,Florida International,CUSA,12,73,3418,46.8,,2021
Jake Camarda,jake-camarda-1,/cfb/players/jake-camarda-1.html,Georgia,SEC,15,47,2197,46.7,,2021
Nik Constantinou,nik-constantinou-1,/cfb/players/nik-constantinou-1.html,Texas A&M,SEC,12,51,2377,46.6,,2021
Andy Vujnovich,andy-vujnovich-1,/cfb/players/andy-vujnovich-1.html,Wisconsin,Big Ten,13,49,2274,46.4,,2021
Brad Robbins,brad-robbins-1,/cfb/players/brad-robbins-1.html,Michigan,Big Ten,14,45,2085,46.3,,2021
Sean Koetting,sean-koetting-1,/cfb/players/sean-koetting-1.html,Missouri,SEC,13,7,324,46.3,,2021
Rhys Byrns,rhys-byrns-1,/cfb/players/rhys-byrns-1.html,Louisiana,Sun Belt,14,59,2722,46.1,,2021
Tory Taylor,tory-taylor-1,/cfb/players/tory-taylor-1.html,Iowa,Big Ten,14,80,3688,46.1,,2021
Cole Maynard,cole-maynard-1,/cfb/players/cole-maynard-1.html,North Carolina,ACC,1,1,46,46.0,,2021
Joe Doyle,joe-doyle-1,/cfb/players/joe-doyle-1.html,Memphis,American,12,41,1888,46.0,,2021
Colin Goodfellow,colin-goodfellow-1,/cfb/players/colin-goodfellow-1.html,Kentucky,SEC,10,35,1608,45.9,,2021
Jake Julien,jake-julien-1,/cfb/players/jake-julien-1.html,Eastern Michigan,MAC,13,51,2343,45.9,,2021
Jordan Stout,jordan-stout-2,/cfb/players/jordan-stout-2.html,Penn State,Big Ten,13,66,3032,45.9,,2021
Lachlan Wilson,lachlan-wilson-1,/cfb/players/lachlan-wilson-1.html,Tulsa,American,13,61,2787,45.7,,2021
Matt Hayball,matt-hayball-1,/cfb/players/matt-hayball-1.html,Florida Atlantic,CUSA,12,61,2785,45.7,,2021
Colton Spangler,colton-spangler-1,/cfb/players/colton-spangler-1.html,Maryland,Big Ten,13,29,1320,45.5,,2021
Rocky Lombardi,rocky-lombardi-1,/cfb/players/rocky-lombardi-1.html,Northern Illinois,MAC,13,3,136,45.3,,2021
Lucas Dean,lucas-dean-1,/cfb/players/lucas-dean-1.html,UTSA,CUSA,14,47,2126,45.2,,2021
Adam Korsak,adam-korsak-1,/cfb/players/adam-korsak-1.html,Rutgers,Big Ten,13,72,3245,45.1,,2021
Blake Hayes,blake-hayes-1,/cfb/players/blake-hayes-1.html,Illinois,Big Ten,12,68,3068,45.1,,2021
Trenton Gill,trenton-gill-1,/cfb/players/trenton-gill-1.html,North Carolina State,ACC,12,65,2930,45.1,,2021
Ben Griffiths,ben-griffiths-1,/cfb/players/ben-griffiths-1.html,USC,Pac-12,12,44,1978,45.0,,2021
Jack Blumer,jack-blumer-1,/cfb/players/jack-blumer-1.html,Kansas State,Big 12,13,1,45,45.0,,2021
Julian Diaz,julian-diaz-1,/cfb/players/julian-diaz-1.html,Nevada,MWC,13,50,2250,45.0,,2021
Louis Hedley,louis-hedley-1,/cfb/players/louis-hedley-1.html,Miami (FL),ACC,11,47,2112,44.9,,2021
