Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Mitch Lochbihler,mitch-lochbihler-1,/cfb/players/mitch-lochbihler-1.html,Kansas State,Big 12,12,2,99,49.5,,2017
Tyler Bass,tyler-bass-3,/cfb/players/tyler-bass-3.html,Georgia Southern,Sun Belt,12,2,99,49.5,,2017
Johnny Townsend,johnny-townsend-1,/cfb/players/johnny-townsend-1.html,Florida,SEC,11,64,3043,47.5,,2017
Trevor Daniel,trevor-daniel-1,/cfb/players/trevor-daniel-1.html,Tennessee,SEC,12,70,3323,47.5,,2017
Michael Dickson,michael-dickson-1,/cfb/players/michael-dickson-1.html,Texas,Big 12,13,84,3984,47.4,AA,2017
Corey Bojorquez,corey-bojorquez-1,/cfb/players/corey-bojorquez-1.html,New Mexico,MWC,12,67,3170,47.3,,2017
Blake Maimone,blake-maimone-1,/cfb/players/blake-maimone-1.html,Oregon,Pac-12,8,1,46,46.0,,2017
Matt Hockett,matt-hockett-1,/cfb/players/matt-hockett-1.html,Oklahoma State,Big 12,6,2,92,46.0,,2017
Ryan Stonehouse,ryan-stonehouse-1,/cfb/players/ryan-stonehouse-1.html,Colorado State,MWC,13,46,2111,45.9,,2017
Tom Sheldon,tom-sheldon-1,/cfb/players/tom-sheldon-1.html,North Carolina,ACC,8,45,2061,45.8,,2017
Michael Carrizosa,michael-carrizosa-1,/cfb/players/michael-carrizosa-1.html,San Jose State,MWC,11,73,3329,45.6,,2017
Daniel Gutierrez,daniel-gutierrez-1,/cfb/players/daniel-gutierrez-1.html,Nevada-Las Vegas,MWC,12,2,91,45.5,,2017
Shane Tripucka,shane-tripucka-1,/cfb/players/shane-tripucka-1.html,Texas A&M,SEC,13,83,3776,45.5,,2017
Jake Bailey,jake-bailey-1,/cfb/players/jake-bailey-1.html,Stanford,Pac-12,14,57,2586,45.4,,2017
Corliss Waitman,corliss-waitman-1,/cfb/players/corliss-waitman-1.html,South Alabama,Sun Belt,12,70,3167,45.2,,2017
Drew Galitz,drew-galitz-1,/cfb/players/drew-galitz-1.html,Baylor,Big 12,5,21,950,45.2,,2017
Cameron Nizialek,cameron-nizialek-1,/cfb/players/cameron-nizialek-1.html,Georgia,SEC,15,61,2744,45.0,,2017
Daniel Jones,daniel-jones-4,/cfb/players/daniel-jones-4.html,Duke,ACC,13,1,45,45.0,,2017
Daniel Pasquariello,daniel-pasquariello-1,/cfb/players/daniel-pasquariello-1.html,Penn State,Big Ten,1,1,45,45.0,,2017
