Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Parker Boehme,parker-boehme-1,/cfb/players/parker-boehme-1.html,Duke,ACC,5,2,100,50.0,,2016
Erik Powell,erik-powell-1,/cfb/players/erik-powell-1.html,Washington State,Pac-12,13,7,341,48.7,,2016
Mitch Lochbihler,mitch-lochbihler-1,/cfb/players/mitch-lochbihler-1.html,Kansas State,Big 12,12,4,193,48.3,,2016
Johnny Townsend,johnny-townsend-1,/cfb/players/johnny-townsend-1.html,Florida,SEC,13,64,3065,47.9,,2016
Mitch Wishnowsky,mitch-wishnowsky-1,/cfb/players/mitch-wishnowsky-1.html,Utah,Pac-12,13,64,3053,47.7,AA,2016
Michael Dickson,michael-dickson-1,/cfb/players/michael-dickson-1.html,Texas,Big 12,12,65,3079,47.4,,2016
JK Scott,jk-scott-3,/cfb/players/jk-scott-3.html,Alabama,SEC,15,64,3020,47.2,,2016
Blake Johnson,blake-johnson-1,/cfb/players/blake-johnson-1.html,Arkansas,SEC,1,2,94,47.0,,2016
Braden Mann,braden-mann-1,/cfb/players/braden-mann-1.html,Texas A&M,SEC,13,2,94,47.0,,2016
Cameron Johnston,cameron-johnston-1,/cfb/players/cameron-johnston-1.html,Ohio State,Big Ten,13,56,2614,46.7,,2016
Nicolai Bornand,nicolai-bornand-1,/cfb/players/nicolai-bornand-1.html,Nevada-Las Vegas,MWC,6,3,140,46.7,,2016
Michael Batson,michael-batson-1,/cfb/players/michael-batson-1.html,Clemson,ACC,2,1,46,46.0,,2016
Joseph Davidson,joseph-davidson-1,/cfb/players/joseph-davidson-1.html,Bowling Green,MAC,12,61,2791,45.8,,2016
Dylan Klumph,dylan-klumph-2,/cfb/players/dylan-klumph-2.html,California,Pac-12,10,44,2006,45.6,,2016
Eric Harris,eric-harris-3,/cfb/players/eric-harris-3.html,Navy,American,7,10,451,45.1,,2016
Spencer Smith,spencer-smith-6,/cfb/players/spencer-smith-6.html,Memphis,American,13,45,2028,45.1,,2016
Sean Wale,sean-wale-1,/cfb/players/sean-wale-1.html,Boise State,MWC,13,50,2248,45.0,,2016
Dylan Klumph,dylan-klumph-1,/cfb/players/dylan-klumph-1.html,California,Pac-12,12,50,2240,44.8,,2016
Tyler Sarrazin,tyler-sarrazin-1,/cfb/players/tyler-sarrazin-1.html,Southern Mississippi,CUSA,13,53,2371,44.7,,2016
Rigoberto Sanchez,rigoberto-sanchez-1,/cfb/players/rigoberto-sanchez-1.html,Hawaii,MWC,14,70,3122,44.6,,2016
Trevor Daniel,trevor-daniel-1,/cfb/players/trevor-daniel-1.html,Tennessee,SEC,13,70,3120,44.6,,2016
Brandon McKee,brandon-mckee-1,/cfb/players/brandon-mckee-1.html,South Alabama,Sun Belt,13,48,2136,44.5,,2016
Toby Baker,toby-baker-1,/cfb/players/toby-baker-1.html,Arkansas,SEC,12,57,2532,44.4,,2016
Michael Carrizosa,michael-carrizosa-1,/cfb/players/michael-carrizosa-1.html,San Jose State,MWC,12,61,2703,44.3,,2016
Nicholas Conte,nicholas-conte-1,/cfb/players/nicholas-conte-1.html,Virginia,ACC,12,74,3279,44.3,,2016
Hayden Hunt,hayden-hunt-1,/cfb/players/hayden-hunt-1.html,Colorado State,MWC,13,56,2469,44.1,,2016
Steven Coutts,steven-coutts-1,/cfb/players/steven-coutts-1.html,Louisiana,Sun Belt,13,64,2825,44.1,,2016
