Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Logan Tyler,logan-tyler-1,/cfb/players/logan-tyler-1.html,Florida State,ACC,12,82,3545,43.2,,2018
Matt Hockett,matt-hockett-1,/cfb/players/matt-hockett-1.html,Oklahoma State,Big 12,13,25,1079,43.2,,2018
Nick Schrage,nick-schrage-1,/cfb/players/nick-schrage-1.html,Army,Ind,12,21,907,43.2,,2018
Charles Ouverson,charles-ouverson-1,/cfb/players/charles-ouverson-1.html,Coastal Carolina,Sun Belt,12,47,2028,43.1,,2018
James Fonseca,james-fonseca-1,/cfb/players/james-fonseca-1.html,Akron,MAC,1,1,43,43.0,,2018
Yannis Routsas,yannis-routsas-1,/cfb/players/yannis-routsas-1.html,UTSA,CUSA,12,75,3224,43.0,,2018
Luke Magliozzi,luke-magliozzi-1,/cfb/players/luke-magliozzi-1.html,Connecticut,American,12,63,2705,42.9,,2018
Sterling Hofrichter,sterling-hofrichter-1,/cfb/players/sterling-hofrichter-1.html,Syracuse,ACC,13,67,2874,42.9,,2018
Trent Schneider,trent-schneider-1,/cfb/players/trent-schneider-1.html,South Florida,American,13,74,3176,42.9,,2018
Dontae Crow,dontae-crow-1,/cfb/players/dontae-crow-1.html,Wyoming,MWC,10,24,1026,42.8,,2018
Adam Korsak,adam-korsak-1,/cfb/players/adam-korsak-1.html,Rutgers,Big Ten,12,78,3333,42.7,,2018
Jake Camarda,jake-camarda-1,/cfb/players/jake-camarda-1.html,Georgia,SEC,14,43,1830,42.6,,2018
Joe Schopper,joe-schopper-1,/cfb/players/joe-schopper-1.html,Purdue,Big Ten,13,62,2642,42.6,,2018
Oscar Bradburn,oscar-bradburn-1,/cfb/players/oscar-bradburn-1.html,Virginia Tech,ACC,13,69,2940,42.6,,2018
Blake Maimone,blake-maimone-1,/cfb/players/blake-maimone-1.html,Oregon,Pac-12,13,45,1914,42.5,,2018
Connor Bowler,connor-bowler-1,/cfb/players/connor-bowler-1.html,Temple,American,13,57,2420,42.5,,2018
A.J. Cole III,aj-cole-iii-1,/cfb/players/aj-cole-iii-1.html,North Carolina State,ACC,13,49,2076,42.4,,2018
Drew Galitz,drew-galitz-1,/cfb/players/drew-galitz-1.html,Baylor,Big 12,12,51,2164,42.4,,2018
Alvin Kenworthy,alvin-kenworthy-1,/cfb/players/alvin-kenworthy-1.html,North Texas,CUSA,13,56,2366,42.3,,2018
Blake Cusick,blake-cusick-1,/cfb/players/blake-cusick-1.html,Fresno State,MWC,14,65,2745,42.2,,2018
Dylan Klumph,dylan-klumph-2,/cfb/players/dylan-klumph-2.html,Arizona,Pac-12,11,49,2066,42.2,,2018
Dane Roy,dane-roy-1,/cfb/players/dane-roy-1.html,Houston,American,13,60,2523,42.1,,2018
Dominic Panazzolo,dominic-panazzolo-1,/cfb/players/dominic-panazzolo-1.html,Texas Tech,Big 12,12,52,2187,42.1,,2018
Jared Porter,jared-porter-1,/cfb/players/jared-porter-1.html,Louisiana-Monroe,Sun Belt,12,49,2064,42.1,,2018
Hunter Renfrow,hunter-renfrow-1,/cfb/players/hunter-renfrow-1.html,Clemson,ACC,15,1,42,42.0,,2018
Alex Kinney,alex-kinney-1,/cfb/players/alex-kinney-1.html,Colorado,Pac-12,4,16,670,41.9,,2018
Daniel Rodriguez,daniel-rodriguez-3,/cfb/players/daniel-rodriguez-3.html,Oregon State,Pac-12,12,55,2303,41.9,,2018
Kyle Kramer,kyle-kramer-2,/cfb/players/kyle-kramer-2.html,Miami (OH),MAC,12,65,2725,41.9,,2018
Race Porter,race-porter-1,/cfb/players/race-porter-1.html,Washington,Pac-12,14,18,755,41.9,,2018
Brandon Heicklen,brandon-heicklen-1,/cfb/players/brandon-heicklen-1.html,San Diego State,MWC,13,68,2844,41.8,,2018
Dom Maggio,dom-maggio-1,/cfb/players/dom-maggio-1.html,Wake Forest,ACC,13,77,3217,41.8,,2018
Evan Finegan,evan-finegan-1,/cfb/players/evan-finegan-1.html,Buffalo,MAC,14,52,2171,41.8,,2018
Lester Coleman,lester-coleman-1,/cfb/players/lester-coleman-1.html,Virginia,ACC,13,51,2130,41.8,,2018
Corliss Waitman,corliss-waitman-1,/cfb/players/corliss-waitman-1.html,South Alabama,Sun Belt,12,67,2792,41.7,,2018
Caleb Lightbourn,caleb-lightbourn-1,/cfb/players/caleb-lightbourn-1.html,Nebraska,Big Ten,9,24,998,41.6,,2018
Jake Koehnke,jake-koehnke-1,/cfb/players/jake-koehnke-1.html,Air Force,MWC,11,17,708,41.6,,2018
Owen White,owen-white-1,/cfb/players/owen-white-1.html,Navy,American,13,53,2207,41.6,,2018
Steven Coutts,steven-coutts-1,/cfb/players/steven-coutts-1.html,California,Pac-12,13,72,2985,41.5,,2018
Trevor Denbow,trevor-denbow-1,/cfb/players/trevor-denbow-1.html,SMU,American,12,2,83,41.5,,2018
Austin Parker,austin-parker-2,/cfb/players/austin-parker-2.html,Duke,ACC,13,67,2772,41.4,,2018
kirk Christodoulou,kirk-christodoulou-1,/cfb/players/kirk-christodoulou-1.html,Pitt,ACC,14,74,3067,41.4,,2018
Joel Whitford,joel-whitford-1,/cfb/players/joel-whitford-1.html,Washington,Pac-12,12,33,1364,41.3,,2018
Mac Brown,mac-brown-1,/cfb/players/mac-brown-1.html,Ole Miss,SEC,12,48,1980,41.3,,2018
Matt Bonadies,matt-bonadies-1,/cfb/players/matt-bonadies-1.html,Middle Tennessee State,CUSA,13,55,2274,41.3,,2018
Pressley Harvin III,pressley-harvin-iii-1,/cfb/players/pressley-harvin-iii-1.html,Georgia Tech,ACC,12,35,1447,41.3,,2018
Jacob Herbers,jacob-herbers-1,/cfb/players/jacob-herbers-1.html,Minnesota,Big Ten,13,51,2103,41.2,,2018
Matt Naranjo,matt-naranjo-1,/cfb/players/matt-naranjo-1.html,Bowling Green,MAC,11,31,1277,41.2,,2018
Nathan Snyder,nathan-snyder-2,/cfb/players/nathan-snyder-2.html,Ball State,MAC,12,16,659,41.2,,2018
