Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Brady Denaburg,brady-denaburg-1,/cfb/players/brady-denaburg-1.html,Syracuse,ACC,13,1,54,54.0,,2023
James Ferguson-Reynolds,james-ferguson-reynolds-1,/cfb/players/james-ferguson-reynolds-1.html,Boise State,MWC,14,55,2735,49.7,,2023
Jeremy Crawshaw,jeremy-crawshaw-1,/cfb/players/jeremy-crawshaw-1.html,Florida,SEC,12,42,2052,48.9,,2023
Ross James,ross-james-1,/cfb/players/ross-james-1.html,Oregon,Pac-12,14,27,1307,48.4,,2023
Ryan Rehkow,ryan-rehkow-1,/cfb/players/ryan-rehkow-1.html,BYU,Big 12,12,68,3289,48.4,,2023
Tory Taylor,tory-taylor-1,/cfb/players/tory-taylor-1.html,Iowa,Big Ten,14,93,4479,48.2,AA,2023
James Burnip,james-burnip-1,/cfb/players/james-burnip-1.html,Alabama,SEC,14,59,2806,47.6,,2023
Matt Hayball,matt-hayball-1,/cfb/players/matt-hayball-1.html,Vanderbilt,SEC,12,57,2713,47.6,,2023
Marshall Nichols,marshall-nichols-1,/cfb/players/marshall-nichols-1.html,Nevada-Las Vegas,MWC,14,51,2400,47.1,,2023
Keegan Shoemaker,keegan-shoemaker-1,/cfb/players/keegan-shoemaker-1.html,Sam Houston,CUSA,11,2,94,47.0,,2023
Max Fletcher,max-fletcher-1,/cfb/players/max-fletcher-1.html,Arkansas,SEC,12,59,2770,46.9,,2023
Ryan Eckley,ryan-eckley-1,/cfb/players/ryan-eckley-1.html,Michigan State,Big Ten,12,55,2576,46.8,,2023
Porter Wilson,porter-wilson-1,/cfb/players/porter-wilson-1.html,Duke,ACC,13,54,2519,46.6,,2023
Austin McNamara,austin-mcnamara-1,/cfb/players/austin-mcnamara-1.html,Texas Tech,Big 12,13,55,2548,46.3,,2023
AJ Winsor,aj-winsor-1,/cfb/players/aj-winsor-1.html,Oregon State,Pac-12,1,4,184,46.0,,2023
James Evans,james-evans-2,/cfb/players/james-evans-2.html,Indiana,Big Ten,12,57,2612,45.8,,2023
Riley Thompson,riley-thompson-1,/cfb/players/riley-thompson-1.html,Penn State,Big Ten,13,50,2290,45.8,,2023
Blake Ochsendorf,blake-ochsendorf-1,/cfb/players/blake-ochsendorf-1.html,Louisiana Tech,CUSA,12,53,2423,45.7,,2023
Mitchell Tomasek,mitchell-tomasek-1,/cfb/players/mitchell-tomasek-1.html,Eastern Michigan,MAC,13,67,3060,45.7,,2023
Ryan Sanborn,ryan-sanborn-1,/cfb/players/ryan-sanborn-1.html,Texas,Big 12,14,40,1828,45.7,,2023
Alex Mastromanno,alex-mastromanno-1,/cfb/players/alex-mastromanno-1.html,Florida State,ACC,14,66,3004,45.5,,2023
Jack Bouwmeester,jack-bouwmeester-1,/cfb/players/jack-bouwmeester-1.html,Utah,Pac-12,13,55,2503,45.5,,2023
Jack Browning,jack-browning-1,/cfb/players/jack-browning-1.html,San Diego State,MWC,12,54,2449,45.4,,2023
Archer Trafford,archer-trafford-1,/cfb/players/archer-trafford-1.html,East Carolina,American,12,7,317,45.3,,2023
Bryce McFerson,bryce-mcferson-1,/cfb/players/bryce-mcferson-1.html,Notre Dame,Ind,12,38,1712,45.1,,2023
George Caratan,george-caratan-2,/cfb/players/george-caratan-2.html,Connecticut,Ind,12,61,2752,45.1,,2023
Luke Elzinga,luke-elzinga-1,/cfb/players/luke-elzinga-1.html,Oklahoma,Big 12,11,27,1217,45.1,,2023
Wes Pahl,wes-pahl-1,/cfb/players/wes-pahl-1.html,Oklahoma State,Big 12,14,27,1217,45.1,,2023
Alec Bevelhimer,alec-bevelhimer-1,/cfb/players/alec-bevelhimer-1.html,Miami (OH),MAC,14,58,2609,45.0,,2023
Noah Fifita,noah-fifita-1,/cfb/players/noah-fifita-1.html,Arizona,Pac-12,12,2,90,45.0,,2023
Riley Riethman,riley-riethman-1,/cfb/players/riley-riethman-1.html,Navy,American,12,80,3583,44.8,,2023
Jack Stonehouse,jack-stonehouse-1,/cfb/players/jack-stonehouse-1.html,Syracuse,ACC,13,62,2766,44.6,,2023
Oscar Chapman,oscar-chapman-1,/cfb/players/oscar-chapman-1.html,Auburn,SEC,13,61,2720,44.6,,2023
Grant Gonya,grant-gonya-2,/cfb/players/grant-gonya-2.html,Charlotte,American,12,60,2670,44.5,,2023
Lachlan Wilson,lachlan-wilson-1,/cfb/players/lachlan-wilson-1.html,California,Pac-12,13,52,2314,44.5,,2023
Mark Vassett,mark-vassett-1,/cfb/players/mark-vassett-1.html,Colorado,Pac-12,12,64,2845,44.5,,2023
Ryan Bujcevski,ryan-bujcevski-1,/cfb/players/ryan-bujcevski-1.html,SMU,American,14,40,1779,44.5,,2023
Nick Haberer,nick-haberer-1,/cfb/players/nick-haberer-1.html,Washington State,Pac-12,12,46,2041,44.4,,2023
Tommy Doman,tommy-doman-1,/cfb/players/tommy-doman-1.html,Michigan,Big Ten,15,53,2346,44.3,,2023
Tyler Perkins,tyler-perkins-1,/cfb/players/tyler-perkins-1.html,Iowa State,Big 12,13,61,2703,44.3,,2023
Joshua Sloan,joshua-sloan-1,/cfb/players/joshua-sloan-1.html,UTEP,CUSA,12,51,2254,44.2,,2023
Logan Lupo,logan-lupo-1,/cfb/players/logan-lupo-1.html,Florida Atlantic,American,12,53,2336,44.1,,2023
Anthony Venneri,anthony-venneri-1,/cfb/players/anthony-venneri-1.html,Buffalo,MAC,12,51,2242,44.0,,2023
Ben Krimm,ben-krimm-1,/cfb/players/ben-krimm-1.html,Notre Dame,Ind,3,1,44,44.0,,2023
Will Karoll,will-karoll-1,/cfb/players/will-karoll-1.html,Tulane,American,12,43,1894,44.0,,2023
Brett Thorson,brett-thorson-1,/cfb/players/brett-thorson-1.html,Georgia,SEC,13,32,1403,43.8,,2023
Dylan Joyce,dylan-joyce-1,/cfb/players/dylan-joyce-1.html,Miami (FL),ACC,13,43,1882,43.8,,2023
Miles Tillman,miles-tillman-1,/cfb/players/miles-tillman-1.html,Middle Tennessee State,CUSA,12,34,1489,43.8,,2023
Aidan Swanson,aidan-swanson-1,/cfb/players/aidan-swanson-1.html,Clemson,ACC,13,61,2664,43.7,,2023
Dario Longhetto,dario-longhetto-1,/cfb/players/dario-longhetto-1.html,Arizona State,Pac-12,12,3,131,43.7,,2023
Brady Braun,brady-braun-1,/cfb/players/brady-braun-1.html,Louisiana-Monroe,Sun Belt,2,4,174,43.5,,2023
Jesse Mirco,jesse-mirco-1,/cfb/players/jesse-mirco-1.html,Ohio State,Big Ten,13,50,2174,43.5,,2023
Stephen Kotsanlee,stephen-kotsanlee-1,/cfb/players/stephen-kotsanlee-1.html,Utah State,MWC,6,23,1000,43.5,,2023
Paddy Turner,paddy-turner-1,/cfb/players/paddy-turner-1.html,Colorado State,MWC,12,51,2212,43.4,,2023
Eddie Czaplicki,eddie-czaplicki-1,/cfb/players/eddie-czaplicki-1.html,USC,Pac-12,13,44,1906,43.3,,2023
Sawyer Evans,sawyer-evans-1,/cfb/players/sawyer-evans-1.html,North Texas,American,12,30,1300,43.3,,2023
Jake Walrath,jake-walrath-2,/cfb/players/jake-walrath-2.html,Central Michigan,MAC,12,62,2681,43.2,,2023
Kai Kroeger,kai-kroeger-1,/cfb/players/kai-kroeger-1.html,South Carolina,SEC,12,62,2676,43.2,,2023
Reid Bauer,reid-bauer-1,/cfb/players/reid-bauer-1.html,Memphis,American,13,44,1902,43.2,,2023
Ryan Marks,ryan-marks-2,/cfb/players/ryan-marks-2.html,Utah State,MWC,9,38,1642,43.2,,2023
William Przystup,william-przystup-1,/cfb/players/william-przystup-1.html,Arkansas State,Sun Belt,13,61,2635,43.2,,2023
Oliver Straw,oliver-straw-1,/cfb/players/oliver-straw-1.html,West Virginia,Big 12,13,43,1853,43.1,,2023
Peter Moore,peter-moore-1,/cfb/players/peter-moore-1.html,Virginia Tech,ACC,13,60,2588,43.1,,2023
Ethan Vasko,ethan-vasko-1,/cfb/players/ethan-vasko-1.html,Coastal Carolina,Sun Belt,8,1,43,43.0,,2023
Jack Salopek,jack-salopek-1,/cfb/players/jack-salopek-1.html,Western Michigan,MAC,6,1,43,43.0,,2023
Mason Fletcher,mason-fletcher-1,/cfb/players/mason-fletcher-1.html,Cincinnati,Big 12,12,45,1935,43.0,,2023
Daniel Sparks,daniel-sparks-1,/cfb/players/daniel-sparks-1.html,Virginia,ACC,12,64,2746,42.9,,2023
Palmer Williams,palmer-williams-1,/cfb/players/palmer-williams-1.html,Baylor,Big 12,12,35,1501,42.9,,2023
