Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Andy Quinn,andy-quinn-1,/cfb/players/andy-quinn-1.html,Boston College,ACC,9,2,110,55.0,,2025
Chase Barry,chase-barry-1,/cfb/players/chase-barry-1.html,Oklahoma State,Big 12,1,1,52,52.0,,2025
Tashi Dorje,tashi-dorje-1,/cfb/players/tashi-dorje-1.html,San Diego State,MWC,3,3,150,50.0,,2025
Jackson Kleather,jackson-kleather-1,/cfb/players/jackson-kleather-1.html,Bowling Green,MAC,12,2,99,49.5,,2025
Ryan Eckley,ryan-eckley-1,/cfb/players/ryan-eckley-1.html,Michigan State,Big Ten,12,49,2378,48.5,,2025
Cole Maynard,cole-maynard-1,/cfb/players/cole-maynard-1.html,Western Kentucky,CUSA,13,57,2756,48.4,AA,2025
Brek Schultz,brek-schultz-1,/cfb/players/brek-schultz-1.html,Louisiana,Sun Belt,4,1,48,48.0,,2025
Drew Miller,drew-miller-4,/cfb/players/drew-miller-4.html,Georgia,SEC,1,6,288,48.0,,2025
Quinn Warren,quinn-warren-1,/cfb/players/quinn-warren-1.html,Indiana,Big Ten,13,6,288,48.0,,2025
Bryan Hansen,bryan-hansen-1,/cfb/players/bryan-hansen-1.html,Colorado State,MWC,12,57,2730,47.9,,2025
Marshall Nichols,marshall-nichols-1,/cfb/players/marshall-nichols-1.html,Georgia Tech,ACC,13,34,1629,47.9,,2025
Chase Allen,chase-allen-2,/cfb/players/chase-allen-2.html,Rice,American,7,6,286,47.7,,2025
Sean West,sean-west-1,/cfb/players/sean-west-1.html,Wisconsin,Big Ten,6,25,1192,47.7,,2025
Jacob Ulrich,jacob-ulrich-1,/cfb/players/jacob-ulrich-1.html,Oklahoma,SEC,13,2,95,47.5,,2025
John Hoyet Chance,john-hoyet-chance-1,/cfb/players/john-hoyet-chance-1.html,Louisiana Tech,CUSA,13,66,3120,47.3,,2025
Daniel Sparks,daniel-sparks-1,/cfb/players/daniel-sparks-1.html,Virginia,ACC,14,37,1745,47.2,,2025
Jack Stonehouse,jack-stonehouse-1,/cfb/players/jack-stonehouse-1.html,Syracuse,ACC,12,59,2780,47.1,,2025
Brady Davidson,brady-davidson-1,/cfb/players/brady-davidson-1.html,Northern Illinois,MAC,8,2,94,47.0,,2025
Hunter Green,hunter-green-2,/cfb/players/hunter-green-2.html,San Diego State,MWC,13,63,2959,47.0,,2025
Nick Haberer,nick-haberer-1,/cfb/players/nick-haberer-1.html,Vanderbilt,SEC,13,26,1219,46.9,,2025
Palmer Williams,palmer-williams-1,/cfb/players/palmer-williams-1.html,Baylor,Big 12,12,27,1267,46.9,,2025
Ethan Pulliam,ethan-pulliam-1,/cfb/players/ethan-pulliam-1.html,Mississippi State,SEC,13,45,2104,46.8,,2025
Alec Clark,alec-clark-1,/cfb/players/alec-clark-1.html,Tulane,American,14,48,2233,46.5,,2025
Keegan Andrews,keegan-andrews-1,/cfb/players/keegan-andrews-1.html,Massachusetts,MAC,12,69,3211,46.5,,2025
Malachi Nelson,malachi-nelson-1,/cfb/players/malachi-nelson-1.html,UTEP,CUSA,6,2,93,46.5,,2025
Wes Pahl,wes-pahl-1,/cfb/players/wes-pahl-1.html,Oklahoma State,Big 12,12,64,2975,46.5,,2025
Noah Botsford,noah-botsford-2,/cfb/players/noah-botsford-2.html,UTEP,CUSA,12,59,2730,46.3,,2025
Billy Gowers,billy-gowers-1,/cfb/players/billy-gowers-1.html,Hawaii,MWC,13,49,2266,46.2,,2025
Elijah Slibeck,elijah-slibeck-1,/cfb/players/elijah-slibeck-1.html,Virginia,ACC,13,11,508,46.2,,2025
Mitchell Tomasek,mitchell-tomasek-1,/cfb/players/mitchell-tomasek-1.html,Eastern Michigan,MAC,12,48,2218,46.2,,2025
"Bart Edmiston, Jr.",bart-edmiston-jr-1,/cfb/players/bart-edmiston-jr-1.html,Wyoming,MWC,12,65,2997,46.1,,2025
Gabe Nwosu,gabe-nwosu-1,/cfb/players/gabe-nwosu-1.html,Penn State,Big Ten,13,38,1749,46.0,,2025
Oscar Bird,oscar-bird-1,/cfb/players/oscar-bird-1.html,Ole Miss,SEC,15,41,1885,46.0,,2025
Grayson Miller,grayson-miller-2,/cfb/players/grayson-miller-2.html,Oklahoma,SEC,12,59,2705,45.8,,2025
Reed Chandley,reed-chandley-1,/cfb/players/reed-chandley-1.html,Georgia State,Sun Belt,12,54,2474,45.8,,2025
