position,calibration_method,n_calibration,true_rate,prob_raw_mean,prob_cal_mean,prob_raw_std,prob_cal_std
DB,sigmoid,2622,0.8264683447749809,0.8279504721101961,0.6954533503410496,0.10005322054255064,0.012770597699976852
EDGE,sigmoid,613,0.7243066884176182,0.7281358707301185,0.6730929809814205,0.1768247969607157,0.023941006444285328
IDL,sigmoid,1062,0.800376647834275,0.8031135055810045,0.6898444087723538,0.12164985845650127,0.0152703606329479
LB,sigmoid,1666,0.7671068427370948,0.7693048219363086,0.6825044908372633,0.1349805839240622,0.021374249675481953
OL,sigmoid,2690,0.7011152416356877,0.7021115917144655,0.6681048896031716,0.13676338022694748,0.02048085789942979
QB,sigmoid,914,0.6794310722100656,0.6821231958446148,0.6627160702815188,0.20072975027291,0.03406026352435076
RB,sigmoid,1088,0.8069852941176471,0.8072067001861903,0.6913413507046302,0.12650422686956406,0.011798530058738552
SPEC,sigmoid,424,0.8231132075471698,0.8239620070693627,0.6947810880952993,0.12381220845839923,0.011244056418323788
TE,sigmoid,725,0.7641379310344828,0.76682308595756,0.682162960237933,0.13641404418630976,0.010271740971364827
WR,sigmoid,1897,0.7838692672641012,0.7860898333721935,0.6861430672022512,0.1256307700615412,0.0203116056280026
