position,method,n_calibration,y_true_mean,y_true_std,y_pred_raw_mean,y_pred_raw_std,y_pred_cal_mean,y_pred_cal_std,y_pred_cal_min,y_pred_cal_max
DB,quantile,2176,55.81533143382353,12.62898681656612,55.8637648750754,5.091209676350189,55.83971163083779,12.689074086863254,7.0021,100.0
EDGE,quantile,453,53.222112582781456,15.23427888760246,52.949293140807164,5.891475923464733,53.22038540225285,15.257212554343228,12.5961,100.0
IDL,quantile,853,55.6204451348183,12.267005922450869,55.64540709644242,5.462066100734301,55.629178739949595,12.301626967474517,17.621,96.1955
LB,quantile,1291,55.00550069713402,13.295493676543087,55.04652673675513,5.5895592476618825,55.02316506773274,13.248334598823298,12.203,91.3976
OL,quantile,1886,58.308480116648994,12.288678765079128,58.30654366372878,4.64697890614501,58.325768220131664,12.238962889474132,26.3996,92.2486
QB,quantile,629,53.43626152623212,15.24779875313389,53.07306529835032,8.641290453956083,53.42206434894536,15.367763541357693,5.4756,93.3077
RB,quantile,888,55.57816813063063,13.898216970801114,55.61177477535901,6.5004963772306965,55.5693095368098,13.947722569254385,8.3848,95.9592
SPEC,quantile,351,56.599421367521366,13.070663707957737,56.776929301074425,7.70311683023166,56.62350325325069,13.080267810761995,18.5142,100.0
TE,quantile,556,57.41688543165468,13.270309232147536,57.50075781431129,6.063315830774305,57.44310569850229,13.299405286806032,16.1646,100.0
WR,quantile,1495,55.048783478260866,12.73163798677382,54.92032838394012,5.611835959819921,55.09102671421717,12.713459777790334,14.641,96.2274
