position,fold,rows_val,fold_accuracy,fold_roc_auc,fold_f1,fold_logloss,fold_brier
RB,1,218,0.7889908256880734,0.5524891774891775,0.8814432989690721,0.5189206820915273,0.1647573858499527
RB,2,218,0.7706422018348624,0.5638528138528138,0.868421052631579,0.5400502844857578,0.17111384868621826
RB,3,218,0.8027522935779816,0.6089015151515152,0.8894601542416453,0.49022221194390325,0.15677684545516968
RB,4,217,0.7972350230414746,0.6338775510204082,0.8865979381443299,0.4828841166146091,0.15454304218292236
RB,5,217,0.8064516129032258,0.693469387755102,0.8917525773195877,0.4582425163987982,0.14439721405506134
