Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Ja'Marr Chase,jamarr-chase-1,/cfb/players/jamarr-chase-1.html,LSU,SEC,14,84,1780,21.2,20,127.1,1,5,5.0,0,0.4,85,1785,21.0,20,AA,2019
Omar Bayless,omar-bayless-1,/cfb/players/omar-bayless-1.html,Arkansas State,Sun Belt,13,93,1653,17.8,17,127.2,0,0,,0,0.0,93,1653,17.8,17,,2019
Justin Jefferson,justin-jefferson-1,/cfb/players/justin-jefferson-1.html,LSU,SEC,15,111,1540,13.9,18,102.7,0,0,,0,0.0,111,1540,13.9,18,,2019
Antonio Gandy-Golden,antonio-gandy-golden-1,/cfb/players/antonio-gandy-golden-1.html,Liberty,Ind,13,79,1396,17.7,10,107.4,0,0,,0,0.0,79,1396,17.7,10,,2019
Devin Duvernay,devin-duvernay-1,/cfb/players/devin-duvernay-1.html,Texas,Big 12,13,106,1386,13.1,9,106.6,10,24,2.4,1,1.8,116,1410,12.2,10,,2019
CeeDee Lamb,ceedee-lamb-1,/cfb/players/ceedee-lamb-1.html,Oklahoma,Big 12,13,62,1327,21.4,14,102.1,9,20,2.2,1,1.5,71,1347,19.0,15,AA,2019
Chatarius Atwell,chatarius-atwell-1,/cfb/players/chatarius-atwell-1.html,Louisville,ACC,13,70,1276,18.2,12,98.2,8,29,3.6,0,2.2,78,1305,16.7,12,,2019
Damonte Coxie,damonte-coxie-1,/cfb/players/damonte-coxie-1.html,Memphis,American,14,76,1276,16.8,9,91.1,0,0,,0,0.0,76,1276,16.8,9,,2019
Michael Pittman Jr.,michael-pittman-jr-1,/cfb/players/michael-pittman-jr-1.html,USC,Pac-12,13,101,1275,12.6,11,98.1,0,0,,0,0.0,101,1275,12.6,11,,2019
DeVonta Smith,devonta-smith-1,/cfb/players/devonta-smith-1.html,Alabama,SEC,13,68,1256,18.5,14,96.6,0,0,,0,0.0,68,1256,18.5,14,,2019
Gabriel Davis,gabriel-davis-1,/cfb/players/gabriel-davis-1.html,UCF,American,12,72,1241,17.2,12,103.4,0,0,,0,0.0,72,1241,17.2,12,,2019
James Proche,james-proche-1,/cfb/players/james-proche-1.html,SMU,American,13,111,1225,11.0,15,94.2,4,18,4.5,0,1.4,115,1243,10.8,15,,2019
Rashod Bateman,rashod-bateman-1,/cfb/players/rashod-bateman-1.html,Minnesota,Big Ten,13,60,1219,20.3,11,93.8,0,0,,0,0.0,60,1219,20.3,11,,2019
Brandon Aiyuk,brandon-aiyuk-1,/cfb/players/brandon-aiyuk-1.html,Arizona State,Pac-12,12,65,1192,18.3,8,99.3,1,6,6.0,0,0.5,66,1198,18.2,8,,2019
Tamorrion Terry,tamorrion-terry-1,/cfb/players/tamorrion-terry-1.html,Florida State,ACC,13,60,1188,19.8,9,91.4,4,9,2.3,0,0.7,64,1197,18.7,9,,2019
Quez Watkins,quez-watkins-1,/cfb/players/quez-watkins-1.html,Southern Mississippi,CUSA,12,64,1178,18.4,6,98.2,1,1,1.0,0,0.1,65,1179,18.1,6,,2019
Isaiah Hodgins,isaiah-hodgins-1,/cfb/players/isaiah-hodgins-1.html,Oregon State,Pac-12,12,86,1171,13.6,13,97.6,0,0,,0,0.0,86,1171,13.6,13,,2019
Tee Higgins,tee-higgins-1,/cfb/players/tee-higgins-1.html,Clemson,ACC,15,59,1167,19.8,13,77.8,1,36,36.0,1,2.4,60,1203,20.1,14,,2019
Jerry Jeudy,jerry-jeudy-1,/cfb/players/jerry-jeudy-1.html,Alabama,SEC,13,77,1163,15.1,10,89.5,1,1,1.0,0,0.1,78,1164,14.9,10,,2019
Tre Walker,tre-walker-3,/cfb/players/tre-walker-3.html,San Jose State,MWC,10,79,1161,14.7,2,116.1,0,0,,0,0.0,79,1161,14.7,2,,2019
JoJo Ward,jojo-ward-1,/cfb/players/jojo-ward-1.html,Hawaii,MWC,15,65,1134,17.4,11,75.6,0,0,,0,0.0,65,1134,17.4,11,,2019
Lucky Jackson,lucky-jackson-1,/cfb/players/lucky-jackson-1.html,Western Kentucky,CUSA,13,94,1133,12.1,4,87.2,1,15,15.0,0,1.2,95,1148,12.1,4,,2019
Jared Smart,jared-smart-1,/cfb/players/jared-smart-1.html,Hawaii,MWC,15,87,1129,13.0,5,75.3,0,0,,0,0.0,87,1129,13.0,5,,2019
Warren Jackson,warren-jackson-2,/cfb/players/warren-jackson-2.html,Colorado State,MWC,10,77,1119,14.5,8,111.9,0,0,,0,0.0,77,1119,14.5,8,,2019
Brandon Arconado,brandon-arconado-1,/cfb/players/brandon-arconado-1.html,Washington State,Pac-12,11,78,1109,14.2,7,100.8,0,0,,0,0.0,78,1109,14.2,7,,2019
Tyler Johnson,tyler-johnson-6,/cfb/players/tyler-johnson-6.html,Minnesota,Big Ten,11,72,1107,15.4,10,100.6,0,0,,0,0.0,72,1107,15.4,10,,2019
